common_name_clean,recorded_taxa_group,estimated_taxa_group,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,IHH_functional_major_groups_sm,Major_Functional_Group,Manual_Classification_Notes,ornamentalFLAG_1,Assignment_for_Major_Functional_Group
coral blanco,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Other marine invertebrates,Coral; likely ornamental?,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
coruco,OTRAS,NA,Cathorops aguadulce,high confidence,match to Hem's key,Cathorops,genus derived from known species,NA,Freshwater fishes,Freshwater sea catfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
corvinato,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Demersal marine fishes,Assuming corvina type fish,NO,Assigned_Manually: OTRAS treated differently than other major groups
crappie,OTRAS,NA,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,Pomoxis,manual entry,NA,Freshwater fishes,Freshwater sunfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
criollo,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… not enough information to know?,NO,Assigned_Manually: OTRAS treated differently than other major groups
cubera,OTRAS,NA,Lujtanus cyanopterus,high confidence,match to Hem's key,Lujtanus,genus derived from known species,NA,Demersal marine fishes,Bluefin snapper,NO,Assigned_Manually: OTRAS treated differently than other major groups
cuchilla,OTRAS,NA,Dorosoma cepedianum,high confidence,match to Hem's key,Dorosoma,genus derived from known species,NA,Freshwater fishes,Gizzard shad,NO,Assigned_Manually: OTRAS treated differently than other major groups
escochin,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Demersal marine fishes,Triggerfish?,NO,Assigned_Manually: OTRAS treated differently than other major groups
espadin,OTRAS,NA,Clupanodon phalerica,high confidence,match to Hem's key,Clupanodon,genus derived from known species,NA,Freshwater fishes,Japanese gizzard shad,NO,Assigned_Manually: OTRAS treated differently than other major groups
estrella mar,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Echinoderms,Sea stars; likely ornamental harvest,YES,Assigned_Manually: OTRAS treated differently than other major groups
galleta mar,OTRAS,NA,unknown,not applicable,no data in keys,Dendraster,manual entry,NA,Echinoderms,Sand dollar; likely ornamental harvest,YES,Assigned_Manually: OTRAS treated differently than other major groups
gallineta,OTRAS,NA,Helicolenus dactylopterus,high confidence,match to Hem's key,Helicolenus,genus derived from known species,NA,Demersal marine fishes,"Blackbelly rosefish, looks like a rockfish",NO,Assigned_Manually: OTRAS treated differently than other major groups
guacamaya,OTRAS,NA,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Demersal marine fishes,A rainbow parrotfish?,NO,Assigned_Manually: OTRAS treated differently than other major groups
hacha china,OTRAS,NA,Atrina maura,high confidence,match to Hem's key,Atrina,genus derived from known species,NA,Molluscs excl. Cephalopods,"Pinna, callo de hacha",POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
hacha larga,OTRAS,NA,Pinna rugosa,high confidence,match to Hem's key,Pinna,genus derived from known species,NA,Molluscs excl. Cephalopods,Rough pen shell,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
indio,OTRAS,NA,Paranthias furcifer,high confidence,match to Hem's key,Paranthias,genus derived from known species,NA,Demersal marine fishes,Creole fish,NO,Assigned_Manually: OTRAS treated differently than other major groups
isabelita,OTRAS,NA,Chaetodipterus faber¬†,high confidence,match to Hem's key,Chaetodipterus,genus derived from known species,NA,Demersal marine fishes,Atlantic spadefish,NO,Assigned_Manually: OTRAS treated differently than other major groups
jopaton,OTRAS,NA,Microlepidotus inornatus,high confidence,match to Hem's key,Microlepidotus,genus derived from known species,NA,Demersal marine fishes,California croaker / grunt,NO,Assigned_Manually: OTRAS treated differently than other major groups
jordan,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,Marine fishes NEI,My gut tells me sort of fish,NO,Assigned_Manually: OTRAS treated differently than other major groups
juez,OTRAS,NA,Bathystoma rimator,high confidence,match to Hem's key,Bathystoma,genus derived from known species,NA,Demersal marine fishes,grunt,NO,Assigned_Manually: OTRAS treated differently than other major groups
lacha,OTRAS,NA,Brevoortia pectinata,high confidence,match to Hem's key,Brevoortia,genus derived from known species,NA,Pelagic marine fishes,Gulf menhaden,NO,Assigned_Manually: OTRAS treated differently than other major groups
lagartija,OTRAS,NA,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Demersal marine fishes,Looks like a lizardfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
lagarto,OTRAS,NA,Synodus foetens,high confidence,match to Hem's key,Synodus,genus derived from known species,NA,Demersal marine fishes,Inshore lizardfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
loro jabonero,OTRAS,NA,Nicholsina usta,high confidence,match to Hem's key,Nicholsina,genus derived from known species,NA,Demersal marine fishes,Emerald parrotfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
machete,OTRAS,NA,Ethmidium maculatum,high confidence,match to Hem's key,Ethmidium,genus derived from known species,NA,Pelagic marine fishes,Pacific menhaden,NO,Assigned_Manually: OTRAS treated differently than other major groups
madre perla,OTRAS,NA,unknown,not applicable,conflicting matches in Hem's key and no data from IHH,NA,manual entry,NA,Molluscs excl. Cephalopods,"Mother of pearl, possibly oyster",YES,Assigned_Manually: OTRAS treated differently than other major groups
marlin azul,OTRAS,NA,Makaira ampla,high confidence,match to Hem's key,Makaira,genus derived from known species,NA,Pelagic marine fishes,Atlantic blue marlin,NO,Assigned_Manually: OTRAS treated differently than other major groups
marlin blanco,OTRAS,NA,Tetrapturus albidus,high confidence,match to Hem's key,Tetrapturus,genus derived from known species,NA,Pelagic marine fishes,White marlin,NO,Assigned_Manually: OTRAS treated differently than other major groups
marlin negro,OTRAS,NA,Makaira indica,high confidence,match to Hem's key,Makaira,genus derived from known species,NA,Pelagic marine fishes,Black marlin,NO,Assigned_Manually: OTRAS treated differently than other major groups
marlin rayado,OTRAS,NA,Tetrapturus audax,high confidence,match to Hem's key,Tetrapturus,genus derived from known species,NA,Pelagic marine fishes,Striped marlin,NO,Assigned_Manually: OTRAS treated differently than other major groups
matagatos,OTRAS,NA,Brycon falcatus,high confidence,match to Hem's key,Brycon,genus derived from known species,NA,Freshwater fishes,small ray-finned freshwater fish,NO,Assigned_Manually: OTRAS treated differently than other major groups
matajuelo,OTRAS,NA,Holocentrus ascensionis,high confidence,match to Hem's key,Holocentrus,genus derived from known species,NA,Demersal marine fishes,Squirrelfish,NO,Assigned_Manually: OTRAS treated differently than other major groups
mataperro,OTRAS,NA,Sphoeriodes testudinaeus,high confidence,match to Hem's key,Sphoeriodes,genus derived from known species,NA,Demersal marine fishes,Checkered puffer,POSSIBLY,Assigned_Manually: OTRAS treated differently than other major groups
maula,OTRAS,NA,unknown,not applicable,no data in keys,NA,manual entry,NA,unknown,I don't know what this is… a fish?,NO,Assigned_Manually: OTRAS treated differently than other major groups
medusa bola ca√±on,OTRAS,NA,Stomolophus meleagris,high confidence,manual entry; extremely high confidence,Stomolophus,manual entry,NA,Jellies,Jellyfish!,NO,Assigned_Manually: OTRAS treated differently than other major groups
medusa bola caÔøΩon,OTRAS,NA,Stomolophus meleagris,high confidence,manual entry; extremely high confidence,Stomolophus,manual entry,NA,Jellies,Jellyfish!,NO,Assigned_Manually: OTRAS treated differently than other major groups
