"estimated_genus_name","Major_Functional_Group","estimated_taxa_group","family_from_previous.keys","family_from_taxize","new_estimated_family_name","new_family_est_reasoning"
"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Istiophoridae","Istiophoridae","Istiophoridae","family name was estimated from previous keys"
"Isurus","Sharks","TIBURON","Lamnidae","Lamnidae","Lamnidae","family name was estimated from previous keys"
"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"Kyphosus","Demersal marine fishes","OTRAS","Kyphosidae","Kyphosidae","Kyphosidae","family name was estimated from previous keys"
"Lagodon","Anchovy & Sardine (small pelagics)","SARDINA",NA,"Sparidae","Sparidae","family name was estimated from genus name using taxize function"
"Lamna","Demersal marine fishes","PETO","Lamnidae","Lamnidae","Lamnidae","family name was estimated from previous keys"
"Larimus","Demersal marine fishes","CORVINA","Sciaenidae","Sciaenidae","Sciaenidae","family name was estimated from previous keys"
"Litopenaeus","Shrimps, prawns","CAMARON","Penaeidae","Penaeidae","Penaeidae","family name was estimated from previous keys"
"Lobatus","Molluscs excl. Cephalopods","CARACOL","Strombidae","Strombidae","Strombidae","family name was estimated from previous keys"
"Loligo","Cephalopods","CALAMAR",NA,"Loliginidae","Loliginidae","family name was estimated from genus name using taxize function"
"Luidia","Echinoderms","OTRAS",NA,"Luidiidae","Luidiidae","family name was estimated from genus name using taxize function"
"Lujtanus","Demersal marine fishes","OTRAS",NA,NA,NA,"family name will need to be logged manually"
"Lutjanus","Demersal marine fishes","GUACHINANGO","Lutjanidae","Lutjanidae","Lutjanidae","family name was estimated from previous keys"
"Magallana","Molluscs excl. Cephalopods","OSTION","Ostreidae",NA,"Ostreidae","family name was estimated from previous keys"
"Makaira","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",NA,"Istiophoridae","Istiophoridae","family name was estimated from genus name using taxize function"
"Megapitaria","Molluscs excl. Cephalopods","ALMEJA","Veneridae","Veneridae","Veneridae","family name was estimated from previous keys"
"Megastraea","Molluscs excl. Cephalopods","CARACOL","Turbinidae","Turbinidae","Turbinidae","family name was estimated from previous keys"
"Megathura","Molluscs excl. Cephalopods","CARACOL","Fissurellidae","Fissurellidae","Fissurellidae","family name was estimated from previous keys"
"Menticirrhus","Demersal marine fishes","BERRUGATA","Sciaenidae","Sciaenidae","Sciaenidae","family name was estimated from previous keys"
"Merluccius","Demersal marine fishes","OTRAS","Merlucciidae","Merlucciidae","Merlucciidae","family name was estimated from previous keys"
"Mesocentrotus","Echinoderms","ERIZO","Strongylocentrotidae","Strongylocentrotidae","Strongylocentrotidae","family name was estimated from previous keys"
"Metapenaeus","Shrimps, prawns","CAMARON",NA,"Penaeidae","Penaeidae","family name was estimated from genus name using taxize function"
"Microlepidotus","Demersal marine fishes","OTRAS","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Micropogonias","Demersal marine fishes","BERRUGATA","Sciaenidae","Sciaenidae","Sciaenidae","family name was estimated from previous keys"
"Mobula","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae","Myliobatidae","Myliobatidae","family name was estimated from previous keys"
"Morone","Demersal marine fishes","ROBALO",NA,"Moronidae","Moronidae","family name was estimated from genus name using taxize function"
"Mugil","Demersal marine fishes","LISA","Mugilidae","Mugilidae","Mugilidae","family name was estimated from previous keys"
