"year","OHI_region_est","FP_landings_kg","FIS_landings_kg","MAR_landings_kg","w_fisheries","FIS_Score","w_mariculture","MAR_Score","FP_score"
2019,"region_9",29211404.69,21673061.07,7538343.62,0.741938338809821,89.300150729479,0.258061661190179,28.4720234402828,73.6027431541413
2020,"region_1",3834012.4,3834012.4,0,1,94.9193930131671,0,NA,94.9193930131671
2020,"region_2",10158377.58,10158377.58,0,1,93.2182224286583,0,NA,93.2182224286583
2020,"region_3",5154482.78,3892135.78,1262347,0.755097251484076,87.0404791463914,0.244902748515924,51.2543314968953,78.2763532282331
2020,"region_4",10414853.92,7510688.22,2904165.7,0.721151566569452,90.0416485618481,0.278848433430548,25.2073959956929,71.9627188011352
2020,"region_5",21349125.5,21349125.5,0,1,80.6535166316282,0,NA,80.6535166316282
2020,"region_6",49440664.15,8334137.15,41106527,0.168568470777713,88.7803192730226,0.831431529222287,19.2660755752667,30.9839853326667
2020,"region_7",616580175.58,583428210.38,33151965.2,0.94623251522997,78.0038693501369,0.0537674847700299,19.3401002362205,74.8496660377518
2020,"region_8",297371722.886,226045902.726,71325820.16,0.760145922861188,92.8167092073116,0.239854077138812,17.9957404568022,74.8705947970263
2020,"region_9",21433952.05,12156975.95,9276976.1,0.56718312710791,93.9424425445368,0.43281687289209,23.7721012663638,63.5715348627472
2021,"region_1",9618425.78,9618425.78,0,1,86.5597978910765,0,NA,86.5597978910765
2021,"region_2",6672016.3,6663158.3,8858,0.998672365353784,92.6572203560217,0.00132763464621632,43.2191139143055,92.5915846130663
2021,"region_3",6380916.2,4932286.2,1448630,0.772974608254532,90.3092905441303,0.227025391745468,60.951382228787,83.644299908012
2021,"region_4",11312528.03,7919867.63,3392660.4,0.700097061328563,91.0051987450864,0.299902938671437,27.0865779972989,71.8358165469999
2021,"region_5",95516578.6,95516578.6,0,1,83.1710130065321,0,NA,83.1710130065321
2021,"region_6",53831394.4,11073080.4,42758314,0.205699304716506,91.0957658857722,0.794300695283494,20.0593440331297,34.6714866177667
2021,"region_7",803456504.92,766834667.22,36621837.7,0.954419638803414,88.5528149888098,0.0455803611965858,21.4238638668844,85.4930531499245
2021,"region_8",332278592.46,255820142.13,76458450.33,0.769896550470057,91.7251581509041,0.230103449529943,19.8249435684239,75.1806707535323
2021,"region_9",22526115.24,11177786.35,11348328.89,0.496214559452818,95.4549775335914,0.503785440547182,30.8481466571804,62.9069967781614
2022,"region_1",10074486.66,10074486.66,0,1,71.840447502219,0,NA,71.840447502219
2022,"region_2",6153131.55,6149613.55,3518,0.999428258607603,90.8126497394136,0.000571741392397177,66.4376478410147,90.7987135418885
2022,"region_3",6329941.05,4939320.05,1390621,0.780310592307965,81.1077751624397,0.219689407692035,59.6391154295795,76.3913380217858
2022,"region_4",10107815.23,7639886.13,2467929.1,0.755839511917948,85.912174372827,0.244160488082052,24.8409529961878,71.0009951537397
2022,"region_5",91010299.23,91010299.23,0,1,85.302597636448,0,NA,85.302597636448
2022,"region_6",57251760.53,10981353.05,46270407.48,0.191808128664371,91.3461250311918,0.808191871335629,21.9689104620465,35.2760241605008
2022,"region_7",652301324.52,614883145.52,37418179,0.94263666561227,75.7370831037475,0.0573633343877301,21.945342623972,72.6514095073081
2022,"region_8",360194082.3,268971708.66,91222373.64,0.746741053996489,91.5975402715403,0.253258946003511,24.3517849804751,74.5669511633151
2022,"region_9",19353421.47,10658150.65,8695270.82,0.550711442238849,95.1523179028088,0.449288557761151,21.2924280350426,61.9679145077227
2023,"region_1",13324981,13324981,0,1,70.4226969372777,0,NA,70.4226969372777
2023,"region_2",6203274,6203274,0,1,91.8885961717702,0,59.908592321755,91.8885961717702
2023,"region_3",7542372,6418360,1124012,0.850973672473328,74.2775722407534,0.149026327526672,48.626955736477,70.454955064326
2023,"region_4",9731071,7371346,2359725,0.757506136785971,84.9187124871669,0.242493863214029,23.5963052576055,70.0484050564867
2023,"region_5",42153430,42153430,0,1,63.4412137872487,0,NA,63.4412137872487
2023,"region_6",55009604,8599851,46409753,0.156333628578748,91.7312447696268,0.843666371421252,22.0280935633284,32.9250401147821
2023,"region_7",743319823,706455761,36864062,0.950406190095646,75.822402851213,0.0495938099043539,21.5824863331615,73.1324387421887
2023,"region_8",408737791,315735614,93002177,0.772464941955905,91.8741402618489,0.227535058044095,24.670286149362,76.5829074155773
2023,"region_9",16817004,10135785,6681219,0.602710506580126,95.8836677768252,0.397289493419874,16.41128165724,64.3101237545065
2024,"region_1",12615592.454,12615592.454,0,1,65.233085856304,0,NA,65.233085856304
2024,"region_2",12617956.739,12612249.739,5707,0.999547708070487,86.0853451564741,0.000452291929513486,11.5929311395491,86.0516528388043
2024,"region_3",7421487.55,5728064.55,1693423,0.771821620855512,69.9934158600466,0.228178379144488,69.5274030619745,69.8870818151219
2024,"region_4",10332695.495,8884211.555,1448483.94,0.859815481768439,82.2779786928355,0.140184518231561,16.3602481681622,73.0373333963163
2024,"region_5",77528638.28,77528638.28,0,1,85.0849786245123,0,NA,85.0849786245123
2024,"region_6",62561838.311,7364047.001,55197791.31,0.117708289906584,88.7463205737962,0.882291710093416,25.8991958235812,33.2968234034747
2024,"region_7",594513579.2488,552489516.7488,42024062.5,0.929313536365141,74.9590264303438,0.0706864636348587,24.5136002510646,71.3932176471772
2024,"region_8",402974680.2732,307628320.7895,95346359.4837,0.763393671733769,93.4549584406129,0.23660632826623,25.5151354293965,77.3799663748714
2024,"region_9",23059199.136,10372236.31,12686962.826,0.449809043619684,93.6151057271299,0.550190956380316,29.6579192008542,58.426440104844
