"year","OHI_region","FOFM_score","AQRM_score","SHEL_score","RESD_score","FINS_score","SALT_score","NP_Score","NP_Score_n_components"
2018,"region_7",68.3067175383562,74.8072612586534,6.68906859729967,6.50387116498602,NA,96.278561050222,50.5170959219035,5
2019,"region_7",63.548992058925,89.3640441189994,3.25394019443036,4.7665630696174,NA,97.3318751069731,51.6530829097891,5
2020,"region_7",67.8374559440293,83.8224804422455,1.92150761472596,4.79642148744196,NA,97.6630911678904,51.2081913312666,5
2021,"region_7",79.8747383509823,88.5115035501033,1.66334791533724,10.7106821244071,100,97.2731259145581,63.0055663092313,6
2022,"region_7",61.9125272344225,86.8907668526949,8.69672430423481,6.13819697448653,NA,100,52.7276430731677,5
2023,"region_7",59.2873677677323,71.0185585757045,5.61437242077825,7.09412065031196,100,97.7191606481342,56.7889300104435,6
2024,"region_7",55.585990579778,59.1906952029025,2.94239629753102,8.9370277877641,100,99.6384748096224,54.3824307795997,6
2018,"region_8",100,100,100,1.5914351214081,100,18.8222058246844,70.0689401576821,6
2019,"region_8",100,80.3089349575851,100,1.1642186513887,100,NA,76.2946307217948,5
2020,"region_8",99.9369204743267,100,100,1.61808257313277,100,19.4381058451218,70.1655181487635,6
2021,"region_8",89.860797292774,75.7313379318154,100,1.10724671461995,100,13.5146373918829,63.3690032218487,6
2022,"region_8",92.3260427044646,43.6526793549544,100,1.2052360351454,100,30.6135698313645,61.2995879876548,6
2023,"region_8",85.7261327721932,0,100,1.83776961867359,100,39.3017348385576,54.4776062049041,6
2024,"region_8",97.8661961908519,0,86.7645306402121,1.9111845723606,100,35.7323990123824,53.7123850693012,6
2018,"region_9",33.6200495049505,43.9030264108534,NA,7.28834907856373,100,NA,46.2028562485919,4
2019,"region_9",100,0,NA,4.05726378646453,100,NA,51.0143159466161,4
2020,"region_9",100,38.7332423536967,NA,9.42754059792276,100,NA,62.0401957379049,4
2021,"region_9",100,70.9641165609697,NA,19.8878360471305,100,NA,72.712988152025,4
2022,"region_9",100,30.9865938829574,NA,5.03214018222372,100,NA,59.0046835162953,4
2023,"region_9",NA,40.0577988279682,NA,2.71412922835857,100,NA,47.5906426854423,3
2024,"region_9",100,22.9910893473549,NA,2.21748838570006,100,NA,56.3021444332637,4
