"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
NA,"ALMEJA","ALMEJA PATA DE MULA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA PATA DE MULA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA PATA DE MULA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA DE CULTIVO ENT FCA","DE CULTIVO","ENT","FCA",NA,NA,"ALMEJA PATA DE MULA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA",NA,NA,NA,NA,NA,"ALMEJA PATA DE MULA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA ENT. FCA","ENT.","FCA",NA,NA,NA,"ALMEJA PATA DE MULA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA PATA DE MULA C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA CONCHA",NA,NA,NA,NA,NA,"ALMEJA PATA DE MULA CONCHA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL CONCHA DE","CONCHA DE",NA,NA,NA,NA,"ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL ENT. FCA.","ENT.","FCA.",NA,NA,NA,"ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL DE CULTIVO ENT FCA","DE CULTIVO","ENT","FCA",NA,NA,"ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL C.",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL VIVA",NA,NA,NA,NA,NA,"ALMEJA PATA DE MULA DE BANCO / ALA DE ANGEL VIVA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA ENTERO FCO.","ENTERO","FCO.",NA,NA,NA,"ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA",NA,NA,NA,NA
NA,"ALMEJA","ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA S.C. FCA.","S.","FCA.",NA,NA,NA,"ALMEJA PATA DE MULA DE MANGLE / ALMEJA NEGRA C.",NA,NA,NA,NA
