"species","genus","family","associated_common_names"
"Sphyrna tiburo","Sphyrna","Sphyrnidae","Bonnethead shark"
"Sphyrna zygaena","Sphyrna","Sphyrnidae","Smooth hammerhead shark"
"Sphyrna zygaena","Sphyrna","Sphyrnidae","Smooth hammerhead shark"
"Squatina squatina","Squatina","Squatinidae","Angelshark"
"Thunnus albacares","Thunnus","Scombridae","Yellowfin tuna"
"Thunnus obesus","Thunnus","Scombridae","Bigeye tuna"
"Thunnus orientalis","Thunnus","Scombridae","Bluefin tuna"
"Triakis semifasciata","Triakis","Triakidae","Leopard shark"
"Umbrina roncador","Umbrina","Sciaenidae","Yellowfin croaker, Yellowfin corvina"
"Xiphopenaeus riveti","Xiphopenaeus","Penaeidae","Pacific seabob prawn, Seven-beard shrimp"
NA,"Alopias","Alopiidae","long-tailed shark (thresher shark?), thresher shark"
NA,"Caranx","Carangidae","strong jacksmelt"
NA,"Carcharhinus","Carcharhinidae","Dusky shark or Silky shark"
NA,"Cichlasoma","Cichlidae","cichlid"
NA,"Cynoscion","Sciaenidae","corvina, freshwater corvina, painted corvina, silver corvina, red corvina"
NA,"Decapterus","Carangidae","scad"
NA,"Eucinostomus","Gerreidae","White mojarra, black (blackspot?) mojarra"
NA,"Isurus","Lamnidae","mako shark (unspecified)"
NA,"Lutjanus","Lutjanidae","snapper"
NA,"Menticirrhus","Sciaenidae","croaker"
NA,"Mustelus","Triakidae","smooth-hound shark (unspecified)"
NA,"Oligoplites","Clupeidae","piña sardine (encoding issue)"
NA,"Opisthonema","Clupeidae","specific type of sardine"
NA,"Oreochromis","Cichlidae","Tilapia (non-native)"
NA,"Sicyonia","Sicyoniidae","Japanese shrimp"
NA,"Sphyrna","Sphyrnidae","hammerhead (unspecified)"
NA,"Thunnus","Scombridae","Albacore, tuna"
NA,"Vieja","Cichlidae","cichlid (unknown)"
NA,NA,"Balistidae","triggerfish"
NA,NA,"Carangidae","jack, amberjack, jack (as bait), little jack"
NA,NA,"Carcharhinidae","requiem shark (unspecified)"
NA,NA,"Cichlidae","cichlid"
NA,NA,"Clupeidae","""fish not suitable for packaging"", sardine, big-scale sardine, sardine (caught with net), live sardina"
NA,NA,"Cyprinidae","carp, golden carp, scale carp, herbivorous carb, snowball carb, silver carp"
NA,NA,"Engraulidae","anchovy"
NA,NA,"Gerreidae","mojarra, spanish mojarra, striped mojarra"
NA,NA,"Kyphosidae","sea chub"
NA,NA,"Ostreidae","oyster, american oyster (oyster), european oyster (unknown)"
NA,NA,"Sciaenidae","croaker"
NA,NA,NA,"shrimp, atlantic white shrimp, highseas shrimp, estuary shrimp, deepsea shrimp, rock shrimp, spotted shrimp, cheap shrimp, strong shrimp, red shrimp, pink shrimp, synthetic shrimp, freshwater chub, mojarra (unknown), mojarra (freshwater), striped mojarra (freshwater), mojarra, freshwater sardine, unknown, shark fin (unspecified), shark (unspecified), mako shark (unspecified), Blacktip or thresher shark (unspecified), shark skin (unspecified), shark tripe (unspecified)"
