"Year","OHI_Region","weighted_CPUE_acrossAllGroups","OHI_Region_No","Annual_Catch_kg","n_stocks","weighted_StockStatus","weighted_StockStatus_capped","FIS_Score"
2020,"region_8",0.677564,"region_8",16768824.671,35,0.85241333689282,0.85241333689282,0.76498866844641
2020,"region_9",0.840692,"region_9",4803134.35,31,0.863543205783231,0.863543205783231,0.852117602891616
2021,"region_1",0.9995258,"region_1",3851891.15,20,0.777412233462821,0.777412233462821,0.88846901673141
2021,"region_1_2_baja_tbd",0.8168446,"region_1_2_baja_tbd",40965.6,10,0.806687844168273,0.806687844168273,0.811766222084136
2021,"region_2",0.9502687,"region_2",4500779.1,35,0.891613768093231,0.891613768093231,0.920941234046616
2021,"region_3",0.6875065,"region_3",2324077.5,32,0.921306751356735,0.921306751356735,0.804406625678368
2021,"region_3_4_bcs_tbd",0.863722,"region_3_4_bcs_tbd",0,1,NA,NA,0.863722
2021,"region_4",0.972553,"region_4",2968612.27,30,0.886266871798246,0.886266871798246,0.929409935899123
2021,"region_4_5_6_sonora_tbd",0.7840239,"region_4_5_6_sonora_tbd",2196860,9,0.747369070582572,0.747369070582572,0.765696485291286
2021,"region_5",0.6846998,"region_5",4979675.25,23,0.81598753515643,0.81598753515643,0.750343667578215
2021,"region_6",0.7864009,"region_6",3519006.65,29,0.911218162342957,0.911218162342957,0.848809531171479
2021,"region_7",0.9898658,"region_7",4952600.24,33,0.84318837986962,0.84318837986962,0.91652708993481
2021,"region_8",0.7193607,"region_8",16818950.6,37,0.828009026715849,0.828009026715849,0.773684863357925
2021,"region_9",0.7637706,"region_9",4282525.05,29,0.795413924017617,0.795413924017617,0.779592262008808
2022,"region_1",0.9992968,"region_1",3205696.5,27,0.778647068764487,0.778647068764487,0.888971934382244
2022,"region_1_2_baja_tbd",0.9912826,"region_1_2_baja_tbd",38139,7,0.744503442861428,0.744503442861428,0.867893021430714
2022,"region_2",0.9677506,"region_2",4303180,36,0.8564081916391,0.8564081916391,0.91207939581955
2022,"region_3",0.7349368,"region_3",2424115.4,31,0.910274105406037,0.910274105406037,0.822605452703019
2022,"region_3_4_bcs_tbd",1,"region_3_4_bcs_tbd",NA,NA,NA,NA,1
2022,"region_4",0.9914004,"region_4",3433056.58,27,0.850978477438011,0.850978477438011,0.921189438719006
2022,"region_4_5_6_sonora_tbd",0.684762,"region_4_5_6_sonora_tbd",1059174.9,16,0.694038247422152,0.694038247422152,0.689400123711076
2022,"region_5",0.8262122,"region_5",7531713.78,25,0.821119531092647,0.821119531092647,0.823665865546324
2022,"region_6",0.8211644,"region_6",3028819.95,31,0.893320886655279,0.893320886655279,0.857242643327639
2022,"region_7",0.9910381,"region_7",4572652.4,32,0.815039714713549,0.815039714713549,0.903038907356774
2022,"region_8",0.6759424,"region_8",15489875.82,37,0.77156315456595,0.77156315456595,0.723752777282975
2022,"region_9",0.6623815,"region_9",3988100.9,30,0.752041313356545,0.752041313356545,0.707211406678272
2023,"region_1",0.9992212,"region_1",4025619,22,0.71098152412253,0.71098152412253,0.855101362061265
2023,"region_1_2_baja_tbd",0.9997796,"region_1_2_baja_tbd",500,1,0.686531783,0.686531783,0.8431556915
2023,"region_2",0.9671129,"region_2",4257465,29,0.800819315262424,0.800819315262424,0.883966107631212
2023,"region_3",0.7789735,"region_3",2168662,31,0.876641432502596,0.876641432502596,0.827807466251298
2023,"region_3_4_bcs_tbd",0.5660322,"region_3_4_bcs_tbd",12890,7,0.970817543801397,0.970817543801397,0.768424871900698
2023,"region_4",0.9742203,"region_4",3775502,28,0.866646257372336,0.866646257372336,0.920433278686168
2023,"region_4_5_6_sonora_tbd",0.775864,"region_4_5_6_sonora_tbd",735102,13,0.683884206218251,0.683884206218251,0.729874103109126
2023,"region_5",0.9583495,"region_5",11105345,28,0.761327580821413,0.761327580821413,0.859838540410706
2023,"region_6",0.7893824,"region_6",3153044,26,0.844881711865761,0.844881711865761,0.817132055932881
2023,"region_7",0.9960738,"region_7",4701195,32,0.743643021900179,0.743643021900179,0.869858410950089
2023,"region_8",0.8586711,"region_8",16455354,34,0.793045020807927,0.793045020807927,0.825858060403963
2023,"region_9",0.673489,"region_9",3508129,30,0.706483534300067,0.706483534300067,0.689986267150034
2024,"region_1",0.9996874,"region_1",4094479.7,20,0.622284959940816,0.622284959940816,0.810986179970408
2024,"region_1_2_baja_tbd",0.7309909,"region_1_2_baja_tbd",15540.9,9,0.598966766066412,0.598966766066412,0.664978833033206
2024,"region_2",0.9810499,"region_2",5627915.3,29,0.719095368490856,0.719095368490856,0.850072634245428
2024,"region_3",0.790957,"region_3",1176035.92,31,0.825009582566913,0.825009582566913,0.807983291283456
2024,"region_3_4_bcs_tbd",0.5603617,"region_3_4_bcs_tbd",9629.6,6,0.802743073608613,0.802743073608613,0.681552386804307
2024,"region_4",0.9708877,"region_4",4945592.951,31,0.847228827345894,0.847228827345894,0.909058263672947
2024,"region_4_5_6_sonora_tbd",0.6593563,"region_4_5_6_sonora_tbd",776560,12,0.573502937447473,0.573502937447473,0.616429618723737
2024,"region_5",0.8058836,"region_5",9794158.92,26,0.644164320821108,0.644164320821108,0.725023960410554
2024,"region_6",0.8252936,"region_6",3001217.201,25,0.783323967741279,0.783323967741279,0.80430878387064
2024,"region_7",0.772357,"region_7",3997343.25,28,0.673867705069119,0.673867705069119,0.72311235253456
2024,"region_8",0.8530105,"region_8",23852957.8585,34,0.76025190593924,0.76025190593924,0.80663120296962
2024,"region_9",0.6784675,"region_9",3719092.11,26,0.604414788728443,0.604414788728443,0.641441144364221
