"Year","OHI_Region","Stock_genera","Annual_Catch_kg","Avg_Catch_Ref2018.2022","n_Years_Ref2018.2022","Carta_est.Status","CMSY_est.B","RAM_n_Assessments","Carta_StockStatus","CMSY_StockStatus","RAM_StockStatus","StockStatus_Pick","StockStatus_capped"
2021,"region_3","brotula",3837.4,NA,NA,NA,4718.426624,NA,NA,0.607306327,NA,0.607306327,0.607306327
2022,"region_3","brotula",8319.3,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_3","brotula",27789,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_3","brotula",7973.2,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2018,"region_4","brotula",3170.2,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2019,"region_4","brotula",13125.9,NA,NA,NA,4829.811522,NA,NA,0.621642621,NA,0.621642621,0.621642621
2020,"region_4","brotula",19312.7,NA,NA,NA,4756.771713,NA,NA,0.612241704,NA,0.612241704,0.612241704
2021,"region_4","brotula",16040.8,NA,NA,NA,4718.426624,NA,NA,0.607306327,NA,0.607306327,0.607306327
2022,"region_4","brotula",7639.6,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
2023,"region_4","brotula",7775,NA,NA,NA,3938.065106,NA,NA,0.506866387,NA,0.506866387,0.506866387
2024,"region_4","brotula",9467.85,NA,NA,NA,3220.122794,NA,NA,0.414460391,NA,0.414460391,0.414460391
2018,"region_4_5_6_sonora_tbd","brotula",2350,NA,NA,NA,4940.336165,NA,NA,0.635868193,NA,0.635868193,0.635868193
2019,"region_4_5_6_sonora_tbd","brotula",1500,NA,NA,NA,4829.811522,NA,NA,0.621642621,NA,0.621642621,0.621642621
2022,"region_4_5_6_sonora_tbd","brotula",4090,NA,NA,NA,4454.913523,NA,NA,0.573389688,NA,0.573389688,0.573389688
