"year","OHI_region_est","fillet_mt","ref_point_mt","residue_mt","RESD_score_prop","RESD_SubScore","RESD_SubScore_alt"
2022,"region_5",15850.164,5283.388,326.954,0.0618833975471799,6.18833975471799,12.376679509436
2022,"region_6",2437.345,812.448333333333,43.309,0.053306774379499,5.3306774379499,10.6613548758998
2022,"region_7",5667.547,1889.18233333333,115.342,0.0610539268575982,6.10539268575982,12.2107853715196
2022,"region_8",17828.797,5942.93233333333,94.351,0.0158761693231461,1.58761693231461,3.17523386462923
2022,"region_9",2429.98,809.993333333333,40.76,0.0503214018222372,5.03214018222372,10.0642803644474
2022,NA,496.258,165.419333333333,0.09,0.000544071833602682,0.0544071833602682,0.108814366720536
2023,"region_1",3163.582,1054.52733333333,43.001,0.040777511061828,4.0777511061828,8.1555022123656
2023,"region_2",661.816,220.605333333333,19.938,0.0903785946547076,9.03785946547076,18.0757189309415
2023,"region_3",1697.722,565.907333333333,15.102,0.0266863479415358,2.66863479415358,5.33726958830715
2023,"region_4",1945.357,648.452333333333,5.177,0.0079836245994951,0.79836245994951,1.59672491989902
2023,"region_5",17065.825,5688.60833333333,455.292,0.0800357439502632,8.00357439502632,16.0071487900526
2023,"region_6",2350.462,783.487333333333,15.933,0.0203360020285374,2.03360020285374,4.06720040570747
2023,"region_7",6570.164,2190.05466666667,155.09,0.0708155839032329,7.08155839032329,14.1631167806466
2023,"region_8",15936.147,5312.049,118.703,0.0223459911608496,2.23459911608496,4.46919823216992
2023,"region_9",2067.735,689.245,18.707,0.0271412922835857,2.71412922835857,5.42825845671713
2023,NA,387.511,129.170333333333,NA,NA,NA,NA
2024,"region_1",2145.97404,715.32468,17.4819,0.024439112040703,2.4439112040703,4.88782240814059
2024,"region_2",746.92264,248.974213333333,25.494,0.102396146406809,10.2396146406809,20.4792292813617
2024,"region_3",1357.3642,452.454733333333,9.404,0.0207843996474933,2.07843996474933,4.15687992949866
2024,"region_4",1723.10478,574.36826,2.17,0.00377806392017553,0.377806392017553,0.755612784035107
2024,"region_5",17775.3499,5925.11663333333,311.0708,0.0525003673767344,5.25003673767344,10.5000734753469
2024,"region_6",2115.92191,705.307303333333,9.396,0.013321852695405,1.3321852695405,2.664370539081
