"estimated_genus_name","Major_Functional_Group","estimated_family_name","yr","B","B.Bmsy","lcl.B.Bmsy","ucl.B.Bmsy","F.Fmsy","lcl.F.Fmsy","ucl.F.Fmsy"
"callinectes","Crustaceans","Portunidae",2023,1264.62807254264,0.407214893765705,0.207824217947864,0.592264690845712,12.6744486887229,8.71438793514316,24.8345660928311
"acanthurus","Demersal marine fishes","Acanthuridae",2000,186.219215126815,1.50086594740932,1.19264261873145,1.81123107564233,0.00341842348590416,0.0028326564582591,0.00430187159442196
"acanthurus","Demersal marine fishes","Acanthuridae",2001,211.926574029676,1.70805884932795,1.41073033802314,1.91122000477919,0.0610930998619589,0.0545989522876258,0.0739692108686921
"acanthurus","Demersal marine fishes","Acanthuridae",2002,226.947022195229,1.82911874720773,1.57965632558722,1.9518416997321,0.160817408347381,0.15070593917833,0.186214008528854
"acanthurus","Demersal marine fishes","Acanthuridae",2003,232.824660849293,1.87649059173545,1.69353555027046,1.9428512622977,0.165795451358071,0.160132487063378,0.183706568531301
"acanthurus","Demersal marine fishes","Acanthuridae",2004,232.602625088019,1.87470105614442,1.75168649884477,1.91292071425226,0.065636480741787,0.0643250809358973,0.0702458915161936
"acanthurus","Demersal marine fishes","Acanthuridae",2005,232.12089509198,1.87081846998698,1.7839515876162,1.90292118045001,0.0192732138067734,0.0189480703332089,0.0202116944293878
"acanthurus","Demersal marine fishes","Acanthuridae",2006,234.691715868176,1.8915384443315,1.82782095798244,1.92370170383656,0.0427653943677133,0.0420503799379077,0.044256187773893
"acanthurus","Demersal marine fishes","Acanthuridae",2007,238.656425221047,1.92349270455673,1.87595584156719,1.95402719173925,0.0490641071311981,0.0482974098423102,0.0503073953188621
"acanthurus","Demersal marine fishes","Acanthuridae",2008,241.023506026019,1.94257060139207,1.90871101701243,1.96603798399585,0.0253989357013284,0.0250957642739787,0.0258495001916399
"acanthurus","Demersal marine fishes","Acanthuridae",2009,242.154180273614,1.95168346589788,1.92752634360114,1.96743588519093,0.261682940941095,0.259587757337619,0.264962536485026
"acanthurus","Demersal marine fishes","Acanthuridae",2010,237.859792500251,1.91707210546645,1.90016719446908,1.93229623250806,0.304796991314565,0.302395564432079,0.307508629545894
"acanthurus","Demersal marine fishes","Acanthuridae",2011,230.449875489563,1.8573505987095,1.82540990853012,1.88189537715631,0.764702059272178,0.754728368465299,0.778082676656039
"acanthurus","Demersal marine fishes","Acanthuridae",2012,211.593553835991,1.70537481552316,1.62652359588291,1.7573949274223,0.624494734475526,0.606009256077402,0.654769223943095
"acanthurus","Demersal marine fishes","Acanthuridae",2013,194.378569545937,1.5666276744801,1.47149968201872,1.63669631726301,1.48776414671235,1.42407144242648,1.58394358749797
"acanthurus","Demersal marine fishes","Acanthuridae",2014,163.546115704209,1.31812818416378,1.18063697832371,1.42823566708381,0.770941659436708,0.711507178450743,0.860721753008564
"acanthurus","Demersal marine fishes","Acanthuridae",2015,144.573334851779,1.16521377793733,1.01392716255274,1.28508773285605,0.710715167012329,0.644419119114386,0.816759956116393
"acanthurus","Demersal marine fishes","Acanthuridae",2016,130.573826182946,1.05238231837391,0.898033110148794,1.1774967392526,0.394026120184535,0.352159040476732,0.461749257542376
"acanthurus","Demersal marine fishes","Acanthuridae",2017,138.065458734456,1.1127624256545,0.981608070933947,1.23949457311824,1.86133294652093,1.67102092210909,2.11002886574741
"acanthurus","Demersal marine fishes","Acanthuridae",2018,133.477871354131,1.07578797231892,0.954010741972024,1.20340979081739,1.77067982652781,1.58289892166535,1.99670294725279
"acanthurus","Demersal marine fishes","Acanthuridae",2019,117.440256902313,0.946530046964544,0.826895857889036,1.06950580688965,1.87329898004375,1.65790008818755,2.1443253762161
"acanthurus","Demersal marine fishes","Acanthuridae",2020,85.5839114386175,0.689778325168227,0.591250984139774,0.798530951728423,1.09087049437509,0.942303890609103,1.27265550970753
"acanthurus","Demersal marine fishes","Acanthuridae",2021,65.1131835469162,0.524790955898015,0.442393100252701,0.639303245348022,0.404093492163157,0.331712081187742,0.479357860471459
"acanthurus","Demersal marine fishes","Acanthuridae",2022,59.7218084693894,0.48133823670327,0.376894210989461,0.603218504186666,1.01360569074559,0.808806713503776,1.29449368462049
"acanthurus","Demersal marine fishes","Acanthuridae",2023,67.2246319736928,0.541808539401962,0.377394489672922,0.674717254557107,0.551749687307905,0.443063653962748,0.792122567700634
"acanthurus","Demersal marine fishes","Acanthuridae",2024,82.7083127530038,0.666601940589903,0.414949885920338,0.794435835568388,0.41386545611053,0.347269727565877,0.66485984343509
"balistes","Demersal marine fishes","Balistidae",2000,3690.45260851621,0.324782395794942,0.279201966357871,0.365507478288102,1.72178455356573,1.52994219152206,2.00287025068094
"balistes","Demersal marine fishes","Balistidae",2001,3665.75964336615,0.322609263870091,0.271452837792346,0.368256196962973,1.10510046129643,0.968118525259159,1.3133612793323
"balistes","Demersal marine fishes","Balistidae",2002,3767.58419118973,0.331570446711611,0.274268244281961,0.38100446578863,0.601916034316696,0.523819498987154,0.727672898857707
"balistes","Demersal marine fishes","Balistidae",2003,4033.30338412876,0.354955360500312,0.288063498839307,0.417654757932519,1.57718776501469,1.34041631532885,1.94343002137792
"balistes","Demersal marine fishes","Balistidae",2004,4437.64071139317,0.390539517726777,0.309151742402774,0.460058380499048,1.54725913569231,1.31345468806839,1.9545930162165
"balistes","Demersal marine fishes","Balistidae",2005,4780.30452039453,0.420696028227105,0.322003941642168,0.504225057059422,1.06249475089658,0.886483754538328,1.38814239178184
"balistes","Demersal marine fishes","Balistidae",2006,5088.41383137027,0.447811531608589,0.324531411853508,0.548502812897146,1.0104297825263,0.824940361027616,1.39426290327878
"balistes","Demersal marine fishes","Balistidae",2007,5429.81850359908,0.47785723037361,0.334388652324069,0.59623474270122,1.08503073962566,0.869606795737446,1.5505603449882
"balistes","Demersal marine fishes","Balistidae",2008,6052.19655873936,0.532630304920671,0.34271757583831,0.681567726600261,0.720493143751503,0.563049668979835,1.11974555699667
"balistes","Demersal marine fishes","Balistidae",2009,6882.10703486819,0.605667501526432,0.351810796722867,0.808401748603187,0.688972880950721,0.516189486410577,1.18611619459082
"balistes","Demersal marine fishes","Balistidae",2010,7824.27839146384,0.688584342062027,0.367268918857893,0.970323143782366,0.640558628455467,0.454568815093719,1.20096915115713
"balistes","Demersal marine fishes","Balistidae",2011,8901.38855837266,0.783376623024114,0.389543287229536,1.13934407967521,0.550289533752867,0.378361518988823,1.10663941792641
"balistes","Demersal marine fishes","Balistidae",2012,9976.98372478181,0.878035574678361,0.432108141159632,1.33874938536798,0.478621205535147,0.313909720406549,0.972549242251034
"balistes","Demersal marine fishes","Balistidae",2013,11189.3441593181,0.984730706215083,0.486611518503886,1.48594771456629,0.539981095370885,0.357842984766503,1.09273197441404
"balistes","Demersal marine fishes","Balistidae",2014,12253.1010678303,1.07834781878626,0.556751682834006,1.57337784273224,0.641999992709609,0.440008288534806,1.2434615164075
"balistes","Demersal marine fishes","Balistidae",2015,13084.0057754588,1.15147251384348,0.624302367878618,1.57410149636339,0.957933204530211,0.700738648468892,1.76682615967429
"balistes","Demersal marine fishes","Balistidae",2016,13331.5945630553,1.17326184109889,0.680336024847255,1.54829317354019,1.39256043068481,1.0552510614065,2.40151624355559
"balistes","Demersal marine fishes","Balistidae",2017,12420.8726549691,1.09311274433807,0.685352039267773,1.38338906174005,1.26259855399964,0.997667690551083,2.0138009246086
"balistes","Demersal marine fishes","Balistidae",2018,10914.5293300287,0.960545320809887,0.632863546435317,1.17184491618892,1.58821648685487,1.30183942756092,2.41055741553521
"balistes","Demersal marine fishes","Balistidae",2019,9192.14360833912,0.808964845319578,0.568989141479464,0.968507070431354,1.2606551440436,1.0529873500545,1.79234649531422
"balistes","Demersal marine fishes","Balistidae",2020,7895.68711907992,0.694868746739735,0.519401572741162,0.830202015267415,1.23213796639983,1.03128413178678,1.64838577596945
"balistes","Demersal marine fishes","Balistidae",2021,6902.51802392696,0.607463793371979,0.471132321046928,0.737865002968656,1.45709565718308,1.19958644421014,1.87873515714518
"balistes","Demersal marine fishes","Balistidae",2022,6490.70629832431,0.571221843387569,0.445339205006365,0.696814905688085,1.46401788611043,1.20014510141767,1.8778472370166
"balistes","Demersal marine fishes","Balistidae",2023,6106.03303485228,0.537368244015936,0.39155132932776,0.667343358008352,1.91690480161614,1.54355888138964,2.63077581414088
"balistes","Demersal marine fishes","Balistidae",2024,5479.04874436087,0.482189792591935,0.286311640463398,0.61994446620295,2.04379215624913,1.58965160534262,3.44203859238052
"centropomus","Demersal marine fishes","Centropomidae",2000,821.75494776381,0.296651941278902,0.244990477703221,0.362444602971384,1.55689532668719,1.27428030999339,1.88519988760254
"centropomus","Demersal marine fishes","Centropomidae",2001,854.468774564512,0.308461569262888,0.249906070745853,0.363612420930154,1.60287574099397,1.35975983750948,1.97844560128046
"centropomus","Demersal marine fishes","Centropomidae",2002,870.144662552832,0.314120534402873,0.253137082215195,0.384495038602929,1.18594185527372,0.96887775380121,1.47164803390056
"centropomus","Demersal marine fishes","Centropomidae",2003,899.041159335912,0.324552113659179,0.26607500810421,0.397619691720472,1.41256323922828,1.15298712441809,1.72301182375325
"centropomus","Demersal marine fishes","Centropomidae",2004,962.472648412798,0.34745075810796,0.285290662978762,0.413772924765779,1.62434487112396,1.36398450241825,1.97826262874509
"centropomus","Demersal marine fishes","Centropomidae",2005,1033.62986541525,0.373138375343758,0.301505487248549,0.460480733583429,1.49717062822655,1.21319259435994,1.85287445653789
"centropomus","Demersal marine fishes","Centropomidae",2006,1106.56649074601,0.399468355532598,0.31055872941763,0.520913030467941,1.24614952457111,0.955624590310163,1.6029087389095
"centropomus","Demersal marine fishes","Centropomidae",2007,1156.70016062806,0.417566513060479,0.343663493292733,0.636961089051462,1.33056745086054,0.872267427944434,1.61669895607545
"centropomus","Demersal marine fishes","Centropomidae",2008,1229.40863884042,0.443814132582368,0.358887090374026,0.685197134400321,1.23928094917397,0.802703881657156,1.53254439693076
"centropomus","Demersal marine fishes","Centropomidae",2009,1409.16088242077,0.508704343651316,0.384745378328816,0.727137963291406,1.08868258544194,0.761640277403471,1.43943914928213
"centropomus","Demersal marine fishes","Centropomidae",2010,1625.42619838013,0.58677570298444,0.401408844540512,0.759381805009171,0.883010646703726,0.682303933995452,1.29077672305756
"centropomus","Demersal marine fishes","Centropomidae",2011,1900.28970826961,0.686000896598831,0.47301561258953,0.789470272161089,0.702450559947973,0.610386142370582,1.01874378163248
"centropomus","Demersal marine fishes","Centropomidae",2012,2301.60185705398,0.830873803442475,0.52233137652817,1.11499448808523,0.742957242125387,0.553638350822651,1.18182390968535
"centropomus","Demersal marine fishes","Centropomidae",2013,2786.75683880028,1.00601381026302,0.663172768236389,1.35977059707447,0.731312688217415,0.541054987914994,1.10938008797286
"centropomus","Demersal marine fishes","Centropomidae",2014,3176.94475094827,1.14687088927087,0.713536671963222,1.57906873622501,0.78500312008706,0.570144418517808,1.26173925151959
"centropomus","Demersal marine fishes","Centropomidae",2015,3400.16650480317,1.22745350918322,0.793490677327267,1.55154681846164,0.674410684532678,0.533537081517827,1.04324825106782
"centropomus","Demersal marine fishes","Centropomidae",2016,3528.9314443025,1.27393740243519,0.843461020243032,1.57255537987585,0.959187236444867,0.777043856186506,1.44872669526978
"centropomus","Demersal marine fishes","Centropomidae",2017,3379.517887033,1.21999939824307,0.880594965126152,1.55394832674598,0.994620129966209,0.780872786536083,1.37797285709598
"centropomus","Demersal marine fishes","Centropomidae",2018,3126.29669700111,1.12858704009381,0.900438659688731,1.52005426314559,1.13476115121327,0.842520402009206,1.42228092394871
"centropomus","Demersal marine fishes","Centropomidae",2019,2779.78510394969,1.00349702751271,0.757727049391332,1.37308884798791,1.20241567991037,0.878763644750946,1.59242112525083
"centropomus","Demersal marine fishes","Centropomidae",2020,2400.25856350804,0.866488682999235,0.6470200441332,1.2340874531022,1.09407434051223,0.768181405645642,1.46518340970985
"centropomus","Demersal marine fishes","Centropomidae",2021,2231.30801854418,0.805497864166876,0.536557485768682,1.04887292697592,1.5687151001036,1.20471854132315,2.35500705168529
"centropomus","Demersal marine fishes","Centropomidae",2022,1884.57414548697,0.680327608935098,0.499052721911202,0.925380228804063,1.41000321243342,1.03661617597489,1.92216988704517
"centropomus","Demersal marine fishes","Centropomidae",2023,1541.88716011514,0.556618272303531,0.397562096004914,0.804234479063838,1.52806017978319,1.05758487031893,2.1394047012878
"centropomus","Demersal marine fishes","Centropomidae",2024,1170.01953672244,0.422374781980277,0.215988315014613,0.586603332243608,3.35278619674841,2.41412256125745,6.55652292478083
"hypanus","Demersal marine fishes","Dasyatidae",2000,14250.7007792453,1.50207408977457,1.19402021147493,1.81079142071942,0.510745739270242,0.423669966978193,0.642516712906327
"hypanus","Demersal marine fishes","Dasyatidae",2001,14272.1645080809,1.50433644244434,1.21123408998523,1.75597628498099,0.523725381566423,0.448673016863645,0.650459877110168
"hypanus","Demersal marine fishes","Dasyatidae",2002,14272.2191778845,1.50434220483432,1.22747714353448,1.71294409715945,0.364599447074468,0.320198620026725,0.446837107299646
"hypanus","Demersal marine fishes","Dasyatidae",2003,14365.1521588202,1.51413766857407,1.24584308260811,1.6937861056594,0.61036173819278,0.54562479652308,0.741804254609117
"hypanus","Demersal marine fishes","Dasyatidae",2004,14391.2187360532,1.51688517768799,1.25735768942359,1.67514190370231,0.548651893359412,0.49681876079153,0.661897510746421
"hypanus","Demersal marine fishes","Dasyatidae",2005,14365.9760641938,1.51422451110437,1.26358677065313,1.65943516662364,0.709621394374698,0.647525212541148,0.850377776914217
"hypanus","Demersal marine fishes","Dasyatidae",2006,14093.4006167012,1.48549409822645,1.24736445312346,1.62575004154799,0.407828625107419,0.372644625681835,0.485685650386988
"hypanus","Demersal marine fishes","Dasyatidae",2007,14009.0115252107,1.47659919054779,1.2445466770962,1.61428441797151,0.410226420732662,0.375237469959805,0.486715373511335
"hypanus","Demersal marine fishes","Dasyatidae",2008,14024.511747254,1.47823296858283,1.25043108834563,1.61998791132482,0.41495665918689,0.378646414491706,0.490552913999128
"hypanus","Demersal marine fishes","Dasyatidae",2009,14244.3001119955,1.50139943688683,1.27498964435222,1.65191411425386,0.393568269261116,0.357708171839227,0.463457237054959
