"recorded_taxa_group","estimated_genus_name","estimated_taxa_group","Major_Functional_Group"
"OTRAS","Ablennes","OTRAS","Pelagic marine fishes"
"OSTION","NEI","OSTION","Molluscs excl. Cephalopods"
"OSTION","Crassostrea","OSTION","Molluscs excl. Cephalopods"
"OTRAS","Ethmidium","OTRAS",NA
"OTRAS","Rana","OTRAS",NA
"ATUN","NEI","ATUN","Pelagic marine fishes"
"JUREL",NA,"JUREL","Pelagic marine fishes"
"OTRAS","Eucinostomus","MOJARRA","Demersal marine fishes"
"CARACOL","Hexaplex","CARACOL","Molluscs excl. Cephalopods"
"CARACOL",NA,"CARACOL","Molluscs excl. Cephalopods"
"RUBIO","Lutjanus","GUACHINANGO","Demersal marine fishes"
"ALGAS",NA,"ALGAS","Marine algae"
"ERIZO","Mesocentrotus","ERIZO","Other marine invertebrates"
"PARGO","Mycteroperca","CABRILLA","Demersal marine fishes"
"BAGRE","NEI","BAGRE","Marine fishes NEI"
"OTRAS","Makaira","OTRAS",NA
"OTRAS","Tetrapturus","OTRAS",NA
"OTRAS","Anguilla","OTRAS","Diadromous fishes"
"OTRAS","Stereolepis","OTRAS","Demersal marine fishes"
"OTRAS","Selar","OTRAS","Pelagic marine fishes"
"OTRAS","Micropogonias","BERRUGATA","Demersal marine fishes"
"CHARAL","NEI","CHARAL","Marine fishes NEI"
"SARGAZO",NA,"SARGAZO","Marine algae"
"PECES DE ORNATO",NA,"PECES DE ORNATO",NA
"ERIZO","Strongylocentrotus","ERIZO","Other marine invertebrates"
"TIBURON","Prionace","TIBURON","Sharks"
"MOJARRA","Haemulon","OTRAS","Marine fishes NEI"
"BERRUGATA","NEI","BERRUGATA","Demersal marine fishes"
"LEBRANCHA",NA,"LEBRANCHA","Demersal marine fishes"
"CAZON",NA,"CAZON","Sharks"
"OTRAS","Nicholsina","OTRAS","Demersal marine fishes"
"TRUCHA",NA,"TRUCHA","Marine fishes NEI"
"CABRILLA","Epinephelus","MERO","Demersal marine fishes"
"OTRAS","Scomberomorus","SIERRA","Pelagic marine fishes"
"OTRAS","Pagurus","OTRAS",NA
"TIBURON","Alopias","TIBURON","Sharks"
"RAYA Y SIMILARES","Urotrygon","RAYA Y SIMILARES","Demersal marine fishes"
"CINTILLA","NEI","CINTILLA","Demersal marine fishes"
"TRUCHA","NEI","TRUCHA","Marine fishes NEI"
"CABRILLA",NA,"CABRILLA","Demersal marine fishes"
"OTRAS","Kyphosus","OTRAS","Demersal marine fishes"
"BAGRE",NA,"BAGRE","Marine fishes NEI"
"OTRAS","Hemicaranx","OTRAS","Pelagic marine fishes"
"PETO",NA,"PETO","Sharks"
"OTRAS","Helicolenus","OTRAS",NA
"PETO","Acanthocybium","PETO","Sharks"
"OTRAS","Mulloidichthys","LENGUADO","Demersal marine fishes"
"PAMPANO",NA,"PAMPANO","Pelagic marine fishes"
"OTRAS","Elops","OTRAS","Demersal marine fishes"
"TIBURON","Triakis","TIBURON","Sharks"
"RUBIO","Haemulon","OTRAS","Demersal marine fishes"
"OTRAS","Paranthias","OTRAS","Demersal marine fishes"
"OTRAS","Sphyraena","OTRAS","Pelagic marine fishes"
"OTRAS","Fistularia","OTRAS","Demersal marine fishes"
"PULPO","Octopus","PULPO","Cephalopods"
"OTRAS","Bathystoma","OTRAS",NA
"RUBIA Y VILLAJAIBA","Lutjanus","GUACHINANGO","Demersal marine fishes"
"TIBURON","Rhizoprionodon","CAZON","Sharks"
"CARPA","Cyprinus","CARPA","Demersal marine fishes"
"BARRILETE","Euthynnus","BARRILETE","Pelagic marine fishes"
"SARDINA","Harengula","SARDINA","Pelagic marine fishes"
"CAZON","Negaprion","TIBURON","Sharks"
"RONCO","Lutjanus","GUACHINANGO","Demersal marine fishes"
"BANDERA","Bagre","BANDERA","Demersal marine fishes"
"CORVINA","Larimus","CORVINA","Demersal marine fishes"
"BANDERA","Ariopsis","BANDERA","Demersal marine fishes"
"TIBURON","Isurus","TIBURON","Sharks"
"OTRAS","Bathygobius","OTRAS","Demersal marine fishes"
"OTRAS","Callinectes","JAIBA","Crustaceans"
"MOJARRA","Anisotremus","MOJARRA","Marine fishes NEI"
