"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Source","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment","st_b_source","end_b_source"
"goc","orthopristis","haemulidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2014,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.1,0.3,0.5,0.8,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","xenichthys","haemulidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2023,2013,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Reference"
"goc","haemulopsis","haemulidae","demersal marine fishes","ronco","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.1,0.3,0.5,0.8,NA,NA,"medium","best","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","haemulon","haemulidae","demersal marine fishes","rubio","CONAPESCA",TRUE,2000,2024,2008,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.5,0.8,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","lutjanus","lutjanidae","demersal marine fishes","guachinango","CONAPESCA",TRUE,2000,2024,2014,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.1,0.3,0.3,0.5,NA,NA,"medium","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","hoplopagrus","lutjanidae","demersal marine fishes","pargo","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,"low","best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","caulolatilus","malacanthidae","demersal marine fishes","pierna","CONAPESCA",TRUE,2000,2024,2014,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.65,NA,NA,"low","ferrer et al_2022","No, missing biomass priors","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level",NA,"Expert Opinion"
"goc","merluccius","merlucciidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2014,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.8,0.6,0.9,0.2,0.4,NA,NA,"medium","best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","mugil","mugilidae","demersal marine fishes","lisa","CONAPESCA",TRUE,2000,2024,2008,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.1,0.3,0.1,0.3,NA,NA,"medium","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","aetobatus","myliobatidae","demersal marine fishes","raya y similares","CONAPESCA",TRUE,2000,2024,2014,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.07,0.25,NA,NA,"low","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
