"year","Stock","Major_Functional_Group","estimated_taxa_group","new_estimated_family_name","total_biomass_kg","total_revenue"
2002,"Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL","Carangidae",388857.2,3269519
2002,"Sphoeroides","Demersal marine fishes","OTRAS","Tetraodontidae",318230.35,5452172
2002,"Sphyrna","Sharks","TIBURON","Sphyrnidae",461.25,2880
2002,"Squatina","Sharks","TIBURON","Squatinidae",394110.1,3363732
2002,"Stereolepis","Demersal marine fishes","OTRAS","Polyprionidae",111.9,2082
2002,"Synodus","Demersal marine fishes","OTRAS","Synodontidae",15197,81146
2002,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)","ATUN","Scombridae",694286,4285383
2002,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO","Carangidae",132216.8,713481
2002,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Xiphiidae",5902,101566
2003,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae",1387.35,9781
2003,"Acanthurus","Demersal marine fishes","OTRAS","Acanthuridae",10915,127458
2003,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES","Myliobatidae",4239.3,22811
2003,"Alopias","Sharks","TIBURON","Alopiidae",42254.4,322938
2003,"Anisotremus","Demersal marine fishes","MOJARRA","Haemulidae",44411.45,383416
2003,"Anoplopoma","Demersal marine fishes","OTRAS","Anoplopomatidae",30469.75,285778
2003,"Argopecten","Molluscs excl. Cephalopods","ALMEJA","Pectinidae",469438,1414014
2003,"Balistes","Demersal marine fishes","CARPA","Balistidae",1175820.1,10818306
2003,"Brotula","Demersal marine fishes","LENGUADO","Ophidiidae",180127,2014958
2003,"Calamus","Demersal marine fishes","MOJARRA","Sparidae",23471,125409
2003,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae",49749.7,2551519
2003,"Carcharhinus","Sharks","TIBURON","Carcharhinidae",118485.8,481929
2003,"Caulolatilus","Demersal marine fishes","PIERNA","Malacanthidae",397563.75,2428671
2003,"Centropomus","Demersal marine fishes","ROBALO","Centropomidae",388163.1,9470575
2003,"Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA","Engraulidae",19058316.28,3224500
2003,"Chanos","Diadromous fishes","OTRAS","Chanidae",37411,205421
2003,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Coryphaenidae",339795.65,3266647
2003,"Cynoscion","Demersal marine fishes","CORVINA","Sciaenidae",3784709.1,36921030
2003,"Diapterus","Demersal marine fishes","MOJARRA","Gerreidae",20046,222441
2003,"Diplectrum","Demersal marine fishes","OTRAS","Serranidae",12358.8,287147
2003,"Dosidicus","Cephalopods","CALAMAR","Ommastrephidae",72901686.2,58931885
2003,"Dosinia","Molluscs excl. Cephalopods","ALMEJA","Veneridae",195877,671428
2003,"Epinephelus","Demersal marine fishes","MERO","Serranidae",35657.2,623372
2003,"Especies","Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea",190918,1167607
2003,"Etrumeus","Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae",8032614.88,3596404
2003,"Eucinostomus","Demersal marine fishes","MOJARRA","Gerreidae",57630,453739
2003,"Eugerres","Demersal marine fishes","MOJARRA","Gerreidae",31237,246050
2003,"Farfantepenaeus","Shrimps, prawns","CAMARON","Penaeidae",5757,281579
2003,"Galeocerdo","Sharks","TIBURON","Carcharhinidae",1044,4503
2003,"Gerres","Demersal marine fishes","BANDERA","Gerreidae",121955.8,463207
2003,"Haemulon","Demersal marine fishes","RUBIO","Haemulidae",439576.4,2319031
2003,"Haemulopsis","Demersal marine fishes","RONCO","Haemulidae",115243.7,625924
