"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2024,"region_6","megapitaria","unclear",10372,"decreased",NA,"Within region variation in status, took most conservative",NA
2019,"region_6","mugil","deteriorating",62194,"increased","decrease",NA,0.4
2020,"region_6","mugil","deteriorating",50410,"similar","decrease",NA,0.5
2021,"region_6","mugil","deteriorating",46651,"similar","decrease",NA,0.5
2022,"region_6","mugil","deteriorating",54611,"similar","decrease",NA,0.5
2023,"region_6","mugil","deteriorating",3675,"decreased","decrease",NA,0.6
2019,"region_6","mustelus","maximally harvested",274241.15,"decreased","no increase",NA,0.8
2020,"region_6","mustelus","maximally harvested",300207.5,"similar","no increase",NA,0.7
2021,"region_6","mustelus","maximally harvested",347341.5,"similar","no increase",NA,0.7
2022,"region_6","mustelus","maximally harvested",359857,"similar","no increase",NA,0.7
2023,"region_6","mustelus","maximally harvested",265614,"decreased","no increase",NA,0.8
2024,"region_6","mustelus","maximally harvested",367840.5,"increased","no increase",NA,0.6
2020,"region_6","negaprion","maximally harvested",625,NA,"no increase",NA,NA
2022,"region_6","negaprion","maximally harvested",200,"decreased","no increase",NA,0.8
2023,"region_6","negaprion","maximally harvested",6003,"increased","no increase",NA,0.6
2024,"region_6","negaprion","maximally harvested",3712.5,"decreased","no increase",NA,0.8
2020,"region_6","octopus","maximally harvested",780,"decreased","no increase",NA,0.8
2022,"region_6","octopus","maximally harvested",55,"decreased","no increase",NA,0.8
2019,"region_6","panopea","maximally harvested",292894,"increased","no increase","Only in Baja California",0.6
2020,"region_6","panopea","maximally harvested",101169,"decreased","no increase","Only in Baja California",0.8
2021,"region_6","panopea","maximally harvested",180381,"increased","no increase","Only in Baja California",0.6
2022,"region_6","panopea","maximally harvested",183698,"similar","no increase","Only in Baja California",0.7
2023,"region_6","panopea","maximally harvested",84533,"decreased","no increase","Only in Baja California",0.8
2024,"region_6","panopea","maximally harvested",19864,"decreased","no increase","Only in Baja California",0.8
2019,"region_6","panulirus","development potential",18190,"decreased","increase",NA,1
2020,"region_6","panulirus","development potential",11310,"decreased","increase",NA,1
2021,"region_6","panulirus","development potential",7420,"decreased","increase",NA,1
2022,"region_6","panulirus","development potential",15150,"increased","increase",NA,0.9
2023,"region_6","panulirus","development potential",18353,"increased","increase",NA,0.9
2024,"region_6","panulirus","development potential",23760,"increased","increase",NA,0.9
2019,"region_6","paralabrax",NA,441095.5,"increased",NA,NA,NA
2020,"region_6","paralabrax",NA,657887.9,"increased",NA,NA,NA
2021,"region_6","paralabrax",NA,749640,"similar",NA,NA,NA
2022,"region_6","paralabrax",NA,691532.7,"similar",NA,NA,NA
2023,"region_6","paralabrax",NA,656290,"similar",NA,NA,NA
2024,"region_6","paralabrax",NA,679687.1,"similar",NA,NA,NA
2022,"region_6","prionace","maximally harvested",1000,NA,"no increase",NA,NA
2024,"region_6","prionace","maximally harvested",9870,"increased","no increase",NA,0.6
2019,"region_6","rhizoprionodon","maximally harvested",227074.15,"increased","no increase",NA,0.6
2020,"region_6","rhizoprionodon","maximally harvested",290693.9,"increased","no increase",NA,0.6
2021,"region_6","rhizoprionodon","maximally harvested",431008.6,"increased","no increase",NA,0.6
2022,"region_6","rhizoprionodon","maximally harvested",334360.75,"decreased","no increase",NA,0.8
2019,"region_6","scomberomorus","maximally harvested",736886,"increased","no increase",NA,0.6
2020,"region_6","scomberomorus","maximally harvested",913006.6,"increased","no increase",NA,0.6
2021,"region_6","scomberomorus","maximally harvested",684147,"decreased","no increase",NA,0.8
2022,"region_6","scomberomorus","maximally harvested",517699,"decreased","no increase",NA,0.8
2023,"region_6","scomberomorus","maximally harvested",550337,"similar","no increase",NA,0.7
2024,"region_6","scomberomorus","maximally harvested",536075,"similar","no increase",NA,0.7
2019,"region_6","sphoeroides","maximally harvested",17073.5,"similar","no increase","Seems they might lump these Botetes into one species?",0.7
2020,"region_6","sphoeroides","maximally harvested",31156.05,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2021,"region_6","sphoeroides","maximally harvested",24658.7,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2022,"region_6","sphoeroides","maximally harvested",13250,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2023,"region_6","sphoeroides","maximally harvested",13352,"similar","no increase","Seems they might lump these Botetes into one species?",0.7
2024,"region_6","sphoeroides","maximally harvested",6146,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2024,"region_6","sphyrna","maximally harvested",8104,NA,"no increase",NA,NA
2019,"region_7","alopias","maximally harvested",42125,NA,"no increase",NA,NA
2020,"region_7","alopias","maximally harvested",56625,"increased","no increase",NA,0.6
2021,"region_7","alopias","maximally harvested",40625,"decreased","no increase",NA,0.8
2022,"region_7","alopias","maximally harvested",133139,"increased","no increase",NA,0.6
2023,"region_7","alopias","maximally harvested",278008,"increased","no increase",NA,0.6
2024,"region_7","alopias","maximally harvested",251375,"similar","no increase",NA,0.7
2019,"region_7","argopecten","unclear",525018,"decreased",NA,NA,NA
2020,"region_7","argopecten","unclear",322593,"decreased",NA,NA,NA
2021,"region_7","argopecten","unclear",433021,"increased",NA,NA,NA
2022,"region_7","argopecten","unclear",1542807,"increased",NA,NA,NA
2023,"region_7","argopecten","unclear",131274,"decreased",NA,NA,NA
2024,"region_7","argopecten","unclear",50581,"decreased",NA,NA,NA
2019,"region_7","callinectes","maximally harvested",65747,"increased","no increase",NA,0.6
2020,"region_7","callinectes","maximally harvested",2983,"decreased","no increase",NA,0.8
2021,"region_7","callinectes","maximally harvested",783,"decreased","no increase",NA,0.8
2022,"region_7","callinectes","maximally harvested",2400,"increased","no increase",NA,0.6
2023,"region_7","callinectes","maximally harvested",20100,"increased","no increase",NA,0.6
2019,"region_7","carcharhinus","maximally harvested",55238,"increased","no increase",NA,0.6
2020,"region_7","carcharhinus","maximally harvested",210188,"increased","no increase",NA,0.6
2021,"region_7","carcharhinus","maximally harvested",79165,"decreased","no increase",NA,0.8
2022,"region_7","carcharhinus","maximally harvested",333285,"increased","no increase",NA,0.6
2023,"region_7","carcharhinus","maximally harvested",154397,"decreased","no increase",NA,0.8
2024,"region_7","carcharhinus","maximally harvested",117770,"decreased","no increase",NA,0.8
2019,"region_7","centropomus","maximally harvested",9657,"increased","no increase",NA,0.6
2020,"region_7","centropomus","maximally harvested",11281.9,"similar","no increase",NA,0.7
2021,"region_7","centropomus","maximally harvested",8523,"decreased","no increase",NA,0.8
2022,"region_7","centropomus","maximally harvested",24507.5,"increased","no increase",NA,0.6
2023,"region_7","centropomus","maximally harvested",10354,"decreased","no increase",NA,0.8
2024,"region_7","centropomus","maximally harvested",9108.7,"similar","no increase",NA,0.7
2019,"region_7","chione","maximally harvested",56330,"increased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.6
2020,"region_7","chione","maximally harvested",27085,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2022,"region_7","chione","maximally harvested",20700,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2023,"region_7","chione","maximally harvested",243,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2019,"region_7","cynoscion","maximally harvested",155110.2,"decreased","no increase",NA,0.8
2020,"region_7","cynoscion","maximally harvested",414168.6,"increased","no increase",NA,0.6
2021,"region_7","cynoscion","maximally harvested",402527.4,"similar","no increase",NA,0.7
2022,"region_7","cynoscion","maximally harvested",288867.8,"decreased","no increase",NA,0.8
2023,"region_7","cynoscion","maximally harvested",226684,"decreased","no increase",NA,0.8
2024,"region_7","cynoscion","maximally harvested",407812.3,"increased","no increase",NA,0.6
2019,"region_7","dosinia","maximally harvested",66037,"decreased","no increase","highly variable catch",0.8
2020,"region_7","dosinia","maximally harvested",39234,"decreased","no increase","highly variable catch",0.8
2021,"region_7","dosinia","maximally harvested",121011,"increased","no increase","highly variable catch",0.6
2022,"region_7","dosinia","maximally harvested",273711,"increased","no increase","highly variable catch",0.6
2023,"region_7","dosinia","maximally harvested",354461,"increased","no increase","highly variable catch",0.6
2024,"region_7","dosinia","maximally harvested",298409,"similar","no increase","highly variable catch",0.7
2021,"region_7","haliotis",NA,119,NA,NA,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",NA
2019,"region_7","hoplopagrus","maximally harvested",490,"similar","no increase",NA,0.7
2020,"region_7","hoplopagrus","maximally harvested",1830,"increased","no increase",NA,0.6
2021,"region_7","hoplopagrus","maximally harvested",1848,"similar","no increase",NA,0.7
2022,"region_7","hoplopagrus","maximally harvested",4148.4,"increased","no increase",NA,0.6
2023,"region_7","hoplopagrus","maximally harvested",3079,"decreased","no increase",NA,0.8
2024,"region_7","hoplopagrus","maximally harvested",3344,"similar","no increase",NA,0.7
2019,"region_7","isurus","maximally harvested",625,"decreased","no increase",NA,0.8
2020,"region_7","isurus","maximally harvested",881.25,"increased","no increase",NA,0.6
2022,"region_7","isurus","maximally harvested",282282.5,"increased","no increase",NA,0.6
2019,"region_7","lutjanus","maximally harvested",514763.15,"similar","no increase",NA,0.7
2020,"region_7","lutjanus","maximally harvested",552144.95,"similar","no increase",NA,0.7
2021,"region_7","lutjanus","maximally harvested",406982.6,"decreased","no increase",NA,0.8
2022,"region_7","lutjanus","maximally harvested",290040.15,"decreased","no increase",NA,0.8
2023,"region_7","lutjanus","maximally harvested",296564,"similar","no increase",NA,0.7
2024,"region_7","lutjanus","maximally harvested",235602.55,"decreased","no increase",NA,0.8
2019,"region_7","megapitaria","unclear",96851,"increased",NA,"Within region variation in status, took most conservative",NA
2020,"region_7","megapitaria","unclear",129832,"increased",NA,"Within region variation in status, took most conservative",NA
2021,"region_7","megapitaria","unclear",138919,"similar",NA,"Within region variation in status, took most conservative",NA
2022,"region_7","megapitaria","unclear",115746,"similar",NA,"Within region variation in status, took most conservative",NA
2023,"region_7","megapitaria","unclear",94353,"similar",NA,"Within region variation in status, took most conservative",NA
2019,"region_7","mugil","deteriorating",67608,"similar","decrease",NA,0.5
2020,"region_7","mugil","deteriorating",56345,"similar","decrease",NA,0.5
2021,"region_7","mugil","deteriorating",59816,"similar","decrease",NA,0.5
2022,"region_7","mugil","deteriorating",90045,"increased","decrease",NA,0.4
2024,"region_7","mugil","deteriorating",1300,"decreased","decrease",NA,0.6
2019,"region_7","mustelus","maximally harvested",117.5,"decreased","no increase",NA,0.8
2020,"region_7","mustelus","maximally harvested",3679.25,"increased","no increase",NA,0.6
2021,"region_7","mustelus","maximally harvested",50301.25,"increased","no increase",NA,0.6
2022,"region_7","mustelus","maximally harvested",52897.5,"similar","no increase",NA,0.7
2023,"region_7","mustelus","maximally harvested",69000,"increased","no increase",NA,0.6
2024,"region_7","mustelus","maximally harvested",173488.4,"increased","no increase",NA,0.6
2019,"region_7","nasolamia","maximally harvested",1875,NA,"no increase",NA,NA
2023,"region_7","negaprion","maximally harvested",1071,"increased","no increase",NA,0.6
2019,"region_7","panopea","maximally harvested",22734,"decreased","no increase","Only in Baja California",0.8
2020,"region_7","panopea","maximally harvested",363887,"increased","no increase","Only in Baja California",0.6
2021,"region_7","panopea","maximally harvested",52684,"decreased","no increase","Only in Baja California",0.8
2022,"region_7","panopea","maximally harvested",100805,"increased","no increase","Only in Baja California",0.6
2023,"region_7","panopea","maximally harvested",34648,"decreased","no increase","Only in Baja California",0.8
2024,"region_7","panopea","maximally harvested",258169.15,"increased","no increase","Only in Baja California",0.6
2019,"region_7","panulirus","development potential",4234,"decreased","increase",NA,1
2020,"region_7","panulirus","development potential",2300,"decreased","increase",NA,1
2021,"region_7","panulirus","development potential",3741,"increased","increase",NA,0.9
2022,"region_7","panulirus","development potential",4476,"similar","increase",NA,1
2023,"region_7","panulirus","development potential",4533,"similar","increase",NA,1
2024,"region_7","panulirus","development potential",5470,"increased","increase",NA,0.9
2019,"region_7","paralabrax",NA,54592.6,"similar",NA,NA,NA
2020,"region_7","paralabrax",NA,68130.2,"increased",NA,NA,NA
2021,"region_7","paralabrax",NA,80846.9,"similar",NA,NA,NA
2022,"region_7","paralabrax",NA,74115.6,"similar",NA,NA,NA
2023,"region_7","paralabrax",NA,44401,"decreased",NA,NA,NA
2024,"region_7","paralabrax",NA,73418.8,"increased",NA,NA,NA
2022,"region_7","prionace","maximally harvested",2500,"decreased","no increase",NA,0.8
2023,"region_7","prionace","maximally harvested",12830,"increased","no increase",NA,0.6
2024,"region_7","prionace","maximally harvested",73120,"increased","no increase",NA,0.6
2019,"region_7","rhizoprionodon","maximally harvested",99961.5,"increased","no increase",NA,0.6
2020,"region_7","rhizoprionodon","maximally harvested",196288.9,"increased","no increase",NA,0.6
2021,"region_7","rhizoprionodon","maximally harvested",155896,"decreased","no increase",NA,0.8
2022,"region_7","rhizoprionodon","maximally harvested",124602.5,"decreased","no increase",NA,0.8
2019,"region_7","scomberomorus","maximally harvested",852219.9,"similar","no increase",NA,0.7
2020,"region_7","scomberomorus","maximally harvested",764243.3,"similar","no increase",NA,0.7
2021,"region_7","scomberomorus","maximally harvested",858756.09,"similar","no increase",NA,0.7
2022,"region_7","scomberomorus","maximally harvested",770708.5,"similar","no increase",NA,0.7
2023,"region_7","scomberomorus","maximally harvested",630927,"similar","no increase",NA,0.7
2024,"region_7","scomberomorus","maximally harvested",641536,"similar","no increase",NA,0.7
2019,"region_7","sphoeroides","maximally harvested",75964.5,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2020,"region_7","sphoeroides","maximally harvested",66739,"similar","no increase","Seems they might lump these Botetes into one species?",0.7
2021,"region_7","sphoeroides","maximally harvested",29246.85,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2022,"region_7","sphoeroides","maximally harvested",44330.1,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2023,"region_7","sphoeroides","maximally harvested",22208,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2024,"region_7","sphoeroides","maximally harvested",16493,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2019,"region_7","sphyrna","maximally harvested",67625,"increased","no increase",NA,0.6
2020,"region_7","sphyrna","maximally harvested",85750,"increased","no increase",NA,0.6
2021,"region_7","sphyrna","maximally harvested",51474,"decreased","no increase",NA,0.8
2022,"region_7","sphyrna","maximally harvested",54350,"similar","no increase",NA,0.7
2023,"region_7","thunnus","deteriorating",50,"decreased","no increase","recovery phase",0.6
2019,"region_8","alopias","maximally harvested",615847.85,"similar","no increase",NA,0.7
2020,"region_8","alopias","maximally harvested",888356.55,"increased","no increase",NA,0.6
2021,"region_8","alopias","maximally harvested",632650.5,"decreased","no increase",NA,0.8
2022,"region_8","alopias","maximally harvested",801424.55,"increased","no increase",NA,0.6
2023,"region_8","alopias","maximally harvested",1329739,"increased","no increase",NA,0.6
2024,"region_8","alopias","maximally harvested",608579.7,"decreased","no increase",NA,0.8
2021,"region_8","argopecten",NA,4662,"increased",NA,NA,NA
2022,"region_8","argopecten",NA,11050,"increased",NA,NA,NA
2019,"region_8","callinectes","maximally harvested",1317623,"increased","no increase",NA,0.6
2020,"region_8","callinectes","maximally harvested",1575350,"similar","no increase",NA,0.7
2021,"region_8","callinectes","maximally harvested",2258524,"increased","no increase",NA,0.6
2022,"region_8","callinectes","maximally harvested",2336725,"similar","no increase",NA,0.7
2023,"region_8","callinectes","maximally harvested",3667901,"increased","no increase",NA,0.6
2019,"region_8","carcharhinus","maximally harvested",623853.8,"increased","no increase",NA,0.6
2020,"region_8","carcharhinus","maximally harvested",2315411.35,"increased","no increase",NA,0.6
2021,"region_8","carcharhinus","maximally harvested",2526067.4,"similar","no increase",NA,0.7
2022,"region_8","carcharhinus","maximally harvested",1287808.45,"decreased","no increase",NA,0.8
2023,"region_8","carcharhinus","maximally harvested",2189769,"increased","no increase",NA,0.6
2024,"region_8","carcharhinus","maximally harvested",6547190.15,"increased","no increase",NA,0.6
2019,"region_8","centropomus","maximally harvested",645290.771,"increased","no increase",NA,0.6
2020,"region_8","centropomus","maximally harvested",498500.1,"decreased","no increase",NA,0.8
2021,"region_8","centropomus","maximally harvested",486555.48,"similar","no increase",NA,0.7
2022,"region_8","centropomus","maximally harvested",621202.79,"increased","no increase",NA,0.6
2023,"region_8","centropomus","maximally harvested",582696,"similar","no increase",NA,0.7
2024,"region_8","centropomus","maximally harvested",850850.463,"increased","no increase",NA,0.6
2019,"region_8","chione","maximally harvested",164090,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2021,"region_8","chione","maximally harvested",7000,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2022,"region_8","chione","maximally harvested",10750,"increased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.6
2023,"region_8","chione","maximally harvested",1350,"decreased","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions",0.8
2019,"region_8","cynoscion",NA,1646715.27,"increased",NA,NA,NA
2020,"region_8","cynoscion",NA,1512858.791,"similar",NA,NA,NA
2021,"region_8","cynoscion",NA,2270779.7,"increased",NA,NA,NA
2022,"region_8","cynoscion",NA,1779280.75,"decreased",NA,NA,NA
2023,"region_8","cynoscion",NA,2376399,"increased",NA,NA,NA
2024,"region_8","cynoscion",NA,3170729.452,"increased",NA,NA,NA
2019,"region_8","dosinia","unclear",524193,"increased",NA,"capture records are recent in this area, no pattern available",NA
2020,"region_8","dosinia","unclear",910199,"increased",NA,"capture records are recent in this area, no pattern available",NA
2021,"region_8","dosinia","unclear",591350,"decreased",NA,"capture records are recent in this area, no pattern available",NA
2022,"region_8","dosinia","unclear",605428,"similar",NA,"capture records are recent in this area, no pattern available",NA
2023,"region_8","dosinia","unclear",568760,"similar",NA,"capture records are recent in this area, no pattern available",NA
2024,"region_8","dosinia","unclear",967135,"increased",NA,"capture records are recent in this area, no pattern available",NA
2019,"region_8","galeocerdo","maximally harvested",95,"increased","no increase",NA,0.6
2023,"region_8","galeocerdo","maximally harvested",550,"increased","no increase",NA,0.6
2024,"region_8","galeocerdo","maximally harvested",29381.25,"increased","no increase",NA,0.6
2020,"region_8","galeorhinus","maximally harvested",1917.5,NA,"no increase",NA,NA
2020,"region_8","haliotis",NA,2525,"increased",NA,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",NA
2022,"region_8","haliotis",NA,130,"decreased",NA,"specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",NA
2019,"region_8","hoplopagrus","maximally harvested",17390.6,"increased","no increase",NA,0.6
2020,"region_8","hoplopagrus","maximally harvested",19230.3,"similar","no increase",NA,0.7
2021,"region_8","hoplopagrus","maximally harvested",18684.4,"similar","no increase",NA,0.7
2022,"region_8","hoplopagrus","maximally harvested",25325.5,"increased","no increase",NA,0.6
2023,"region_8","hoplopagrus","maximally harvested",20961,"similar","no increase",NA,0.7
2024,"region_8","hoplopagrus","maximally harvested",28856.75,"increased","no increase",NA,0.6
2019,"region_8","isurus","maximally harvested",502345.6,"increased","no increase",NA,0.6
2020,"region_8","isurus","maximally harvested",521777.15,"similar","no increase",NA,0.7
2021,"region_8","isurus","maximally harvested",589426.95,"similar","no increase",NA,0.7
2022,"region_8","isurus","maximally harvested",446387.35,"decreased","no increase",NA,0.8
2023,"region_8","isurus","maximally harvested",719786,"increased","no increase",NA,0.6
2024,"region_8","isurus","maximally harvested",747663.125,"similar","no increase",NA,0.7
2019,"region_8","lutjanus","maximally harvested",2654454.003,"similar","no increase",NA,0.7
2020,"region_8","lutjanus","maximally harvested",2072990.22,"decreased","no increase",NA,0.8
2021,"region_8","lutjanus","maximally harvested",1918291.25,"similar","no increase",NA,0.7
2022,"region_8","lutjanus","maximally harvested",1653133.3,"similar","no increase",NA,0.7
2023,"region_8","lutjanus","maximally harvested",1933857,"similar","no increase",NA,0.7
2024,"region_8","lutjanus","maximally harvested",2370483.2135,"increased","no increase",NA,0.6
2019,"region_8","macrobrachium","maximally harvested",80,"decreased","no increase",NA,0.8
2019,"region_8","megapitaria","maximally harvested",4640,"decreased","no increase","Within region variation in status, took most conservative",0.8
2020,"region_8","megapitaria","maximally harvested",40858,"increased","no increase","Within region variation in status, took most conservative",0.6
2021,"region_8","megapitaria","maximally harvested",134392,"increased","no increase","Within region variation in status, took most conservative",0.6
2022,"region_8","megapitaria","maximally harvested",545576,"increased","no increase","Within region variation in status, took most conservative",0.6
2023,"region_8","megapitaria","maximally harvested",330308,"decreased","no increase","Within region variation in status, took most conservative",0.8
2024,"region_8","megapitaria","maximally harvested",29481,"decreased","no increase","Within region variation in status, took most conservative",0.8
2019,"region_8","mugil","maximally harvested",3235176.83,"similar","no increase",NA,0.7
2020,"region_8","mugil","maximally harvested",2067394,"decreased","no increase",NA,0.8
2021,"region_8","mugil","maximally harvested",1288051,"decreased","no increase",NA,0.8
2022,"region_8","mugil","maximally harvested",1897665.3,"increased","no increase",NA,0.6
2023,"region_8","mugil","maximally harvested",277157,"decreased","no increase",NA,0.8
2024,"region_8","mugil","maximally harvested",265404.5,"similar","no increase",NA,0.7
2020,"region_8","mustelus","maximally harvested",7042,"increased","no increase",NA,0.6
2021,"region_8","mustelus","maximally harvested",4392.5,"decreased","no increase",NA,0.8
2022,"region_8","mustelus","maximally harvested",2925,"decreased","no increase",NA,0.8
2023,"region_8","mustelus","maximally harvested",7408,"increased","no increase",NA,0.6
2024,"region_8","mustelus","maximally harvested",12000,"increased","no increase",NA,0.6
2021,"region_8","nasolamia","maximally harvested",7000,"increased","no increase",NA,0.6
2024,"region_8","nasolamia","maximally harvested",11000,"increased","no increase",NA,0.6
2019,"region_8","negaprion","maximally harvested",8250,"increased","no increase",NA,0.6
2020,"region_8","negaprion","maximally harvested",9028.75,"similar","no increase",NA,0.7
2021,"region_8","negaprion","maximally harvested",9493.75,"similar","no increase",NA,0.7
2022,"region_8","negaprion","maximally harvested",13273.2,"increased","no increase",NA,0.6
2023,"region_8","negaprion","maximally harvested",5920,"decreased","no increase",NA,0.8
2024,"region_8","negaprion","maximally harvested",69906.6,"increased","no increase",NA,0.6
2021,"region_8","panopea",NA,300,"decreased",NA,"Only in Baja California",NA
2022,"region_8","panopea",NA,710,"increased",NA,"Only in Baja California",NA
2019,"region_8","panulirus","maximally harvested",28124.9,"increased","no increase",NA,0.6
2020,"region_8","panulirus","maximally harvested",22908.3,"similar","no increase",NA,0.7
2021,"region_8","panulirus","maximally harvested",16431,"decreased","no increase",NA,0.8
2022,"region_8","panulirus","maximally harvested",31118,"increased","no increase",NA,0.6
2023,"region_8","panulirus","maximally harvested",20660,"decreased","no increase",NA,0.8
2024,"region_8","panulirus","maximally harvested",19395.3,"similar","no increase",NA,0.7
2019,"region_8","paralabrax",NA,2448,"decreased",NA,NA,NA
2020,"region_8","paralabrax",NA,3101.4,"increased",NA,NA,NA
2021,"region_8","paralabrax",NA,5352,"increased",NA,NA,NA
2022,"region_8","paralabrax",NA,29685,"increased",NA,NA,NA
2023,"region_8","paralabrax",NA,132005,"increased",NA,NA,NA
2024,"region_8","paralabrax",NA,74336.5,"decreased",NA,NA,NA
2019,"region_8","prionace","maximally harvested",1037388.5,"similar","no increase",NA,0.7
2020,"region_8","prionace","maximally harvested",872302.55,"similar","no increase",NA,0.7
2021,"region_8","prionace","maximally harvested",784193.95,"similar","no increase",NA,0.7
2022,"region_8","prionace","maximally harvested",1649761.15,"increased","no increase",NA,0.6
2023,"region_8","prionace","maximally harvested",1776518,"similar","no increase",NA,0.7
2024,"region_8","prionace","maximally harvested",3251798.25,"increased","no increase",NA,0.6
2019,"region_8","rhizoprionodon","maximally harvested",1389825,"increased","no increase",NA,0.6
2020,"region_8","rhizoprionodon","maximally harvested",1143587.9,"similar","no increase",NA,0.7
2021,"region_8","rhizoprionodon","maximally harvested",1047296.1,"similar","no increase",NA,0.7
2022,"region_8","rhizoprionodon","maximally harvested",1140380.4,"similar","no increase",NA,0.7
2023,"region_8","rhizoprionodon","maximally harvested",1262,"decreased","no increase",NA,0.8
2024,"region_8","rhizoprionodon","maximally harvested",15775,"increased","no increase",NA,0.6
2019,"region_8","scomberomorus","maximally harvested",2456117.611,"increased","no increase",NA,0.6
2020,"region_8","scomberomorus","maximally harvested",2759869.61,"similar","no increase",NA,0.7
2021,"region_8","scomberomorus","maximally harvested",2726523.12,"similar","no increase",NA,0.7
2022,"region_8","scomberomorus","maximally harvested",2419654.73,"similar","no increase",NA,0.7
2023,"region_8","scomberomorus","maximally harvested",2630919,"similar","no increase",NA,0.7
2024,"region_8","scomberomorus","maximally harvested",3777063.08,"increased","no increase",NA,0.6
2019,"region_8","sphoeroides","maximally harvested",895002.9,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2020,"region_8","sphoeroides","maximally harvested",533072.6,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2021,"region_8","sphoeroides","maximally harvested",397287.7,"decreased","no increase","Seems they might lump these Botetes into one species?",0.8
2022,"region_8","sphoeroides","maximally harvested",761383.1,"increased","no increase","Seems they might lump these Botetes into one species?",0.6
2023,"region_8","sphoeroides","maximally harvested",906717,"similar","no increase","Seems they might lump these Botetes into one species?",0.7
2024,"region_8","sphoeroides","maximally harvested",913196.455,"similar","no increase","Seems they might lump these Botetes into one species?",0.7
2019,"region_8","sphyrna","maximally harvested",193970.1,"increased","no increase",NA,0.6
2020,"region_8","sphyrna","maximally harvested",783505.85,"increased","no increase",NA,0.6
2021,"region_8","sphyrna","maximally harvested",844968.85,"similar","no increase",NA,0.7
2022,"region_8","sphyrna","maximally harvested",202712.25,"decreased","no increase",NA,0.8
2023,"region_8","sphyrna","maximally harvested",20554,"decreased","no increase",NA,0.8
2024,"region_8","sphyrna","maximally harvested",219254.8,"increased","no increase",NA,0.6
2019,"region_8","thunnus","deteriorating",73697386.52,"similar","no increase","recovery phase",0.5
2020,"region_8","thunnus","deteriorating",77156869.14,"similar","no increase","recovery phase",0.5
2021,"region_8","thunnus","deteriorating",77761004.9,"similar","no increase","recovery phase",0.5
2022,"region_8","thunnus","deteriorating",87683074.2,"similar","no increase","recovery phase",0.5
2023,"region_8","thunnus","deteriorating",101386659,"similar","no increase","recovery phase",0.5
2024,"region_8","thunnus","deteriorating",114903068.99,"similar","no increase","recovery phase",0.5
2019,"region_9","alopias","maximally harvested",194353.45,"decreased","no increase",NA,0.8
2020,"region_9","alopias","maximally harvested",173868.45,"similar","no increase",NA,0.7
2021,"region_9","alopias","maximally harvested",61289.95,"decreased","no increase",NA,0.8
2022,"region_9","alopias","maximally harvested",59527.55,"similar","no increase",NA,0.7
2023,"region_9","alopias","maximally harvested",39948,"decreased","no increase",NA,0.8
2024,"region_9","alopias","maximally harvested",34158.45,"similar","no increase",NA,0.7
2019,"region_9","carcharhinus","maximally harvested",1897259.05,"decreased","no increase",NA,0.8
2020,"region_9","carcharhinus","maximally harvested",669619.45,"decreased","no increase",NA,0.8
2021,"region_9","carcharhinus","maximally harvested",431361.75,"decreased","no increase",NA,0.8
2022,"region_9","carcharhinus","maximally harvested",436337.75,"similar","no increase",NA,0.7
2023,"region_9","carcharhinus","maximally harvested",466165,"similar","no increase",NA,0.7
2024,"region_9","carcharhinus","maximally harvested",310309.05,"decreased","no increase",NA,0.8
2019,"region_9","centropomus","maximally harvested",792825.65,"decreased","no increase",NA,0.8
2020,"region_9","centropomus","maximally harvested",647290.9,"similar","no increase",NA,0.7
2021,"region_9","centropomus","maximally harvested",870226.1,"increased","no increase",NA,0.6
2022,"region_9","centropomus","maximally harvested",606285.05,"decreased","no increase",NA,0.8
2023,"region_9","centropomus","maximally harvested",518843,"similar","no increase",NA,0.7
2024,"region_9","centropomus","maximally harvested",693030.75,"increased","no increase",NA,0.6
2019,"region_9","cynoscion",NA,846680.15,"similar",NA,NA,NA
2020,"region_9","cynoscion",NA,474268.25,"decreased",NA,NA,NA
