"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2024,"region_2","galeorhinus","maximally harvested",3749.9,"increased","no increase",NA,0.6
2019,"region_2","hoplopagrus","maximally harvested",415,"increased","no increase",NA,0.6
2020,"region_2","hoplopagrus","maximally harvested",3044,"increased","no increase",NA,0.6
2021,"region_2","hoplopagrus","maximally harvested",452.5,"decreased","no increase",NA,0.8
2022,"region_2","hoplopagrus","maximally harvested",1198.9,"increased","no increase",NA,0.6
2023,"region_2","hoplopagrus","maximally harvested",2907,"increased","no increase",NA,0.6
2024,"region_2","hoplopagrus","maximally harvested",12851.9,"increased","no increase",NA,0.6
2019,"region_2","isurus","maximally harvested",12278,"increased","no increase",NA,0.6
2020,"region_2","isurus","maximally harvested",4455,"decreased","no increase",NA,0.8
2021,"region_2","isurus","maximally harvested",8762.2,"increased","no increase",NA,0.6
2022,"region_2","isurus","maximally harvested",8773.2,"similar","no increase",NA,0.7
2023,"region_2","isurus","maximally harvested",3663,"decreased","no increase",NA,0.8
2024,"region_2","isurus","maximally harvested",6581.5,"increased","no increase",NA,0.6
2019,"region_2","lutjanus","maximally harvested",18359.9,"similar","no increase",NA,0.7
2020,"region_2","lutjanus","maximally harvested",31340.55,"increased","no increase",NA,0.6
2021,"region_2","lutjanus","maximally harvested",31924.6,"similar","no increase",NA,0.7
2022,"region_2","lutjanus","maximally harvested",28654.95,"similar","no increase",NA,0.7
2023,"region_2","lutjanus","maximally harvested",37390,"increased","no increase",NA,0.6
2024,"region_2","lutjanus","maximally harvested",31745.4,"similar","no increase",NA,0.7
2019,"region_2","megapitaria","maximally harvested",4753,"increased","no increase","Within region variation in status, took most conservative",0.6
2021,"region_2","megapitaria","maximally harvested",900,"decreased","no increase","Within region variation in status, took most conservative",0.8
2022,"region_2","megapitaria","maximally harvested",1425,"increased","no increase","Within region variation in status, took most conservative",0.6
2023,"region_2","megapitaria","maximally harvested",1015,"decreased","no increase","Within region variation in status, took most conservative",0.8
2021,"region_2","megastraea","deteriorating",7029,"increased","decrease","recommendation is no increase, but decided to go with decrease based on deterioration",0.4
2019,"region_2","mugil","deteriorating",36503,"decreased","decrease",NA,0.6
2020,"region_2","mugil","deteriorating",33814,"similar","decrease",NA,0.5
2021,"region_2","mugil","deteriorating",23173,"decreased","decrease",NA,0.6
2022,"region_2","mugil","deteriorating",25463,"similar","decrease",NA,0.5
2019,"region_2","mustelus","maximally harvested",4212.5,"increased","no increase",NA,0.6
2020,"region_2","mustelus","maximally harvested",1028.75,"decreased","no increase",NA,0.8
2021,"region_2","mustelus","maximally harvested",1981.25,"increased","no increase",NA,0.6
2022,"region_2","mustelus","maximally harvested",67132.25,"increased","no increase",NA,0.6
2023,"region_2","mustelus","maximally harvested",14497,"decreased","no increase",NA,0.8
2024,"region_2","mustelus","maximally harvested",40101,"increased","no increase",NA,0.6
2020,"region_2","nasolamia","maximally harvested",125,NA,"no increase",NA,NA
2019,"region_2","negaprion","maximally harvested",18,"decreased","no increase",NA,0.8
2020,"region_2","octopus","maximally harvested",2389.2,"decreased","no increase",NA,0.8
2019,"region_2","panopea","maximally harvested",309718,"similar","no increase","Within region variation in status, took most conservative",0.7
2020,"region_2","panopea","maximally harvested",372669,"increased","no increase","Within region variation in status, took most conservative",0.6
2021,"region_2","panopea","maximally harvested",397944,"similar","no increase","Within region variation in status, took most conservative",0.7
2022,"region_2","panopea","maximally harvested",298297,"decreased","no increase","Within region variation in status, took most conservative",0.8
2023,"region_2","panopea","maximally harvested",457782,"increased","no increase","Within region variation in status, took most conservative",0.6
