"main_species_group","recorded_species_name_clean","species_estimated","genus_estimated","family_estimated","source_of_estimate","classification_certainty","recorded_prep_types"
"TIBURON","TIBURON AZUL (PRIONACE GLAUCA)","Prionace glauca","Prionace","Carcharhinidae","taxize","high","ALETA, DESV., ENT., FILETE, SECA DE, FCO., DESC."
"TIBURON","TIBURON BATEA","Carcharhinus leucas","Carcharhinus","Carcharhinidae","logical conclusion based on research; dataMares","high","ENT., FCO."
"TIBURON","TIBURON BLANCA","Carcharodon carcharias","Carcharodon","Lamnidae","logical conclusion based on research","high","ALETA, DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON CARNE",NA,NA,NA,"not enough information to classify","high","SECA"
"TIBURON","TIBURON CARTON","Carcharhinus plumbeus","Carcharhinus","Carcharhinidae","logical conclusion based on research; dataMares","high","ALETA, DESV., ENT., FCO., DESC."
"TIBURON","TIBURON CARTON (CARCHARHINUS PLUMBEUS)","Carcharhinus plumbeus","Carcharhinus","Carcharhinidae","taxize","high","ALETA, DESV., ENT., FCO., DESC."
"TIBURON","TIBURON CHATO","Carcharhinus leucas","Carcharhinus","Carcharhinidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON CHATO (CARCHARHINUS LEUCAS)","Carcharhinus leucas","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FILETE, FCO., DESC."
"TIBURON","TIBURON COLORADO","Carcharhinus altimus","Carcharhinus","Carcharhinidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON COLORADO (CARCHARHINUS ALTIMUS)","Carcharhinus altimus","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON COLUDO",NA,"Alopias","Alopiidae","logical conclusion based on research; dataMares","high","ALETA, SECA DE"
"TIBURON","TIBURON COLUDO (ALOPIAS PELAGICUS)","Alopias pelagicus","Alopias","Alopiidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON CORNUDA GIGANTE","Sphyrna mokarran","Sphyrna","Sphyrnidae","logical conclusion based on research","high","DESV., ENT., DESC., FCO."
"TIBURON","TIBURON CORNUDA GIGANTE (SPHYRNA MOKARRAN)","Sphyrna mokarran","Sphyrna","Sphyrnidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON CORNUDA GIGANTE (SYPYRNA MOKARRAN)","Sphyrna mokarran","Sphyrna","Sphyrnidae","logical conclusion based on research; typo in the name Sphyrna mokarran","high","ALETA, SECA DE"
"TIBURON","TIBURON CORNUDA PRIETA","Sphyrna zygaena","Sphyrna","Sphyrnidae","logical conclusion based on research; dataMares","high","ALETA, DESV., ENT., SECA DE, FCO., DESC."
"TIBURON","TIBURON CORNUDA PRIETA","Sphyrna zygaena","Sphyrna","Sphyrnidae","logical conclusion based on research; dataMares; typo in common name","high","FILETE DE, SECO DE"
"TIBURON","TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)","Sphyrna zygaena","Sphyrna","Sphyrnidae","taxize","high","FILETE DE, DESV., ENT., SECO DE, FCO., DESC."
"TIBURON","TIBURON COYOTE","Nasolamia velox","Nasolamia","Carcharhinidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON ESPINOZO","Echinorhinus cookei","Echinorhinus","Echinorhinidae","logical conclusion based on research; dataMares","high","DESV., FILETE, FCO."
"TIBURON","TIBURON LEOPARDO","Triakis semifasciata","Triakis","Triakidae","logical conclusion based on research; dataMares","high","ENT., FCO."
"TIBURON","TIBURON LIMON","Negaprion brevirostris","Negaprion","Carcharhinidae","logical conclusion based on name; logical match to taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON LIMON (NEGAPRION BREVIROSTIS)","Negaprion brevirostris","Negaprion","Carcharhinidae","taxize","high","DESV., ENT., FCO."
"TIBURON","TIBURON LIMON (NEGAPRION BREVIROSTRIS)","Negaprion brevirostris","Negaprion","Carcharhinidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON MAKO (ISURUS OXYRINCHUS)","Isurus oxyrinchus","Isurus","Lamnidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON MAMON",NA,"Mustelus","Triakidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON MAMON (MUSTELUS LUNULATUS)","Mustelus lunulatus","Mustelus","Triakidae","taxize","high","DESV., ENT., FCO., DESC."
