"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"OTRAS",NA,"bacalao negro","Anoplopoma fimbria","Anoplopoma","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"mulegino","Abudefduf troschelii","Abudefduf","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"agujon","Ablennes hians","Ablennes","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"chile","Synodus scituliceps","Synodus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"guabina","Dormitator latifrons","Dormitator","Freshwater fishes","Freshwater fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"buzo","Sphyraena ensis","Sphyraena","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"barbero","Acanthurus xanthopterus","Acanthurus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"salema","Peprilus snyderi","Peprilus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"loro","Nicholsina denticulata","Nicholsina","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"popoyote","Dormitator latifrons","Dormitator","Freshwater fishes","Freshwater fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","MOJARRA","chihua","Eucinostomus argenteus","Eucinostomus","Demersal marine fishes","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","BONITO","vaca","Caranx hippos","Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"anguila","Anguilla rostrata","Anguilla","Diadromous fishes","Diadromous fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"pescada","Stereolepis gigas","Stereolepis","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"ojudo","Selar crumenophthalmus","Selar","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"rasposa","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","MERO","maranguana","Epinephelus labriformis","Epinephelus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","BERRUGATA","yolo","Micropogonias ectenes","Micropogonias","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"chatarra","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","LENGUADO","chivo","Mulloidichthys dentatus","Mulloidichthys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"cochinito","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"culebra","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","RONCO","papelillo","Selene peruviana","Selene","Pelagic marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","SIERRA","pez sierra","Scomberomorus sierra","Scomberomorus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"popocha","Algansea popoche","Algansea","Freshwater fishes","Freshwater fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"chopa gris","Kyphosus elegans","Kyphosus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"pez sapo","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","MOJARRA","charra","Eucinostomus¬†gracilis","Eucinostomus¬†gracilis","Demersal marine fishes","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"chocho","Hemicaranx zelotes","Hemicaranx","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"sabalote","Chanos chanos","Chanos","Diadromous fishes","Diadromous fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","SARDINA","zapatero","Oligoplites altus","Oligoplites","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"morena","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"mosco","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"choro","Mytilus californianus","Mytilus","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"barrasa","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"macabi","Elops affinis","Elops","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"vieja jaiba","NEI","NEI","Marine fishes NEI","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"cangrejo moro","NEI","NEI","Shrimps, prawns","Shrimps, prawns","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"menudo","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"blanquita","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"boquinete","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","GUACHINANGO","arrayado","Lutjanus synagris","Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","GUACHINANGO","lucio","Lutjanus analis","Lutjanus",NA,"Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS",NA,"machorro","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","JAIBA","cangrejo azul","Callinectes sapidus","Callinectes",NA,"Crustaceans","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS","LISA","barbilla","Polydactylus approximans","Polydactylus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"mapache","Pomadasys panamensis","Pomadasys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"mapo","Bathygobius ramosus","Bathygobius","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"fajado","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","GUACHINANGO","guau","Lutjanus peru","Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"chancla","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"percebe","Pollicipes elegans","Pollicipes","Crustaceans","Crustaceans","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"boca colorada","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","LENGUADO","salmonete","Mulloidichthys dentatus","Mulloidichthys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"aguja","Strongylura exilis","Strongylura","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"corcovado","Orthopristis chalceus","Orthopristis","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"viuda","Sebastes entomelas","Sebastes","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"cucaracha","Evibacus princeps","Evibacus","Crustaceans","Crustaceans","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"pez pipa","Syngnathus abaster","Syngnathus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","BANDERA","barbon","Bagre pinnimaculatus","Bagre","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"frel","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"puro","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"catalineta","Chloroscombrus orqueta","Chloroscombrus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"catan","Lepisosteus osseus","Lepisosteus","Freshwater fishes","Freshwater fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"totoaba","Totoaba macdonaldi","Totoaba","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","MOJARRA","peje pluma","Calamus arctifrons","Calamus",NA,"Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS",NA,"chepe","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","LOBINA","bacin","Micropterus cataractae","Micropterus",NA,"Freshwater fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS","RONCO","chapeta","Selene orstedii","Selene","Pelagic marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"pejerey","NEI","NEI","Marine fishes NEI","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS",NA,"pez corneta","Fistularia commersonii","Fistularia","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"acumara","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS",NA,"tijereta","Paranthias colonus","Paranthias","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","BERRUGATA","rastreador","Menticirrhus americanus","Menticirrhus",NA,"Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS",NA,"abanderado","Perissias¬†taeniopterus","Perissias¬†taeniopterus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","BONITO","jorobado","Caranx lugubris","Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"vieja lora","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","PARGO","rayado","Hoplopagrus guentherii","Hoplopagrus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","ROBALO","pijolin","Centropomus robalito","Centropomus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS",NA,"doradilla","Coryphaena hippurus","Coryphaena","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","RUBIO","boquinegro","Haemulon flavolineatum","Haemulon",NA,"Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"ESPECIE GENERICA",NA,"especie generica","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"FAUNA",NA,"fauna acompa√±amiento","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic bycatch category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"FAUNA",NA,"fauna acompaÔøΩamiento","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"ORNATO",NA,"barbo","unknown",NA,NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of fish","not applicable","no data in keys","manual entry","NO"
"ORNATO",NA,"especies ornato","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic ornamental category; cannot assign species or genus.","not applicable","no data in keys","manual entry","YES"
"ORNATO",NA,"estrella limpiadora","Luidia alternata","Luidia",NA,"Echinoderms","Assigned_Manually: OTRAS treated differently than other major groups","Sea stars; likely ornamental harvest","medium confidence","manual entry; medium confidence","manual entry","YES"
"ORNATO",NA,"peces ornato","unknown",NA,NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups","Generic ornamental fish category; cannot assign species or genus.","not applicable","no data in keys","manual entry","YES"
"ORNATO",NA,"pez payaso ornato","unknown","Amphiprion",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Clownfish, ornamental","not applicable","no data in keys","manual entry","YES"
"ORNATO",NA,"tetra rojo","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Red tetra; freshwater; likely ornamental","not applicable","no data in keys","manual entry","YES"
"OTRAS",NA,"abogado","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… ?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"acedia","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is…","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"acocil","Cambarellus montezumae","Cambarellus",NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups","Freshwater crayfish","High","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS",NA,"agujilla","Belone belone","Belone",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","European garfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"ala angel","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","I am assuming from context this is an angel fish","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"arbolito","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… an algae perhaps?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"armado","Orthopristis chrisopterus","Orthopristis",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Porkfish / Sailfin grunt","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"bacinico","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… a shellfish perhaps?","not applicable","no data in keys","manual entry",NA
"OTRAS",NA,"baina","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… A shelfish of some sort?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"balao","Hemiramphus balao¬†","Hemiramphus",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Balao halfbeak","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"boca novia","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of drum or croaker","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"bolin","Cyprinodon variegatus variegatus","Cyprinodon",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Sheepshead minnow","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"botete amarillo","Sphoeroides annulatus","Sphoeroides",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Bullseye puffer","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS",NA,"botete diana","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Pufferfish?","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"botete negro","Sphoeroides annulatus","Sphoeroides",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Bullseye puffer","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS",NA,"burriquete","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of porgy or grunt…","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS",NA,"caballito mar","unknown","Hippocampus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Sea horse; likely ornamental","not applicable","no data in keys","manual entry","YES"
"OTRAS",NA,"caiman","Bathygobius soporator¬†","Bathygobius",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Frillfin goby","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"callo hacha","unknown","Atrina",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"callo hacha largo","unknown","Atrina",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"callo media luna","unknown",NA,NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of scallop or oyster, check with experts if ornamental","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"cangrejo ara√±a","unknown",NA,NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Spider crab","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"cangrejo ermita√±o","Pagurus bernhardus","Pagurus",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Common hermit crab","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS",NA,"cangrejo ermitaÔøΩo","unknown","Pagurus",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Hermit crab","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"cangrejo gallo","Calappa granulata","Calappa",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Red-spotted box crab","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"cangrejo moro manglar","Ucides cordatus","Ucides",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Mangrove crab; ask experts if ornamental use","high confidence","manual entry; extremely high confidence","manual entry","POSSIBLY"
"OTRAS",NA,"cangrejo moteado roca","unknown",NA,NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Rock crab; ask experts if ornamental use","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"cangrejo pulpa","unknown",NA,NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Most likely Callinectes but cannot say for certain.","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"cangrejo rey","Chaceon affinis","Chaceon",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Deep-sea red crab","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"cangrejo rojo roca","Grapsus grapsus","Grapsus",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Red rock crab; ask experts if ornamental use","high confidence","manual entry; extremely high confidence","manual entry","POSSIBLY"
"OTRAS",NA,"charchina","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… an urchin perhaps?","not applicable","no data in keys","manual entry",NA
"OTRAS",NA,"charrito","unknown",NA,NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Likely some form of jack mackerel or lookdown","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS",NA,"charrito","Trachurus Symmetricus","Trachurus",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Pacific jack mackerel","virtually certain","name was recorded in CONAPESCA","genus derived from known species","NO"
"OTRAS",NA,"chencay","Hemirhamphus brasiliensis","Hemirhamphus",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Brazilian halfbeak","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"chicharro","Selar crumenophthalmus","Selar",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Bigeye scad","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"chopa amarilla","Spondyliosoma cantharus","Spondyliosoma",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Black seabream","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"chopa espina","Spondyliosoma cantharus","Spondyliosoma",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Black seabream","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"chupalodo","Gillichthys mirabilis","Gillichthys",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Longjaw mudsucker, large bogy","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"cocodrilo","Pseudocarcharias kamoharai","Pseudocarcharias",NA,"Sharks","Assigned_Manually: OTRAS treated differently than other major groups","Mackerel shark","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"cocuyo","Bairdiella ronchus","Bairdiella",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Gulf croaker","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"codorniz","Cheilotrema saturnum","Cheilotrema",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Blackcroaker","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"cojinete","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… A fish of some sort?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"congrio","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","An eel of some sort","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"coral","unknown",NA,NA,"Other marine invertebrates","Assigned_Manually: OTRAS treated differently than other major groups","Coral; likely ornamental?","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"coral blanco","unknown",NA,NA,"Other marine invertebrates","Assigned_Manually: OTRAS treated differently than other major groups","Coral; likely ornamental?","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS",NA,"coruco","Cathorops aguadulce","Cathorops",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Freshwater sea catfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"corvinato","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Assuming corvina type fish","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"crappie","unknown","Pomoxis",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Freshwater sunfish","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS",NA,"criollo","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… not enough information to know?","not applicable","no data in keys","manual entry","NO"
"OTRAS",NA,"cubera","Lujtanus cyanopterus","Lujtanus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Bluefin snapper","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS",NA,"cuchilla","Dorosoma cepedianum","Dorosoma",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Gizzard shad","high confidence","match to Hem's key","genus derived from known species","NO"
