"year","OHI_Region_No","Major_Functional_Group","Total_Biomass_kg","Total_Days","OLD_mean_CPUE.recent","NEW_mean_CPUE.recent","Total_Value_mxn","n_records"
2022,"Region_2","Marine fishes NEI",8961.7,105,86.4852713178295,85.3495238095238,152067,43
2022,"Region_2","Molluscs excl. Cephalopods",463172,740,1057.48992248062,625.908108108108,13390017.52,344
2022,"Region_2","Other marine invertebrates",1490,11,125,135.454545454545,10900,4
2022,"Region_2","Pelagic marine fishes",7770624.86,2451,4119.23728401317,3170.38957976336,60876666.9,715
2022,"Region_2","Sharks",489113.05,1606,368.688349981887,304.553580323786,8607903,502
2022,"Region_2","Shrimps, prawns",3904,2,1952,1952,805200,1
2022,"Region_2",NA,126384.6,1713,101.598167702818,73.7796847635727,2449481.62,371
2022,"Region_3","Cephalopods",339167.7,875,386.38761682243,387.620228571429,20943721,321
2022,"Region_3","Crustaceans",116355,116,1219.16666666667,1003.06034482759,37127319,55
2022,"Region_3","Demersal marine fishes",2010766.95,14097,178.883900824353,142.637933602894,72978047,5170
2022,"Region_3","Diadromous fishes",4171,1,4171,4171,29197,1
2022,"Region_3","Marine fishes NEI",44400.25,853,52.8928591813438,52.0518757327081,508718,292
2022,"Region_3","Molluscs excl. Cephalopods",112128,71,1753.32275132275,1579.2676056338,883100,27
2022,"Region_3","Pelagic marine fishes",1075017.2,2418,554.1367432531,444.5894127378,26209150,914
2022,"Region_3","Sharks",354250.4,1873,202.440057471264,189.135290977042,5688996,725
2022,"Region_3",NA,292069.1,1908,238.38373461395,153.076048218029,5857663,766
2022,"Region_3_4_BCS_TBD","Molluscs excl. Cephalopods",1992314,416,4789.21634615385,4789.21634615385,11975396.15,416
2022,"Region_3_4_BCS_TBD","Pelagic marine fishes",99442,51,1949.8431372549,1949.8431372549,9944200,51
2022,"Region_3_4_BCS_TBD",NA,167126,60,2785.43333333333,2785.43333333333,1341392,60
2022,"Region_4","Cephalopods",4330.4,53,97.087037037037,81.7056603773585,405750,18
2022,"Region_4","Crustaceans",245,17,15.2777777777778,14.4117647058824,7425,6
2022,"Region_4","Demersal marine fishes",2586802.9,23628,155.388787818219,109.480400372439,149250584.48,5956
2022,"Region_4","Marine fishes NEI",27101.3,873,41.8423550778723,31.0438717067583,309436,145
2022,"Region_4","Molluscs excl. Cephalopods",135308,350,732.499192290553,386.594285714286,259991,136
2022,"Region_4","Pelagic marine fishes",555769.63,4460,193.163290266408,124.612024663677,16589298,1038
2022,"Region_4","Sharks",1678156.65,2367,843.917864092938,708.98041825095,11614472,640
2022,"Region_4","Shrimps, prawns",17784,129,198.36380952381,137.860465116279,1944710,15
2022,"Region_4",NA,140982.78,1935,128.851267144378,72.8593178294574,3389237,540
2022,"Region_4_5_6_Sonora_TBD","Crustaceans",26650,88,299.193548387097,302.840909090909,988350,31
2022,"Region_4_5_6_Sonora_TBD","Demersal marine fishes",1161784.2,170,11497.2133333333,6834.02470588235,14660254,100
2022,"Region_4_5_6_Sonora_TBD","Marine fishes NEI",5000,19,269.047619047619,263.157894736842,64500,7
2022,"Region_4_5_6_Sonora_TBD","Molluscs excl. Cephalopods",638953,250,2849.6314484127,2555.812,8334469.47,224
2022,"Region_4_5_6_Sonora_TBD","Pelagic marine fishes",711308.28,56,12572.5031578947,12701.9335714286,1831957.5,19
2022,"Region_4_5_6_Sonora_TBD","Shrimps, prawns",749968.8,337,3114.53554327808,2225.42670623145,64779800,181
2022,"Region_4_5_6_Sonora_TBD",NA,2355,9,882.1875,261.666666666667,38760,2
2022,"Region_5","Cephalopods",5615,196,70.6248474601361,28.6479591836735,131355,13
2022,"Region_5","Crustaceans",212368,286,891.351447245565,742.545454545455,5854515,119
2022,"Region_5","Demersal marine fishes",25311560.1,17222,2209.73187636049,1469.72245383811,265978153.5,3586
2022,"Region_5","Marine fishes NEI",27273.7,145,220.75183982684,188.094482758621,206055,33
