"year","Major_Functional_Group","estimated_genus_name","estimated_family_name","OHI_region_est","total_weight_mt","total_value_peso","Stock_Status_RAM","Stock_Status_Carta","Stock_Status_CMSY","Carta_provenance","RAM_provenance","Stock_Status_RAM_capped","Stock_Status_Carta_capped","Stock_Status_CMSY_capped","StockStatus_final","StockStatus_source","StockStatus_est.level"
2000,NA,"anoplopoma",NA,"region_4",38.981,415728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Molluscs excl. Cephalopods","argopecten","Pectinidae","region_4",362.395,1413710,NA,NA,0.280242058906694,NA,NA,NA,NA,0.280242058906694,0.280242058906694,"CMSY","genus level"
2000,"Demersal marine fishes","balistes","Balistidae","region_4",68.3525,343916,NA,NA,0.324782395794942,NA,NA,NA,NA,0.324782395794942,0.324782395794942,"CMSY","genus level"
2000,"Demersal marine fishes","brotula","Ophidiidae","region_4",15.6516,123508,NA,NA,1.50175517481529,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","calamus","Sparidae","region_4",0.139,278,NA,NA,1.49482358851186,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"caranx",NA,"region_4",10.744,1077301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"caulolatilus",NA,"region_4",146.8042,932954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","centropomus","Centropomidae","region_4",1.1627,9470,NA,NA,0.296651941278902,NA,NA,NA,NA,0.296651941278902,0.296651941278902,"CMSY","genus level"
2000,"Pelagic marine fish (excl. anchovy & sardine)","coryphaena","Coryphaenidae","region_4",48.5264,519138,NA,NA,0.555700327007115,NA,NA,NA,NA,0.555700327007115,0.555700327007115,"CMSY","genus level"
2000,NA,"crassostrea",NA,"region_4",4.68,24160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","cynoscion","Sciaenidae","region_4",700.7166,8087238,NA,NA,0.91859355234039,NA,NA,NA,NA,0.91859355234039,0.91859355234039,"CMSY","genus level"
2000,"Demersal marine fishes","diplectrum","Serranidae","region_4",11.4834,253602,NA,NA,0.237110921910998,NA,NA,NA,NA,0.237110921910998,0.237110921910998,"CMSY","genus level"
2000,NA,"dosidicus",NA,"region_4",393.529,470626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","epinephelus","Serranidae","region_4",9.2345,155878,NA,NA,0.283171190069589,NA,NA,NA,NA,0.283171190069589,0.283171190069589,"CMSY","genus level"
2000,NA,"especies",NA,"region_4",396.9,8336105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"gelidium",NA,"region_4",2147.498,2799351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"gillichthys",NA,"region_4",0.075,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"ginglymostoma",NA,"region_4",2.1931,16447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","haemulopsis","Haemulidae","region_4",2.7583,10597,NA,NA,0.241747843379106,NA,NA,NA,NA,0.241747843379106,0.241747843379106,"CMSY","genus level"
2000,NA,"haliotis",NA,"region_4",169.35214,28819313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"hexaplex",NA,"region_4",1.75,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","hoplopagrus","Lutjanidae","region_4",4.8444,38646,NA,NA,0.396555765959381,NA,NA,NA,NA,0.396555765959381,0.396555765959381,"CMSY","genus level"
2000,"Demersal marine fishes","hypanus","Dasyatidae","region_4",155.0388,786270,NA,NA,1.50207408977457,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","hyporthodus","Serranidae","region_4",78.0142,1979693,NA,NA,0.241225531793201,NA,NA,NA,NA,0.241225531793201,0.241225531793201,"CMSY","genus level"
2000,"Pelagic marine fish (excl. anchovy & sardine)","istiophorus","Istiophoridae","region_4",0.07,350,NA,NA,0.359608477975655,NA,NA,NA,NA,0.359608477975655,0.359608477975655,"CMSY","genus level"
2000,"Demersal marine fishes","lamna","Lamnidae","region_4",5.5089,57271,NA,NA,0.433506833264382,NA,NA,NA,NA,0.433506833264382,0.433506833264382,"CMSY","genus level"
2000,NA,"lobatus",NA,"region_4",2.335,10200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","lutjanus","Lutjanidae","region_4",873.02095,14249970,NA,NA,0.276158335888432,NA,NA,NA,NA,0.276158335888432,0.276158335888432,"CMSY","genus level"
2000,NA,"makaira",NA,"region_4",0.06,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Molluscs excl. Cephalopods","megapitaria","Veneridae","region_4",568.868,2487037,NA,NA,0.411926452097098,NA,NA,NA,NA,0.411926452097098,0.411926452097098,"CMSY","genus level"
2000,NA,"megastraea",NA,"region_4",466.252,2134286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,"megathura",NA,"region_4",6.1,18500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","menticirrhus","Sciaenidae","region_4",18.2567,90042,NA,NA,0.606834971698258,NA,NA,NA,NA,0.606834971698258,0.606834971698258,"CMSY","genus level"
2000,"Demersal marine fishes","merluccius","Merlucciidae","region_4",23.0972,231048,NA,NA,1.30048223377563,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"mesocentrotus",NA,"region_4",5.205,104100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","microlepidotus","Haemulidae","region_4",0.202,1826,NA,NA,0.237166913192474,NA,NA,NA,NA,0.237166913192474,0.237166913192474,"CMSY","genus level"
2000,"Demersal marine fishes","micropogonias","Sciaenidae","region_4",471.7378,3323964,NA,NA,0.599417163670138,NA,NA,NA,NA,0.599417163670138,0.599417163670138,"CMSY","genus level"
2000,"Demersal marine fishes","mobula","Myliobatidae","region_4",116.0968,551264,NA,NA,1.65746946072802,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","mugil","Mugilidae","region_4",57.357,496889,NA,NA,0.475338536786613,NA,NA,NA,NA,0.475338536786613,0.475338536786613,"CMSY","genus level"
2000,"Sharks","mustelus","Triakidae","region_4",11.76405,132321,NA,NA,1.18159130209799,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Demersal marine fishes","mycteroperca","Serranidae","region_4",225.53985,2817260,NA,NA,0.246310066408436,NA,NA,NA,NA,0.246310066408436,0.246310066408436,"CMSY","genus level"
2000,NA,"nei",NA,"region_4",6702.70588,116729672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","nematistius","Nematistiidae","region_4",0.1001,649,NA,NA,1.50324339596048,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"opistognathus",NA,"region_4",0.929,6991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","orthopristis","Haemulidae","region_4",22.897,125557,NA,NA,0.242145868790363,NA,NA,NA,NA,0.242145868790363,0.242145868790363,"CMSY","genus level"
2000,"Crustaceans","panulirus","Palinuridae","region_4",335.955,20710902,NA,NA,0.956767399847687,NA,NA,NA,NA,0.956767399847687,0.956767399847687,"CMSY","genus level"
2000,"Demersal marine fishes","paralabrax","Serranidae","region_4",463.1579,2274878,NA,NA,0.279573678369408,NA,NA,NA,NA,0.279573678369408,0.279573678369408,"CMSY","genus level"
2000,NA,"penaeus",NA,"region_4",384.819,29573173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","pseudobatos","Rhinobatidae","region_4",155.27955,1337086,NA,NA,1.67669372944218,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Pelagic marine fish (excl. anchovy & sardine)","sarda","Carangidae","region_4",4.919,43882,NA,NA,1.29704902266935,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"scomber",NA,"region_4",51.275,5791495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Pelagic marine fish (excl. anchovy & sardine)","scomberomorus","Scombridae","region_4",221.21192,2758134,NA,NA,0.518978713467516,NA,NA,NA,NA,0.518978713467516,0.518978713467516,"CMSY","genus level"
2000,"Demersal marine fishes","scorpaena","Scorpaenidae","region_4",35.0478,500673,NA,NA,1.7763135740273,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"scorpaenichthys",NA,"region_4",0.948,6872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Pelagic marine fish (excl. anchovy & sardine)","seriola","Carangidae","region_4",154.788,1502082,NA,NA,0.40210753919861,NA,NA,NA,NA,0.40210753919861,0.40210753919861,"CMSY","genus level"
2000,"Demersal marine fishes","sphoeroides","Tetraodontidae","region_4",30.846,353795,NA,NA,1.50001448857351,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,"Sharks","sphyrna","Sphyrnidae","region_4",2.166,10830,NA,NA,0.40589086525452,NA,NA,NA,NA,0.40589086525452,0.40589086525452,"CMSY","genus level"
2000,"Sharks","squatina","Squatinidae","region_4",112.22025,1021267,NA,NA,1.52686066659806,NA,NA,NA,NA,1,1,"CMSY","genus level"
2000,NA,"tetrapturus",NA,"region_4",0.78,4680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Pelagic marine fish (excl. anchovy & sardine)","thunnus","Scombridae","region_4",645.796,5726989,NA,NA,0.563868963589786,NA,NA,NA,NA,0.563868963589786,0.563868963589786,"CMSY","genus level"
2000,"Pelagic marine fish (excl. anchovy & sardine)","trachinotus","Carangidae","region_4",12.4623,77125,NA,NA,0.433601338833573,NA,NA,NA,NA,0.433601338833573,0.433601338833573,"CMSY","genus level"
2000,NA,"unknown",NA,"region_4",92.41378,632830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Pelagic marine fish (excl. anchovy & sardine)","xiphias","Xiphiidae","region_4",31.23325,570860,NA,NA,0.214784821495297,NA,NA,NA,NA,0.214784821495297,0.214784821495297,"CMSY","genus level"
2000,NA,NA,NA,"region_4",5815.8922,16000297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Demersal marine fishes","balistes","Balistidae","region_5",265.6315,1723952,NA,NA,0.324782395794942,NA,NA,NA,NA,0.324782395794942,0.324782395794942,"CMSY","genus level"
