"state","landing_site","inside_GOC","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"SINALOA","ADOLFO LOPEZ MATEOS (PRESA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","EL TABACHIN",NA,NA,26.1862636111111,-108.311224166667,"high confidence",26.1862636111111,-108.311224166667,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","ESTERO SAN IGNACIO","no",NA,27.2820675,-112.8954541,"high confidence",27.2820675,-112.8954541,26.775,-113.1518,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA","PUNTA CONO (VARADERO)","no",NA,28.964,-114.58,NA,NA,NA,28.964,-114.58,"Baja_California_South",NA
"SINALOA","AURELIO VENANCINES VIZCAINA (PRESA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","PUNTA DE LASTRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","ESTERO EL CAYUCO","no",NA,24.5831456,-111.6821355,"high confidence",24.5831456,-111.6821355,24.5719,-111.6548,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","CIUDAD CONSTITUCION","no",NA,25.05,-111.65,NA,NA,NA,25.05,-111.65,"Baja_California_Sur_South",NA
"SINALOA","DIQUE LA PRIMAVERA",NA,NA,24.7199821,-107.4157943,"high confidence",24.7199821,-107.4157943,NA,NA,NA,NA
"SINALOA","LAS FUENTES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA JOYA","no",NA,23.7272636111111,-109.790170555556,"high confidence",23.7272636111111,-109.790170555556,23.8038,-110.7183,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","LAGUNA DE SAN JUANICO","no",NA,26.191,-112.361,NA,NA,NA,26.191,-112.361,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","ESTERO SANTA ROSA","yes",NA,23.3,-109.9,NA,NA,NA,23.3,-109.9,"Baja_California_Sur_South",NA
"SINALOA","LOMAS DE GARSAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","PUERTO DE CDA","no",NA,31.85,-116.633,NA,NA,NA,31.85,-116.633,"Baja_California_North",NA
"JALISCO","PRESA ALCAPARROSA",NA,"freshwater",20.81,-103.2,NA,NA,NA,20.81,-103.2,"Nayarit/Jalisco","inland"
"BAJA CALIFORNIA SUR","SAN JUANITO","no",NA,26.56,-112.29,NA,NA,NA,26.56,-112.29,"Baja_California_Sur_North",NA
"NAYARIT","EMBALSE DE AGUAMILPA",NA,NA,20.9193999,-105.02734995,"high confidence",20.9193999,-105.02734995,NA,NA,NA,NA
"NAYARIT","LAS CONCHITAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","EL DESORDEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","LA NUEVA U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","DRENES Y CANALES DE JUAN JOSE RIOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","ESTERO SANTA ELENITA","no",NA,25.2377,-112.1084,NA,NA,NA,25.2377,-112.1084,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA","ISLA ESPIRITU SANTO","yes",NA,24.585,-110.39,NA,NA,NA,24.585,-110.39,"Baja_California_South",NA
"BAJA CALIFORNIA","MUELLE DEL MERCADO","no",NA,31.8592,-116.6246,NA,NA,NA,31.8592,-116.6246,"Baja_California_North",NA
"BAJA CALIFORNIA","REST. PORTUARIO","no",NA,31.85,-116.633,NA,NA,NA,31.85,-116.633,"Baja_California_North",NA
"BAJA CALIFORNIA SUR","BAHIA LOS MUERTOS","yes",NA,23.95,-109.8105,NA,NA,NA,23.95,-109.8105,"Baja_California_Sur_South",NA
"SINALOA","BARRAS DE PIAXTLA",NA,NA,23.6632747222222,-106.801500277778,"high confidence",23.6632747222222,-106.801500277778,NA,NA,NA,NA
"SINALOA","EL HUIZACHE",NA,NA,24.376035462963,-107.327061388889,"alert 2: multiple lat-long values in Hem's key that are more than 1 degree apart",24.376035462963,-107.327061388889,NA,NA,NA,NA
"SINALOA","EL VERTEDOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","EMBARCADERO DE SAN ANDRES","no",NA,26.79,-112.22,NA,NA,NA,26.79,-112.22,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA","BAJOS SAN CARLOS","no",NA,24.78,-112.12,NA,NA,NA,24.78,-112.12,"Baja_California_South",NA
"SINALOA","ENSENADA DEL PABELLON",NA,NA,24.432,-107.553,"high confidence",24.432,-107.553,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","ARROYO LA PITAYA","yes",NA,25.05,-110.95,NA,NA,NA,25.05,-110.95,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","PUNTA CLAM BAY","no",NA,27.6216,-114.8441,NA,NA,NA,27.6216,-114.8441,"Baja_California_Sur_North",NA
"SINALOA","PUERTA DE SAN MARCOS",NA,NA,23.4981855555556,-106.227901111111,"high confidence",23.4981855555556,-106.227901111111,NA,NA,NA,NA
"SINALOA","LAGUNA LAS LAJITAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","PRESA PLUTARCO ELIAS CALLES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","SAN JOSE DE LA BOCA COSALA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","ISLA MIRAMAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","ESTACION DIMAS",NA,NA,23.7215764,-106.7807941,"high confidence",23.7215764,-106.7807941,NA,NA,NA,NA
"BAJA CALIFORNIA","BAHIA TODOS SANTOS","no",NA,31.7953617,-116.6789163,"high confidence",31.7953617,-116.6789163,31.8031,-116.6838,"Baja_California_North",NA
"SINALOA","BAHIA SAN ESTEBAN",NA,NA,25.7945934,-108.9995348,"high confidence",25.7945934,-108.9995348,NA,NA,NA,NA
"BAJA CALIFORNIA","PUNTA DIABLO","no",NA,28.9067,-114.4608,NA,NA,NA,28.9067,-114.4608,"Baja_California_South",NA
"SINALOA","PLAYA MANZANILLO(PTO.ESC.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","AGUA CHALE","no",NA,25.1,-112.02,NA,NA,NA,25.1,-112.02,"Baja_California_Sur_South",NA
"SINALOA","EL COMEDERO",NA,NA,24.636629,-106.789826,"high confidence",24.636629,-106.789826,NA,NA,NA,NA
"BAJA CALIFORNIA","LAS ESCOLLERAS","no",NA,31.8583,-116.6333,NA,NA,NA,31.8583,-116.6333,"Baja_California_North",NA
"BAJA CALIFORNIA","PUERTO DE EDA","no",NA,31.85,-116.633,NA,NA,NA,31.85,-116.633,"Baja_California_North",NA
"BAJA CALIFORNIA SUR","EL TULE","yes",NA,22.958,-109.811,NA,NA,NA,22.958,-109.811,"Baja_California_Sur_South",NA
"SINALOA","EL GUAMUCHILITO",NA,NA,25.7199385185185,-108.284136759259,"high confidence",25.7199385185185,-108.284136759259,NA,NA,NA,NA
"SINALOA","LOS POZOS",NA,NA,23.0054813888889,-106.151429722222,"high confidence",23.0054813888889,-106.151429722222,NA,NA,NA,NA
"SINALOA","LA VENA DE SOLIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LAS ANIMAS","no",NA,24.6828970833333,-110.847652222222,"high confidence",24.6828970833333,-110.847652222222,25.128,-110.509,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","BAHIA DE LOS ANGELES","yes",NA,28.9519153,-113.5624339,"high confidence",28.9519153,-113.5624339,28.95,-113.56,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA SUR","ESTERO MULEGE","yes",NA,26.8922164,-111.9835831,"high confidence",26.8922164,-111.9835831,27.0321,-112.0267,"Baja_California_Sur_North",NA
"SINALOA","LAS COLORADAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","DIQUE LA ENSENADA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","LA GUASIMA",NA,NA,23.0694046296296,-106.07175,"high confidence",23.0694046296296,-106.07175,NA,NA,NA,NA
"JALISCO","PRESA LOS SAUCES",NA,"freshwater",20.85,-103.12,NA,NA,NA,20.85,-103.12,"Nayarit/Jalisco","same Los Altos presa zone"
"NAYARIT","ESTERO DE LOS GIOTES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","EL PUYEQUE",NA,NA,22.82482,-105.995,"high confidence",22.82482,-105.995,NA,NA,NA,NA
"SINALOA","SANTA MARIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","PLAYA ERENDIRA","no",NA,31.2624,-116.381,NA,NA,NA,31.2624,-116.381,"Baja_California_North",NA
"BAJA CALIFORNIA SUR","LA LICOMITA","no",NA,25.06,-112.02,NA,NA,NA,25.06,-112.02,"Baja_California_Sur_South",NA
"SINALOA","MALINES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PLUTARCO ELIAS CALLES","no",NA,23.2148,-110.147,NA,NA,NA,23.2148,-110.147,"Baja_California_Sur_South",NA
"SINALOA","EL ROBLITO",NA,NA,22.99167,-106.051,"high confidence",22.99167,-106.051,NA,NA,NA,NA
"SINALOA","SITIO LA GUANERA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","RINCON, EL","no",NA,31.7286,-116.6998,NA,NA,NA,31.7286,-116.6998,"Baja_California_North",NA
"BAJA CALIFORNIA SUR","LA CRUZ","yes",NA,24.16,-110.31,NA,NA,NA,24.16,-110.31,"Baja_California_Sur_South",NA
"SINALOA","PERICOS",NA,NA,25.0860183333333,-107.704121805556,"high confidence",25.0860183333333,-107.704121805556,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","BAHIA LA VENTANA","yes",NA,24.0453,-109.929,NA,NA,NA,24.0453,-109.929,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","BAHIA ALMEJAS","no",NA,24.4762521160234,-111.68199854967,"high confidence",24.4762521160234,-111.68199854967,24.441,-111.678,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","PUERTO ASTORGA","no",NA,25.1895,-112.1188,NA,NA,NA,25.1895,-112.1188,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","PUNTA COYOTE (EN LORETO)","yes",NA,26.005,-111.337,NA,NA,NA,26.005,-111.337,"Baja_California_Sur_South",NA
"SONORA","HUATABAMPITO","yes",NA,26.7598196,-109.61043045,"high confidence",26.7598196,-109.61043045,26.6961,-109.6097,"Sonora_South",NA
"BAJA CALIFORNIA SUR","R/A. PUEBLO NUEVO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","ARROYO AGUA BLANCA",NA,"freshwater",20.83,-103.15,NA,NA,NA,20.83,-103.15,"Nayarit/Jalisco","interior watershed; not the Pacific Agua Blanca beach in Nayarit"
"SONORA","LA GUASIMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","PRESA VISTA HERMOSA",NA,"freshwater",20.44,-103.29,NA,NA,NA,20.44,-103.29,"Nayarit/Jalisco","interior basin"
"SINALOA","TRES ISLAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PUNTA CHOROS","no",NA,27.1268,-114.154,NA,NA,NA,27.1268,-114.154,"Baja_California_Sur_North",NA
"JALISCO","LA TUNA",NA,"freshwater",20.1298429166667,-103.552468958333,"high confidence",20.1298429166667,-103.552468958333,20.46,-103.26,"Nayarit/Jalisco","near Vista Hermosa cluster"
"SINALOA","EUSTAQUIO BUELNA (PRESA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","PIEDRA DEL ASADERO",NA,NA,21.6388,-105.2532,"high confidence",21.6388,-105.2532,NA,NA,NA,NA
"JALISCO","PLAYA CAREYITOS","no","marine",19.35,-105.04,NA,NA,NA,19.35,-105.04,NA,"Costa Careyes / Careyitos"
"SINALOA","CORTINA",NA,NA,24.43337,-107.113,"high confidence",24.43337,-107.113,NA,NA,NA,NA
"SINALOA","PUENTE JUAREZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","CHICURAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","EL PASO, IXTAPA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","MUELLE DE PROD. PESQUERO MATANCITAS","no",NA,25.147,-111.998,NA,NA,NA,25.147,-111.998,"Baja_California_Sur_South",NA
"SINALOA","ESTERO EL SACRIFICIO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","MARRON","no",NA,28.8122,-114.3768,NA,NA,NA,28.8122,-114.3768,"Baja_California_South",NA
"BAJA CALIFORNIA SUR","LOPEZ MATEOS","no",NA,25.192,-112.117,NA,NA,NA,25.192,-112.117,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","BUENAVISTA","no",NA,23.978954212963,-110.438337546296,"alert 1: multiple lat-long values in Hem's key that are more than 0.5 degree apart",23.978954212963,-110.438337546296,25.6691,-112.0808,"Baja_California_Sur_South",NA
"NAYARIT","BOCA DE AZADERO",NA,NA,21.643375,-105.4254787,"high confidence",21.643375,-105.4254787,NA,NA,NA,NA
"SINALOA","BARBARAZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","AGUACALIENTE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","ESTERO SAN JOSE B.C.N.","no",NA,30.42,-115.93,NA,NA,NA,30.42,-115.93,"Baja_California_Sur_North",NA
"SINALOA","SAN BUENAVENTURA",NA,NA,25.958,-108.231,"high confidence",25.958,-108.231,NA,NA,NA,NA
"SINALOA","DIQUE POROHUI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","TOPOLOBAMPO","yes",NA,25.602,-109.056,NA,NA,NA,25.602,-109.056,"Baja_California_South",NA
"BAJA CALIFORNIA SUR","PUNTA EL LIMON (EN ISLA CERRALVO)","yes",NA,24.2357,-109.8693,NA,NA,NA,24.2357,-109.8693,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","CAMPO EL COLORADO","yes",NA,24.733,-110.685,NA,NA,NA,24.733,-110.685,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","CAMPO CHESTER","no",NA,27.8583,-115.0444,NA,NA,NA,27.8583,-115.0444,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA SUR","BOCA DE FLOR DE MALVA","no",NA,24.132,-111.077,NA,NA,NA,24.132,-111.077,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA SUR","PTO CANCUN","no",NA,24.5597,-111.6402,NA,NA,NA,24.5597,-111.6402,"Baja_California_Sur_South",NA
"SINALOA","ARROYO LOS CAUGUES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","MOLINO VIEJO","no",NA,30.4822991666667,-115.978433472222,"high confidence",30.4822991666667,-115.978433472222,30.48,-115.98,"Baja_California_South",NA
"SINALOA","EL PERIHUETE",NA,NA,26.0055902777778,-108.392590833333,"high confidence",26.0055902777778,-108.392590833333,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","EL PALMAR","no",NA,23.2884,-110.1692,"alert 4: the lat-long values in Hem's key do not match the lat-long values in Mel's key by more than 2 degrees",25.72878,-111.418,23.2884,-110.1692,"Baja_California_Sur_South",NA
"NAYARIT","ZAPOTE DE PICACHOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","LAS SALINITAS",NA,NA,23.4597008333333,-106.600317777778,"high confidence",23.4597008333333,-106.600317777778,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","CAMPO EL DATIL (EN LA LAGUNA OJO DE LIEBRE)","no",NA,27.76,-113.91,NA,NA,NA,27.76,-113.91,"Baja_California_Sur_North",NA
