"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"CAMARON","CAMARON",NA,NA,"Sicyonia","Shrimps, prawns","Shrimps, prawns","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"Cetengraulis",NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"ATUN","ATUN",NA,NA,"Thunnus","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"BARRILETE","BARRILETE",NA,NA,"Katsuwonus","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"PIERNA","PIERNA",NA,NA,"Caulolatilus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ESMEDREGAL","ESMEDREGAL",NA,NA,"Seriola","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RONCO","BERRUGATA",NA,NA,"Menticirrhus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ABULON","ABULON",NA,NA,"NEI","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Megastraea","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Galeocerdo","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
