"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"OTRAS","OTRAS","cardenal","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","ballusa","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","baya","Mycteroperca jordani","Mycteroperca","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","condor","Lutjanus jordani","Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","barracuda","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","salmon","Caulolatilus affinis","Caulolatilus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","marlin","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","pintillo","Epinephelus analogus","Epinephelus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","pez gallo","Nematistius pectoralis","Nematistius","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","palmilla","Trachinotus rhodopus","Trachinotus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","cirujano","Acanthurus xanthopterus","Acanthurus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","monda","Oligoplites altus","Oligoplites","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","rayadillo","Microlepidotus inornatus","Microlepidotus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","pajarito","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","escorpion","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","dorado","Coryphaena hippurus","Coryphaena","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","pez vela","Istiophorus albicans","Istiophorus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","mona","Parapsettus panamensis","Parapsettus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","cabezon","Scorpaenichthys marmoratus","Scorpaenichthys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","bacalao negro","Anoplopoma fimbria","Anoplopoma","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","mulegino","Abudefduf troschelii","Abudefduf","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","agujon","Ablennes hians","Ablennes","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","chile","Synodus scituliceps","Synodus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","guabina","Dormitator latifrons","Dormitator","Freshwater fishes","Freshwater fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","buzo","Sphyraena ensis","Sphyraena","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","barbero","Acanthurus xanthopterus","Acanthurus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","salema","Peprilus snyderi","Peprilus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","loro","Nicholsina denticulata","Nicholsina","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","popoyote","Dormitator latifrons","Dormitator","Freshwater fishes","Freshwater fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","chihua","Eucinostomus argenteus","Eucinostomus","Demersal marine fishes","Marine or freshwater fishes NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","vaca","Caranx hippos","Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","anguila","Anguilla rostrata","Anguilla","Diadromous fishes","Diadromous fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","pescada","Stereolepis gigas","Stereolepis","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","ojudo","Selar crumenophthalmus","Selar","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","rasposa","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","maranguana","Epinephelus labriformis","Epinephelus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","yolo","Micropogonias ectenes","Micropogonias","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","chatarra","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","chivo","Mulloidichthys dentatus","Mulloidichthys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","cochinito","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","culebra","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","papelillo","Selene peruviana","Selene","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","pez sierra","Scomberomorus sierra","Scomberomorus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","popocha","Algansea popoche","Algansea","Freshwater fishes","Freshwater fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","chopa gris","Kyphosus elegans","Kyphosus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","pez sapo","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","charra","Eucinostomus¬†gracilis","Eucinostomus¬†gracilis","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","chocho","Hemicaranx zelotes","Hemicaranx","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","sabalote","Chanos chanos","Chanos","Diadromous fishes","Diadromous fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","zapatero","Oligoplites altus","Oligoplites","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","morena","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","mosco","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","choro","Mytilus californianus","Mytilus","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","barrasa","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","macabi","Elops affinis","Elops","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","vieja jaiba","NEI","NEI","Marine fishes NEI","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","cangrejo moro","NEI","NEI","Shrimps, prawns","Shrimps, prawns","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","menudo","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","blanquita","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","boquinete","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","arrayado","Lutjanus synagris","Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","lucio","Lutjanus analis","Lutjanus",NA,"Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS","OTRAS","machorro","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","cangrejo azul","Callinectes sapidus","Callinectes",NA,"Crustaceans","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS","OTRAS","barbilla","Polydactylus approximans","Polydactylus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","mapache","Pomadasys panamensis","Pomadasys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","mapo","Bathygobius ramosus","Bathygobius","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","fajado","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","guau","Lutjanus peru","Lutjanus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","chancla","NEI","NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","percebe","Pollicipes elegans","Pollicipes","Crustaceans","Crustaceans","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","boca colorada","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","salmonete","Mulloidichthys dentatus","Mulloidichthys","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","aguja","Strongylura exilis","Strongylura","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","corcovado","Orthopristis chalceus","Orthopristis","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","viuda","Sebastes entomelas","Sebastes","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","cucaracha","Evibacus princeps","Evibacus","Crustaceans","Crustaceans","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","pez pipa","Syngnathus abaster","Syngnathus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","barbon","Bagre pinnimaculatus","Bagre","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","frel","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","puro","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","catalineta","Chloroscombrus orqueta","Chloroscombrus","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","catan","Lepisosteus osseus","Lepisosteus","Freshwater fishes","Freshwater fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","totoaba","Totoaba macdonaldi","Totoaba","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","peje pluma","Calamus arctifrons","Calamus",NA,"Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS","OTRAS","chepe","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","bacin","Micropterus cataractae","Micropterus",NA,"Freshwater fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS","OTRAS","chapeta","Selene orstedii","Selene","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","pejerey","NEI","NEI","Marine fishes NEI","Marine fishes NEI","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","pez corneta","Fistularia commersonii","Fistularia","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","acumara","NEI","NEI","Marine species NEI","Marine species NEI","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","tijereta","Paranthias colonus","Paranthias","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to IHH key","genus derived from known species",NA
"OTRAS","OTRAS","rastreador","Menticirrhus americanus","Menticirrhus",NA,"Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"OTRAS","OTRAS","abanderado","Perissias¬†taeniopterus","Perissias¬†taeniopterus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","jorobado","Caranx lugubris","Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","vieja lora","NEI","NEI","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","rayado","Hoplopagrus guentherii","Hoplopagrus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"low confidence","mismatch between keys","genus derived from known species",NA
"OTRAS","OTRAS","pijolin","Centropomus robalito","Centropomus","Demersal marine fishes","Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","doradilla","Coryphaena hippurus","Coryphaena","Pelagic marine fishes","Pelagic marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","logical match in both keys","genus derived from known species",NA
"OTRAS","OTRAS","boquinegro","Haemulon flavolineatum","Haemulon",NA,"Demersal marine fishes","Assigned based genus name and IHH functional group",NA,"high confidence","match to Hem's key","genus derived from known species",NA
"ESPECIE GENERICA","OTRAS","especie generica","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"FAUNA","OTRAS","fauna acompa√±amiento","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic bycatch category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"FAUNA","OTRAS","fauna acompaÔøΩamiento","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic category; cannot assign species or genus.","not applicable","no data in keys","manual entry","NO"
"ORNATO","OTRAS","barbo","unknown",NA,NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of fish","not applicable","no data in keys","manual entry","NO"
"ORNATO","OTRAS","especies ornato","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","Generic ornamental category; cannot assign species or genus.","not applicable","no data in keys","manual entry","YES"
"ORNATO","OTRAS","estrella limpiadora","Luidia alternata","Luidia",NA,"Echinoderms","Assigned_Manually: OTRAS treated differently than other major groups","Sea stars; likely ornamental harvest","medium confidence","manual entry; medium confidence","manual entry","YES"
"ORNATO","OTRAS","peces ornato","unknown",NA,NA,"Marine fishes NEI","Assigned_Manually: OTRAS treated differently than other major groups","Generic ornamental fish category; cannot assign species or genus.","not applicable","no data in keys","manual entry","YES"
"ORNATO","OTRAS","pez payaso ornato","unknown","Amphiprion",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Clownfish, ornamental","not applicable","no data in keys","manual entry","YES"
"ORNATO","OTRAS","tetra rojo","unknown",NA,NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Red tetra; freshwater; likely ornamental","not applicable","no data in keys","manual entry","YES"
"OTRAS","OTRAS","abogado","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… ?","not applicable","no data in keys","manual entry","NO"
"OTRAS","OTRAS","acedia","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is…","not applicable","no data in keys","manual entry","NO"
"OTRAS","OTRAS","acocil","Cambarellus montezumae","Cambarellus",NA,"Other freshwater taxa","Assigned_Manually: OTRAS treated differently than other major groups","Freshwater crayfish","High","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS","OTRAS","agujilla","Belone belone","Belone",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","European garfish","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS","OTRAS","ala angel","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","I am assuming from context this is an angel fish","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS","OTRAS","arbolito","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… an algae perhaps?","not applicable","no data in keys","manual entry","NO"
"OTRAS","OTRAS","armado","Orthopristis chrisopterus","Orthopristis",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Porkfish / Sailfin grunt","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS","OTRAS","bacinico","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… a shellfish perhaps?","not applicable","no data in keys","manual entry",NA
"OTRAS","OTRAS","baina","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… A shelfish of some sort?","not applicable","no data in keys","manual entry","NO"
"OTRAS","OTRAS","balao","Hemiramphus balao¬†","Hemiramphus",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Balao halfbeak","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS","OTRAS","boca novia","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of drum or croaker","not applicable","no data in keys","manual entry","NO"
"OTRAS","OTRAS","bolin","Cyprinodon variegatus variegatus","Cyprinodon",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups","Sheepshead minnow","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS","OTRAS","botete amarillo","Sphoeroides annulatus","Sphoeroides",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Bullseye puffer","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS","OTRAS","botete diana","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Pufferfish?","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS","OTRAS","botete negro","Sphoeroides annulatus","Sphoeroides",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Bullseye puffer","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS","OTRAS","burriquete","unknown",NA,NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of porgy or grunt…","not applicable","conflicting matches in Hem's key and no data from IHH","manual entry","NO"
"OTRAS","OTRAS","caballito mar","unknown","Hippocampus",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Sea horse; likely ornamental","not applicable","no data in keys","manual entry","YES"
"OTRAS","OTRAS","caiman","Bathygobius soporator¬†","Bathygobius",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups","Frillfin goby","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS","OTRAS","callo hacha","unknown","Atrina",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS","OTRAS","callo hacha largo","unknown","Atrina",NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS","OTRAS","callo media luna","unknown",NA,NA,"Molluscs excl. Cephalopods","Assigned_Manually: OTRAS treated differently than other major groups","Some sort of scallop or oyster, check with experts if ornamental","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS","OTRAS","cangrejo ara√±a","unknown",NA,NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Spider crab","not applicable","no data in keys","manual entry","NO"
"OTRAS","OTRAS","cangrejo ermita√±o","Pagurus bernhardus","Pagurus",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Common hermit crab","high confidence","match to Hem's key","genus derived from known species","POSSIBLY"
"OTRAS","OTRAS","cangrejo ermitaÔøΩo","unknown","Pagurus",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Hermit crab","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS","OTRAS","cangrejo gallo","Calappa granulata","Calappa",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Red-spotted box crab","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS","OTRAS","cangrejo moro manglar","Ucides cordatus","Ucides",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Mangrove crab; ask experts if ornamental use","high confidence","manual entry; extremely high confidence","manual entry","POSSIBLY"
"OTRAS","OTRAS","cangrejo moteado roca","unknown",NA,NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Rock crab; ask experts if ornamental use","not applicable","no data in keys","manual entry","POSSIBLY"
"OTRAS","OTRAS","cangrejo pulpa","unknown",NA,NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Most likely Callinectes but cannot say for certain.","not applicable","no data in keys","manual entry","NO"
"OTRAS","OTRAS","cangrejo rey","Chaceon affinis","Chaceon",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Deep-sea red crab","high confidence","match to Hem's key","genus derived from known species","NO"
"OTRAS","OTRAS","cangrejo rojo roca","Grapsus grapsus","Grapsus",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups","Red rock crab; ask experts if ornamental use","high confidence","manual entry; extremely high confidence","manual entry","POSSIBLY"
"OTRAS","OTRAS","charchina","unknown",NA,NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups","I don't know what this is… an urchin perhaps?","not applicable","no data in keys","manual entry",NA
