"recorded_taxa_group","common_name_clean","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","IHH_functional_major_groups_sm","estimated_taxa_group","Major_Functional_Group"
"OTRAS","nacar callo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","marlin blanco","Tetrapturus albidus","high confidence","match to Hem's key","Tetrapturus","genus derived from known species",NA,NA,NA
"OTRAS","jordan","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","mataperro","Sphoeriodes testudinaeus","high confidence","match to Hem's key","Sphoeriodes","genus derived from known species",NA,NA,NA
"OTRAS","roca se","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","pez globo","unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,NA,NA
"OTRAS","loro jabonero","Nicholsina usta","high confidence","match to Hem's key","Nicholsina","genus derived from known species",NA,NA,NA
"OTRAS","balao","Hemiramphus balao ","high confidence","match to Hem's key","Hemiramphus","genus derived from known species",NA,NA,NA
"OTRAS","naca","Dormitator maculatus","high confidence","match to Hem's key","Dormitator","genus derived from known species",NA,NA,NA
"PECES DE ORNATO","molly","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","cangrejo araña","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","callo hacha largo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","lagarto","Synodus foetens","high confidence","match to Hem's key","Synodus","genus derived from known species",NA,NA,NA
"FAUNA","fauna acompa�amiento","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","medusa bola ca�on","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"ORNATO","especies ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","cangrejo ermita�o","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","botete diana","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"ORNATO","tetra rojo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","topote","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"ORNATO","peces ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"ORNATO","barbo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"ORNATO","pez payaso ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","cangrejo moro manglar","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"ORNATO","estrella limpiadora","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","cangrejo moteado roca","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
"OTRAS","cangrejo rojo roca","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA
