landing_site,clave,subregion,long,lat,dist,match_type,,
TOPOLOBAMPO,NA,NA,-109.05,25.6,NA,NA,yes,Sinaloa?
LA REFORMA,NA,NA,-108.054,25.047,NA,NA,yes,Sinaloa?
2 ARBOLITOS,NA,NA,NA,NA,NA,NA,yes,Baja Ca. Pacifica?
MUELLE PLANTA PESQUERA TABASQUENA O COMPLEJO,NA,5,NA,NA,NA,NA,yes,placeholder
PUNTA EL PESCADOR,NA,5,NA,NA,NA,NA,yes,unclear
RIBERA DE LA PRESA,NA,5,NA,NA,NA,NA,yes,placeholder
ACAPULCO,NA,NA,NA,NA,NA,NA,yes,Pacific?
MANZANILLO,NA,NA,NA,NA,NA,NA,yes,Pacific?
SAN LUIS POTOSI,NA,NA,NA,NA,NA,NA,yes,inland
SAN FELIPE,NA,NA,-114.845,31.025,NA,NA,yes,"Baja CA, Gulf of CA"
TENENCIA TEPUXTEPEC,NA,NA,NA,NA,NA,NA,yes,inland
RIB. ALTA 2DA SEC.,NA,NA,NA,NA,NA,NA,yes,inland
BAHIA DE LOS ANGELES,NA,NA,-113.557,28.956,NA,NA,yes,"Baja CA, Gulf of CA"
MAZATLAN,NA,NA,NA,NA,NA,NA,yes,"Pacific, Sinaloa"
PUERTO ANGEL,NA,NA,NA,NA,NA,NA,yes,Pacific?
PUNTA ABREOJOS,NA,NA,NA,NA,NA,NA,yes,"Pacific, BCS"
EL CASTILLO,NA,NA,NA,NA,NA,NA,yes,Carribean?
SANCHEZ MAGALLANES,NA,NA,NA,NA,NA,NA,yes,gulf of mexico?
PUERTO DE ABRIGO,NA,NA,NA,NA,NA,NA,yes,"Pacific, BCS"
PUERTO PE—ASCO,35,5.0035,-113.54,31.31,NA,NA,yes,
PTO ADOLFO LOPEZ MATEOS,NA,NA,NA,NA,NA,NA,yes,"Pacific, BCS"
PE—ASCO,35,5.0035,-113.54,31.31,NA,NA,yes,
LOS VALLECITOS,NA,NA,-109.42,23.31,NA,NA,yes,"gulf of mexico, BCS"
LOS PINITOS,NA,5,-110.898,27.872,NA,NA,yes,
