landing_site,clave,subregion,long,lat,State
SALADA LAGUNA,221,4.0221,-115.7502,32.5007,Baja California
SALDAMANDO PLAYA,70,1.007,-116.7576,31.9379,Baja California
SALIENTE PIEDRA,182,1.0181,-116.0274,30.5162,Baja California
SALINA LA,58,1.0058,-116.885,32.05,Baja California
SALINA MARISMA LA,217,1.0216,-115.8848,30.3922,Baja California
SALINA PUERTO,60,1.006,-116.883,32.032,Baja California
SALSIPUEDES,67,1.0067,-116.8176,31.9671,Baja California
SALSIPUEDES CANAL,28,4.0028,-113.0354,28.6891,Baja California
SALSIPUEDES EL BONITO,68,1.0068,-116.8176,31.9671,Baja California
SALSIPUEDES ISLA,27,4.0027,-112.98,28.7362,Baja California
SALSIPUEDES PUNTA,66,1.0066,-116.8308,31.9742,Baja California
SAN ANDRES PUERTO,296,1.0295,-114.286,28.706,Baja California
SAN ANGEL,172,1.0171,-116.0673,30.8169,Baja California
SAN ANTONIO,192,1.0191,-115.9482,30.46,Baja California
SAN ANTONIO DEL MAR,156,1.0155,-116.3047,31.0974,Baja California
SAN ANTONIO DEL MAR NORTE,9,1.0009,-117.087,32.4275,Baja California
SAN ANTONIO PIEDRA,22,4.0022,-112.8691,28.4328,Baja California
SAN ANTONIO PLAYA,153,4.0153,-114.7012,30.64,Baja California
SAN ANTONIO PUNTA,246,1.0245,-115.6841,29.7502,Baja California
SAN BENITO ISLOTE,318,1.0316,-114.09,28.306,Baja California
SAN BERNABE PIEDRA,35,4.0035,-113.2329,28.8305,Baja California
SAN CARLOS,167,4.0167,-114.697,30.728,Baja California
SAN CARLOS BAHÍA,252,1.0251,-115.4581,29.6027,Baja California
SAN CARLOS PUERTO,251,1.025,-115.4673,29.6173,Baja California
SAN CARLOS PUNTA,253,1.0252,-115.2534,29.5145,Baja California
SAN DIEGO PLAYA,201,4.0201,-114.8665,31.0975,Baja California
SAN ESTEBAN ISLA,2,4.0002,-112.5721,28.6999,Baja California
SAN FELIPE,195,4.0195,-114.8335,31.0173,Baja California
SAN FELIPE BAHÍA,194,4.0194,-114.8085,31.0125,Baja California
SAN FELIPE PLAYA,193,4.0193,-114.82470000000001,31.0076,Baja California
SAN FERMÍN PLAYA,132,4.0132,-114.631,30.4109,Baja California
SAN FERNANDO,188,4.0188,-114.725,30.9432,Baja California
SAN FERNANDO CAMPO,187,4.0187,-114.725,30.9432,Baja California
SAN FERNANDO PUNTA,247,1.0246,-115.608,29.6944,Baja California
SAN FRANCISCO,190,4.019,-114.8101,30.9855,Baja California
SAN FRANCISQUITO,18,4.0018,-112.8534,28.4092,Baja California
SAN FRANCISQUITO BAHÍA,19,4.0019,-112.8489,28.4432,Baja California
SAN FRANCISQUITO ENSENADA,104,4.0104,-114.384,29.8168,Baja California
SAN FRANCISQUITO PUNTA,20,4.002,-112.8429,28.4182,Baja California
SAN ISIDRO PUNTA,149,1.0148,-116.4121,31.2906,Baja California
SAN JACINTO,164,1.0163,-116.2132,30.9227,Baja California
SAN JACINTO PUNTA,168,1.0167,-116.1746,30.8622,Baja California
SAN JERONIMO ISLA,244,1.0243,-115.797,29.85,Baja California
SAN JOSE ARROYO,268,1.0267,-114.8703,29.276,Baja California
SAN JOSE ENSENADA,16,4.0016,-112.8558,28.3312,Baja California
SAN JOSE ESTERO Y PUERTO SAN JOSE,267,1.0266,-114.8703,29.2844,Baja California
SAN JOSE PUERTO,269,1.0268,-114.8703,29.2844,Baja California
SAN JOSÉ (LOS MAPACHES),15,4.0015,-112.8587,28.345,Baja California
SAN JOSÉ PUNTA,134,1.0133,-116.6002,31.4505,Baja California
SAN JUAN BAUTISTA BAHÍA,5,4.0005,-112.7887,28.0275,Baja California
SAN JUAN BAUTISTA PUNTA,6,4.0006,-112.7886,28.063,Baja California
SAN JUAN DE LAS PULGAS (VARADERO),137,1.0136,-116.4971,31.4048,Baja California
SAN LORENZO ISLA,25,4.0025,-112.8289,28.6336,Baja California
SAN LUIS GONZAGA,100,4.01,-114.3672,29.7675,Baja California
SAN LUIS GONZAGA BAHÍA,99,4.0099,-114.366,29.8875,Baja California
SAN LUIS ISLA,113,4.0113,-114.4275,29.9739,Baja California
SAN MARTIN BAHÍA,282,1.0281,-118.403,29.032,Baja California
SAN MARTÍN GOLFO ISLA,173,4.0173,-114.7022,30.8163,Baja California
SAN MARTÍN ISLA,183,1.0182,-116.109,30.489,Baja California
SAN MIGUEL,73,1.0073,-116.7283,31.8988,Baja California
SAN MIGUEL ( SUR DE BAH. LOS ANGELES),10,4.001,-112.781,28.181,Baja California
SAN MIGUEL (BAHÍA ),74,1.0074,-116.7283,31.8988,Baja California
SAN MIGUEL CABO,11,4.0011,-112.7871,28.1921,Baja California
SAN MIGUEL PUNTA,72,1.0072,-116.7518,31.9028,Baja California
SAN PEDRO MARTIR ISLA,1,4.0001,-112.3331,28.3721,Baja California
SAN QUINTIN,189,1.0188,-115.9719,30.467,Baja California
SAN QUINTIN (LITORALES),179,1.0178,-116.0259,30.5504,Baja California
SAN QUINTIN BAHÍA,187,1.0186,-115.9672,30.4676,Baja California
SAN QUINTIN BAHÍA DE,202,1.0201,-115.9672,30.4676,Baja California
SAN QUINTIN CABO,226,1.0225,-115.8133,30.3246,Baja California
SAN QUINTIN ESTERO,188,1.0187,-115.9672,30.4676,Baja California
SAN QUINTIN PLAYA,190,1.0189,-115.9539,30.4667,Baja California
SAN RAFAEL BAHÍA,305,1.0304,-114.077,28.5003,Baja California
SAN RAFAEL GOLFO BAHÍA,29,4.0029,-113.0683,28.525,Baja California
SAN RAFAEL PLAYA,30,4.003,-113.1228,28.5766,Baja California
SAN RAMÓN BAHÍA,175,1.0174,-116.0482,30.7401,Baja California
SAN RAMÓN CAMPO,178,1.0177,-116.0356,30.5572,Baja California
SAN RAMÓN PLAYAS,181,1.018,-116.0411,30.5404,Baja California
SAN TELMO BOCANA,163,1.0162,-116.2424,30.932,Baja California
SAN TELMO PUNTA,162,1.0161,-116.2422,30.9344,Baja California
SANDINI,41,1.0041,-116.986,32.2613,Baja California
SANTA CATARINA,255,1.0254,-115.221,29.486,Baja California
SANTA CATARINA PLAYA,146,4.0146,-114.6676,30.584,Baja California
SANTA CATARINA PUERTO,145,4.0145,-114.6676,30.584,Baja California
SANTA FE CAMPO,158,4.0158,-114.6963,30.67,Baja California
SANTA MARIA CAMPO LÓPEZ,54,1.0054,-116.86,32.132,Baja California
SANTA MARÍA BAHÍA,219,1.0218,-115.934,30.38,Baja California
SANTA MARÍA GOLFO BAHÍA,169,4.0169,-114.6929,30.7443,Baja California
SANTA MARÍA PLAYA,211,1.021,-115.974,30.405,Baja California
SANTA MONICA SUR,19,1.0019,-117.0724,32.374,Baja California
SANTA ROSALILLITA BAHÍA,301,1.03,-114.1935,28.6432,Baja California
SANTA ROSALILLITA CALETA,299,1.0298,-114.242,28.654,Baja California
SANTA ROSALILLITA CAMPO,300,1.0299,-114.242,28.656,Baja California
SANTA ROSALILLITA PUNTA,298,1.0297,-114.2554,28.6602,Baja California
SANTA TERESA BAHÍA,12,4.0012,-112.7949,28.2011,Baja California
SANTA TERESA CAMPO,134,4.0134,-114.6338,30.45,Baja California
SANTO DOMINGO (VARADERO),322,1.0321,-114.09,28.257,Baja California
SANTO DOMINGO MORRO,324,1.0323,-114.1,28.0406,Baja California
SANTO TOMÁS CALETA,127,1.0126,-116.6838,31.52,Baja California
SANTO TOMÁS PUERTO,126,1.0125,-116.6838,31.534300000000002,Baja California
SANTO TOMÁS PUNTA,125,1.0124,-116.69,31.534300000000002,Baja California
SARABIA CAMPO,180,1.0179,-116.0259,30.5504,Baja California
SAUCES LOS,203,1.0202,-115.943,30.4389,Baja California
SAUZAL EL,76,1.0076,-116.6839,31.884,Baja California
SAUZAL PLAYA,75,1.0075,-116.6839,31.884,Baja California
SEBASTIAN VIZCAINO BAHÍA,329,1.0328,-114.1916,28.105,Baja California
SEIS EL,208,1.0207,-115.9821,30.429,Baja California
SILICA PLAYA LA,58,4.0058,-113.5558,28.9439,Baja California
SMITH DE CORONADO ISLA,12,1.0012,-117.2319,32.4096,Baja California
SOCORRITO EL,227,1.0226,-115.8115,30.3177,Baja California
SOCORRO CALETA EL,229,1.0228,-115.81,30.2857,Baja California
SOCORRO PLAYA,228,1.0227,-115.8094,30.2857,Baja California
SODLEDAD ROCAS,341,1.034,-116.708,31.569,Baja California
SOL COSTA DEL,32,1.0032,-117.0377,32.29,Baja California
SOL PLAYA,200,4.02,-114.8608,31.0886,Baja California
SOLDADO PUNTA EL,39,4.0039,-113.3624,28.8723,Baja California
SOLEDAD BAHÍA,119,1.0118,-116.6596,31.5811,Baja California
SOLEDAD ROCAS LA,122,1.0121,-116.6959,31.5525,Baja California
SOUH KELP,335,1.0334,-117.221,32.375,Baja California
SUGAR ROCK,338,1.0337,-116.998,32.246,Baja California
SUR EL CAMPITO,232,1.0231,-115.7878,30.1465,Baja California
TAMPICO,139,1.0138,-116.47,31.3505,Baja California
TECOLOTE ENSENADA,89,4.0089,-113.7703,29.4181,Baja California
TEPEYAC CAMPO,283,1.0282,-118.385,28.974,Baja California
TERMOELÉCTRICA TIJUANA,20,1.002,-117.072,32.3726,Baja California
TIJERETA PUNTA LA,98,4.0098,-114.292,29.7657,Baja California
TIJUANA,1,1.0001,-117.034,32.5334,Baja California
TIJUANA PLAYAS,2,1.0002,-117.124,32.525,Baja California
TIO SAM,26,1.0026,-117.0485,32.315,Baja California
TOBA CAMPO,133,4.0133,-114.6338,30.43,Baja California
TODOS SANTOS ISLOTES,89,1.0088,-116.7815,31.7995,Baja California
TOMATAL EL,308,1.0307,-114.037,28.472,Baja California
TOMATAL PUNTA EL,307,1.0306,-114.06,28.494,Baja California
TORRE MOCHA,323,1.0322,-114.057,28.2523,Baja California
TORRESCANO BAHÍA,100,1.0099,-116.7296,31.7261,Baja California
TRANQUILA PLAYA,230,1.0229,-115.7854,30.1586,Baja California
TRES HERMANOS,96,1.0095,-116.7052,31.7339,Baja California
TRES TORRES,313,1.0312,-114.0663,28.3553,Baja California
TURISTICO VALLARTA CAMPO,142,4.0142,-114.6504,30.5443,Baja California
VALLE TRANQUILO,215,4.0215,-114.8907,31.2532,Baja California
VALLE TRANQUILO EJIDO,214,4.0214,-114.8907,31.2532,Baja California
VEINTISIETE DE ENERO,155,1.0154,-116.3035,31.1043,Baja California
VENTANA ISLA,52,4.0052,-113.5032,28.9921,Baja California
VENUZTIANO CARRANZA PUERTO,330,1.0329,-114.1106,28.033,Baja California
VERGEL EL,161,4.0161,-114.7014,30.695,Baja California
VIBORA LA,3,4.0003,-113.2603,29.284,Baja California
VIEJO CAMPO,234,1.0233,-115.7857,30.131,Baja California
VIEJO MOLINO,186,1.0185,-115.98,30.48,Baja California
VIEJO PUERTO,331,1.033,-114.1097,28.015,Baja California
VILLARINO,106,1.0105,-116.6736,31.7145,Baja California
VIOLETA LA,136,4.0136,-114.6288,30.4827,Baja California
VOLCAN PRIETO PUNTA,123,4.0123,-114.6469,30.2165,Baja California
VOLCAN SUDOESTE,205,1.0204,-116.0135,30.4379,Baja California
VOLCANES LOS,196,1.0195,-116.0163,30.4525,Baja California
WIDO EL,312,1.0311,-114.066,28.366,Baja California
WILLARD ISLA,105,4.0105,-114.3865,29.8171,Baja California
WILLARD PUNTA,106,4.0106,-114.3945,29.8256,Baja California
XANIC PLAYA,148,4.0148,-114.6718,30.5824,Baja California
ZEPELÍN EL,114,1.0113,-116.6863,31.6968,Baja California
