group,common_name,scientific_name,status,control,range,OHI_region,carta_year,notes
clam,Almeja chocolata café,Megapitaria squalida,maximally harvested,no increase,yes,region_8,2023,"Within region variation in status, took most conservative"
clam,Almeja chocolata café,Megapitaria squalida,unclear,NA,yes,region_9,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,maximally harvested,no increase,yes,region_1,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,maximally harvested,no increase,yes,region_2,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,maximally harvested,no increase,yes,region_3,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,maximally harvested,no increase,yes,region_4,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,unclear,NA,yes,region_5,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,unclear,NA,yes,region_6,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,unclear,NA,yes,region_7,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,maximally harvested,no increase,yes,region_8,2023,"Within region variation in status, took most conservative"
clam,"Almeja chocolata roja, almeja reina",Megapitaria aurantiaca,unclear,NA,yes,region_9,2023,"Within region variation in status, took most conservative"
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,NA,NA,no,region_1,2023,new fishery
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,NA,NA,no,region_2,2023,new fishery
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,development potential,NA,yes,region_3,2023,new fishery
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,development potential,NA,yes,region_4,2023,new fishery
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,NA,NA,no,region_5,2023,new fishery
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,NA,NA,no,region_6,2023,new fishery
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,NA,NA,no,region_7,2023,new fishery
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,NA,NA,no,region_8,2023,new fishery
clam,"Almeja concha espina, concha burra, almeja burra",Spondylus crassisquama,NA,NA,no,region_9,2023,new fishery
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,maximally harvested,no increase,yes,region_1,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,maximally harvested,no increase,yes,region_2,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,NA,NA,no,region_3,2023,Only in Baja California
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,NA,NA,no,region_4,2023,Only in Baja California
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,NA,NA,no,region_5,2023,Only in Baja California
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,NA,NA,no,region_6,2023,Only in Baja California
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,NA,NA,no,region_7,2023,Only in Baja California
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,NA,NA,no,region_8,2023,Only in Baja California
clam,"Almeja generosa, almeja de sifón, almeja chiluda",Panopea generosa,NA,NA,no,region_9,2023,Only in Baja California
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,maximally harvested,no increase,yes,region_1,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,maximally harvested,no increase,yes,region_2,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,maximally harvested,no increase,yes,region_3,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,maximally harvested,no increase,yes,region_4,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,maximally harvested,no increase,yes,region_5,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,maximally harvested,no increase,yes,region_6,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,maximally harvested,no increase,yes,region_7,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,NA,NA,no,region_8,2023,"Within region variation in status, took most conservative"
clam,"Almeja generosa, globosa, almeja de sifón, almeja chiluda",Panopea globosa,NA,NA,no,region_9,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,maximally harvested,no increase,yes,region_1,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,maximally harvested,no increase,yes,region_2,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,maximally harvested,no increase,yes,region_3,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,maximally harvested,no increase,yes,region_4,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,NA,NA,no,region_5,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,NA,NA,no,region_6,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,NA,NA,no,region_7,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,maximally harvested,no increase,yes,region_8,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de mangle, almeja negra",Anadara tuberculosa,maximally harvested,no increase,yes,region_9,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,maximally harvested,no increase,yes,region_1,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,maximally harvested,no increase,yes,region_2,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,maximally harvested,no increase,yes,region_3,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,maximally harvested,no increase,yes,region_4,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,NA,NA,no,region_5,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,NA,NA,no,region_6,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,NA,NA,no,region_7,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,maximally harvested,no increase,yes,region_8,2023,"Within region variation in status, took most conservative"
clam,"Almeja pata de mula de banco, ala de ángel",Larkinia multicostata,maximally harvested,no increase,yes,region_9,2023,"Within region variation in status, took most conservative"
clam,Almeja pata de mula,Larkinia grandis,maximally harvested,no increase,yes,region_1,2023,"Within region variation in status, took most conservative"
clam,Almeja pata de mula,Larkinia grandis,maximally harvested,no increase,yes,region_2,2023,"Within region variation in status, took most conservative"
clam,Almeja pata de mula,Larkinia grandis,maximally harvested,no increase,yes,region_3,2023,"Within region variation in status, took most conservative"
