"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"sharks","TIBURON","echinorhinus","echinorhinus cookei","BAJA CALIFORNIA SUR, SINALOA",273
"sharks","TIBURON","galeocerdo","galeocerdo cuvier","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",76
"sharks","TIBURON","galeocerdo","galeocerdo cuvier","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",202
"sharks","TIBURON","galeorhinus","galeorhinus galeus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",327
"sharks","TIBURON","ginglymostoma","ginglymostoma cirratum","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA",462
"sharks","TIBURON","isurus","isurus oxyrinchus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",4013
"sharks","TIBURON","isurus","isurus oxyrinchus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",1363
"sharks","TIBURON","lamna","lamna ditropis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",1609
"sharks","TIBURON","mustelus","mustelus lunulatus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",101
"sharks","TIBURON","mustelus","mustelus albipinnis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",4302
"sharks","TIBURON","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",35567
"sharks","TIBURON","nasolamia","nasolamia velox","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",752
"sharks","TIBURON","negaprion","negaprion brevirostis","BAJA CALIFORNIA, SINALOA, SONORA",3
"sharks","TIBURON","negaprion","negaprion brevirostris","BAJA CALIFORNIA, SINALOA",6
"sharks","TIBURON","negaprion","negaprion brevirostris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",144
"sharks","TIBURON","prionace","prionace glauca","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",4659
"sharks","TIBURON","prionace","prionace glauca","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",1636
"sharks","TIBURON","rhizoprionodon","rhizoprionodon longurio","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",125
"sharks","TIBURON","sphyrna","sphyrna lewini","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",333
"sharks","TIBURON","sphyrna","sphyrna mokarran","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",381
"sharks","TIBURON","sphyrna","sphyrna zygaena","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",4914
"sharks","TIBURON","sphyrna","sphyrna corona","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",230
"sharks","TIBURON","sphyrna","sphyrna mokarran","BAJA CALIFORNIA SUR, SINALOA",5
"sharks","TIBURON","sphyrna","sphyrna tiburo","SONORA",1
"sharks","TIBURON","sphyrna","sphyrna zygaena","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",1038
"sharks","TIBURON","squatina","squatina squatina","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",18054
"sharks","TIBURON","sypyrna","sypyrna mokarran","SINALOA",1
"sharks","TIBURON","triakis","triakis semifasciata","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA",4
"sharks","TIBURON",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",467
"shrimps, prawns","CAMARON","farfantepenaeus","farfantepenaeus brevirostris","JALISCO, NAYARIT, SINALOA, SONORA",1256
"shrimps, prawns","CAMARON","litopenaeus","litopenaeus vannamei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",72321
"shrimps, prawns","CAMARON","litopenaeus","litopenaeus stylirostris","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",184
"shrimps, prawns","CAMARON","metapenaeus","metapenaeus monoceros","SINALOA",3
"shrimps, prawns","CAMARON","nei","nei","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",44042
"shrimps, prawns","CAMARON","penaeus","penaeus californiensis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",109234
"shrimps, prawns","CAMARON","penaeus","penaeus stylirostris","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",195327
"shrimps, prawns","CAMARON","penaeus","penaeus vannamei","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",35356
"shrimps, prawns","CAMARON","rimapenaeus","rimapenaeus faoe","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",55
"shrimps, prawns","CAMARON","rimapenaeus","rimapenaeus pacificus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",2908
"shrimps, prawns","CAMARON","sicyonia","sicyonia dorsalis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",1008
"shrimps, prawns","CAMARON","xiphopenaeus","xiphopenaeus riveti","NAYARIT, SINALOA, SONORA",19
"shrimps, prawns","CAMARON",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",84263
"shrimps, prawns","LANGOSTINO","nei","nei","BAJA CALIFORNIA, JALISCO, NAYARIT, SINALOA, SONORA",15
"shrimps, prawns","LANGOSTINO",NA,"unknown","JALISCO, NAYARIT, SINALOA, SONORA",81
"shrimps, prawns","OTRAS","nei","nei","BAJA CALIFORNIA, SINALOA, SONORA",3093
"unknown","ESPECIE GENERICA","unknown","unknown","BAJA CALIFORNIA, SINALOA, SONORA",19
"unknown","FAUNA","unknown","unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",1262
"unknown","ORNATO","unknown","unknown","BAJA CALIFORNIA",17
"unknown","OTRAS","unknown","unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1159
"unknown","PECES DE ORNATO","unknown","unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA, SONORA",1143
NA,"OTRAS",NA,NA,"BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, SINALOA, SONORA",26
