"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"demersal marine fishes","LENGUADO","brotula","brotula clarkae","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",15352
"demersal marine fishes","LENGUADO","citharichthys","citharichthys sordidus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",136
"demersal marine fishes","LENGUADO","mulloidichthys","mulloidichthys dentatus","SINALOA, SONORA",2
"demersal marine fishes","LENGUADO","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",57181
"demersal marine fishes","LENGUADO",NA,"unknown","BAJA CALIFORNIA SUR, SINALOA, SONORA",11
"demersal marine fishes","LISA","mugil","mugil cephalus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",39754
"demersal marine fishes","LISA","mugil","mugil cephalus","BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",18898
"demersal marine fishes","LISA","mugil","mugil curema","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",18389
"demersal marine fishes","LISA","nei","nei","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",8017
"demersal marine fishes","LISA","polydactylus","polydactylus approximans","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",5
"demersal marine fishes","LISA",NA,"unknown","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, SINALOA",9
"demersal marine fishes","MERO","epinephelus","epinephelus spp","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",3815
"demersal marine fishes","MERO","epinephelus","epinephelus itajara","NAYARIT, SINALOA, SONORA",14
