"state_reported","office_name_reported","landing_site_reported","year_reported","month_reported","receipt_date_reported","period_start_reported","period_end_reported","eu_rnpa_reported","eu_name_reported","vessel_rnpa_reported","vessel_name_reported","fleet_reported","aquaculture_reported","est_aquaculture_production","est_sector","taxa_group_reported","est_taxa_group","taxa_name_reported","clean_taxa_name","common_name_clean","scientific_name_reported","est_Major_Functional_Group","landed_weight_reported","live_weight_reported","est_weight_kg","value_reported"
"SINALOA","MAZATLAN","EMBARCADERO ISLA DE LA PIEDRA",2018,8,2018-08-14,2018-08-02,2018-08-13,"2508013667","MARCELINO RODRIGUEZ GONZALEZ","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","TIBURON","TIBURON","TORO ENT. FCO. (CARCHARHINUS LEUCAS)","TORO (CARCHARHINUS LEUCAS)","toro","Carcharhinus Leucas","sharks",200,200,200,2000
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SAN BRUNO (EN SANTA ROSALIA)",2021,4,2021-04-20,2021-04-17,2021-04-19,"0312001100","MARIO MONTES MORA","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","ROCOTE DESV. FCO.","ROCOTE","rocote",NA,"demersal marine fishes",231,254.1,254.1,8085
"NAYARIT","SAN BLAS","ATICAMA",2011,6,2011-06-11,2011-06-09,2011-06-11,"1802001527","SSS IND Y COMERCIALIZACION EN GENERAL LA COYULA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","PICUDA ENT. FCA.","PICUDA","picuda",NA,"pelagic marine fish (excl. anchovy & sardine)",500,500,500,6000
"BAJA CALIFORNIA SUR","LA PAZ","SAN EVARISTO",2020,1,2020-01-29,2020-01-21,2020-01-28,"0305007643","JOSE  ANTONIO HIGUERA DE LOS REYES","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JUREL","ESMEDREGAL","JUREL ENT. FCO. (SERIOLA LALANDI)","JUREL (SERIOLA LALANDI)","jurel","Seriola Lalandi","pelagic marine fish (excl. anchovy & sardine)",493,493,493,9860
"NAYARIT","CRUZ DE HUANACAXTLE","CRUZ DE HUANACAXTLE, LA",2013,9,2013-09-09,2013-09-08,2013-09-09,"1807000722","FELIPE JIMENEZ BERNAL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","ROBALO","ROBALO","ROBALO DESV. FCO.","ROBALO","robalo",NA,"demersal marine fishes",80,88,88,4800
"SINALOA","CULIACAN",NA,2023,6,2023-06-29,NA,NA,"2501004051","MIGUEL MONTOYA AGUIRRE","25316225","MIGUEL MONTOYA AGUIRRE",NA,NA,"likely aquaculture","marine: aquaculture","CAMARON","CAMARON","CAMARON BLANCO DE CULTIVO ENT. FCO.","CAMARON BLANCO","camaron blanco",NA,"shrimps, prawns",600,600,600,60000
"SONORA","PUERTO PEÑASCO","PUERTO PEÑASCO",2014,12,2014-12-12,2014-10-29,2014-12-11,"2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00039032","LUIS II",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON CAFE DESC. FCO.","CAMARON CAFE","camaron cafe",NA,"shrimps, prawns",800,1280,1280,48000
"SINALOA","CULIACAN","EL SALTO (PRESA)",2023,3,2023-03-26,2023-03-26,2023-03-29,"2501001594","SCPP ACUICOLA Y TURISTICA ARROYO CHIRIMOLE S.C. DE R.L. DE C.V.","0000000_",NA,"small_scale",NA,"possibly aquaculture","marine: small-scale capture","OTRAS","OTRAS","OTRAS ESPECIES ALETA DE FCA.","OTRAS ESPECIES","otras especies",NA,"marine species nei",454,0,454,20430
"SINALOA","MAZATLAN","PUENTE JUAREZ",2018,10,2018-10-30,2018-10-15,2018-10-22,"2508017551","JUAN CARLOS MADRIGAL AVALOS","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","COCHI ENT. FCO.","COCHI","cochi",NA,"demersal marine fishes",25,25,25,500
"SINALOA","ESCUINAPA","LA BRECHA TEACAPAN",2025,3,2025-03-23,2025-03-16,2025-03-22,"2504000973","BENITO RAYGOZA AGUILAR","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","SIERRA","SIERRA","SIERRA ENT. FCA.","SIERRA","sierra",NA,"pelagic marine fish (excl. anchovy & sardine)",240,240,240,4800
"SONORA","GUAYMAS","GUAYMAS",2019,12,2019-12-27,2019-11-26,2019-12-26,"2604007720","PESQUERA SELECTA DE GUAYMAS SA DE CV","00024067","SELECTA 16","large_scale",NA,"possibly aquaculture","marine: large-scale capture","CAMARON","CAMARON","CAMARON CAFE DESC. FCO.","CAMARON CAFE","camaron cafe",NA,"shrimps, prawns",700,1120,1120,42000
"SONORA","GUAYMAS","GUAYMAS",2008,3,2008-03-20,2008-02-28,2008-03-20,"2604011300","PESQUERA NUEVA SA DE CV","00041434","CHUYITO XXV",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",388,620.8,620.8,38800
"BAJA CALIFORNIA","EL ROSARIO","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2001,3,2001-03-09,2001-08-21,2001-08-21,"0203008040","UP DE PESCA DPTVA Y SERV TURIS LOS VOLCANES","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","ROCOTE ENT. FCO.","ROCOTE","rocote",NA,"demersal marine fishes",1318,1318,1318,19770
"NAYARIT","CRUZ DE HUANACAXTLE","BUCERIAS",2017,8,2017-08-31,2017-08-29,2017-08-31,"1807000805","LUCIO GARCIA AMARAL","00000000","",NA,"no","possibly aquaculture","freshwater or marine: fishery sector yet to be classified","MOJARRA","MOJARRA","MOJARRA DESV. FCO.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",200,220,220,4000
"SINALOA","MAZATLAN","MAZATLAN",2017,1,2017-01-02,2017-12-14,2017-12-27,"2508005523","PESCA GAGUI, SA DE CV","00016816","MEMILLO VII (MARIANA)",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON CAFE DESC. FCO.","CAMARON CAFE","camaron cafe",NA,"shrimps, prawns",351,561.6,561.6,35100
"SINALOA","MAZATLAN","ESTERO DE URIAS",2019,8,2019-08-31,2019-08-21,2019-08-31,"2508012503","PEDRO URIBE OSUNA","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","RAYADILLO ENT. FCO.","RAYADILLO","rayadillo",NA,"demersal marine fishes",40,40,40,320
"SONORA","GUAYMAS","GUAYMAS",2010,6,2010-06-03,2010-05-14,2010-05-31,"2604005542","INSTITUTO NACIONAL DE PESCA","00049635","BIP XI",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","MACARELA","MACARELA","MACARELA ENT. FCA.","MACARELA","macarela",NA,"pelagic marine fish (excl. anchovy & sardine)",30,30,30,0
"SINALOA","NAVOLATO","LAS PUENTES",2023,4,2023-04-28,2023-04-23,2023-04-24,"2501000406","SCPP GRAL MACARIO GAXIOLA SCL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",3345,3345,3345,100350
"SONORA","GUAYMAS","GUAYMAS",2016,3,2016-03-07,2016-03-01,2016-03-07,"2604007704","SELECTA DE GUAYMAS, S.A. DE C.V.","00059014","SELECTA V",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","SARDINA","SARDINA","SARDINA CRINUDA IND.","SARDINA CRINUDA","sardina crinuda",NA,"anchovy & sardine (small pelagics)",30000,34800,34800,45300
"NAYARIT","SAN BLAS","BOCA DEL ASADERO",2021,4,2021-04-30,2021-04-06,2021-04-30,"1802002368","JOSE RAFAEL REGALADO JACOBO","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",620,620,620,4960
"SINALOA","MAZATLAN","MAZATLAN",2017,10,2017-10-30,2017-09-16,2017-10-25,"2508009921","PESQUERA LA MIRADA, SA DE CV","00055673","DOÑA AURELIA",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",7344,11750.4,11750.4,2570400
"SONORA","HUATABAMPO","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2003,6,2003-06-18,NA,NA,"2609001173","SCPP Y A PESCADORES DE HUATABAMPO SCL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","PAYASO DESV. Y DESC. FCO.","PAYASO","payaso",NA,"demersal marine fishes",500,625,625,4000
"SONORA","GUAYMAS","GUAYMAS",2019,12,2019-12-06,2019-11-22,2019-11-25,"2604007704","SELECTA DE GUAYMAS, S.A. DE C.V.","00059014","SELECTA V","large_scale",NA,"unlikely aquaculture","marine: large-scale capture","ANCHOVETA","ANCHOVETA","ANCHOVETA ENT. FCA. (ENGRAULIS MORDAX)","ANCHOVETA (ENGRAULIS MORDAX)","anchoveta","Engraulis Mordax","anchovy & sardine (small pelagics)",199600,231536,231536,399200
"SINALOA","NAVOLATO","EL CASTILLO",2015,4,2015-04-28,2015-04-28,2015-04-28,"2509000754","JESUS RAMON ARREOLA MORALES","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","LISA","LISA","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","lisa","Mugil Cephalus","demersal marine fishes",500,500,500,5000
"SINALOA","MAZATLAN","PUENTE JUAREZ",2018,4,2018-04-11,2018-04-01,2018-04-10,"2508013501","ISRAEL AVILES PACHECO","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",100,100,100,600
"SINALOA","GUASAVE",NA,2024,6,2024-06-17,NA,NA,"2505051447","SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA Y ACUICOLA NUCY SC DE RL DE CV","25319468","ACUICOLA NUCY",NA,NA,"likely aquaculture","marine: aquaculture","CAMARON","CAMARON","CAMARON BLANCO DE CULTIVO ENT. FCO.","CAMARON BLANCO","camaron blanco",NA,"shrimps, prawns",3300,3300,3300,165000
"NAYARIT","SAN BLAS","LA NUEVA ""U""",2022,4,2022-04-24,2022-04-24,2022-04-24,"1802001865","SCPP Y DE SERVICIOS PIEDRA DE LA CAMPANA SC RL CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","BURRO ENT. FCO.","BURRO","burro",NA,"demersal marine fishes",300,300,300,4500
