"state_reported","office_name_reported","landing_site_reported","year_reported","month_reported","receipt_date_reported","period_start_reported","period_end_reported","eu_rnpa_reported","eu_name_reported","vessel_rnpa_reported","vessel_name_reported","fleet_reported","aquaculture_reported","est_aquaculture_production","est_sector","taxa_group_reported","est_taxa_group","taxa_name_reported","clean_taxa_name","common_name_clean","scientific_name_reported","est_Major_Functional_Group","landed_weight_reported","live_weight_reported","est_weight_kg","value_reported"
"SINALOA","MAZATLAN","PLAYA SUR",2023,2,2023-02-24,2023-01-18,2023-01-22,"2508012412","CRESCENCIO LIZARRAGA OCHOA","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","LISA","LISA","LISA ENT. FCA.","LISA","lisa",NA,"demersal marine fishes",40,40,40,800
"SINALOA","MAZATLAN","MAZATLAN",2015,11,2015-11-25,2015-10-30,2015-11-23,"2508009202","DIOS Y HOMBRE, SA DE CV","00055038","SANTA MARIA GUADALUPE",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","LENGUADO","LENGUADO","LENGUA ENT. FCA.","LENGUA","lengua",NA,"demersal marine fishes",210,210,210,6300
"SONORA","PUERTO PE�ASCO","REC PORTUARIO",2024,9,2024-09-19,2024-09-15,2024-09-17,"2607004328","OCTAVIO ORTIZ VALENZUELA","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",3400,3400,3400,40800
"BAJA CALIFORNIA","SAN FELIPE","SAN LUIS GONZAGA",2024,6,2024-06-24,2024-06-22,2024-06-24,"0207001256","SCPP RIB MARELBA LEYMOR SCL","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",50,50,50,1000
"NAYARIT","TUXPAN",NA,2022,9,2022-09-23,2022-09-23,2022-09-23,"1805003041","SILVESTRE ESTRADA Y FAM SPR DE RL","18027045","EL HUAJILLO",NA,NA,"likely aquaculture","marine: aquaculture","CAMARON","CAMARON","CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","camaron blanco","Litopenaeus Vannamei","shrimps, prawns",1000,1000,1000,50000
"SINALOA","LOS MOCHIS","CAMPO EL COLORADO",2019,2,2019-02-01,2019-01-29,2019-01-31,"2507005664","SCPP ISLA DE LOS CABALLOS PICAROS SC DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","LISA","LISA","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","lisa","Mugil Cephalus","demersal marine fishes",1000,1000,1000,5000
"SINALOA","LA REFORMA","LA REFORMA",2017,6,2017-06-16,2017-06-13,2017-06-15,"2506002043","ERNESTO   CASTRO  GAXIOLA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","LISA","LISA","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","lisa","Mugil Cephalus","demersal marine fishes",2200,2200,2200,26400
"SINALOA","MAZATLAN","PLAYA SUR",2011,10,2011-10-01,2011-09-16,2011-10-01,"2508013261","JOSE SALVADOR GASTELUM ZUñIGA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",80,80,80,240
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA (B.C.S.)",2007,4,2007-04-23,2007-04-21,2007-04-23,"0312002579","SCPP CUESTA HNO SC DE RL","00000000","",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","VIEJA DESV. FCA.","VIEJA","vieja",NA,"demersal marine fishes",70,77,77,560
"SINALOA","MAZATLAN","MAZATLAN",2016,1,2016-01-04,2016-12-12,2016-12-31,"2508005879","PESQUERA JALILI, SA DE CV","00055624","JALILI II",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","BERRUGATA","BERRUGATA","BERRUGATA ENT. FCA.","BERRUGATA","berrugata",NA,"demersal marine fishes",120,120,120,600
"NAYARIT","SAN BLAS","BOCA DEL ASADERO",2016,5,2016-05-21,2016-05-19,2016-05-21,"1802002335","PEDRO MORA VENTURA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","CHABELITA ENT. FCA.","CHABELITA","chabelita",NA,"pelagic marine fish (excl. anchovy & sardine)",55,55,55,385
"JALISCO","PUERTO VALLARTA","BAHIA LOS PEINES Y EL SALADO",2009,11,2009-11-20,2009-11-15,2009-11-20,"1406000032","S.C.P.P. VICENTE RIVA PALACIOS S.C. DE R.L.","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","PARGO","GUACHINANGO","PARGO ENT. FCO.","PARGO","pargo",NA,"demersal marine fishes",100,100,100,6000
"NAYARIT","TUXPAN",NA,2018,5,2018-05-07,2018-05-07,2018-05-07,"1805002571","POLICARPIO DURAN FABIAN","18028092","GRANJA CAMARONERA CULTIVOS DURAN",NA,NA,"likely aquaculture","marine: aquaculture","CAMARON","CAMARON","CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","camaron blanco","Litopenaeus Vannamei","shrimps, prawns",1000,1000,1000,82000
"SONORA","PUERTO PEÑASCO","PUERTO PEÑASCO",2017,12,2017-12-07,2017-11-16,2017-12-03,"2607002082","SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA ESCAMEROS Y CAMARONEROS DE PEÑASCO SCL","00050476","ERNESTINA I",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",2067,3307.2,3307.2,516750
"SONORA","GOLFO DE SANTA CLARA","GOLFO DE SANTA CLARA",2006,12,2006-11-20,2006-11-18,2006-11-20,"2603000189","SCPP RIBERENA GONZALEZ SCL","00000000","",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",200,320,320,20000
"NAYARIT","TUXPAN","BORDO, EL (MALECON DE FCO. VILLA)",2012,5,2012-05-12,2012-05-10,2012-05-12,"1805000773","ALMAGUER GOMEZ MARTINEZ","00000000","",NA,"no","possibly aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","OTRAS ESPECIES FILETE DE FCO.","OTRAS ESPECIES","otras especies",NA,"marine species nei",500,1000,1000,12500
"BAJA CALIFORNIA SUR","LORETO","SAN NICOLAS",2022,7,2022-07-27,2022-07-20,2022-07-24,"0306001793","SCPP ISLA SAN ILDEFONSO SC DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","PARGO","GUACHINANGO","PARGO DESV. FCO.","PARGO","pargo",NA,"demersal marine fishes",391,430.1,430.1,19550
"BAJA CALIFORNIA SUR","LORETO","ENSENADA BLANCA",2017,11,2017-11-16,2017-11-14,2017-11-16,"0306001934","PESCADORES DE ENSENADA BLANCA SC DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","GUACHINANGO","GUACHINANGO","GUACHINANGO ENT. FCO. (LUTJANUS SPP)","GUACHINANGO (LUTJANUS SPP)","guachinango","Lutjanus Spp","demersal marine fishes",1387,1387,1387,69350
"SONORA","GUAYMAS","GUAYMAS",2022,4,2022-04-13,2022-04-07,2022-04-11,"0203011630","MARITIMA INTERCONTINENTAL SA DE CV","00059947","EL CHUCHIN","large_scale",NA,"unlikely aquaculture","marine: large-scale capture","ANCHOVETA","ANCHOVETA","ANCHOVETA ENT. FCA. (ENGRAULIS MORDAX)","ANCHOVETA (ENGRAULIS MORDAX)","anchoveta","Engraulis Mordax","anchovy & sardine (small pelagics)",40410,46875.6,46875.6,90922.5
"SONORA","GUAYMAS","LAS PLAYITAS",2016,4,2016-04-25,2016-04-22,2016-04-23,"2604609525","PESQUERA LOS BUZYPEZ, S.C. DE R.L. DE C.V.","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BAQUETA","MERO","BAQUETA DESV. FCA.","BAQUETA","baqueta",NA,"demersal marine fishes",100,110,110,6000
"SINALOA","LA REFORMA","LA REFORMA",2018,12,2018-12-28,2018-12-26,2018-12-28,"2506001953","S.C.P.P. LOS CHICHIRIGOTES, S.C. DE R.L. DE C.V.","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","RAYA Y SIMILARES","RAYA Y SIMILARES","MANTARRAYA DESC. Y DESV. FCA.","MANTARRAYA","mantarraya",NA,"demersal marine fishes",300,300,300,9000
"NAYARIT","SAN BLAS","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2002,12,2002-12-08,NA,NA,"1802000073","MANUEL LOPEZ BARAJAS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","RAYA Y SIMILARES","RAYA Y SIMILARES","MANTARRAYA ALETA FCA.","MANTARRAYA","mantarraya",NA,"demersal marine fishes",50,100,100,750
"SINALOA","EL ROSARIO","SITIO LA DRAGA",2014,5,2014-05-06,2014-05-03,2014-05-05,"2510000306","EDUARDO OSUNA SALAS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","ROBALO","ROBALO","ROBALO ENT. FCO.","ROBALO","robalo",NA,"demersal marine fishes",50,50,50,2000
"SINALOA","MAZATLAN","EMBARCADERO ISLA DE LA PIEDRA",2019,1,2019-01-10,2019-01-01,2019-01-10,"2508012768","RUBEN TIRADO CARDENAS","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","SIERRA","SIERRA","SIERRA ENT. FCA.","SIERRA","sierra",NA,"pelagic marine fish (excl. anchovy & sardine)",100,100,100,2000
"SONORA","GUAYMAS","LAS PLAYITAS",2020,1,2020-01-30,2020-01-27,2020-01-29,"2604609848","PUNTA MERO JM, S.C. DE R.L. DE C.V.","0000000_",NA,"small_scale","no","possibly aquaculture","marine: small-scale capture","CAMARON","CAMARON","CAMARON AZUL DESC. FCO.","CAMARON AZUL","camaron azul",NA,"shrimps, prawns",1500,2400,2400,270000
"SINALOA","NAVOLATO","CAMPO PESQUERO LAS AGUAMITAS",2023,4,2023-04-28,2023-04-07,2023-04-09,"2509003360","ESTERO DE AGUAMITAS S.C. DE R.L. DE C.V.","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BERRUGATA","BERRUGATA","BERRUGATA DESV. FCA.","BERRUGATA","berrugata",NA,"demersal marine fishes",1200,1320,1320,36000
"NAYARIT","TECUALA","SITIO EMB DESEM GENERICO",2004,10,2004-10-09,2004-01-01,2004-01-01,"1803000528","SC NORTE DE NAYARIT SC DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","ROBALO","ROBALO","CONSTANTINO ENT. FCO.","CONSTANTINO","constantino",NA,"demersal marine fishes",40,40,40,720
"SONORA","GOLFO DE SANTA CLARA","GOLFO DE SANTA CLARA",2022,4,2022-04-29,2022-04-29,2022-04-29,"2603000643","SCPP LA VAQUITA DE LOS ANGULO SC DE RL DE CV","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","CORVINA","CORVINA","CORVINA GOLFINA DESV. FCA.","CORVINA GOLFINA","corvina golfina",NA,"demersal marine fishes",10000,11000,11000,100000
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","LA RIBERA",2008,7,2008-07-14,2008-07-11,2008-07-14,"0302000609","SCPP PESCADORES DEL CORTEZ SCL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","BACOCO ENT. FCO.","BACOCO","bacoco",NA,"demersal marine fishes",110,110,110,990
"NAYARIT","SAN BLAS","BOCA DEL ASADERO",2015,3,2015-03-05,2015-03-03,2015-03-05,"1802002400","EDUARDO ORTIZ CORTEZ","00000000","",NA,"no","possibly aquaculture","freshwater or marine: fishery sector yet to be classified","MOJARRA","MOJARRA","MOJARRA ENT. FCA.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",210,210,210,2940
"NAYARIT","SAN BLAS","LA NUEVA """"U""""",2017,1,2017-01-07,2017-01-02,2017-01-07,"1802001774","JOSE RAMIRO CURIEL CURIEL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","RONCO","BERRUGATA","RATON ENT. FCO.","RATON","raton",NA,"demersal marine fishes",2820,2820,2820,5640
"SONORA","PUERTO PE�ASCO","PUERTO PE�ASCO",2024,2,2024-02-10,2024-02-06,2024-02-10,"2607004138","CARMEN LETICIA CRUZ GUTIERREZ","00019760","CARRANZA IV","large_scale",NA,"unlikely aquaculture","marine: large-scale capture","LENGUADO","LENGUADO","LENGUADO ENT. FCO.","LENGUADO","lenguado",NA,"demersal marine fishes",3000,3000,3000,90000
"NAYARIT","TECUALA","CUACOYOTL, EL",2024,7,2024-07-26,2024-07-24,2024-07-26,"1803001104","ARIEL LOPEZ MELENDRES","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","LISA","LISA","LISA MACHO ENT. FCA.","LISA MACHO","lisa macho",NA,"demersal marine fishes",20,20,20,300
"NAYARIT","TUXPAN","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2002,3,2002-03-19,2002-11-24,2002-11-24,"1805000682","SCPP Y AC PESC UNIDOS DE CORRIENTES SC DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","ROBALO","ROBALO","ROBALO ENT. FCO.","ROBALO","robalo",NA,"demersal marine fishes",6,6,6,240
"NAYARIT","TUXPAN","CABEZA DE CANOA",2007,11,2007-11-26,2007-11-24,2007-11-26,"1805000427","JOSE LUIS OLIVARES NAVARRO","00000000","",NA,NA,"possibly aquaculture","freshwater or marine: fishery sector yet to be classified","MOJARRA","MOJARRA","MOJARRA ENT. FCA.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",130,130,130,650
"SONORA","GUAYMAS","GUAYMAS",2007,11,2007-11-29,2007-11-27,2007-11-28,"2604009452","PESQUERA SIGLO SA DE CV","00050450","COZAR XI",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","SARDINA","SARDINA","SARDINA MONTERREY IND. (SARDINOPS CAERULEUS)","SARDINA MONTERREY (SARDINOPS CAERULEUS)","sardina monterrey","Sardinops Caeruleus","anchovy & sardine (small pelagics)",24000,27840,27840,24000
"NAYARIT","SAN BLAS","ESTERO EL POZO (MARGEN IZQUIERDA)",2009,10,2009-10-12,2009-10-10,2009-10-12,"1802000073","MANUEL LOPEZ BARAJAS","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","TIBURON","TIBURON","TIBURON DESV. Y DESC. FCO.","TIBURON","tiburon",NA,"sharks",120,180,180,1440
"SINALOA","LA REFORMA","LA REFORMA",2023,6,2023-06-26,2023-06-22,2023-06-25,"2506000617","RAMONA CASTRO AYON","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","PAMPANO","PAMPANO","PAMPANO DESV. FCO.","PAMPANO","pampano",NA,"pelagic marine fish (excl. anchovy & sardine)",350,385,385,12250
"SONORA","CD. OBREGON","PAREDON COLORADO",2021,7,2021-07-23,2021-07-18,2021-07-20,"2602007128","GUSTAVO MANCILLAS GONZALEZ SC DE RL","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",9475,9475,9475,236875
"NAYARIT","SANTIAGO IXCUINTLA","BOCA DE CAMICHIN",2022,10,2022-10-13,2022-10-13,2022-10-15,"1806000590","NABOR CABUTO MARTINEZ","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BERRUGATA","BERRUGATA","BERRUGATA DESV. FCA.","BERRUGATA","berrugata",NA,"demersal marine fishes",567,623.7,623.7,11340
"SINALOA","ESCUINAPA","LA BRECHA",2015,3,2015-01-22,2015-02-16,2015-02-21,"2504001567","SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA PESCADORES DE LA BRECHA SC DE RL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","LISA","LISA","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","lisa","Mugil Cephalus","demersal marine fishes",90,90,90,900
"NAYARIT","SAN BLAS","MIRAMAR",2013,1,2013-01-19,2013-01-17,2013-01-19,"1802000958","SOC COOP SANTA CRUZ DE MIRAMAR DE RL DE CV","00000000","",NA,"no","possibly aquaculture","freshwater or marine: fishery sector yet to be classified","MOJARRA","MOJARRA","MOJARRA ENT. FCA.","MOJARRA","mojarra",NA,"marine or freshwater fishes nei",300,300,300,2700
"NAYARIT","SAN BLAS","BOCA DEL ASADERO",2023,1,2023-01-23,2023-01-02,2023-01-23,"1802002418","VICTOR CARRILLO VIRGEN","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","TIBURON","TIBURON","TIBURON TORO ENT. FCO.","TIBURON TORO","tiburon toro",NA,"sharks",150,150,150,1500
"SINALOA","MAZATLAN","PUENTE JUAREZ",2017,1,2017-01-06,2017-12-24,2017-01-04,"2508016322","JOSE LOPEZ PONCE","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","BANDERA","BANDERA","CHIHUIL ENT. FCO.","CHIHUIL","chihuil",NA,"demersal marine fishes",45,45,45,180
"NAYARIT","SAN BLAS","RAMPA, LA (DARSENA NO. 1)",2018,2,2018-02-24,2018-02-19,2018-02-24,"1802003283","OSIRIS ORLANDO  TIZCAREÑO ORTIZ","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","OTRAS","OTRAS","DORADO DESV. FCO.","DORADO","dorado",NA,"pelagic marine fish (excl. anchovy & sardine)",600,660,660,18000
"SINALOA","CULIACAN",NA,2024,8,2024-08-13,NA,NA,"2501382390","ACUICOLA GAMA SA DE CV","25321720","ACUICOLA GAMA SA DE CV",NA,NA,"likely aquaculture","marine: aquaculture","CAMARON","CAMARON","CAMARON BLANCO DE CULTIVO ENT. FCO.","CAMARON BLANCO","camaron blanco",NA,"shrimps, prawns",13000,13000,13000,780000
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA (B.C.S.)",2006,7,2006-07-24,2006-07-22,2006-07-24,"0312002280","SCPP NATIVOS DE SANTA ROSALIA SC DE RL","00000000","",NA,"yes","possibly aquaculture","marine: fishery sector yet to be classified","CALAMAR","CALAMAR","CALAMAR GIGANTE PULPA FCA. DE","CALAMAR GIGANTE PULPA","calamar gigante pulpa",NA,"cephalopods",2400,4800,4800,4800
"BAJA CALIFORNIA","EL ROSARIO","LAGUNA LAS FLORES Y GOLFO DE MEXICO",2000,2,2000-02-10,2000-02-11,2000-02-11,"0203011457","SUR PACIFIC SPR DE RL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","ERIZO","ERIZO","ERIZO ENT. FCO.","ERIZO","erizo",NA,"echinoderms",2300,2300,2300,11500
"NAYARIT","TECUALA","PLAYA DE NOVILLERO",2011,10,2011-10-03,2011-10-01,2011-10-03,"1803001211","GUSTAVO  GONZÁLEZ VILLELA","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","PARGO","GUACHINANGO","PARGO ENT. FCO.","PARGO","pargo",NA,"demersal marine fishes",20,20,20,900
"SINALOA","LA REFORMA","LA REFORMA",2008,2,2008-02-18,2008-02-16,2008-02-18,"2506001482","S.C.P.P. PUNTA DEL COYOTE BONCHI, S.C. DE R.L. DE C.V.","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",950,950,950,11400
"NAYARIT","CRUZ DE HUANACAXTLE","CRUZ DE HUANACAXTLE, LA",2014,2,2014-02-14,2014-02-12,2014-02-14,"1807000813","MARIO ESTRADA CORTEZ","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","SARANGOLA ENT. FCA.","SARANGOLA","sarangola",NA,"demersal marine fishes",43,43,43,645
"SONORA","GUAYMAS","PARAJE NUEVO",2014,12,2014-12-10,2014-12-09,2014-12-10,"2604009452","PESQUERA SIGLO SA DE CV","00050450","COZAR XI",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","SARDINA","SARDINA","SARDINA BOCONA IND.","SARDINA BOCONA","sardina bocona",NA,"anchovy & sardine (small pelagics)",27200,31552,31552,27200
"SINALOA","LA REFORMA","LA REFORMA",2012,7,2012-07-19,2012-07-16,2012-07-18,"2506000054","SCPP RIB. PESCADORES DE LA PIONIA S DE RL DE CV","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",1750,1750,1750,21000
"SINALOA","MAZATLAN","MAZATLAN",2003,9,2003-09-22,2003-01-01,2003-01-01,"0203004783","ATUNERA PENINSULAR SA DE CV","00041509","JAGUAR (ANTES ATUN VI)",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","ATUN","ATUN","ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES)","ATUN ALETA AMARILLA (THUNNUS ALBACARES)","atun aleta amarilla","Thunnus Albacares","pelagic marine fish (excl. anchovy & sardine)",297738,297738,297738,2084166
"NAYARIT","TECUALA","PLAYA DE NOVILLERO",2018,5,2018-05-26,2018-05-24,2018-05-26,"1803000452","SCPP Y A PESCADORES NOVIMARINOS SC DE RL DE CV","0000000_",NA,"small_scale","no","possibly aquaculture","marine: small-scale capture","MOJARRA","MOJARRA","MOJARRA BLANCA ENT. FCA.","MOJARRA BLANCA","mojarra blanca",NA,"demersal marine fishes",180,180,180,5400
"BAJA CALIFORNIA SUR","LA PAZ","LOS BARRILES",2011,11,2011-11-23,2011-11-08,2011-11-22,"0305004947","ENRIQUE MINJARES COSIO","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","OJOTON P/CARNADA","OJOTON","ojoton",NA,"pelagic marine fish (excl. anchovy & sardine)",81,81,81,2430
"NAYARIT","CRUZ DE HUANACAXTLE","CRUZ DE HUANACAXTLE, LA",2013,9,2013-09-11,2013-09-09,2013-09-11,"1807000771","JUAN MANUEL PLACITO","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CORVINA","CORVINA","CORVINA DESV. FCA.","CORVINA","corvina",NA,"demersal marine fishes",23,25.3,25.3,276
"SINALOA","MAZATLAN","PLAYA SUR",2013,10,2013-10-31,2013-10-20,2013-10-30,"2508012313","EDUARDO LORA ZATARAIN","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","CORVINA","CORVINA","CORVINA GRANIZA ENT. FCA.","CORVINA GRANIZA","corvina graniza",NA,"demersal marine fishes",30,30,30,240
"SONORA","GUAYMAS","GUAYMAS",2000,6,2000-06-12,2000-01-01,2000-01-01,"9999999999","NO DISPONIBLE","00021493","BACOCHIBAMPO XI",NA,NA,"possibly aquaculture","marine: fishery sector yet to be classified","CAMARON","CAMARON","CAMARON DE ALTA MAR DESC. FCO.","CAMARON","camaron",NA,"shrimps, prawns",906,1449.6,1449.6,45300
"BAJA CALIFORNIA","SAN FELIPE","SAN FELIPE",2012,5,2012-05-11,2012-05-08,2012-05-10,"0207001256","SCPP RIB MARELBA LEYMOR SCL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","SIERRA","SIERRA","SIERRA ENT. FCA.","SIERRA","sierra",NA,"pelagic marine fish (excl. anchovy & sardine)",2291,2291,2291,32074
"SINALOA","LA REFORMA","LA REFORMA",2018,4,2018-04-16,2018-04-10,2018-04-12,"2506002704","S.C.P.P TRINIDAD CUADRAS CUADRAS, S.C. DE R.L. DE C.V.","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","LISA","LISA","LISA ENT. FCA. (MUGIL CEPHALUS)","LISA (MUGIL CEPHALUS)","lisa","Mugil Cephalus","demersal marine fishes",670,670,670,10050
"BAJA CALIFORNIA","ENSENADA","EL MUERTO",2018,8,2018-08-06,2018-07-30,2018-08-03,"0203008933","SILVIA ARACELI LARA ALEMAN","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","SIERRA","SIERRA","SIERRA ENT. FCA.","SIERRA","sierra",NA,"pelagic marine fish (excl. anchovy & sardine)",8550,8550,8550,68400
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA (B.C.S.)",2009,2,2009-02-07,2009-02-05,2009-02-07,"0312002579","SCPP CUESTA HNO SC DE RL","00000000","",NA,"no","not aquaculture","marine: fishery sector yet to be classified","OTRAS","OTRAS","BACOCO DESV. FCO.","BACOCO","bacoco",NA,"demersal marine fishes",45,49.5,49.5,450
"NAYARIT","SANTIAGO IXCUINTLA","BOCA DE CAMICHIN",2006,10,2006-10-04,2006-10-04,2006-10-06,"1806000681","PRODUCTOS DEL MAR MATA S.A. DE C.V.","00000000","",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","ROBALO","ROBALO","CONSTANTINO ENT. FCO.","CONSTANTINO","constantino",NA,"demersal marine fishes",150,150,150,1500
"SINALOA","MAZATLAN","MAZATLAN",2014,12,2014-12-10,2014-10-31,2014-12-07,"2508006778","PESQUERA JUSAJELI, SA DE CV","00014324","PEZ DE ACERO I (PUNTA MALDONADO)",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","BERRUGATA","BERRUGATA","BERRUGATA ENT. FCA.","BERRUGATA","berrugata",NA,"demersal marine fishes",92,92,92,92
"BAJA CALIFORNIA","SAN FELIPE","MUELLE DE SAN FELIPE",2022,11,2022-11-10,2022-11-08,2022-11-09,"0207001611","SOCIEDAD DE PESCADORES RIBEREÑOS DE SAN FELIPE SPR DE RL","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","BERRUGATA","BERRUGATA","CHANO ENT. FCO.","CHANO","chano",NA,"demersal marine fishes",8475,8475,8475,67800
"SINALOA","MAZATLAN","MAZATLAN",2009,4,2009-04-14,2009-03-28,2009-04-09,"2508011679","OPERADORA LAURA ANTONIANA, SA DE CV","00034470","ALEJANDRA I (LAURA ANTONIANA I, ESCAMERO V)",NA,NA,"unlikely aquaculture","marine: fishery sector yet to be classified","PARGO","GUACHINANGO","PARGO ENT. FCO.","PARGO","pargo",NA,"demersal marine fishes",1303,1303,1303,15636
"SONORA","HUATABAMPO","LAS BOCAS",2023,9,2023-09-06,2023-09-06,2023-09-06,"2609003161","VICTOR MIGUEL DUARTE COZARIT","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","JAIBA","JAIBA","JAIBA ENT. FCA.","JAIBA","jaiba",NA,"crustaceans",2000,2000,2000,90000
"SINALOA","CULIACAN",NA,2022,10,2022-10-31,2022-10-31,2022-10-31,"2501009464","FRANCISCO JAVIER AYALA GARCIA","25319757","FRANCISCO JAVIER AYALA GARCIA",NA,NA,"likely aquaculture","marine: aquaculture","CAMARON","CAMARON","CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","CAMARON BLANCO (LITOPENAEUS VANNAMEI)","camaron blanco","Litopenaeus Vannamei","shrimps, prawns",1381,1381,1381,120147
"SONORA","GUAYMAS","LAS PLAYITAS",2021,5,2021-05-25,2021-05-22,2021-05-24,"2604609509","LA KALITA, S.C. DE R.L. DE C.V.","0000000_",NA,"small_scale","no","not aquaculture","marine: small-scale capture","PARGO","GUACHINANGO","PARGO DESV. FCO.","PARGO","pargo",NA,"demersal marine fishes",350,385,385,14000
