"year","OHI_region_no","LE_score","CW_score","AO_score","FP_score","NP_score","BD_score","SP_score","TR_score","HS_score","Index_score"
2019,"region_6",NA,84.7818795304325,79.420036680408,33.0040379264195,36.6450063571176,76.1579575385855,74.3561904761905,75.765624194954,NA,65.7329618148725
2019,"region_7",NA,71.8071146330309,85.6738150216571,67.6619122984045,51.6530829097891,74.7771428499452,74.8981684981685,73.9513462964812,NA,71.4889403582109
2019,"region_8",NA,60.3400892244428,88.721107251662,76.8796495258303,74.9843367355834,64.7469294896802,74.7509188034188,81.6462828007912,NA,74.5813305473441
2019,"region_9",NA,75.5994288660202,80.0635832031497,71.1418469720603,44.3348547024466,68.0403751250913,75.9347640791476,66.3006261806605,NA,68.7736398755109
2019,NA,NA,NA,71.3368484901371,NA,NA,NA,NA,NA,NA,71.3368484901371
2020,"region_1",NA,75.3488795901338,92.2887307762355,98.3777213317065,0.884800147260635,77.5083711371533,61.9857142857143,35.6511807422038,99.5962172379675,67.7052019060469
2020,"region_2",NA,94.5543678906519,88.3915043359261,95.1503691957626,38.6672371459397,74.5380074261785,73.7631677350427,36.6809542835483,99.9534470104944,75.212381877943
2020,"region_3",NA,96.3938949626999,83.2665300785754,77.0819595470409,50.4635556227199,75.5833476202023,76.3080357142857,55.2151927199386,99.6938435771734,76.7507949803295
2020,"region_4",NA,94.5265930981801,85.7085134208274,71.7382825327628,36.5573938046743,75.9962148257245,74.068384657545,58.0746479744556,83.4873986200777,72.5196786167809
2020,"region_5",NA,91.5888643010696,93.1314840703593,97.811769662009,55.1561884402132,67.0747890364042,63.962074829932,53.1479914963046,84.502625821479,75.7969734572214
2020,"region_6",NA,88.3250164565276,80.2158685050206,30.9817146250751,51.0034184451757,77.1968716917148,73.7695238095238,60.4418033370482,80.4924938424676,67.8033388390692
2020,"region_7",NA,78.3382824558226,75.8401429678132,71.2010460976017,51.2081913312666,75.1165373638,74.3340659340659,60.1460401663566,80.3066067670677,70.8113641354743
2020,"region_8",NA,66.7402388323658,88.4830974703711,76.4451500191808,67.0211897159593,65.3586235335364,73.4895984076806,66.7308558301275,74.877743960349,72.3933122211963
2020,"region_9",NA,76.1929664147176,93.6180320634502,64.5958778160919,59.6759666823711,68.3237289850692,75.2707507507508,59.6520517215273,83.8229443553642,72.6440398486678
2020,NA,NA,NA,80.7804906682114,NA,NA,NA,NA,NA,NA,80.7804906682114
2021,"region_1",NA,74.8625326803507,79.9755371022421,81.6068328273876,41.1841076280339,76.941757906983,62.1714285714286,51.4189739875011,99.5962172379675,70.9696734927368
2021,"region_2",NA,94.8612344595414,88.8449188263948,92.8922881992666,55.5888866075734,75.3554991885009,73.8631677350427,59.9236251282193,99.9534470104944,80.1603833943792
2021,"region_3",NA,96.5741185323674,80.1018083537077,81.5205312471676,45.6611467517421,75.100965860627,76.4112103174603,68.222138658774,99.6938435771734,77.9107204123774
