"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","Year_of_Recommendation","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2020,"region_1","panopea",960523,682,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2021,"region_1","panopea",1238398,708,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.788675984618838
2022,"region_1","panopea",1305297,733,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.748254812506272
2023,"region_1","panopea",1422499,726,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.68660488478375
2024,"region_1","panopea",937541,532,976694.762,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2018,"region_1","panulirus",23056,27,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2019,"region_1","panulirus",42925,50,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.792661619103087
2020,"region_1","panulirus",39741,42,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.856168692282529
2021,"region_1","panulirus",32255,31,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2022,"region_1","panulirus",32148,42,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2023,"region_1","panulirus",46792,49,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.727154214395623
2024,"region_1","panulirus",43120,34,34025,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,4,2,"genus aggregation; mode across 2 original and 2 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.789076994434137
2018,"region_1","paralabrax",2514.1,14,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2019,"region_1","paralabrax",32885.9,26,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.500228365348067
2020,"region_1","paralabrax",7847.9,18,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2021,"region_1","paralabrax",6908.5,14,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2022,"region_1","paralabrax",32095.9,33,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",0.512540854127786
2023,"region_1","paralabrax",16678,25,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
2024,"region_1","paralabrax",8616.5,15,16450.46,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)",2023,1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",1
