"year","OHI_region_est","taxon_key","taxon_level","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status","control","carta_source","Year_of_Recommendation","notes","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2021,"region_7","dosinia ponderosa","species","dosinia",111811,97,133564.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"highly variable catch","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_7","dosinia ponderosa","species","dosinia",264611,118,133564.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"highly variable catch","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.504757549761726
2023,"region_7","dosinia ponderosa","species","dosinia",348261,95,133564.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"highly variable catch","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.383518108545028
2024,"region_7","dosinia ponderosa","species","dosinia",297409,87,133564.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,"highly variable catch","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.449093336112895
2018,"region_7","engraulis mordax","species","engraulis",103389121.48,614,186468297.352,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_7","engraulis mordax","species","engraulis",131492989,907,186468297.352,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_7","engraulis mordax","species","engraulis",155647105.24,1096,186468297.352,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_7","engraulis mordax","species","engraulis",252225657.92,1503,186468297.352,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.739291549042736
2022,"region_7","engraulis mordax","species","engraulis",289586613.12,1757,186468297.352,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.643912007336923
2018,"region_7","etrumeus acuminatus","species","etrumeus",14961989.14,212,8375249.996,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.559768485168143
2019,"region_7","etrumeus acuminatus","species","etrumeus",12545467.28,183,8375249.996,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.667591713331542
2020,"region_7","etrumeus acuminatus","species","etrumeus",6914008.32,121,8375249.996,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_7","etrumeus acuminatus","species","etrumeus",3438739.96,48,8375249.996,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2022,"region_7","etrumeus acuminatus","species","etrumeus",4016045.28,68,8375249.996,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2018,"region_7","hoplopagrus guentherii","species","hoplopagrus",558,3,1787.64,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_7","hoplopagrus guentherii","species","hoplopagrus",490,3,1787.64,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_7","hoplopagrus guentherii","species","hoplopagrus",1893.8,8,1787.64,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.943943394233816
2021,"region_7","hoplopagrus guentherii","species","hoplopagrus",1848,15,1787.64,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_7","hoplopagrus guentherii","species","hoplopagrus",4148.4,21,1787.64,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.430922765403529
2023,"region_7","hoplopagrus guentherii","species","hoplopagrus",3079,15,1787.64,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.58059110100682
2024,"region_7","hoplopagrus guentherii","species","hoplopagrus",3344,23,1787.64,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.534581339712919
2019,"region_7","litopenaeus stylirostris","species","litopenaeus",19467.2,11,21479.2,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_7","litopenaeus stylirostris","species","litopenaeus",30633.6,21,21479.2,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.701164734148125
2021,"region_7","litopenaeus stylirostris","species","litopenaeus",22540.8,22,21479.2,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_7","litopenaeus stylirostris","species","litopenaeus",13275.2,11,21479.2,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_7","litopenaeus vannamei","species","litopenaeus",27492817,745,34148195.24,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_7","litopenaeus vannamei","species","litopenaeus",37985524.8,901,34148195.24,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.898979161662129
2020,"region_7","litopenaeus vannamei","species","litopenaeus",32744123.6,1113,34148195.24,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_7","litopenaeus vannamei","species","litopenaeus",35414321,880,34148195.24,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_7","litopenaeus vannamei","species","litopenaeus",37104189.8,1197,34148195.24,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2017,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.920332593813974
2018,"region_7","lutjanus adetii","species","lutjanus",149398.6,294,168550.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_7","lutjanus adetii","species","lutjanus",146080.2,328,168550.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2020,"region_7","lutjanus adetii","species","lutjanus",174781.55,391,168550.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_7","lutjanus adetii","species","lutjanus",196896.75,434,168550.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.856036171242034
2022,"region_7","lutjanus adetii","species","lutjanus",175596.6,517,168550.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2023,"region_7","lutjanus adetii","species","lutjanus",161151,400,168550.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2024,"region_7","lutjanus adetii","species","lutjanus",88560,215,168550.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2018,"region_7","lutjanus argentiventris","species","lutjanus",2474,9,3233.92,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_7","lutjanus argentiventris","species","lutjanus",2205.5,11,3233.92,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_7","lutjanus argentiventris","species","lutjanus",765.7,7,3233.92,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_7","lutjanus argentiventris","species","lutjanus",4975.8,16,3233.92,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.649929659552233
2022,"region_7","lutjanus argentiventris","species","lutjanus",5748.6,10,3233.92,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.56255784016978
2023,"region_7","lutjanus argentiventris","species","lutjanus",5734,15,3233.92,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.563990233693757
2024,"region_7","lutjanus argentiventris","species","lutjanus",26779.3,42,3233.92,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.120761931790599
2018,"region_7","lutjanus campechanus","species","lutjanus",6017,6,27635.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_7","lutjanus campechanus","species","lutjanus",67753.4,73,27635.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.407887131863493
2020,"region_7","lutjanus campechanus","species","lutjanus",36593.7,38,27635.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.755204857666757
2021,"region_7","lutjanus campechanus","species","lutjanus",13384.8,23,27635.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2022,"region_7","lutjanus campechanus","species","lutjanus",14429.8,35,27635.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2023,"region_7","lutjanus campechanus","species","lutjanus",10850,31,27635.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2024,"region_7","lutjanus campechanus","species","lutjanus",21067.2,35,27635.74,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2018,"region_7","lutjanus colorado","species","lutjanus",473,2,9924.02,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_7","lutjanus colorado","species","lutjanus",8016.6,19,9924.02,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_7","lutjanus colorado","species","lutjanus",5411.5,7,9924.02,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_7","lutjanus colorado","species","lutjanus",32470,18,9924.02,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.305636587619341
2022,"region_7","lutjanus colorado","species","lutjanus",3249,12,9924.02,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_7","lutjanus colorado","species","lutjanus",13469,19,9924.02,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.736804514069344
2024,"region_7","lutjanus colorado","species","lutjanus",20471.3,43,9924.02,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.484777224699946
2018,"region_7","lutjanus guttatus","species","lutjanus",5482.8,24,13440.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_7","lutjanus guttatus","species","lutjanus",7876,17,13440.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_7","lutjanus guttatus","species","lutjanus",40759,22,13440.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.329756372825634
2021,"region_7","lutjanus guttatus","species","lutjanus",6811.5,26,13440.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_7","lutjanus guttatus","species","lutjanus",6273.4,21,13440.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_7","lutjanus guttatus","species","lutjanus",17969,22,13440.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.7479848628193
2024,"region_7","lutjanus guttatus","species","lutjanus",17404,17,13440.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.772267294874741
2019,"region_7","lutjanus novemfasciatus","species","lutjanus",205.7,1,2373.7375,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_7","lutjanus novemfasciatus","species","lutjanus",218.5,4,2373.7375,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_7","lutjanus novemfasciatus","species","lutjanus",6413.75,14,2373.7375,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.370101344767102
2022,"region_7","lutjanus novemfasciatus","species","lutjanus",2657,7,2373.7375,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.893390101618367
2024,"region_7","lutjanus novemfasciatus","species","lutjanus",2102,4,2373.7375,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_7","lutjanus peru","species","lutjanus",2037.5,3,2585.5,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_7","lutjanus peru","species","lutjanus",3613.75,6,2585.5,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.715461777931512
2020,"region_7","lutjanus peru","species","lutjanus",4875,5,2585.5,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.530358974358974
2021,"region_7","lutjanus peru","species","lutjanus",1795,3,2585.5,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_7","lutjanus peru","species","lutjanus",606.25,3,2585.5,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_7","lutjanus peru","species","lutjanus",87391,110,2585.5,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.0295854264169079
2024,"region_7","lutjanus peru","species","lutjanus",59218.75,91,2585.5,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.0436601583113456
2018,"region_7","lutjanus spp","species","lutjanus",334731,275,226110.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.675499430886294
2019,"region_7","lutjanus spp","species","lutjanus",280588,288,226110.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.805845581421871
2020,"region_7","lutjanus spp","species","lutjanus",288828,214,226110.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.782855540321575
2021,"region_7","lutjanus spp","species","lutjanus",144565,193,226110.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2022,"region_7","lutjanus spp","species","lutjanus",81841,134,226110.6,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2018,"region_7","megapitaria squalida","species","megapitaria",48733,90,106016.2,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",1
2019,"region_7","megapitaria squalida","species","megapitaria",96851,229,106016.2,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",1
2020,"region_7","megapitaria squalida","species","megapitaria",129832,235,106016.2,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",0.816564483332306
2021,"region_7","megapitaria squalida","species","megapitaria",138919,253,106016.2,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",0.763151188822263
2022,"region_7","megapitaria squalida","species","megapitaria",115746,178,106016.2,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",0.915938347761478
2023,"region_7","megapitaria squalida","species","megapitaria",94353,187,106016.2,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",1
2018,"region_7","merluccius productus","species","merluccius",190790,14,152155.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.797501965511819
2019,"region_7","merluccius productus","species","merluccius",234452,22,152155.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.648983160732261
2020,"region_7","merluccius productus","species","merluccius",74600,13,152155.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_7","merluccius productus","species","merluccius",17760,8,152155.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_7","merluccius productus","species","merluccius",243175,20,152155.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.625703300092526
2023,"region_7","merluccius productus","species","merluccius",162635,10,152155.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.93556368555354
2024,"region_7","merluccius productus","species","merluccius",1127350,74,152155.4,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.134967312724531
2018,"region_7","mugil cephalus","species","mugil",79568,72,59159.4,5,"decreasing","decrease","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should be below 2018-2022 mean",0.371753720088478
2019,"region_7","mugil cephalus","species","mugil",67608,130,59159.4,5,"decreasing","decrease","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should be below 2018-2022 mean",0.437517749378772
2020,"region_7","mugil cephalus","species","mugil",56845,187,59159.4,5,"decreasing","decrease","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should be below 2018-2022 mean",0.5
2021,"region_7","mugil cephalus","species","mugil",59566,96,59159.4,5,"decreasing","decrease","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should be below 2018-2022 mean",0.5
2022,"region_7","mugil cephalus","species","mugil",32210,94,59159.4,5,"decreasing","decrease","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should be below 2018-2022 mean",0.727769382380484
2024,"region_7","mugil cephalus","species","mugil",1300,2,59159.4,5,"decreasing","decrease","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should be below 2018-2022 mean",0.98901273508521
2018,"region_7","mustelus albipinnis","species","mustelus",3842.2,4,22167.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_7","mustelus albipinnis","species","mustelus",117.5,2,22167.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_7","mustelus albipinnis","species","mustelus",3679.25,9,22167.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_7","mustelus albipinnis","species","mustelus",50301.25,27,22167.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.44069560895604
2022,"region_7","mustelus albipinnis","species","mustelus",52897.5,31,22167.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.419065929391748
2023,"region_7","mustelus albipinnis","species","mustelus",69000,31,22167.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.321268695652174
2024,"region_7","mustelus albipinnis","species","mustelus",173488.4,76,22167.54,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.127775344057585
2018,"region_7","oligoplites altus","species","oligoplites",743851.16,18,763861.808,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2019,"region_7","oligoplites altus","species","oligoplites",961382.92,17,763861.808,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.794544808430755
