"estimated_genus_name","year","OHI_region","status_adjusted","control_adjusted","n_species","n_species_original","n_species_gapfilled","n_regions_represented","genus_region_present","carta_provenance"
"prionace",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"rhizoprionodon",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"sarda",2020,"region_3","development potential","no increase",0,0,0,2,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region"
"sardinops",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"scomber",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"scomberomorus",2020,"region_3","maximally harvested","no increase",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"sebastes",2020,"region_3","maximally harvested","no increase",22,22,0,NA,TRUE,"genus aggregation; mode across 22 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"sphoeroides",2020,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"sphyrna",2020,"region_3","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"spondylus",2020,"region_3","development potential","increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"stomolophus",2020,"region_3","maximally harvested","no increase",2,1,1,NA,TRUE,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"strongylocentrotus",2020,"region_3","decreasing","decrease",0,0,0,2,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 4 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region"
"thunnus",2020,"region_3","decreasing","decrease",2,2,0,NA,TRUE,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"trachurus",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"triaenodon",2020,"region_3","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"xiphias",2020,"region_3","development potential","increase",0,0,0,1,FALSE,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 1 original and 0 gapfilled species-level recommendations pooled across 1 OHI regions with original Carta data; same values applied to every missing region"
"alopias",2020,"region_4","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"anadara",2020,"region_4","maximally harvested","no increase",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"apostichopus",2020,"region_4","decreasing","decrease",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"argopecten",2020,"region_4","decreasing","decrease",1,1,0,NA,TRUE,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
"atrina",2020,"region_4","maximally harvested","no increase",3,3,0,NA,TRUE,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)"
