"recorded_taxa_group","recorded_taxa_name_clean","recorded_scientific_name","scientific_name_recorded_T.F","recorded_common_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","Hem_species_21","Hem_species_22","Hem_species_23","Hem_species_24","Hem_species_25","Hem_species_26","Hem_species_27","Hem_species_28","Hem_species_29","Hem_species_30","Hem_species_31","Hem_species_32","Hem_species_33","Hem_species_34","Hem_species_35","Hem_species_36","Hem_species_37","Hem_species_38","Hem_species_39","Hem_species_40","Hem_species_41","Hem_species_42","Hem_species_43","Hem_species_44","Hem_species_45","Hem_species_46","Hem_species_47"
"RAYA Y SIMILARES","PEZ GUITARRA",NA,FALSE,"pez guitarra","Rayas y Similares","Pseudobatos productus","Species","Pseudobatos productus","Pseudobatos","Rhinobatidae","Rajiformes","Elasmobranchii","Demersal marine fishes","Rhinobatos glaucostigma","Rhinobatos leucorhynchus","Rhinobatos productus","Zapteryx exasperata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAYA Y SIMILARES","MANTA",NA,FALSE,"manta","Rayas y Similares","Hypanus dipterurus","Species","Hypanus dipterurus","Hypanus","Dasyatidae","Myliobatiformes","Elasmobranchii","Demersal marine fishes","Dasyatis dipterura","Gymnura crebripunctata","Manta birostris","Mobula japanica","Mobula munkiana","Mobula tarapacana","Mobula thurstoni","Aetobatus narinari","Myliobatis longirostris","Rhinoptera steindachneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PAYASO",NA,FALSE,"payaso","Rayas y Similares","Pseudobatos productus","Species","Pseudobatos productus","Pseudobatos","Rhinobatidae","Rajiformes","Elasmobranchii","Demersal marine fishes","Abudefduf declivifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAGRE","BAGRE",NA,FALSE,"bagre","Escama","Ictalurus spp","Genus","NEI","Ictalurus","Ictaluridae","Siluriformes","Actinopterygii","Freshwater fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARPA","CARPA",NA,FALSE,"carpa","Escama","Cyprinus acutidorsalis","Species","Cyprinus acutidorsalis","Cyprinus","Cyprinidae","Cypriniformes","Actinopterygii","Freshwater fishes","Cyprinus carpio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOBINA","LOBINA NEGRA",NA,FALSE,"lobina negra","Escama","Micropterus salmoides","Species","Micropterus salmoides","Micropterus","Centrarchidae","Perciformes","Actinopterygii","Freshwater fishes","Micropterus salmoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","TILAPIA",NA,FALSE,"tilapia","Escama","Oreochromis amphimelas","Species","Oreochromis amphimelas","Oreochromis","Cichlidae","Perciformes","Actinopterygii","Freshwater fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,FALSE,"tiburon","Tiburon","Elasmobranchii","Class","NEI","NEI","NEI","NEI","Elasmobranchii","Demersal marine fishes","Alopias pelagicus","Alopias superciliosus","Alopias vulpinus","Carcharhinus albimarginatus","Carcharhinus altimus","Carcharhinus brachyurus","Rhizoprionodon longurio","Carcharhinus falciformis","Carcharhinus galapagensis","Carcharhinus leucas","Carcharhinus limbatus","Carcharhinus longimanus","Carcharhinus obscurus","Carcharhinus plumbeus","Carcharhinus porosus","Galeocerdo cuvieri","Nasolamia velox","Negaprion brevirostris","Prionace glauca","Cephaloscyllium ventriosum","Chlamydoselachus anguineus","Echinorhinus cookei","Ginglymostoma cirratum","Heterodontus francisci","Heterodontus mexicanus","Hexanchus griseus","Notorynchus cepedianus","Carcharodon carcharias","Isurus oxyrinchus","Lamna ditropis","Odontaspis ferox","Sphyrna corona","Sphyrna lewini","Sphyrna media","Sphyrna mokarran","Sphyrna tiburo","Sphyrna zygaena","Squalus acanthias","Squatina californica","Galeorhinus galeus","Mustelus californicus","Mustelus dorsalis","Mustelus henlei","Mustelus lunulatus","Triakis semifasciata","Mustelus albipinnis",NA
"OTRAS","BURRO",NA,FALSE,"burro","Escama","Haemulon maculicauda","Species","Haemulon maculicauda","Haemulon","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus caesius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANDERA","CHIHUIL",NA,FALSE,"chihuil","Escama","Ariidae","Family","NEI","NEI","Ariidae","Siluriformes","Actinopterygii","Demersal marine fishes","Notarius kessleri","Notarius planiceps","Occidentarius platypogon","Ariopsis seemanni","Bagre panamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMPANO","PAMPANO",NA,FALSE,"pampano","Escama","Trachinotus rhodopus","Species","Trachinotus rhodopus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIERRA","SIERRA",NA,FALSE,"sierra","Escama","Scomberomorus sierra","Species","Scomberomorus sierra","Scomberomorus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Thyrsites atun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
