"recorded_taxa_group","recorded_taxa_name_clean","recorded_scientific_name","scientific_name_recorded_T.F","recorded_common_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","Hem_species_21","Hem_species_22","Hem_species_23","Hem_species_24","Hem_species_25","Hem_species_26","Hem_species_27","Hem_species_28","Hem_species_29","Hem_species_30","Hem_species_31","Hem_species_32","Hem_species_33","Hem_species_34","Hem_species_35","Hem_species_36","Hem_species_37","Hem_species_38","Hem_species_39","Hem_species_40","Hem_species_41","Hem_species_42","Hem_species_43","Hem_species_44","Hem_species_45","Hem_species_46","Hem_species_47"
"PETO","PETO",NA,FALSE,"peto",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acanthocybium solandri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","GRILLO (ALOPIAS VULPINUS)","Alopias vulpinus",TRUE,"grillo","Tiburon","Alopias superciliosus","Species","Alopias superciliosus","Alopias","Alopiidae","Lamniformes","Elasmobranchii","Demersal marine fishes","Alopias superciliosus","Alopias vulpinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON ANGELITO (SQUATINA SQUATINA)","Squatina squatina",TRUE,"tiburon angelito","Tiburon","Squatina californica","Species","Squatina californica","Squatina","Squatinidae","Squatiniformes","Elasmobranchii","Demersal marine fishes","Squatina californica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MAULA",NA,FALSE,"maula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BARRASA",NA,FALSE,"barrasa","No ID","Mycteroperca interstitialis ; Mycteroperca venenosa","Other - Group of Taxa","NEI","Mycteroperca;;Mycteroperca","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMPANO","PAMPANO HEBRA",NA,FALSE,"pampano hebra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALGAS","ALGA GIGARTINA",NA,FALSE,"alga gigartina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chondracanthus canaliculatus","Chondracanthus chamissoi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MACABI",NA,FALSE,"macabi","Escama","Elops affinis","Species","Elops affinis","Elops","Elopidae","Elopiformes","Actinopterygii","Demersal marine fishes","Albula vulpes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON RAYADO",NA,FALSE,"tiburon rayado",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Triakis semifasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","POLLO",NA,FALSE,"pollo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Helicolenus dactylopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBALO","MACHIN",NA,FALSE,"machin","Escama","Centropomus armatus","Species","Centropomus armatus","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus poeyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUBIO","BOQUILLA",NA,FALSE,"boquilla","No ID","Haemulon parra","Species","Haemulon parra","Haemulon","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Haemulon steindachneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","INDIO",NA,FALSE,"indio",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paranthias furcifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MARLIN NEGRO",NA,FALSE,"marlin negro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Makaira indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","VIEJA JAIBA",NA,FALSE,"vieja jaiba","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Lutjanus synagris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PISTOLA",NA,FALSE,"pistola",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fistularia petimba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PULPO","PULPO MAYA (OCTOPUS MAYA)","Octopus maya",TRUE,"pulpo maya","Pulpo","Octopus spp","Genus","NEI","Octopus","Octopodidae","Octopoda","Cephalopoda","Cephalopods","Octopus maya","Octopus vulgaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CANGREJO MORO",NA,FALSE,"cangrejo moro","Otras","Decapoda","Order","NEI","NEI","NEI","Decapoda","Malacostraca","Shrimps, prawns","Carpilius corallinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","OTRAS ESPECIES SIN REGISTRO OFICIAL",NA,FALSE,"otras especies sin registro oficial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON CEBRA",NA,FALSE,"camaron cebra",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rimapenaeus faoe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","JUEZ",NA,FALSE,"juez",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bathystoma rimator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MENUDO",NA,FALSE,"menudo","No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI","Pristipomoides freemani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUBIA Y VILLAJAIBA","RABIRRUBIA",NA,FALSE,"rabirrubia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus inermis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON PRIETO",NA,FALSE,"tiburon prieto","Tiburon","Carcharhinus falciformis","Species","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus obscurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PERCA",NA,FALSE,"perca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BLANQUITA",NA,FALSE,"blanquita","No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI","Pomadasys corvinaeformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BOQUINETE",NA,FALSE,"boquinete","Escama","Sciaenidae","Family","NEI","NEI","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Larimus acclivis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON CHATO",NA,FALSE,"tiburon chato","Tiburon","Carcharhinus leucas","Species","Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Negaprion brevirostris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","BIRONCHE",NA,FALSE,"bironche","Tiburon","Rhizoprionodon longurio","Species","Rhizoprionodon longurio","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Rhizoprionodon longurio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARPA","CARPA BARRIGONA",NA,FALSE,"carpa barrigona",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinus carpio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARRILETE","BARRILETE NEGRO",NA,FALSE,"barrilete negro","Escama","Euthynnus lineatus","Species","Euthynnus lineatus","Euthynnus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","PEZ MARTILLO (SPHYRNA LEWINI)","Sphyrna lewini",TRUE,"pez martillo","Tiburon","Sphyrna corona","Species","Sphyrna corona","Sphyrna","Sphyrnidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Sphyrna lewini","Sphyrna media","Sphyrna mokarran","Sphyrna tiburo","Sphyrna zygaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON CARTON",NA,FALSE,"tiburon carton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAZON","CAZON PLAYA",NA,FALSE,"cazon playa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SARDINA","SARDINA RAYADA",NA,FALSE,"sardina rayada",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harengula thrissina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRA RAYADA",NA,FALSE,"mojarra rayada","Escama","Eugerres axillaris","Species","Eugerres axillaris","Eugerres","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus taeniatus","Eugerres lineatus","Gerres cinereus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAZON","CAZON LIMON",NA,FALSE,"cazon limon","Tiburon","Negaprion brevirostris","Species","Negaprion brevirostris","Negaprion","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus acronotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RONCO","RONCADINA",NA,FALSE,"roncadina",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus cyanopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","ARRAYADO",NA,FALSE,"arrayado","No ID","Lutjanus synagris","Species","Lutjanus synagris","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Haemulon parrai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANDERA","CACUMO",NA,FALSE,"cacumo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bagre marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABRILLA","CABRILLA PRIETA",NA,FALSE,"cabrilla prieta","Escama","Paralabrax maculatofasciatus","Species","Paralabrax maculatofasciatus","Paralabrax","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Hyporthodus nigritus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON VOLADOR",NA,FALSE,"tiburon volador","Tiburon","Carcharhinus limbatus","Species","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus limbatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","LUCIO",NA,FALSE,"lucio",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus analis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CORVINA","CORVINA CHATA",NA,FALSE,"corvina chata","Escama","Larimus effulgens","Species","Larimus effulgens","Larimus","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Elattarchus archidium","Larimus acclivis","Larimus argenteus","Larimus effulgens","Ophioscion scierus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SARDINA","PESCADO",NA,FALSE,"pescado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","MACHORRO",NA,FALSE,"machorro","No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI","Cynoscion macdonaldi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUBIO","CHAC-CHI",NA,FALSE,"chac-chi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemulon plumierii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIBURON","TIBURON MAYO",NA,FALSE,"tiburon mayo","Tiburon","Isurus oxyrinchus","Species","Isurus oxyrinchus","Isurus","Lamnidae","Lamniformes","Elasmobranchii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","TAMBOR",NA,FALSE,"tambor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABRILLA","CABRILLA CUERO",NA,FALSE,"cabrilla cuero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CAIMAN",NA,FALSE,"caiman",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bathygobius soporator ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CANGREJO AZUL",NA,FALSE,"cangrejo azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callinectes sapidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BARBILLA",NA,FALSE,"barbilla","Escama","Polydactylus approximans","Species","Polydactylus approximans","Polydactylus","Polynemidae","Perciformes","Actinopterygii","Demersal marine fishes","Polydactylus opercularis","Polydactylus approximans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","NEGRILLO",NA,FALSE,"negrillo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rypticus saponaceus","Rypticus nigripinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CINTILLA","LISTON",NA,FALSE,"liston","Escama","Trichiurus auriga","Species","Trichiurus auriga","Trichiurus","Trichiuridae","Perciformes","Actinopterygii","Demersal marine fishes","Trichiurus lepturus","Trichiurus nitens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBALO","ROBALO BLANCO",NA,FALSE,"robalo blanco","Escama","Centropomus armatus","Species","Centropomus armatus","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus robalito","Centropomus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRA PIEDRERA",NA,FALSE,"mojarra piedrera","Escama","Anisotremus davidsonii","Species","Anisotremus davidsonii","Anisotremus","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus davidsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALMEJA","ALMEJA GENEROSA",NA,FALSE,"almeja generosa","Almeja","Panopea generosa","Species","Panopea generosa","Panopea","Hiatellidae","Adapedonta","Bivalvia","Molluscs excl. Cephalopods","Panopea generosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SARDINA","SARDINA ESCAMUDA",NA,FALSE,"sardina escamuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harengula thrissina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
