landing_site,clave,subregion,long,lat,State,hand_added,
AGUA CHALE                                  ,NA,4,-114.7053,30.7218,Baja California,yes,
BAJO LA BRUJA                               ,NA,NA,NA,NA,Baja California,yes,"shole, nautical hazard, not a specific location"
ANTON LIZARDO                               ,NA,NA,NA,NA,Baja California,yes,Gulf of Mexico
ARROYO (EN I. DE CEDROS)                    ,328,1.0327,-115.216,28.189,Baja California,yes,
CAMPO LIMA (EN I. GUADALUPE)                ,279,1.0278,-118.377,29.0556,Baja California,yes,
GUAYMAS                                     ,NA,4,-110.905,27.918,Baja California,yes,Sonara
ISLA ENCANTADA (CENTRO)                     ,NA,4,-114.837,31.024,Baja California,yes,
LA PALMITA (VARADERO)                       ,NA,NA,NA,NA,Baja California,yes,Likely in Sonora
PUERTO LIBERTAD                             ,NA,4,-112.673,29.909,Baja California,yes,Sonara
PUNTA NORTE (I. CEDROS)                     ,328,1.0327,-115.216,28.189,Baja California,yes,
MALECOM SEYBAPLAYA                          ,NA,NA,NA,NA,Baja California,yes,Gulf of Mexico
R/A. BITZAL 5TA. SECC.                      ,NA,NA,NA,NA,Baja California,yes,"Tabasco, inland"
CELESTUN                                    ,NA,NA,NA,NA,Baja California,yes,Gulf of Mexico
EL CARACOL                                  ,NA,1,-116.6246,31.8592,Baja California,yes,Ensenada?
PUERTO MADERO                               ,NA,NA,NA,NA,Baja California,yes,Chiapas
SAN LUCAS                                   ,NA,NA,NA,NA,Baja California,yes,Baja California Sur?
BAJO SACRAMENTO O EL TIMON ,NA,NA,NA,NA,Baja California,yes,Gulf of Mexico
