landing_site,clave,subregion,long,lat,State,hand_added,
FELIZ O SANTA CATARINA CAMPO,149,4.0149,-114.6799,30.5959,Baja California,no,
FINAL PUNTA,96,4.0096,-114.2711,29.772,Baja California,no,
FINGER BANCK,337,1.0336,-117.068,32.157,Baja California,no,
FISCAL MUELLE,82,1.0081,-116.633,31.8525,Baja California,no,
FRANCISCO TORRES,14,1.0014,-117.0857,32.395,Baja California,no,
GABRIELA PLAYA,151,4.0151,-114.6946,30.62,Baja California,no,
GARCÍA CAMPO,157,4.0157,-114.6963,30.655,Baja California,no,
GAVIOTAS LAS,44,1.0044,-116.9469,32.2511,Baja California,no,
GEMELITOS ISLA LOS,50,4.005,-113.4788,28.9537,Baja California,no,
GOYOS,138,4.0138,-114.6319,30.5,Baja California,no,
GRANDE PLAYA,209,4.0209,-114.8827,31.1396,Baja California,no,
GRANDE RANCHO,101,4.0101,-114.3978,29.7925,Baja California,no,
GRANITO ISLA,77,4.0077,-113.556,29.5818,Baja California,no,
GRINGA PUNTA LA,64,4.0064,-113.541,29.031,Baja California,no,
GUADALUPE,152,1.0151,-116.359,31.255,Baja California,no,
GUADALUPE BAHÍA,70,4.007,-113.6369,29.2098,Baja California,no,
ISLA DE GUADALUPE,279,1.0278,-118.377,29.0556,Baja California,no,
GUADALUPE ISLA,279,1.0278,-118.377,29.0556,Baja California,no,
GUERRERO NEGRO,332,1.0331,-114.044,27.98,Baja California,no,
HACIENDA,189,4.0189,-114.759,30.9562,Baja California,no,
HARDY RÍO,218,4.0218,-115.119,31.979,Baja California,no,
HAWAII CAMPO,203,4.0203,-114.8713,31.107,Baja California,no,
HERMANOS LOS,140,4.014,-114.6407,30.5134,Baja California,no,
HERMOSA ENSENADA PLAYA,35,1.0035,-117.037,32.285,Baja California,no,
HERMOSA NORTE PLAYA,86,1.0085,-116.6135,31.8383,Baja California,no,
HERMOSA PLAYA,168,4.0168,-114.6974,30.7307,Baja California,no,
HERMOSA VISTA,182,4.0182,-114.7021,30.9088,Baja California,no,
HERRADURA PUNTA LA,56,4.0056,-113.4742,28.9451,Baja California,no,
HOWARDO PUNTA,276,1.0275,-114.7267,29.1345,Baja California,no,
HUERFANITO ISLA,120,4.012,-114.6231,30.1285,Baja California,no,
ISLOTES DE SUR,73,4.0073,-113.2252,29.0257,Baja California,no,
JACARANDAS CLUB,205,4.0205,-114.88,31.128,Baja California,no,
JALISCO CAMPO,208,4.0208,-114.8808,31.138,Baja California,no,
JATAY,63,1.0063,-116.8617,32,Baja California,no,
JOLLA CAMPO LA,164,4.0164,-114.7,30.717,Baja California,no,
JOSE M. MORELOS Y PAVÓN EJIDO,314,1.0313,-114.0668,28.3442,Baja California,no,
JOYA NORTE LA,108,1.0107,-116.6653,31.7108,Baja California,no,
JOYA TIJUANA LA,4,1.0004,-117.112,32.456,Baja California,no,
JUAN ESCUTIA,136,1.0135,-116.5327,31.4374,Baja California,no,
KENNEDY PUERTO,111,1.011,-116.6637,31.7043,Baja California,no,
KEVINO PUNTA,271,1.027,-114.8341,29.2344,Baja California,no,
LA GRINGA ENSENADA,63,4.0063,-113.5481,29.0316,Baja California,no,
LAGUNA PUNTA LA,210,1.0209,-115.9826,30.4055,Baja California,no,
LANGOSTERA PUNTA LA,9,4.0009,-112.8059,28.139,Baja California,no,
LAS PALOMAS ENSENADA,21,4.0021,-112.8641,28.4475,Baja California,no,
LAS PAREDES ENSENADA,116,4.0116,-114.5758,30.0494,Baja California,no,
LEPRO VILLA,15,1.0015,-117.0823,32.39,Baja California,no,
LIMA CAMPO,291,1.029,-118.358,28.885,Baja California,no,
LINDA PLAYA,163,4.0163,-114.7,30.7165,Baja California,no,
LOBERA LA,143,1.0142,-116.461,31.3438,Baja California,no,
LOBERA PUNTA,121,1.012,-116.6893,31.5528,Baja California,no,
LOBERA PUNTA LA,257,1.0256,-115.1541,29.4185,Baja California,no,
LOBERA ROCA LA,153,1.0152,-116.3685,31.2486,Baja California,no,
LOBOS ISLA,115,4.0115,-114.4895,30.0532,Baja California,no,
LOBOS PUNTA,292,1.0291,-114.4341,28.875,Baja California,no,
PUERTO LOBOS,292,1.0291,-114.4341,28.875,Baja California,yes,
LOMA DORADA,87,1.0086,-116.6113,31.8264,Baja California,no,
LOMA PLAYA PUNTA,159,4.0159,-114.7014,30.68,Baja California,no,
LOS CANDELEROS ACANTILADO,262,1.0261,-115.0911,29.4146,Baja California,no,
LOS HOJITOS VARADERO,319,1.0318,-114.09,28.296,Baja California,no,
LÓPEZ CAMPO,53,1.0053,-116.878,32.132,Baja California,no,
MACHORRO PUNTA EL,196,4.0196,-114.8046,31.045,Baja California,no,
MANEADERO,113,1.0112,-116.651,31.7008,Baja California,no,
MANUELA LAGUNA,326,1.0325,-114.0838,28.2341,Baja California,no,
MAR RANCHO DEL,16,1.0016,-117.0895,32.385,Baja California,no,
MARRÓN PLAYA,293,1.0292,-114.3768,28.8122,Baja California,no,
MARÍA BAHÍA,287,1.0286,-114.498,28.915,Baja California,no,
MARÍA GOLFO PUNTA,170,4.017,-114.699,30.7593,Baja California,no,
MARÍA PUNTA,286,1.0285,-114.53,28.921,Baja California,no,
MATOMI EJIDO,139,4.0139,-114.64,30.517,Baja California,no,
MATOMÍ CAMPO,135,4.0135,-114.6338,30.4633,Baja California,no,
MAYMA CAMPO,166,4.0166,-114.7,30.722,Baja California,no,
MEDIO PUERTECITO DE EN,34,4.0034,-113.2257,28.8244,Baja California,no,
MEDIO PUNTA DE EN,258,1.0257,-115.1294,29.4177,Baja California,no,
MEJIA ISLA,83,4.0083,-113.5847,29.574,Baja California,no,
MEJÍA PUNTA,82,4.0082,-113.5838,29.5845,Baja California,no,
MERCADO NEGRO,84,1.0083,-116.633,31.8525,Baja California,no,
MEXICALI,222,4.0222,-115.4667,32.6508,Baja California,no,
MEZQUITE PUNTA,52,1.0052,-116.898,32.143,Baja California,no,
MIDDLE,333,1.0332,-117.26,32.44,Baja California,no,
MINAS LAS,148,1.0147,-116.4341,31.3171,Baja California,no,
MINAS PLAYA DE,130,4.013,-114.6375,30.3825,Baja California,no,
MIRAMAR,25,1.0025,-117.0503,32.32,Baja California,no,
MIRAMAR ENSENADA,117,4.0117,-114.5914,30.0858,Baja California,no,
MIRAMAR ISLA,118,4.0118,-114.5414,30.0851,Baja California,no,
MISIÓN BOCA LA,57,1.0057,-116.886,32.058,Baja California,no,
MOLINO VIEJO MUELLE,191,1.019,-115.98,30.48,Baja California,no,
MORELOS VILLA,160,1.0159,-116.2378,30.937,Baja California,no,
MORRO,59,4.0059,-113.5436,28.9648,Baja California,no,
MORRO PUNTA,79,1.0079,-116.6678,31.8576,Baja California,no,
MORROS COLORADOS LOS,265,1.0264,-114.956,29.3659,Baja California,no,
MUELLE,81,1.0081,-116.633,31.8525,Baja California,no,
MUERTITO ARROYO EL,303,1.0302,-114.1505,28.5727,Baja California,no,
MUERTITO EL,302,1.0301,-114.1505,28.5668,Baja California,no,
MUERTO PUNTA EL,88,4.0088,-113.7905,29.417,Baja California,no,
MUJERES CALA,23,4.0023,-112.8745,28.4422,Baja California,no,
MUJERES PUERTO,263,1.0262,-115.0746,29.4143,Baja California,no,
MÉXICO PLAYA,156,4.0156,-114.6963,30.653,Baja California,no,
NACHO CAMPO,121,4.0121,-114.6713,30.2088,Baja California,no,
NAVIO NORTE CAMPO,79,4.0079,-113.5716,29.5677,Baja California,no,
NAVIO SUR CAMPO,78,4.0078,-113.5535,29.5588,Baja California,no,
NORTE CAMPO,274,1.0273,-118.368,29.188,Baja California,no,
NORTE EL CAMPITO,51,1.0051,-116.9005,32.1675,Baja California,no,
NUEVE FATHON,334,1.0333,-117.257,32.423,Baja California,no,
NUEVO CAMPO,248,1.0247,-115.6001,29.6843,Baja California,no,
NUEVO MAZATLAN,165,4.0165,-114.7082,30.7213,Baja California,no,
NUEVO PUERTO,47,1.0047,-116.9314,32.2431,Baja California,no,
OASIS EL,17,1.0017,-117.0773,32.38,Baja California,no,
OLAS LAS,62,1.0062,-116.8766,32.0184,Baja California,no,
OLD MILL,184,1.0183,-115.9711,30.4858,Baja California,no,
ORENDAIN VILLA,212,1.0211,-115.9529,30.4027,Baja California,no,
ORO MISION PLAYA DE,214,1.0213,-115.9244,30.4019,Baja California,no,
OSTIONERO,195,1.0194,-116,30.4529,Baja California,no,
PABELLÓN CAMPO,225,1.0224,-115.8425,30.3604,Baja California,no,
PABELLÓN EL,222,1.0221,-115.8502,30.3669,Baja California,no,
PABELLÓN PLAYA EL,221,1.022,-115.8505,30.3669,Baja California,no,
PACHECO (EL VARADERO) PLAYA,310,1.0309,-114.0622,28.3818,Baja California,no,
PACHECO PLAYA,321,1.032,-114.112,28.257,Baja California,no,
PAI-PAI CAMPO,202,4.0202,-114.8694,31.1023,Baja California,no,
PALMAS LAS,191,4.0191,-114.8155,30.9903,Baja California,no,
PALMITA LA),8,4.0008,-112.8007,28.1171,Baja California,no,
PANCHOS PLACE,179,4.0179,-114.7194,30.842,Baja California,no,
PAPALOTE BAHÍA,105,1.0104,-116.7187,31.7161,Baja California,no,
PAPALOTE EL,185,1.0184,-115.9419,30.4807,Baja California,no,
PAPALOTE NORTE EL,101,1.01,-116.7092,31.7211,Baja California,no,
PAPÁ FERNÁNDEZ,107,4.0107,-114.4014,29.8291,Baja California,no,
