"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Landings_Datasource","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","FisheryStatus_Circa2000","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment"
"goc","especies","family cannot be determined; class holothuroidea","echinoderms","pepino de mar","conapesca",TRUE,2000,2024,2017,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.1,NA,NA,NA,NA,"yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","etrumeus","dussumieriidae","anchovy & sardine (small pelagics)","sardina","conapesca",TRUE,2000,2024,2010,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.6,0.9,0.01,0.3,NA,NA,"high","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","eucinostomus","gerreidae","demersal marine fishes","mojarra","conapesca",TRUE,2000,2024,2009,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,NA,"yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","eugerres","gerreidae","demersal marine fishes","mojarra","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,NA,"exclude_freshwater_fish","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","euthynnus","scombridae","pelagic marine fish (excl. anchovy & sardine)","barrilete","conapesca",TRUE,2004,2024,2018,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.01,0.4,NA,NA,"medium","best_guess_katsuwonus.pelamis","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","farfantepenaeus","penaeidae","shrimps, prawns","camaron","conapesca",TRUE,2000,2024,2011,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.01,0.4,NA,NA,"high","sealifebase_penaeus californiensis","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","galeocerdo","carcharhinidae","sharks","tiburon","conapesca",TRUE,2000,2024,2010,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","gerres","gerreidae","demersal marine fishes","bandera","conapesca",TRUE,2000,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,"high","best_guess_serranidae","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","ginglymostoma","ginglymostomatidae","sharks","tiburon","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.5,0.8,0.01,0.3,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","haemulon","haemulidae","demersal marine fishes","rubio","conapesca",TRUE,2000,2024,2008,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,NA,"exclude_freshwater_fish","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
