"year","Stock","total_biomass_kg","total_revenue","Major_Functional_Group","estimated_taxa_group","new_estimated_family_name"
2022,"Diplectrum",111938.45,9278393,"Demersal marine fishes","OTRAS","Serranidae"
2023,"Diplectrum",94389,7380560,"Demersal marine fishes","OTRAS","Serranidae"
2024,"Diplectrum",105484.7,7012684,"Demersal marine fishes","OTRAS","Serranidae"
2000,"Dosidicus",27436745,66952711,"Cephalopods","CALAMAR","Ommastrephidae"
2001,"Dosidicus",25687744.45,34350653,"Cephalopods","CALAMAR","Ommastrephidae"
2002,"Dosidicus",41982182.95,39100199,"Cephalopods","CALAMAR","Ommastrephidae"
2003,"Dosidicus",72912686.2,58942885,"Cephalopods","CALAMAR","Ommastrephidae"
2004,"Dosidicus",55356458,62580070,"Cephalopods","CALAMAR","Ommastrephidae"
2005,"Dosidicus",28701146.35,60449575,"Cephalopods","CALAMAR","Ommastrephidae"
2006,"Dosidicus",26357229.35,39370826.5,"Cephalopods","CALAMAR","Ommastrephidae"
2007,"Dosidicus",26147497.15,41772576.8,"Cephalopods","CALAMAR","Ommastrephidae"
2008,"Dosidicus",47596611.75,71773807,"Cephalopods","CALAMAR","Ommastrephidae"
2009,"Dosidicus",40648110.9,61189445,"Cephalopods","CALAMAR","Ommastrephidae"
2010,"Dosidicus",42785130.05,103691735,"Cephalopods","CALAMAR","Ommastrephidae"
2011,"Dosidicus",19096479.25,72923534,"Cephalopods","CALAMAR","Ommastrephidae"
2012,"Dosidicus",8924050,41533275,"Cephalopods","CALAMAR","Ommastrephidae"
2013,"Dosidicus",14857316.3,67118169,"Cephalopods","CALAMAR","Ommastrephidae"
2014,"Dosidicus",24475530.05,149168130,"Cephalopods","CALAMAR","Ommastrephidae"
2015,"Dosidicus",1589608.95,13961217.5,"Cephalopods","CALAMAR","Ommastrephidae"
2016,"Dosidicus",831156.05,13450333.5,"Cephalopods","CALAMAR","Ommastrephidae"
2017,"Dosidicus",620840.7,10052295.5,"Cephalopods","CALAMAR","Ommastrephidae"
2018,"Dosidicus",446072.7,6578988.6,"Cephalopods","CALAMAR","Ommastrephidae"
2019,"Dosidicus",481400.7,6857153,"Cephalopods","CALAMAR","Ommastrephidae"
2020,"Dosidicus",302444.4,6162464.4,"Cephalopods","CALAMAR","Ommastrephidae"
2021,"Dosidicus",692971.75,17180291,"Cephalopods","CALAMAR","Ommastrephidae"
2022,"Dosidicus",848586.35,26712195,"Cephalopods","CALAMAR","Ommastrephidae"
2023,"Dosidicus",1117009,34045789,"Cephalopods","CALAMAR","Ommastrephidae"
2024,"Dosidicus",1183391.02,37487031.8,"Cephalopods","CALAMAR","Ommastrephidae"
2000,"Dosinia",359420,2123330,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2001,"Dosinia",169168,859224,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2002,"Dosinia",83341,262218,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2003,"Dosinia",195877,671428,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2004,"Dosinia",701610,3000466,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2005,"Dosinia",912716,3895736,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2006,"Dosinia",583535,1908670,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2007,"Dosinia",1072943,3779777,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2008,"Dosinia",1584959,9978688,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2009,"Dosinia",2008255,18509079,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2010,"Dosinia",1320468,5851548,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2011,"Dosinia",816714,2615843,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2012,"Dosinia",939293,2365806,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2013,"Dosinia",1952224,4450460,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2014,"Dosinia",905431,3183340,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2015,"Dosinia",757428,3572299.5,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2016,"Dosinia",1438608,5518030,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2017,"Dosinia",1988935,7481874,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2018,"Dosinia",1312401,8038816.5,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2019,"Dosinia",1004278,7321687,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2020,"Dosinia",1202131,7938149.75,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2021,"Dosinia",1327512,10260278.84,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2022,"Dosinia",1661011,12796502.08,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2023,"Dosinia",1419905,10386661,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2024,"Dosinia",1463217,9885565.5,"Molluscs excl. Cephalopods","ALMEJA","Veneridae"
2000,"Epinephelus",71475.1,857018,"Demersal marine fishes","MERO","Serranidae"
2001,"Epinephelus",51880.9,658349,"Demersal marine fishes","MERO","Serranidae"
2002,"Epinephelus",45719.5,653211,"Demersal marine fishes","MERO","Serranidae"
2003,"Epinephelus",57361.1,907890,"Demersal marine fishes","MERO","Serranidae"
2004,"Epinephelus",79369.2,1241540,"Demersal marine fishes","MERO","Serranidae"
2005,"Epinephelus",16081.1,383665,"Demersal marine fishes","MERO","Serranidae"
2006,"Epinephelus",12371.6,318402,"Demersal marine fishes","MERO","Serranidae"
2007,"Epinephelus",12797.25,331605,"Demersal marine fishes","MERO","Serranidae"
2008,"Epinephelus",11636,306766,"Demersal marine fishes","MERO","Serranidae"
2009,"Epinephelus",25206.5,701082,"Demersal marine fishes","MERO","Serranidae"
2010,"Epinephelus",20185.2,671135,"Demersal marine fishes","MERO","Serranidae"
2011,"Epinephelus",14227.6,343629,"Demersal marine fishes","MERO","Serranidae"
2012,"Epinephelus",13652.6,368670,"Demersal marine fishes","MERO","Serranidae"
2013,"Epinephelus",13803.95,485678,"Demersal marine fishes","MERO","Serranidae"
2014,"Epinephelus",13881.9,463046.5,"Demersal marine fishes","MERO","Serranidae"
2015,"Epinephelus",58325.6,1241003,"Demersal marine fishes","MERO","Serranidae"
2016,"Epinephelus",31077.45,1367061.5,"Demersal marine fishes","MERO","Serranidae"
2017,"Epinephelus",20790.2,1075219,"Demersal marine fishes","MERO","Serranidae"
2018,"Epinephelus",26116.6,1363457,"Demersal marine fishes","MERO","Serranidae"
2019,"Epinephelus",25229.1,1382673,"Demersal marine fishes","MERO","Serranidae"
2020,"Epinephelus",49410.3,1840607,"Demersal marine fishes","MERO","Serranidae"
2021,"Epinephelus",59909.5,2285712,"Demersal marine fishes","MERO","Serranidae"
2022,"Epinephelus",29583.3,1151667,"Demersal marine fishes","MERO","Serranidae"
2023,"Epinephelus",24522,291771,"Demersal marine fishes","MERO","Serranidae"
2024,"Epinephelus",9404.9,536893,"Demersal marine fishes","MERO","Serranidae"
2000,"Especies",425548,8823617,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2001,"Especies",441947,9140855,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2002,"Especies",290459,2393367,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2003,"Especies",200822,1355783,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2004,"Especies",383257,3754942,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2005,"Especies",7930,106755,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2006,"Especies",16364,211825,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2007,"Especies",4476,67990,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2008,"Especies",24091,240910,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2009,"Especies",25879,1037184,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2010,"Especies",22703,8420504,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2011,"Especies",26908,1298590,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2012,"Especies",29258,2789446,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2013,"Especies",2010,49650,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2014,"Especies",35588,1988925,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2015,"Especies",14935,600250,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2016,"Especies",26899,229132,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2017,"Especies",85498,1175007,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2018,"Especies",50743,778930,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2019,"Especies",69863,1057510,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2020,"Especies",110466,1252981,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2021,"Especies",104708,1072630,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2022,"Especies",13724,643810,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2023,"Especies",5,125,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2024,"Especies",255,1275,"Echinoderms","PEPINO DE MAR","Family cannot be determined; class Holothuroidea"
2000,"Etrumeus",4141784.64,782395,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2001,"Etrumeus",304453.6,0,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2003,"Etrumeus",8032614.88,3596404,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2004,"Etrumeus",8145357.6,6996021,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2005,"Etrumeus",6829665.88,12955902,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2006,"Etrumeus",6638635.92,92775767,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2007,"Etrumeus",3544261.68,2876898,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2008,"Etrumeus",958452.32,826252,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2009,"Etrumeus",512865,442125,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2010,"Etrumeus",10763495,9329075,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2011,"Etrumeus",978338.2,843395,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2012,"Etrumeus",2011720.72,2064235,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2013,"Etrumeus",16864686.68,18965504,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2014,"Etrumeus",7568697.24,7998389,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2015,"Etrumeus",7029227.06,9591466.2,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2016,"Etrumeus",25081082.1,253073124.1,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2017,"Etrumeus",28279045.5,41918446.65,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2018,"Etrumeus",14961989.14,24361925,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2019,"Etrumeus",12545467.28,22109872,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2020,"Etrumeus",6914008.32,14347342,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2021,"Etrumeus",3543139.96,6543623,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2022,"Etrumeus",4103045.28,8457495.5,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2023,"Etrumeus",4099559,8924284,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2024,"Etrumeus",4723042.08,8703509.67,"Anchovy & Sardine (small pelagics)","SARDINA","Dussumieriidae"
2000,"Eucinostomus",56988,369606,"Demersal marine fishes","MOJARRA","Gerreidae"
2001,"Eucinostomus",73082,473732,"Demersal marine fishes","MOJARRA","Gerreidae"
2002,"Eucinostomus",84368,622349,"Demersal marine fishes","MOJARRA","Gerreidae"
2003,"Eucinostomus",58831,458147,"Demersal marine fishes","MOJARRA","Gerreidae"
2004,"Eucinostomus",95370,697495,"Demersal marine fishes","MOJARRA","Gerreidae"
2005,"Eucinostomus",67352,617038,"Demersal marine fishes","MOJARRA","Gerreidae"
2006,"Eucinostomus",65661,521407,"Demersal marine fishes","MOJARRA","Gerreidae"
2007,"Eucinostomus",77807,563881,"Demersal marine fishes","MOJARRA","Gerreidae"
2008,"Eucinostomus",120799,987051,"Demersal marine fishes","MOJARRA","Gerreidae"
2009,"Eucinostomus",231158,2019361,"Demersal marine fishes","MOJARRA","Gerreidae"
2010,"Eucinostomus",203327,1655586,"Demersal marine fishes","MOJARRA","Gerreidae"
2011,"Eucinostomus",253790,1723756,"Demersal marine fishes","MOJARRA","Gerreidae"
2012,"Eucinostomus",590027,2653048,"Demersal marine fishes","MOJARRA","Gerreidae"
2013,"Eucinostomus",695165,4427462,"Demersal marine fishes","MOJARRA","Gerreidae"
2014,"Eucinostomus",237337,2787713,"Demersal marine fishes","MOJARRA","Gerreidae"
2015,"Eucinostomus",199340.7,2393382,"Demersal marine fishes","MOJARRA","Gerreidae"
2016,"Eucinostomus",146633,2360331.5,"Demersal marine fishes","MOJARRA","Gerreidae"
2017,"Eucinostomus",167106,3273104,"Demersal marine fishes","MOJARRA","Gerreidae"
2018,"Eucinostomus",216188,3677556,"Demersal marine fishes","MOJARRA","Gerreidae"
2019,"Eucinostomus",198950.5,3068104.5,"Demersal marine fishes","MOJARRA","Gerreidae"
2020,"Eucinostomus",106383.3,1690107,"Demersal marine fishes","MOJARRA","Gerreidae"
2021,"Eucinostomus",100859.5,1619747,"Demersal marine fishes","MOJARRA","Gerreidae"
2022,"Eucinostomus",266225,3536855,"Demersal marine fishes","MOJARRA","Gerreidae"
2023,"Eucinostomus",253683,5413285,"Demersal marine fishes","MOJARRA","Gerreidae"
2024,"Eucinostomus",373818,6577058,"Demersal marine fishes","MOJARRA","Gerreidae"
2000,"Eugerres",11800,50864,"Demersal marine fishes","MOJARRA","Gerreidae"
2001,"Eugerres",20487,108522,"Demersal marine fishes","MOJARRA","Gerreidae"
2002,"Eugerres",21979,119139,"Demersal marine fishes","MOJARRA","Gerreidae"
2003,"Eugerres",31237,246050,"Demersal marine fishes","MOJARRA","Gerreidae"
2004,"Eugerres",52312,532407,"Demersal marine fishes","MOJARRA","Gerreidae"
2005,"Eugerres",42135,438373,"Demersal marine fishes","MOJARRA","Gerreidae"
2006,"Eugerres",16608,148296,"Demersal marine fishes","MOJARRA","Gerreidae"
2007,"Eugerres",10549,98344,"Demersal marine fishes","MOJARRA","Gerreidae"
2008,"Eugerres",26686,118787,"Demersal marine fishes","MOJARRA","Gerreidae"
2009,"Eugerres",19731,93736,"Demersal marine fishes","MOJARRA","Gerreidae"
2010,"Eugerres",8136,68638,"Demersal marine fishes","MOJARRA","Gerreidae"
2011,"Eugerres",35355,211419,"Demersal marine fishes","MOJARRA","Gerreidae"
2012,"Eugerres",19241,149824,"Demersal marine fishes","MOJARRA","Gerreidae"
2013,"Eugerres",16541,124853,"Demersal marine fishes","MOJARRA","Gerreidae"
2014,"Eugerres",35923,352835,"Demersal marine fishes","MOJARRA","Gerreidae"
2015,"Eugerres",38358,409785,"Demersal marine fishes","MOJARRA","Gerreidae"
2016,"Eugerres",50119,489744,"Demersal marine fishes","MOJARRA","Gerreidae"
2017,"Eugerres",74477,801941,"Demersal marine fishes","MOJARRA","Gerreidae"
2018,"Eugerres",77045,829713,"Demersal marine fishes","MOJARRA","Gerreidae"
2019,"Eugerres",75208,734101,"Demersal marine fishes","MOJARRA","Gerreidae"
2020,"Eugerres",58767,482732,"Demersal marine fishes","MOJARRA","Gerreidae"
2021,"Eugerres",44521,476181,"Demersal marine fishes","MOJARRA","Gerreidae"
2022,"Eugerres",85586,918729,"Demersal marine fishes","MOJARRA","Gerreidae"
2023,"Eugerres",75998,907851,"Demersal marine fishes","MOJARRA","Gerreidae"
2024,"Eugerres",89830,928981,"Demersal marine fishes","MOJARRA","Gerreidae"
2004,"Euthynnus",40020,40,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2005,"Euthynnus",374502,1478519,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2006,"Euthynnus",1160537,5667211,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2007,"Euthynnus",1061638,5376677,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2008,"Euthynnus",3262913,20170264,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2009,"Euthynnus",2996956,14827771,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2010,"Euthynnus",2216197,10797148,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2011,"Euthynnus",2738935,17324978,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2012,"Euthynnus",3821741,22229415,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2013,"Euthynnus",2876802,13792003,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2014,"Euthynnus",3714911,14995636,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2015,"Euthynnus",2535062,71792289,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2016,"Euthynnus",3260390,24746110,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2017,"Euthynnus",2198776,26729019,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2018,"Euthynnus",1502269,23885288,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2019,"Euthynnus",3135071,51863062,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2020,"Euthynnus",1431477,17299966,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2021,"Euthynnus",2078659,20849113,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2022,"Euthynnus",2521459,26941160,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2023,"Euthynnus",1007120,11235746,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2024,"Euthynnus",1285807,13254370,"Pelagic marine fish (excl. anchovy & sardine)","BARRILETE","Scombridae"
2000,"Farfantepenaeus",14473.8,609750,"Shrimps, prawns","CAMARON","Penaeidae"
2001,"Farfantepenaeus",7909.8,435615,"Shrimps, prawns","CAMARON","Penaeidae"
2003,"Farfantepenaeus",5757,281579,"Shrimps, prawns","CAMARON","Penaeidae"
2004,"Farfantepenaeus",32997.2,1522840,"Shrimps, prawns","CAMARON","Penaeidae"
2005,"Farfantepenaeus",23781.4,1188225,"Shrimps, prawns","CAMARON","Penaeidae"
2006,"Farfantepenaeus",14371.4,485730,"Shrimps, prawns","CAMARON","Penaeidae"
2007,"Farfantepenaeus",42457.4,1608080,"Shrimps, prawns","CAMARON","Penaeidae"
2008,"Farfantepenaeus",32230.6,1061730,"Shrimps, prawns","CAMARON","Penaeidae"
2009,"Farfantepenaeus",20737.6,647282,"Shrimps, prawns","CAMARON","Penaeidae"
2010,"Farfantepenaeus",46803.8,1991910,"Shrimps, prawns","CAMARON","Penaeidae"
2011,"Farfantepenaeus",69525.6,2203225,"Shrimps, prawns","CAMARON","Penaeidae"
2012,"Farfantepenaeus",156316.6,4534590,"Shrimps, prawns","CAMARON","Penaeidae"
2013,"Farfantepenaeus",122203.4,4709030,"Shrimps, prawns","CAMARON","Penaeidae"
2014,"Farfantepenaeus",357971,11496135,"Shrimps, prawns","CAMARON","Penaeidae"
2015,"Farfantepenaeus",170185.2,6746280,"Shrimps, prawns","CAMARON","Penaeidae"
2016,"Farfantepenaeus",290432.8,14031213,"Shrimps, prawns","CAMARON","Penaeidae"
2017,"Farfantepenaeus",249103.6,13959810,"Shrimps, prawns","CAMARON","Penaeidae"
2018,"Farfantepenaeus",312358.4,19671080,"Shrimps, prawns","CAMARON","Penaeidae"
2019,"Farfantepenaeus",205071.4,12785259,"Shrimps, prawns","CAMARON","Penaeidae"
2020,"Farfantepenaeus",115814,7485542,"Shrimps, prawns","CAMARON","Penaeidae"
2021,"Farfantepenaeus",339417.6,23304279,"Shrimps, prawns","CAMARON","Penaeidae"
2022,"Farfantepenaeus",283780.2,19509719,"Shrimps, prawns","CAMARON","Penaeidae"
2023,"Farfantepenaeus",45136,2796140,"Shrimps, prawns","CAMARON","Penaeidae"
2024,"Farfantepenaeus",9566.4,549990,"Shrimps, prawns","CAMARON","Penaeidae"
2000,"Galeocerdo",1617,6706,"Sharks","TIBURON","Carcharhinidae"
2001,"Galeocerdo",4593.5,22262,"Sharks","TIBURON","Carcharhinidae"
2002,"Galeocerdo",3712.5,17517,"Sharks","TIBURON","Carcharhinidae"
2003,"Galeocerdo",2347.5,8866,"Sharks","TIBURON","Carcharhinidae"
2004,"Galeocerdo",25509.5,117542,"Sharks","TIBURON","Carcharhinidae"
2005,"Galeocerdo",330.9,1730,"Sharks","TIBURON","Carcharhinidae"
2006,"Galeocerdo",22.5,75,"Sharks","TIBURON","Carcharhinidae"
2007,"Galeocerdo",1306.7,7785,"Sharks","TIBURON","Carcharhinidae"
2008,"Galeocerdo",410,1540,"Sharks","TIBURON","Carcharhinidae"
2009,"Galeocerdo",24160,220995,"Sharks","TIBURON","Carcharhinidae"
2010,"Galeocerdo",13557.1,109047,"Sharks","TIBURON","Carcharhinidae"
2011,"Galeocerdo",2551.75,27146,"Sharks","TIBURON","Carcharhinidae"
2012,"Galeocerdo",4262.25,30048,"Sharks","TIBURON","Carcharhinidae"
2013,"Galeocerdo",886.2,8904,"Sharks","TIBURON","Carcharhinidae"
2014,"Galeocerdo",2775.05,28262,"Sharks","TIBURON","Carcharhinidae"
2015,"Galeocerdo",2157.5,26736,"Sharks","TIBURON","Carcharhinidae"
2016,"Galeocerdo",2620.9,32836,"Sharks","TIBURON","Carcharhinidae"
2017,"Galeocerdo",1678.5,23254,"Sharks","TIBURON","Carcharhinidae"
2018,"Galeocerdo",224,3240,"Sharks","TIBURON","Carcharhinidae"
2019,"Galeocerdo",778,11044,"Sharks","TIBURON","Carcharhinidae"
2020,"Galeocerdo",9407.5,110672,"Sharks","TIBURON","Carcharhinidae"
2021,"Galeocerdo",2387.75,34506,"Sharks","TIBURON","Carcharhinidae"
2022,"Galeocerdo",6007.3,126996,"Sharks","TIBURON","Carcharhinidae"
2023,"Galeocerdo",11521,232019,"Sharks","TIBURON","Carcharhinidae"
2024,"Galeocerdo",46184.25,643429,"Sharks","TIBURON","Carcharhinidae"
2000,"Gerres",33861.9,192419,"Demersal marine fishes","BANDERA","Gerreidae"
2001,"Gerres",126178.3,767266,"Demersal marine fishes","BANDERA","Gerreidae"
2002,"Gerres",78452.9,482693,"Demersal marine fishes","BANDERA","Gerreidae"
2003,"Gerres",121955.8,463207,"Demersal marine fishes","BANDERA","Gerreidae"
2004,"Gerres",109572.6,437093,"Demersal marine fishes","BANDERA","Gerreidae"
2005,"Gerres",160477.5,851824,"Demersal marine fishes","BANDERA","Gerreidae"
2006,"Gerres",104148.9,642689,"Demersal marine fishes","BANDERA","Gerreidae"
2007,"Gerres",145033.9,889839,"Demersal marine fishes","BANDERA","Gerreidae"
2008,"Gerres",122682.9,836668,"Demersal marine fishes","BANDERA","Gerreidae"
2009,"Gerres",152869.5,1025168,"Demersal marine fishes","BANDERA","Gerreidae"
2010,"Gerres",265840.1,1645763,"Demersal marine fishes","BANDERA","Gerreidae"
2011,"Gerres",287816.8,1820367,"Demersal marine fishes","BANDERA","Gerreidae"
2012,"Gerres",171319.2,1139355,"Demersal marine fishes","BANDERA","Gerreidae"
2013,"Gerres",129704.8,863075,"Demersal marine fishes","BANDERA","Gerreidae"
2014,"Gerres",146550.8,1049822,"Demersal marine fishes","BANDERA","Gerreidae"
2015,"Gerres",197470.2,1445111,"Demersal marine fishes","BANDERA","Gerreidae"
2016,"Gerres",238394.6,1881095,"Demersal marine fishes","BANDERA","Gerreidae"
2017,"Gerres",204717.7,1874467,"Demersal marine fishes","BANDERA","Gerreidae"
2018,"Gerres",243278.2,2620253,"Demersal marine fishes","BANDERA","Gerreidae"
2019,"Gerres",289671.1,3253282,"Demersal marine fishes","BANDERA","Gerreidae"
2020,"Gerres",199940.8,2266402,"Demersal marine fishes","BANDERA","Gerreidae"
2021,"Gerres",107196.1,1422889,"Demersal marine fishes","BANDERA","Gerreidae"
2022,"Gerres",156813.9,3328330,"Demersal marine fishes","BANDERA","Gerreidae"
2023,"Gerres",178224,2668256,"Demersal marine fishes","BANDERA","Gerreidae"
2024,"Gerres",369838.6,6875318,"Demersal marine fishes","BANDERA","Gerreidae"
2000,"Ginglymostoma",6941.8,23977,"Sharks","TIBURON","Ginglymostomatidae"
2001,"Ginglymostoma",3667,31468,"Sharks","TIBURON","Ginglymostomatidae"
2002,"Ginglymostoma",127.3,818,"Sharks","TIBURON","Ginglymostomatidae"
2003,"Ginglymostoma",3810.4,14820,"Sharks","TIBURON","Ginglymostomatidae"
2004,"Ginglymostoma",3576.4,12036,"Sharks","TIBURON","Ginglymostomatidae"
2005,"Ginglymostoma",4360.9,16247,"Sharks","TIBURON","Ginglymostomatidae"
2006,"Ginglymostoma",1730.1,7369,"Sharks","TIBURON","Ginglymostomatidae"
2007,"Ginglymostoma",7285.5,30234.5,"Sharks","TIBURON","Ginglymostomatidae"
2008,"Ginglymostoma",3339.6,14209,"Sharks","TIBURON","Ginglymostomatidae"
2009,"Ginglymostoma",891,4254,"Sharks","TIBURON","Ginglymostomatidae"
2010,"Ginglymostoma",2154.9,8011,"Sharks","TIBURON","Ginglymostomatidae"
2011,"Ginglymostoma",784.4,7010,"Sharks","TIBURON","Ginglymostomatidae"
2012,"Ginglymostoma",541.3,2740,"Sharks","TIBURON","Ginglymostomatidae"
2013,"Ginglymostoma",530,3648,"Sharks","TIBURON","Ginglymostomatidae"
2014,"Ginglymostoma",3851.5,21438,"Sharks","TIBURON","Ginglymostomatidae"
2015,"Ginglymostoma",4610.3,25081,"Sharks","TIBURON","Ginglymostomatidae"
2016,"Ginglymostoma",1516.3,12801,"Sharks","TIBURON","Ginglymostomatidae"
2017,"Ginglymostoma",696.7,10887,"Sharks","TIBURON","Ginglymostomatidae"
2018,"Ginglymostoma",12989.5,94212,"Sharks","TIBURON","Ginglymostomatidae"
2019,"Ginglymostoma",379,4810,"Sharks","TIBURON","Ginglymostomatidae"
2020,"Ginglymostoma",961,10977,"Sharks","TIBURON","Ginglymostomatidae"
2021,"Ginglymostoma",381.4,5677,"Sharks","TIBURON","Ginglymostomatidae"
2022,"Ginglymostoma",1325.8,25174,"Sharks","TIBURON","Ginglymostomatidae"
2023,"Ginglymostoma",1956,34288,"Sharks","TIBURON","Ginglymostomatidae"
2024,"Ginglymostoma",862.6,10560,"Sharks","TIBURON","Ginglymostomatidae"
2000,"Haemulon",232461.9,810840,"Demersal marine fishes","RUBIO","Haemulidae"
