"state","office_name_clean","landing_site_clean","GoC","final_lat","final_lon","final_lat.lon_level","final_lat.lon_source"
"SONORA","GUAYMAS","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key"
"BAJA CALIFORNIA","BAHIA LOS ANGELES","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"BAJA CALIFORNIA","SAN FELIPE","SAN FELIPE","yes",31.0220527944444,-114.838044747222,"state_office_site","Hem's state.site.office key"
"OAXACA","SALINA CRUZ","SALINA CRUZ",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA PAZ","PICHILINGUE","yes",24.27183215,-110.32755775,"state_office_site","Hem's state.site.office key"
"CHIAPAS","TUXTLA GUTIERREZ","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","ARRIAGA","LA GLORIA",NA,NA,NA,NA,NA
"CHIAPAS","TONALA","LA GLORIA",NA,NA,NA,NA,NA
"CHIAPAS","TONALA","PAREDON",NA,NA,NA,NA,NA
"CHIAPAS","PLAYAS CATAZAJA","EL DESENGANO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,26.8815999490356,-113.086286236894,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","SAN CARLOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,25.3714583955429,-112.073984327773,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"SONORA","GOLFO SANTA CLARA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,31.8979505373166,-114.571539538994,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","SAN CARLOS","SAN CARLOS","no",24.7661,-111.9669,"state_site","Mel's state.site key"
"BAJA CALIFORNIA","ISLA CEDROS","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,24.9946690350877,-111.613563143275,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"CHIAPAS","PUERTO MADERO","PUERTO MADERO",NA,NA,NA,NA,NA
"GUERRERO","MARQUELIA CRUZ GRANDE","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"CHIAPAS","PLAYAS CATAZAJA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"MICHOACAN","PATZCUARO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","PTO ADOLFO LOPEZ MATEOS","no",25.1889,-112.1185,"state_site","Mel's state.site key"
"NAYARIT","SAN BLAS","SAN BLAS",NA,21.5417380555556,-105.286046388889,"state_office_site","Hem's state.site.office key"
"CHIAPAS","PLAYAS CATAZAJA","PONTE ARMAS",NA,NA,NA,NA,NA
"NAYARIT","CRUZ HUANACAXTLE","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.7914414513754,-105.337144843608,"state_office","Hem's state.office key"
"JALISCO","BARRA NAVIDAD","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,19.6247611165671,-104.425651915947,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,23.2395885256897,-109.853521983522,"state_office","Hem's state.office key"
"CHIAPAS","ACAPETAHUA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"COLIMA","MANZANILLO","MANZANILLO",NA,NA,NA,NA,NA
"JALISCO","BARRA NAVIDAD","PUERTO VALLARTA","yes",20.4868055555556,-105.183611111111,"state_site","Hem's state.site key"
"SONORA","BAHIA KINO","BAHIA KINO","yes",28.80836125,-111.948842638889,"state_office_site","Hem's state.site.office key"
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","SAN LUCAS","yes",22.891,-109.888,"state_site","Mel's state.site key"
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","BAHIA ASUNCION","no",27.1409019444444,-114.297558055556,"state_office_site","Hem's state.site.office key"
"NAYARIT","TEPIC","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,21.4826649167189,-104.547994171617,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","SAN CARLOS","MATANCITAS","no",25.3,-112.03,"state_site","Mel's state.site key"
"SONORA","PUERTO PENASCO","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key"
"GUERRERO","ACAPULCO","ACAPULCO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SAN CARLOS","PICHILINGUE","yes",24.27183215,-110.32755775,"state_site","Hem's state.site key"
"MICHOACAN","SAHUAYO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"MICHOACAN","EL RANCHITO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"MICHOACAN","CUITZEO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"MICHOACAN","ZITACUARO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA","BAHIA LOS ANGELES","BAHIA LOS ANGELES","yes",28.9890473611111,-113.555491388889,"state_office_site","Hem's state.site.office key"
"BAJA CALIFORNIA","TIJUANA","LAGUNA LAS FLORES Y GOLFO MEXICO","yes",24.5843,-110.7416,"state_site","Mel's state.site key"
"NAYARIT","CRUZ HUANACAXTLE","CRUZ HUANACAXTLE",NA,20.7502302777778,-105.382682222222,"state_office_site","Hem's state.site.office key"
"JALISCO","GUADALAJARA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.9531148331655,-103.368974427755,"state_office","Hem's state.office key"
"SONORA","GUAYMAS","GOLFO SANTA CLARA","yes",31.6899486111111,-114.500918611111,"state_site","Hem's state.site key"
"JALISCO","PUERTO VALLARTA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.3701996667712,-104.95577118187,"state_office","Hem's state.office key"
"CHIAPAS","PUERTO MADERO","LA PUERTA",NA,NA,NA,NA,NA
"SONORA","CD. OBREGON","PAREDON COLORADO","yes",27.0666522518519,-109.932338951852,"state_site","Hem's state.site key"
"COLIMA","COLIMA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"MICHOACAN","LAZARO CARDENAS","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA PAZ","LA PAZ","yes",24.1467119333333,-110.308781033333,"state_office_site","Hem's state.site.office key"
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","PUNTA ABREOJOS","no",26.715159662963,-113.574164922222,"state_office_site","Hem's state.site.office key"
"NAYARIT","ROSA MORADA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"SINALOA","EL FUERTE","LA PUERTA",NA,24.78981,-107.020367777778,"state_site","Hem's state.site key"
"BAJA CALIFORNIA SUR","LA PAZ","SAN CARLOS","no",23.8805958333333,-110.278014583333,"state_office_site","Hem's state.site.office key"
"NAYARIT","SAN BLAS","EL SAUZAL",NA,21.5467247384409,-105.258214734707,"state_office","Hem's state.office key"
"SONORA","GOLFO SANTA CLARA","GOLFO SANTA CLARA","yes",31.6899486111111,-114.500918611111,"state_office_site","Hem's state.site.office key"
"GUERRERO","CD. ALTAMIRANO","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"OAXACA","OAXACA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,NA,NA,NA,NA
"MICHOACAN","LAZARO CARDENAS","ARTEAGA",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","BAHIA TORTUGAS","no",27.6926928444444,-114.896186183333,"state_office_site","Hem's state.site.office key"
"SONORA","HUATABAMPO","PARAJE NUEVO",NA,26.9777527919635,-109.501158823798,"state_office","Hem's state.office key"
"SONORA","HUATABAMPO","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key"
"SONORA","BAHIA KINO","SAN NICOLAS","yes",28.6162026388889,-111.725022083333,"state_office_site","Hem's state.site.office key"
"GUERRERO","ACAPULCO","PLAYA AZUL",NA,NA,NA,NA,NA
"SONORA","GUAYMAS","LA PUERTA",NA,27.6425905555556,-110.000364444444,"state_site","Hem's state.site key"
"CHIAPAS","ARRIAGA","LA LINEA",NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SAN CARLOS","PTO ADOLFO LOPEZ MATEOS","no",25.1889,-112.1185,"state_site","Mel's state.site key"
"CHIAPAS","PLAYAS CATAZAJA","LA GLORIA",NA,NA,NA,NA,NA
"SINALOA","MAZATLAN","TEACAPAN, SIN.",NA,23.4941163147551,-106.379649136752,"state_office","Hem's state.office key"
"NAYARIT","SANTIAGO IXCUINTLA","SAN BLAS",NA,21.5417380555556,-105.286046388889,"state_site","Hem's state.site key"
"BAJA CALIFORNIA","ISLA CEDROS","ISLA CEDROS","no",28.1331695311111,-115.201436955556,"state_office_site","Hem's state.site.office key"
"CHIAPAS","PLAYAS CATAZAJA","PLAYA LARGA",NA,NA,NA,NA,NA
"OAXACA","PUERTO ANGEL","PUERTO ANGEL",NA,NA,NA,NA,NA
"BAJA CALIFORNIA","ENSENADA","SAN FELIPE","yes",31.7626597222222,-116.597561666667,"state_office_site","Hem's state.site.office key"
"JALISCO","OCOTLAN","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,20.9349169056432,-102.341014815964,"state_office","Hem's state.office key"
"BAJA CALIFORNIA","SAN FELIPE","EL SAUZAL","no",31.8921776666667,-116.694170133333,"state_site","Hem's state.site key"
"JALISCO","CHAPALA","LAGUNA LAS FLORES Y GOLFO MEXICO",NA,19.8385565045085,-103.34247210019,"state_office","Hem's state.office key"
"CHIAPAS","ARRIAGA","CATAZAJA",NA,NA,NA,NA,NA
"GUERRERO","TECPAN GALEANA","ACAPULCO",NA,NA,NA,NA,NA
"MICHOACAN","LAZARO CARDENAS","LA PUERTA",NA,NA,NA,NA,NA
"BAJA CALIFORNIA","ISLA CEDROS","EL SAUZAL","no",31.8921776666667,-116.694170133333,"state_site","Hem's state.site key"
"MICHOACAN","SAHUAYO","EL MUELLE",NA,NA,NA,NA,NA
"SONORA","BAHIA KINO","GUAYMAS","yes",27.92151,-110.8915,"state_site","Hem's state.site key"
"BAJA CALIFORNIA","ISLA CEDROS","LA PUERTA",NA,28.9076863553968,-115.195965318254,"state_office","Hem's state.office key"
"SONORA","HUATABAMPO","SANTA BARBARA","yes",27.0121821527778,-109.429924861111,"state_office_site","Hem's state.site.office key"
"NAYARIT","SANTIAGO IXCUINTLA","NO CONSIDERADO",NA,21.9838665077391,-104.896760868459,"state_office","Hem's state.office key"
"GUERRERO","ZIHUATANEJO","PETACALCO",NA,NA,NA,NA,NA
