Region,Stock,Landings_Datasource,StartYear,EndYear,int_yr,btype,Flim,Fpa,Blim,Bpa,Bmsy,B40,FMSY,MSY,MSYBtrigger,M,Fofl,last_F,q.start,q.end,st_b.low,st_b.hi,int_b.low,int_b.hi,end_b.low,end_b.hi,r.low,r.hi,Resilience,Resilience_Source,Yes_Run,Comment
goc,thunnus,jc_data,2000,2024,2012,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,my_best_guess,0,Incomplete model priors
goc,katsuwonus,jc_data,2000,2024,2016,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.01,0.4,NA,NA,Medium,best_guess_Katsuwonus.pelamis,1,NA
goc,sarda,jc_data,2000,2024,2011,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,my_best_guess,0,Incomplete model priors
goc,caranx,jc_data,2000,2024,2008,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,seriola,jc_data,2000,2024,2008,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,scomber,jc_data,2000,2024,2012,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,my_best_guess,0,Incomplete model priors
goc,ablennes,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,coryphaena,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,istiophorus,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,xiphias,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,trachinotus,jc_data,2000,2024,2012,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,FishBase_Trachinotus paitensis,0,Incomplete model priors
goc,selene,jc_data,2000,2024,2007,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
goc,cetengraulis,jc_data,2000,2024,2015,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,etrumeus,jc_data,2000,2024,2015,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,oligoplites,jc_data,2000,2024,2015,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,opisthonema,jc_data,2000,2024,2015,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,sardinops,jc_data,2000,2024,2015,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,scomberomorus,jc_data,2000,2024,2010,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,farfantepenaeus,jc_data,2000,2024,2018,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,litopenaeus,jc_data,2000,2024,2018,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,penaeus,jc_data,2000,2024,2018,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,rimapenaeus,jc_data,2000,2024,2018,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,sicyonia,jc_data,2000,2024,2018,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,High,Sealifebase_Penaeus californiensis,0,Incomplete model priors
goc,nicholsina,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,alopias,jc_data,2000,2024,2011,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,prionace,jc_data,2000,2024,2011,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,strongylocentrotus,jc_data,2000,2024,2008,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,paranthias,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,sphyraena,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,euthynnus,jc_data,2000,2024,2016,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.01,0.4,NA,NA,Medium,best_guess_Katsuwonus.pelamis,1,NA
goc,callinectes,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.3,0.5,0.3,0.5,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,ariopsis,jc_data,2000,2024,2009,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.01,0.4,NA,NA,High,best_guess_Serranidae,1,NA
goc,larimus,jc_data,2000,2024,2014,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.4,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,isurus,jc_data,2000,2024,2011,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,panopea,jc_data,2000,2024,2012,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
goc,nasolamia,jc_data,2000,2024,2011,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,trichiurus,jc_data,2001,2024,2009,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,Fishbase_Trichiurus brevis,0,Incomplete model priors
goc,turbo,jc_data,2000,2024,2017,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.6,1,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,chione,jc_data,2000,2024,2012,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
