"Year","Major_Functional_Group","Stock","Total_Landed_Biomass","n_Records"
2004,"Demersal marine fishes","Aetobatus",39823.25,103
2004,"Demersal marine fishes","Alopias",3386,4
2004,"Demersal marine fishes","Anisotremus",154073.05,494
2004,"Demersal marine fishes","Anoplopoma",41284.3,256
2004,"Demersal marine fishes","Balistes",1394120.35,1710
2004,"Demersal marine fishes","Brotula",270381.6,406
2004,"Demersal marine fishes","Calamus",19364,122
2004,"Demersal marine fishes","Carcharhinus",173001,337
2004,"Demersal marine fishes","Caulolatilus",816501.6,1419
2004,"Demersal marine fishes","Centropomus",513113.01,3404
2004,"Demersal marine fishes","Cynoscion",1937204,4016
2004,"Demersal marine fishes","Diapterus",32545,138
2004,"Demersal marine fishes","Diplectrum",63681.9,182
2004,"Demersal marine fishes","Eucinostomus argenteus",94412,540
2004,"Demersal marine fishes","Eugerres",52312,262
2004,"Demersal marine fishes","Galeocerdo",25509.5,74
2004,"Demersal marine fishes","Gerres",109572.6,185
2004,"Demersal marine fishes","Ginglymostoma",3576.4,40
2004,"Demersal marine fishes","Haemulon",361793.2,1666
2004,"Demersal marine fishes","Haemulopsis",270835.6,757
2004,"Demersal marine fishes","Hoplopagrus",65425.6,363
2004,"Demersal marine fishes","Hypanus",1532109.6,1278
2004,"Demersal marine fishes","Hyporthodus",295025.3,752
2004,"Demersal marine fishes","Hyporthodus niphobles",79103.1,266
2004,"Demersal marine fishes","Lamna",4248,19
2004,"Demersal marine fishes","Lutjanus",2673632.1,7804
2004,"Demersal marine fishes","Menticirrhus",221229,534
2004,"Demersal marine fishes","Merluccius",2412717.1,268
2004,"Demersal marine fishes","Microlepidotus",1000634.3,28
2004,"Demersal marine fishes","Micropogonias",2609984.4,2363
2004,"Demersal marine fishes","Mobula",1240941.35,1066
2004,"Demersal marine fishes","Mugil",2791031.5,2565
2004,"Demersal marine fishes","Mustelus",230968.8,161
2004,"Demersal marine fishes","Mycteroperca",612717.75,1775
2004,"Demersal marine fishes","Nematistius",99,1
2004,"Demersal marine fishes","Nicholsina",1084.2,11
2004,"Demersal marine fishes","Orthopristis",31089,124
2004,"Demersal marine fishes","Paralabrax",5049463.4,2486
2004,"Demersal marine fishes","Parapsettus",15104,31
2004,"Demersal marine fishes","Prionace",175180,137
2004,"Demersal marine fishes","Pseudobatos",1591474.2,1722
2004,"Demersal marine fishes","Pseudupeneus",974.1,5
2004,"Demersal marine fishes","Scorpaena",87197.9,434
2004,"Demersal marine fishes","Sphoeroides",679781.6,1476
2004,"Demersal marine fishes","Sphyrna",26112.2,109
2004,"Demersal marine fishes","Squatina",776896.1,1038
2004,"Demersal marine fishes","Stereolepis",9.9,1
2004,"Demersal marine fishes","Synodus",30717,130
2004,"Diadromous fishes","Chanos",13282.5,29
2004,"Marine algae","Gelidium",5080130,176
2004,"Marine fishes NEI","Epinephelus",77005.2,588
2004,"Miscellaneous aquatic animals","Mesocentrotus",1736776,1179
2004,"Miscellaneous aquatic animals","Strongylocentrotus",167647,225
2004,"Molluscs excl. Cephalopods","Argopecten",12819200,3130
2004,"Molluscs excl. Cephalopods","Dosinia",701610,157
2004,"Molluscs excl. Cephalopods","Haliotis",717330.22,904
2004,"Molluscs excl. Cephalopods","Lobatus",7837,15
2004,"Molluscs excl. Cephalopods","Megapitaria",1468931,774
2004,"Molluscs excl. Cephalopods","Megastraea",1818884,306
2004,"Pelagic marine fishes","Ablennes",486.2,10
2004,"Pelagic marine fishes","Caranx",63559.9,793
2004,"Pelagic marine fishes","Cetengraulis",82607206.44,538
2004,"Pelagic marine fishes","Coryphaena",109190.45,414
2004,"Pelagic marine fishes","Etrumeus",8145357.6,85
2004,"Pelagic marine fishes","Euthynnus",40020,2
2004,"Pelagic marine fishes","Istiophorus",16748.6,98
2004,"Pelagic marine fishes","Katsuwonus",13786476.4,284
2004,"Pelagic marine fishes","Oligoplites",500,2
2004,"Pelagic marine fishes","Opisthonema",127385887.2,1048
2004,"Pelagic marine fishes","Sarda",74772.65,234
2004,"Pelagic marine fishes","Sardinops",115635289.04,773
2004,"Pelagic marine fishes","Scomber",28900738.84,534
2004,"Pelagic marine fishes","Scomberomorus",3836315.02,2730
2004,"Pelagic marine fishes","Selene",128940.3,332
2004,"Pelagic marine fishes","Seriola",1103369.3,1394
2004,"Pelagic marine fishes","Thunnus",53909533.6,224
2004,"Pelagic marine fishes","Trachinotus",307918,537
2004,"Pelagic marine fishes","Xiphias",25013,20
2004,"Shrimps, prawns","Farfantepenaeus",32997.2,35
2004,"Shrimps, prawns","Litopenaeus",80474.2,77
2004,"Shrimps, prawns","Penaeus",8300091.6,7256
2004,"Shrimps, prawns","Rimapenaeus",431721.2,313
2004,"Shrimps, prawns","Sicyonia",512507.2,129
2005,"Cephalopods","Dosidicus",28701146.35,2663
2005,"Crustaceans","Callinectes",443,1
2005,"Crustaceans","Panulirus",225683,286
2005,"Demersal marine fishes","Acanthurus",965,11
2005,"Demersal marine fishes","Aetobatus",1296,6
2005,"Demersal marine fishes","Alopias",20506,9
2005,"Demersal marine fishes","Anisotremus",58034.2,314
2005,"Demersal marine fishes","Anoplopoma",6006.5,46
2005,"Demersal marine fishes","Ariopsis",5208,103
2005,"Demersal marine fishes","Balistes",1109784.55,1482
2005,"Demersal marine fishes","Brotula",341982.5,358
2005,"Demersal marine fishes","Calamus",21668,85
2005,"Demersal marine fishes","Carcharhinus",117991.25,287
2005,"Demersal marine fishes","Caulolatilus",304945.6,560
2005,"Demersal marine fishes","Centropomus",540522.06,3354
2005,"Demersal marine fishes","Cynoscion",1345476.2,2925
2005,"Demersal marine fishes","Diapterus",17302,112
2005,"Demersal marine fishes","Diplectrum",18066.05,76
2005,"Demersal marine fishes","Eucinostomus argenteus",67352,471
2005,"Demersal marine fishes","Eugerres",42135,249
2005,"Demersal marine fishes","Galeocerdo",330.9,3
2005,"Demersal marine fishes","Gerres",160037.5,234
2005,"Demersal marine fishes","Ginglymostoma",4360.9,45
2005,"Demersal marine fishes","Haemulon",343679.7,1662
2005,"Demersal marine fishes","Haemulopsis",119409.3,513
2005,"Demersal marine fishes","Hoplopagrus",64877.3,408
2005,"Demersal marine fishes","Hypanus",1394862.2,932
2005,"Demersal marine fishes","Hyporthodus",238956.95,625
2005,"Demersal marine fishes","Hyporthodus niphobles",50198,133
2005,"Demersal marine fishes","Isurus",616.25,1
2005,"Demersal marine fishes","Lamna",2229.5,26
2005,"Demersal marine fishes","Larimus",1506,4
