"Major_Functional_Group","Region","stock_metadata","stock","start.yr","end.yr","btype","max.catch","catch.last","r.est","lcl.r.est","ucl.r.est","k.est","lcl.k.est","ucl.k.est","MSY.est","lcl.MSY.est","ucl.MSY.est","Fmsy","lcl.Fmsy","ucl.Fmsy","Fmsy.last","lcl.Fmsy.last","ucl.Fmsy.last","MSY","lcl.MSY","ucl.MSY","Bmsy","lcl.Bmsy","ucl.Bmsy","B.last","lcl.B.last","ucl.B.last","B.Bmsy.last","lcl.B.Bmsy.last","ucl.B.Bmsy.last","F.last","lcl.F.last","ucl.F.last","F.Fmsy.last","lcl.F.Fmsy.last","ucl.F.Fmsy.last"
"demersal marine fishes","goc","microlepidotus","microlepidotus",2000,2024,"none",999.255,47.445,0.615697196764285,0.480946135285778,0.78820269109377,12051.4493881252,6511.44071133842,22304.9611895629,1855.01090130383,900.673151710527,3820.54848356575,0.307848598382143,0.240473067642889,0.394101345546885,0.307848598382143,0.240473067642889,0.394101345546885,1855.01090130383,900.673151710527,3820.54848356575,6025.7246940626,3255.72035566921,11152.4805947815,8138.83679171427,6145.48224714546,9589.39883395097,1.35068181918995,1.01987438178197,1.59141004954969,0.00582945710968197,0.00494765113241744,0.00772030543608484,0.0189361171053496,0.0160717026435045,0.0250782542998665
"demersal marine fishes","goc","orthopristis","orthopristis",2000,2024,"none",125.668,116.732,0.540640895309316,0.389847360422898,0.749761592239041,1129.98393078,595.041139525515,2145.84101670548,152.72888100551,80.3282338761374,290.384961396799,0.270320447654658,0.194923680211449,0.374880796119521,0.270320447654658,0.194923680211449,0.374880796119521,152.72888100551,80.3282338761374,290.384961396799,564.99196539,297.520569762758,1072.92050835274,792.349074500732,591.55006795882,898.534131556214,1.40240768548592,1.04700615972563,1.5903485121881,0.147323955762243,0.129913818407573,0.197332409077039,0.544997454097343,0.480591903182778,0.729994385512177
"demersal marine fishes","goc","xenichthys","xenichthys",2000,2023,"none",18.31,4,0.358796465405952,0.296710014294045,0.433874481432991,81.0115261817884,61.0748561818954,107.456124902805,7.26666231279184,6.0618459611349,8.71094077723203,0.179398232702976,0.148355007147023,0.216937240716495,0.144606622486652,0.119583767294036,0.174865500060557,7.26666231279184,6.0618459611349,8.71094077723203,40.5057630908942,30.5374280909477,53.7280624514024,16.325137387269,8.59314277127854,23.9252921590065,0.403032461100306,0.212146176631599,0.590663903931857,0.245020908866553,0.167187091109114,0.465487436490579,1.6943961808469,1.15615099940908,3.21899113945177
"demersal marine fishes","goc","haemulopsis","haemulopsis",2000,2024,"none",212.9724,105.4584,0.483115269786778,0.331873966870065,0.703280121976341,3209.56241117488,1764.99690719081,5836.4356499765,387.647152543065,206.991682946811,725.972718978089,0.241557634893389,0.165936983435032,0.351640060988171,0.241557634893389,0.165936983435032,0.351640060988171,387.647152543065,206.991682946811,725.972718978089,1604.78120558744,882.498453595404,2918.21782498825,2268.94169570643,1652.45018865821,2555.48021382281,1.41386357704499,1.02970435029075,1.5924165892056,0.0464791141171945,0.0412675470659357,0.0638194123634262,0.192414179488502,0.170839340615953,0.26419952485291
"demersal marine fishes","goc","haemulon","haemulon",2000,2024,"none",1184.2393,784.24565,0.552943197352777,0.389409028750218,0.78515431570753,8647.44789015946,5392.58099511018,13866.8951065973,1195.38687133158,888.077953815184,1609.03642074789,0.276471598676388,0.194704514375109,0.392577157853765,0.276471598676388,0.194704514375109,0.392577157853765,1195.38687133158,888.077953815184,1609.03642074789,4323.72394507973,2696.29049755509,6933.44755329867,6028.54085207899,4494.76455791789,6895.98590184677,1.39429365256755,1.03955863394859,1.59491817457361,0.130088800796555,0.113724949726184,0.174479806426899,0.47053224063288,0.411344059464495,0.631094865665131
"demersal marine fishes","goc","lutjanus","lutjanus",2000,2024,"none",9469.46079,5144.2365895,0.486752255959972,0.316083139599987,0.749574175269079,88632.4658002094,51346.0190814624,152995.580462858,10785.5131698867,6407.75301714687,18154.1476437235,0.243376127979986,0.158041569799994,0.37478708763454,0.243376127979986,0.158041569799994,0.37478708763454,10785.5131698867,6407.75301714687,18154.1476437235,44316.2329001047,25673.0095407312,76497.7902314288,37715.4806849921,27452.8263593947,44010.8198629801,0.851053400003748,0.619475631452641,0.993108325840487,0.136395890919853,0.116885725044788,0.187384589191473,0.560432496202214,0.480267830764406,0.769938246395646
"demersal marine fishes","goc","hoplopagrus","hoplopagrus",2000,2024,"none",202.39255,183.84008,0.265802959088926,0.148897072549383,0.474496992121841,2327.44884294692,1095.10548464862,4946.57199007002,154.660697395847,99.1819887685086,241.172128286307,0.132901479544463,0.0744485362746913,0.23724849606092,0.112878316609579,0.0632319931842655,0.201504234153777,154.660697395847,99.1819887685086,241.172128286307,1163.72442147346,547.552742324312,2473.28599503501,494.197860488951,242.967063063919,688.059568424091,0.4246691496456,0.208784020151682,0.591256448457874,0.371996916008725,0.267186285078574,0.756646097136368,3.29555690749164,2.36702932063306,6.70320146386876
"demersal marine fishes","goc","merluccius","merluccius",2000,2024,"none",27453.1177,27453.1177,0.565525438699537,0.407485471376748,0.784859938038403,39819.4076989343,24719.6551652085,64142.6920762863,5629.72200192392,4203.88379118702,7539.16411423856,0.282762719349769,0.203742735688374,0.392429969019201,0.282762719349769,0.203742735688374,0.392429969019201,5629.72200192392,4203.88379118702,7539.16411423856,19909.7038494671,12359.8275826042,32071.3460381432,12233.0390649329,8142.81316725341,15797.0462827795,0.614425968232585,0.40898715665584,0.793434518273976,2.24417804555999,1.73786397840253,3.37145371459628,7.93661219102936,6.14601522576547,11.923261037909
"demersal marine fishes","goc","mugil","mugil",2000,2024,"none",3873.00283,370.1615,0.525975839399466,0.361226533801618,0.765864513662518,24047.2492185323,13680.369930953,42270.0700271133,3162.06802324142,1927.94810621299,5186.17391795154,0.262987919699733,0.180613266900809,0.382932256831259,0.215954411626367,0.148311876188128,0.314447562120608,3162.06802324142,1927.94810621299,5186.17391795154,12023.6246092661,6840.18496547652,21135.0350135566,4936.64268129691,2560.052111126,7153.82393654935,0.41057857690371,0.212918499564022,0.594980645939011,0.0749824372346015,0.0517431660721787,0.144591392648328,0.347214195208626,0.239602264582129,0.669545908135891
"demersal marine fishes","goc","aetobatus","aetobatus",2000,2024,"none",146.4932,32.7518,0.282239296140523,0.163449696933239,0.487361076713619,518.669357981368,244.474381099744,1100.39302154546,36.5972186315795,24.4442819745857,54.79221737665,0.141119648070262,0.0817248484666194,0.24368053835681,0.0961402097138463,0.0556764715463377,0.166011596408903,36.5972186315795,24.4442819745857,54.79221737665,259.334678990684,122.237190549872,550.196510772731,88.3381257152221,38.3983318784514,128.55798210444,0.340633678685123,0.148064778794319,0.495722294468217,0.370754979628873,0.254762866248107,0.852948510984141,3.85639869865476,2.6499096164486,8.87192272123052
"demersal marine fishes","goc","mobula","mobula",2000,2019,"none",1822.0368,632.068,0.278037300453194,0.158579378548063,0.4874829322141,12628.4534227993,6506.59475448267,24510.1841853516,877.795274643503,691.599043970354,1114.12031422573,0.139018650226597,0.0792896892740317,0.24374146610705,0.139018650226597,0.0792896892740317,0.24374146610705,877.795274643503,691.599043970354,1114.12031422573,6314.22671139967,3253.29737724134,12255.0920926758,4274.12930473153,2849.8100213775,4820.71166208199,0.676904631411957,0.451331596350899,0.7634682570676,0.147882283135489,0.131115080989312,0.221793030152403,1.06375858846597,0.943147417814785,1.59541924620104
"demersal marine fishes","goc","nematistius","nematistius",2000,2024,"none",24.151,2.762,0.565525438699537,0.407485471376748,0.784859938038403,58.3100850417934,37.7152173072008,90.1510387673685,8.24395910596691,6.67171095331654,10.1867215496004,0.282762719349769,0.203742735688374,0.392429969019201,0.282762719349769,0.203742735688374,0.392429969019201,8.24395910596691,6.67171095331654,10.1867215496004,29.1550425208967,18.8576086536004,45.0755193836843,24.1075749239204,17.8519033557509,28.9399956099411,0.8268749704838,0.612309288966245,0.992624023415451,0.114569798443702,0.0954388534548097,0.154717395952641,0.405179999354804,0.337522759981505,0.547163347093365
"demersal marine fishes","goc","brotula","brotula",2000,2024,"none",1715.5102,1230.265575,0.282239296140523,0.163449696933239,0.487361076713619,10880.3511213852,5468.90827373068,21646.3752177493,767.71566056538,581.624824939526,1013.34625037475,0.141119648070262,0.0817248484666194,0.24368053835681,0.141119648070262,0.0817248484666194,0.24368053835681,767.71566056538,581.624824939526,1013.34625037475,5440.1755606926,2734.45413686534,10823.1876088747,4583.58416137758,3329.3751777843,5411.16097113519,0.842543427181978,0.611997745411075,0.994666607863348,0.268406891132604,0.227357046216628,0.369518455958077,1.90198101258705,1.61109419790666,2.61847631432654
"demersal marine fishes","goc","pseudobatos","pseudobatos",2000,2024,"none",1341.03535,904.5235,0.257947294451826,0.150656932079071,0.441644508465735,10502.7688683755,5746.98468868436,19194.09218537,677.290203462578,573.112004907308,800.405532912492,0.128973647225913,0.0753284660395354,0.220822254232867,0.128973647225913,0.0753284660395354,0.220822254232867,677.290203462578,573.112004907308,800.405532912492,5251.38443418775,2873.49234434218,9597.04609268501,3636.8591095187,2277.04337213593,4174.68658319437,0.69255244118901,0.433608203831326,0.794968762145117,0.248710074479543,0.216668600618128,0.397235955655746,1.92837901252725,1.67994474280941,3.07997768691413
"demersal marine fishes","goc","menticirrhus","menticirrhus",2000,2024,"none",136.099,96.255732,0.509156420607549,0.338239856687832,0.766439127501019,918.2813329674,649.947815481685,1297.39740082279,116.887209151103,105.744991288167,129.203468615374,0.254578210303775,0.169119928343916,0.38321956375051,0.254578210303775,0.169119928343916,0.38321956375051,116.887209151103,105.744991288167,129.203468615374,459.1406664837,324.973907740843,648.698700411393,346.489979690955,278.853706638317,446.538586108342,0.754648858147388,0.607338288664126,0.972552898718664,0.277802354012816,0.215559718677135,0.345183620330524,1.09122596816644,0.846732791545354,1.35590402618761
"demersal marine fishes","goc","micropogonias","micropogonias",2000,2024,"none",14658.283,12953.73425,0.250323799791696,0.229351389392508,0.273213974888613,96443.7638097525,85468.2016812386,108828.77368219,6035.54235576753,5476.77804140672,6651.31419474274,0.125161899895848,0.114675694696254,0.136606987444306,0.125161899895848,0.114675694696254,0.136606987444306,6035.54235576753,5476.77804140672,6651.31419474274,48221.8819048763,42734.1008406193,54414.3868410952,33213.2694140127,29168.7184272642,41186.5603393143,0.688759295614594,0.604885526550025,0.854105205196264,0.390016835997928,0.31451362151345,0.44409679096124,3.11609871951829,2.51285432527925,3.54817872955579
"demersal marine fishes","goc","cynoscion","cynoscion",2000,2024,"none",6404.138104,6404.138104,0.566941021036925,0.409476813001131,0.784958051662631,21973.1998765121,14902.6680552925,32398.3269990155,3114.37709335955,2753.10390554326,3523.05797834706,0.283470510518463,0.204738406500565,0.392479025831316,0.283470510518463,0.204738406500565,0.392479025831316,3114.37709335955,2753.10390554326,3523.05797834706,10986.599938256,7451.33402764626,16199.1634995078,10302.5123360877,7565.37624835174,10957.1651067191,0.937734366772897,0.688600321379558,0.99732084250793,0.621609360424405,0.584470348089662,0.846506227022782,2.19285370914771,2.061838273832,2.98622324232082
"demersal marine fishes","goc","larimus","larimus",2005,2024,"none",23.881,2.592,0.358796465405952,0.296710014294045,0.433874481432991,89.8942992673618,69.1490021375344,116.863364487853,8.06343920931857,6.99708198280845,9.29230957163647,0.179398232702976,0.148355007147023,0.216937240716495,0.179398232702976,0.148355007147023,0.216937240716495,8.06343920931857,6.99708198280845,9.29230957163647,44.9471496336809,34.5745010687672,58.4316822439264,36.3309875938656,27.5214448636273,44.5425658908675,0.808304595284974,0.612306788927151,0.99099867853444,0.0713440556302866,0.0581915286683436,0.0941811017860337,0.397685387171059,0.324370690789856,0.52498344251789
"demersal marine fishes","goc","scorpaena","scorpaena",2000,2024,"none",57.6402,2.1446,0.0862935864993705,0.0730763860986369,0.101901359228043,478.486815650243,380.712652501217,601.371221174159,10.3225858537807,9.13542878641301,11.6640150342096,0.0431467932496852,0.0365381930493185,0.0509506796140213,0.0431467932496852,0.0365381930493185,0.0509506796140213,10.3225858537807,9.13542878641301,11.6640150342096,239.243407825122,190.356326250608,300.685610587079,231.448713451197,202.436999425396,238.979025398955,0.967419397488175,0.846154973571394,0.998894922837917,0.00926598367310522,0.00897400931491696,0.0105939131981175,0.214754862997213,0.207987862805596,0.245531878506284
"demersal marine fishes","goc","hyporthodus","hyporthodus",2000,2024,"none",2575.09335,2216.053841,0.512989449653722,0.345374825840748,0.761949498824708,12688.5130506223,8543.95354827383,18843.5438613004,1627.2683316907,1341.31457604164,1974.18433425064,0.256494724826861,0.172687412920374,0.380974749412354,0.222223112368772,0.149613737249297,0.330070704594313,1627.2683316907,1341.31457604164,1974.18433425064,6344.25652531113,4271.97677413692,9421.77193065022,2748.28348160416,1298.23899698545,3760.1853963539,0.433192363934145,0.204632172707073,0.592691260410453,0.806341069192215,0.589346962293088,1.70696909131967,3.62852027674834,2.65205070710685,7.68133014214563
