"main_species_group","n_Records_dataMares","n_Records_JCdata","state","Total_Biomass_kg_dataMares","Total_Landed_Biomass_JCdata","Total_Live_Biomass_JCdata","Total_Value_JCdata","Total_Value_mxn_dataMares","Count_discrepancy","Count_discrepancy.per","Biomass_discrepancy","Biomass_discrepancy.per","Value_discrepancy","Value_discrepancy.per"
"PARGO",4152,4182,"BAJA CALIFORNIA SUR",876257,877306,945249.75,37887652.5,38164258.5,30,1,1049,0,-276606,-1
"PEPINO DE MAR",49,49,"BAJA CALIFORNIA SUR",141690,141690,141690,6252930,6252930,0,0,0,0,0,0
"PETO",1,1,"BAJA CALIFORNIA SUR",20,20,22,700,700,0,0,0,0,0,0
"PEZ ESPADA",24,NA,"BAJA CALIFORNIA SUR",86387,NA,NA,NA,8917570,NA,NA,NA,NA,NA,NA
"PEZ GALLO",1,NA,"BAJA CALIFORNIA SUR",420,NA,NA,NA,5460,NA,NA,NA,NA,NA,NA
"PEZ VELA",1,NA,"BAJA CALIFORNIA SUR",115,NA,NA,NA,2875,NA,NA,NA,NA,NA,NA
"PIERNA",2084,2093,"BAJA CALIFORNIA SUR",1481614,1485893,1620330.5,34654832,34579221,9,0,4279,0,75611,0
"PULPO",1423,1442,"BAJA CALIFORNIA SUR",1044732,1052182,1145436.4,78247902,78030492,19,1,7450,1,217410,0
"RAYA Y SIMILARES",1785,1819,"BAJA CALIFORNIA SUR",1270213,1270213,1451083.95,18644447.72,18955416.72,34,2,0,0,-310969,-2
"ROBALO",85,86,"BAJA CALIFORNIA SUR",10860,10864,11869.8,569676,569396,1,1,4,0,280,0
"RONCO",491,1000,"BAJA CALIFORNIA SUR",181792,447166,475720.9,6002146,2061704,509,51,265374,59,3940442,66
"RUBIO",3,3,"BAJA CALIFORNIA SUR",414,414,455.4,6020,6020,0,0,0,0,0,0
"SABALO",5,NA,"BAJA CALIFORNIA SUR",12381,NA,NA,NA,120048,NA,NA,NA,NA,NA,NA
"SARDINA",1403,1364,"BAJA CALIFORNIA SUR",76555310,68807001,79815710.76,135120733,192163504.18,-39,-3,-7748309,-11,-57042771.18,-42
"SIERRA",964,967,"BAJA CALIFORNIA SUR",996913,997128,1005586.57,20116540,20174865,3,0,215,0,-58325,0
"TIBURON",3088,3083,"BAJA CALIFORNIA SUR",5467501,5499348,6505241.15,53292527,53529297,-5,0,31847,1,-236770,0
"TUNIDOS",217,NA,"BAJA CALIFORNIA SUR",406514,NA,NA,NA,3859987,NA,NA,NA,NA,NA,NA
"BANDERA",1859,1690,"NAYARIT",677929,628885,788188.7,10160074,12717954,-169,-10,-49044,-8,-2557880,-25
"BARRILETE",5,5,"NAYARIT",1300,1300,1300,9700,9700,0,0,0,0,0,0
"BERRUGATA",697,698,"NAYARIT",213109,213109,227908.6,4107272,4115772,1,0,0,0,-8500,0
"CABRILLA",22,22,"NAYARIT",6452,6452,7061.9,134160,134160,0,0,0,0,0,0
"CALAMAR",1,1,"NAYARIT",300,300,300,6000,6000,0,0,0,0,0,0
"CAMARON",1017,4200,"NAYARIT",1575971,11132092,11194021.69,911401192.31,106688396,3183,76,9556121,86,804712796.31,88
"CARPA",2,2,"NAYARIT",200,200,300,6000,6000,0,0,0,0,0,0
"CAZON",252,252,"NAYARIT",187926,187926,224069.35,7121386,7121386,0,0,0,0,0,0
"CINTILLA",40,40,"NAYARIT",5343,5343,5343,312840,312840,0,0,0,0,0,0
"CORVINA",1732,1735,"NAYARIT",559769,559937,612423,18279336,18281296,3,0,168,0,-1960,0
"DORADO",163,NA,"NAYARIT",27203,NA,NA,NA,922945,NA,NA,NA,NA,NA,NA
"ESMEDREGAL",26,26,"NAYARIT",2096,2096,2300.6,136410,136410,0,0,0,0,0,0
"GUACHINANGO",1571,1573,"NAYARIT",483506,483532,529923.9,37389677,37388537,2,0,26,0,1140,0
"JAIBA",130,130,"NAYARIT",102914,102914,102914,854681,854681,0,0,0,0,0,0
"JUREL",140,140,"NAYARIT",39522,39522,49099.5,1280130,1280130,0,0,0,0,0,0
"LANGOSTA",29,29,"NAYARIT",2826,2826,2826,423900,423900,0,0,0,0,0,0
"LANGOSTINO",42,42,"NAYARIT",180738,180738,180738,4098070,4098070,0,0,0,0,0,0
"LEBRANCHA",82,82,"NAYARIT",11469,11469,12615.9,461070,461070,0,0,0,0,0,0
"LENGUADO",254,254,"NAYARIT",62230,62230,88331.3,1867338,1867338,0,0,0,0,0,0
"LISA",336,336,"NAYARIT",101733,101733,118140,1367093,1367093,0,0,0,0,0,0
"LOBINA",1,1,"NAYARIT",1057,1057,1162.7,26425,26425,0,0,0,0,0,0
"MARLIN",1,NA,"NAYARIT",100,NA,NA,NA,6500,NA,NA,NA,NA,NA,NA
"MERO",41,41,"NAYARIT",6515,6515,8010.2,298955,298955,0,0,0,0,0,0
"MOJARRA",3486,3679,"NAYARIT",5921893,7273254,7941015.7,141619596,106860287,193,5,1351361,19,34759309,25
"OSTION",258,717,"NAYARIT",551706,2220412,2220412,29980081,9408202,459,64,1668706,75,20571879,69
"OTRAS",5333,5551,"NAYARIT",1587979,1638096,1700043.3,27991782,26020646,218,4,50117,3,1971136,7
"PAMPANO",141,141,"NAYARIT",38867,38867,39459.9,570925,570925,0,0,0,0,0,0
"PARGO",2093,2094,"NAYARIT",391165,391165,423978.65,23409073,23438073,1,0,0,0,-29000,0
"PEZ ESPADA",8,NA,"NAYARIT",1205,NA,NA,NA,78325,NA,NA,NA,NA,NA,NA
"PEZ VELA",39,NA,"NAYARIT",8971,NA,NA,NA,247750,NA,NA,NA,NA,NA,NA
"RAYA Y SIMILARES",219,221,"NAYARIT",185908,187124,367160.5,3318336,3300312,2,1,1216,1,18024,1
"ROBALO",2931,2935,"NAYARIT",811978,812300,866155.8,44365859,44361589,4,0,322,0,4270,0
"RONCO",43,133,"NAYARIT",18670,33489,33521.3,310950,166350,90,68,14819,44,144600,47
"SABALO",10,NA,"NAYARIT",3600,NA,NA,NA,171950,NA,NA,NA,NA,NA,NA
"SIERRA",1703,1724,"NAYARIT",661397,663246,665487.6,15807726,16464142,21,1,1849,0,-656416,-4
"TIBURON",1572,1579,"NAYARIT",706305,706785,782527.55,15085699,15111309,7,0,480,0,-25610,0
"TRUCHA",125,125,"NAYARIT",21942,21942,24095,552140,552140,0,0,0,0,0,0
"TUNIDOS",715,NA,"NAYARIT",489506,NA,NA,NA,46636762,NA,NA,NA,NA,NA,NA
"ABULON",1,1,"SINALOA",160,160,0,8000,8000,0,0,0,0,0,0
"ALMEJA",1012,1202,"SINALOA",1872209,2426884,2576594,28384738.05,23295548.05,190,16,554675,23,5089190,18
"ANCHOVETA",11,11,"SINALOA",1147176,1147176,1330690.56,4595214,4067609.64,0,0,0,0,527604.36,11
"BAGRE",897,947,"SINALOA",355596,355746,390937.9,7532014,7658032,50,5,150,0,-126018,-2
"BANDERA",2759,1405,"SINALOA",1132121,408040,427072.2,4229120,44971345,-1354,-96,-724081,-177,-40742225,-963
"BARRILETE",206,207,"SINALOA",7078589,7078642,7078858.2,66789552,66788492,1,0,53,0,1060,0
"BERRUGATA",2638,2647,"SINALOA",1175844,1177591,1230951,22968653,22994451,9,0,1747,0,-25798,0
"BESUGO",1,1,"SINALOA",90,90,90,2700,2700,0,0,0,0,0,0
"CABRILLA",86,86,"SINALOA",3932,3932,4037.55,91715,91715,0,0,0,0,0,0
"CALAMAR",672,673,"SINALOA",414964,415702,423308.65,14936071,14840131,1,0,738,0,95940,1
