Region,Stock,ScientificName,Major_Functional_Group,Landings_Datasource,StartYear,EndYear,int_yr,btype,force.cmsy,Flim,Fpa,Blim,Bpa,Bmsy,B40,FMSY,MSY,MSYBtrigger,M,Fofl,last_F,q.start,q.end,st_b.low,st_b.hi,int_b.low,int_b.hi,end_b.low,end_b.hi,r.low,r.hi,Resilience,Resilience_Source,Yes_Run,Comment
goc,aetobatus,PENDING,PENDING,jc_data,2000,2024,2009,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA,Low,my_best_guess,0,Incomplete model priors
goc,hypanus,PENDING,PENDING,jc_data,2000,2024,2009,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA,Low,my_best_guess,0,Incomplete model priors
goc,mobula,PENDING,PENDING,jc_data,2000,2024,2009,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA,Low,my_best_guess,0,Incomplete model priors
goc,pseudobatos,PENDING,PENDING,jc_data,2000,2024,2009,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,NA,NA,NA,NA,Low,my_best_guess,0,Incomplete model priors
goc,centropomus,PENDING,PENDING,jc_data,2000,2024,2013,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,High,best_guess_Centropomus.robalito,1,NA
goc,haemulopsis,PENDING,PENDING,jc_data,2000,2024,2007,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
goc,carcharhinus,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,galeocerdo,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,ginglymostoma,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
goc,lamna,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Low,best_guess_Mycteroperca.jordani,1,NA
