Region,Landings_Datasource,StartYear,EndYear,Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,FisheryStatus_Circa2024,end_b.low,end_b.hi,FisheryStatus_Circa2000,st_b.low,st_b.hi,Population_Resilience,Resilience_Source
goc,conapesca,2001,2024,sharks,thresher sharks,tiburon,alopias,alopiidae,new / healthy,0.6,1,new / healthy,0.6,0.9,low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,sharks,requiem sharks,tiburon,carcharhinus,carcharhinidae,depleted,0.1,0.4,depleted,0.1,0.3,low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,sharks,tiger shark,tiburon,galeocerdo,carcharhinidae,depleted,0.1,0.4,depleted,0.1,0.3,low,best_guess_mycteroperca.jordani
goc,conapesca,2007,2024,sharks,whitetip reef shark,tiburon,nasolamia,carcharhinidae,depleted,0.01,0.4,depleted,0.1,0.3,low,best_guess_mycteroperca.jordani
goc,conapesca,2001,2024,sharks,blue shark,tiburon,prionace,carcharhinidae,depleted,0.1,0.4,depleted,0.1,0.3,low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,sharks,nurse sharks,tiburon,ginglymostoma,ginglymostomatidae,depleted,0.01,0.3,new / healthy,0.6,0.9,low,best_guess_mycteroperca.jordani
goc,conapesca,2005,2024,sharks,mako sharks,tiburon,isurus,lamnidae,new / healthy,0.6,1,new / healthy,0.6,0.9,low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,sharks,salmon sharks,tiburon,lamna,lamnidae,severely depleted,0.01,0.2,new / healthy,0.6,0.9,low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,sharks,hammerhead sharks,tiburon,sphyrna,sphyrnidae,depleted,0.01,0.4,new / healthy,0.6,0.9,low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,sharks,angel sharks,tiburon,squatina,squatinidae,new / healthy,0.6,0.9,new / healthy,0.6,0.9,low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,sharks,smoothhounds,tiburon,mustelus,triakidae,new / healthy,0.6,1,new / healthy,0.6,0.9,low,best_guess_mycteroperca.jordani
goc,conapesca,2000,2024,"shrimps, prawns",penaeid shrimp,camaron,farfantepenaeus,penaeidae,depleted,0.01,0.4,depleted,0.1,0.3,high,sealifebase_penaeus californiensis
goc,conapesca,2000,2024,"shrimps, prawns",white shrimp,camaron,litopenaeus / penaus,penaeidae,depleted,0.1,0.4,depleted,0.1,0.3,high,sealifebase_penaeus californiensis
goc,conapesca,2000,2024,"shrimps, prawns",rough shrimp,camaron,rimapenaeus,penaeidae,depleted,0.01,0.4,depleted,0.1,0.3,high,sealifebase_penaeus californiensis
