"year","eu_rnpa","total_catch_kg"
2018,"0312002009",35497.1
2018,"0312002058",17866.3
2018,"0312002074",14316.5
2018,"0312002132",16705.2
2018,"0312002140",1170.4
2018,"0312002157",37293.8
2018,"0312002181",18350.8
2018,"0312002199",66394.75
2018,"0312002298",9013
2018,"0312002389",12375.8
2018,"0312002579",744157.9
2018,"0312002611",60435.8
2018,"0312002710",5855
2018,"0312002728",54512.4
2018,"0312002769",11018
2018,"0312002793",825159.25
2018,"0312002884",5885
2018,"0312002975",51262.25
2018,"0312003064",1419.7
2018,"0312003106",260169
2018,"0312003189",26820.5
2018,"0312003254",33470
2018,"0312003261",6281
2018,"0312003296",437.3
2018,"0312003304",2718
2018,"0312003338",66132.4
2018,"0312003353",1230
2018,"0314000043",5500
2018,"0408001139",680
2018,"0408001493",2200
2018,"0601001571",7235.2
2018,"0705004364",666487
2018,"1401000953",6592
2018,"1403002536",1021
2018,"1403002643",5395
2018,"1403002700",10132
2018,"1403002767",1586
2018,"1404002287",470
2018,"1406000016",67551.5
2018,"1406000024",122915
2018,"1406000032",37211
2018,"1406000206",15365
2018,"1406000248",660
2018,"1406000321",77199
2018,"1406000347",156475
2018,"1406000552",125578
2018,"1406000578",43677
2018,"1406000610",47517.7
2018,"1406000636",10550
2018,"1406000644",23545
2018,"1406000727",8589
2018,"1406000792",34228
2018,"1406000867",944
2018,"1406000875",26323
2018,"1406000972",3576
2018,"1406000982",58650
2018,"1406000990",60543
2018,"1801000223",17390.6
2018,"1801000397",18292
2018,"1801000744",2044963.1
2018,"1801000900",55966.5
2018,"1801001155",60558.4
2018,"1801001296",35562
2018,"1801001304",67112
2018,"1801001320",7795.3
2018,"1801001346",17659
2018,"1801001353",108384.3
2018,"1801001361",78613.1
2018,"1801001387",10001.8
2018,"1801001395",5773.8
2018,"1801001403",17370.9
2018,"1801001411",38826
2018,"1801001429",3889.2
2018,"1801001437",5943.5
2018,"1801001445",312375
2018,"1801001452",36215
2018,"1801001460",25738.2
2018,"1801001478",48838
2018,"1801001510",72971.8
2018,"1801001536",417285.3
2018,"1801001544",103104.9
2018,"1801001551",80975.5
2018,"1801001568",68512.25
2018,"1801001576",130045.4
2018,"1801001619",431646.8
2018,"1802000420",526
2018,"1802000438",140728.6
2018,"1802000628",76742
