"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n_years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","C_ref","Stock_Status_year.genus.region","Stock_Status_year.genus_mean","Stock_Status_final"
2022,"region_2","rhizoprionodon",173754.55,208,76542.962,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",76542.962,0.440523497082522,0.739566535629791,0.440523497082522
2018,"region_2","sarda",2150,6,271543.31,5,"development potential","no increase","genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region","development potential (score = 1; no underfishing penalty)",271543.31,1,1,1
2019,"region_2","sarda",1281655,8,271543.31,5,"development potential","no increase","genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region","development potential (score = 1; no underfishing penalty)",271543.31,1,1,1
2020,"region_2","sarda",4976,9,271543.31,5,"development potential","no increase","genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region","development potential (score = 1; no underfishing penalty)",271543.31,1,1,1
2021,"region_2","sarda",67945.55,11,271543.31,5,"development potential","no increase","genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region","development potential (score = 1; no underfishing penalty)",271543.31,1,1,1
2022,"region_2","sarda",990,10,271543.31,5,"development potential","no increase","genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 2 original and 0 gapfilled species-level recommendations pooled across 2 OHI regions with original Carta data; same values applied to every missing region","development potential (score = 1; no underfishing penalty)",271543.31,1,1,1
2018,"region_2","scomberomorus",2943897,416,2317395.82,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2317395.82,0.78718644708018,0.941605170600453,0.78718644708018
2019,"region_2","scomberomorus",3060744,488,2317395.82,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2317395.82,0.75713480774609,0.911174309920275,0.75713480774609
2020,"region_2","scomberomorus",2280518.8,492,2317395.82,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2317395.82,1,0.906793313052043,1
2021,"region_2","scomberomorus",1760539.3,348,2317395.82,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2317395.82,1,0.891148465968538,1
2022,"region_2","scomberomorus",1541280,357,2317395.82,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2317395.82,1,0.853331045877033,1
2023,"region_2","scomberomorus",1153887,400,2317395.82,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2317395.82,1,0.859343653908718,1
2024,"region_2","scomberomorus",2564847,629,2317395.82,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2317395.82,0.903522050243153,0.791756762825124,0.903522050243153
2019,"region_2","sphoeroides",28,3,2777.825,4,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2777.825,1,0.852715456358976,1
2020,"region_2","sphoeroides",842,4,2777.825,4,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2777.825,1,0.928520590840862,1
2021,"region_2","sphoeroides",4261.5,15,2777.825,4,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2777.825,0.651842074386953,0.859852747622781,0.651842074386953
2022,"region_2","sphoeroides",5979.8,19,2777.825,4,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2777.825,0.464534767049065,0.779431163121255,0.464534767049065
2023,"region_2","sphoeroides",1293,9,2777.825,4,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2777.825,1,0.842087984631185,1
2024,"region_2","sphoeroides",2533.2,20,2777.825,4,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 21 original and 0 gapfilled species-level recommendations pooled across 7 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2777.825,1,0.786355880366176,1
2018,"region_2","sphyrna",36.3,1,5143.3,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",5143.3,NA,0.900362541105775,0.900362541105775
2022,"region_2","sphyrna",10250.3,10,5143.3,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",5143.3,NA,0.913046553007608,0.913046553007608
2023,"region_2","sphyrna",2273,3,5143.3,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",5143.3,NA,0.612477506187675,0.612477506187675
2024,"region_2","sphyrna",1305,3,5143.3,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",5143.3,NA,0.643017540847459,0.643017540847459
2022,"region_2","strongylocentrotus",900,1,900,1,"decreasing","decrease","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",900,NA,NA,NA
2019,"region_2","thunnus",133618,3,121079,3,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",121079,NA,0.465132123095333,0.465132123095333
2021,"region_2","thunnus",3462,1,121079,3,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",121079,NA,0.5,0.5
2022,"region_2","thunnus",226157,1,121079,3,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",121079,NA,0.479725634764145,0.479725634764145
2024,"region_2","thunnus",3564391,7,121079,3,"decreasing","decrease","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","decreasing stock penalized at/above reference; not penalized below mean",121079,NA,0.445045989413771,0.445045989413771
2019,"region_2","xiphias",3500,1,3500,1,"development potential","increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",0,0,"genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 1 original and 0 gapfilled species-level recommendations pooled across 1 OHI regions with original Carta data; same values applied to every missing region","development potential (score = 1; no underfishing penalty)",3500,NA,1,1
2024,"region_2","xiphias",10675,4,3500,1,"development potential","increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",0,0,"genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 1 original and 0 gapfilled species-level recommendations pooled across 1 OHI regions with original Carta data; same values applied to every missing region","development potential (score = 1; no underfishing penalty)",3500,NA,1,1
2018,"region_3","alopias",71009,32,53274.6,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",53274.6,0.750251376586067,0.780380607341161,0.750251376586067
2019,"region_3","alopias",95070.1,36,53274.6,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",53274.6,0.560371767779775,0.912074353555955,0.560371767779775
2020,"region_3","alopias",31390.5,18,53274.6,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",53274.6,1,0.957504873465502,1
2021,"region_3","alopias",60675.4,35,53274.6,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",53274.6,0.878026350052904,0.832174818218656,0.878026350052904
2022,"region_3","alopias",8228,16,53274.6,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",53274.6,1,0.876931631110626,1
2023,"region_3","alopias",8218,16,53274.6,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",53274.6,1,0.754235921095892,1
2024,"region_3","alopias",81419.15,15,53274.6,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",53274.6,0.654325180255505,0.785069710342498,0.654325180255505
2019,"region_3","carcharhinus",22834,15,49089.375,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",49089.375,1,0.917912691922096,1
2020,"region_3","carcharhinus",10937.5,8,49089.375,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",49089.375,1,0.840254795907287,1
2021,"region_3","carcharhinus",9167.5,9,49089.375,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",49089.375,1,0.908990132979099,1
2022,"region_3","carcharhinus",153418.5,20,49089.375,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",49089.375,0.319970375150324,0.711998793987215,0.319970375150324
2023,"region_3","carcharhinus",960276,37,49089.375,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",49089.375,0.051120068605276,0.710591631015562,0.051120068605276
2024,"region_3","carcharhinus",876008.65,51,49089.375,4,"maximally harvested","no increase","genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",9,9,"genus aggregation; mode across 9 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",49089.375,0.0560375459762869,0.691928286240394,0.0560375459762869
2018,"region_3","centropomus",242,4,203.32,5,"maximally harvested","no increase","genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",5,5,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",203.32,0.840165289256198,0.793036040136311,0.840165289256198
2019,"region_3","centropomus",185.4,4,203.32,5,"maximally harvested","no increase","genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",5,5,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",203.32,1,0.967977253714667,1
2020,"region_3","centropomus",294.8,3,203.32,5,"maximally harvested","no increase","genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",5,5,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",203.32,0.689687924016282,0.937937584803256,0.689687924016282
2021,"region_3","centropomus",222.9,7,203.32,5,"maximally harvested","no increase","genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",5,5,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",203.32,0.912157918349035,0.971348069800393,0.912157918349035
2022,"region_3","centropomus",71.5,4,203.32,5,"maximally harvested","no increase","genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",5,5,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",203.32,1,0.872529790317506,1
2023,"region_3","centropomus",5,1,203.32,5,"maximally harvested","no increase","genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",5,5,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",203.32,1,0.986021821944891,1
2024,"region_3","centropomus",29.7,2,203.32,5,"maximally harvested","no increase","genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",5,5,"genus aggregation; mode across 5 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",203.32,1,0.927395090293322,1
2021,"region_3","crassostrea",52550,14,65395.5,2,"maximally harvested","no increase","genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",5,3,"genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",65395.5,NA,NA,NA
2022,"region_3","crassostrea",78241,23,65395.5,2,"maximally harvested","no increase","genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",5,3,"genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",65395.5,NA,NA,NA
2023,"region_3","crassostrea",73630,19,65395.5,2,"maximally harvested","no increase","genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",5,3,"genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",65395.5,NA,NA,NA
2024,"region_3","crassostrea",19003,5,65395.5,2,"maximally harvested","no increase","genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",5,3,"genus aggregation; mode across 3 original and 2 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",65395.5,NA,NA,NA
2018,"region_3","cynoscion",56681.8,120,59956.29,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",59956.29,1,0.96527799162236,1
2019,"region_3","cynoscion",37111.3,127,59956.29,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",59956.29,1,0.971259658274489,1
2020,"region_3","cynoscion",34901.3,94,59956.29,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",59956.29,1,0.957968315300838,1
2021,"region_3","cynoscion",60444.15,179,59956.29,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",59956.29,1,0.771240772286613,1
2022,"region_3","cynoscion",110642.9,272,59956.29,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",59956.29,0.541890080610685,0.890218445813348,0.541890080610685
2023,"region_3","cynoscion",147116,270,59956.29,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",59956.29,0.407544318768863,0.656099013172063,0.407544318768863
2024,"region_3","cynoscion",77130.75,199,59956.29,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",59956.29,0.777333164788363,0.672772763390448,0.777333164788363
2018,"region_3","dosidicus",726,3,10708.02,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",10708.02,1,0.989708262417642,1
