"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n_years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","C_ref","Stock_Status_year.genus.region","Stock_Status_year.genus_mean","Stock_Status_final"
2022,"region_8","dosinia",605428,73,597173.8,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",597173.8,1,0.671438315261626,1
2023,"region_8","dosinia",568760,80,597173.8,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",597173.8,1,0.876703621709006,1
2024,"region_8","dosinia",967135,127,597173.8,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 3 original and 0 gapfilled species-level recommendations pooled across 3 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",597173.8,0.617466847958144,0.741359995752375,0.617466847958144
2021,"region_8","engraulis",1330480.56,10,786841.92,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",786841.92,NA,0.739291549042736,0.739291549042736
2022,"region_8","engraulis",243203.28,1,786841.92,2,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",786841.92,NA,0.643912007336923,0.643912007336923
2018,"region_8","farfantepenaeus",309577.4,91,245639.84,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",245639.84,0.793468257049772,0.640836969229668,0.793468257049772
2019,"region_8","farfantepenaeus",198801.4,56,245639.84,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",245639.84,1,1,1
2020,"region_8","farfantepenaeus",115164,42,245639.84,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",245639.84,1,1,1
2021,"region_8","farfantepenaeus",325545,98,245639.84,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",245639.84,0.75454957071987,0.826546790654442,0.75454957071987
2022,"region_8","farfantepenaeus",279111.4,77,245639.84,5,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",245639.84,0.880078133677091,0.940039066838545,0.880078133677091
