Participant,Major_Functional_Group,Status_of_Major_Functional_Group,Common_Name,estimated_taxa_group,Stock,estimated_family_name,Fishery_Status_in_2024_v_Historic,Notes_1,Fishery_Status_in_2000_v_Historic,Notes_2,Population_Resilience,Notes_3,IUU_Estimate,Notes_4
Andres,sharks,,requiem sharks,tiburon,carcharhinus,carcharhinidae,,,,,,,,
Andres,sharks,,tiger shark,tiburon,galeocerdo,carcharhinidae,,,,,,,,
Andres,sharks,,whitetip reef shark,tiburon,nasolamia,carcharhinidae,,,,,,,,
Andres,sharks,,blue shark,tiburon,prionace,carcharhinidae,,,,,,,,
Andres,sharks,,nurse sharks,tiburon,ginglymostoma,ginglymostomatidae,,,,,,,,
Andres,sharks,,mako sharks,tiburon,isurus,lamnidae,,,,,,,,
Andres,sharks,,salmon sharks,tiburon,lamna,lamnidae,,,,,,,,
Andres,sharks,,hammerhead sharks,tiburon,sphyrna,sphyrnidae,,,,,,,,
Andres,sharks,,angel sharks,tiburon,squatina,squatinidae,,,,,,,,
Andres,sharks,,smoothhounds,tiburon,mustelus,triakidae,,,,,,,,
Andres,"shrimps, prawns",,penaeid shrimp,camaron,farfantepenaeus,penaeidae,,,,,,,,
Andres,"shrimps, prawns",,white shrimp,camaron,litopenaeus / penaus,penaeidae,,,,,,,,
Andres,"shrimps, prawns",,rough shrimp,camaron,rimapenaeus,penaeidae,,,,,,,,
