"Region","Landings_Datasource","StartYear","EndYear","Major_Functional_Group","estimated_taxa_group","Common_Name","Stock","estimated_family_name","Status_in_2000_Ref","Status_in_2000_ExpOp","Status_in_2000_disagreement","st_b.low_Ref","st_b.low_ExpOp","st_b.hi_Ref","st_b.hi_ExpOp","Status_in_2024_Ref","Status_in_2024_ExpOp","Status_in_2024_disagreement","end_b.low_Ref","end_b.low_ExpOp","end_b.hi_Ref","end_b.hi_ExpOp","st_b_source","end_b_source","st_b.low_new","st_b.hi_new","end_b.low_new","end_b.hi_new"
"goc","conapesca",2000,2024,"demersal marine fishes","mojarra","porkfishes/grunts","anisotremus","haemulidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","sustainable","Different",0.1,0.4,0.4,0.65,"Reference","Expert Opinion",0.1,0.3,0.4,0.65
"goc","conapesca",2000,2024,"demersal marine fishes","otras","sargo","microlepidotus","haemulidae","depleted",NA,NA,0.1,NA,0.3,NA,"severely depleted","healthy","Different",0.01,0.5,0.2,0.8,"Reference","Expert Opinion",0.1,0.3,0.5,0.8
"goc","conapesca",2000,2024,"demersal marine fishes","otras","grunts","orthopristis","haemulidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","healthy","Different",0.1,0.5,0.4,0.8,"Reference","Expert Opinion",0.1,0.3,0.5,0.8
"goc","conapesca",2000,2023,"demersal marine fishes","otras","salemas","xenichthys","haemulidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted",NA,NA,0.1,NA,0.3,NA,"Reference","Reference",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","ronco","grunts","haemulopsis","haemulidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","healthy","Different",0.1,0.5,0.3,0.8,"Reference","Expert Opinion",0.1,0.3,0.5,0.8
"goc","conapesca",2000,2024,"demersal marine fishes","rubio","grunts","haemulon","haemulidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","healthy","Different",0.1,0.5,0.3,0.8,"Reference","Expert Opinion",0.1,0.3,0.5,0.8
"goc","conapesca",2000,2024,"demersal marine fishes","guachinango","snappers","lutjanus","lutjanidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","sustainable","Different",0.1,0.3,0.3,0.5,"Reference","Expert Opinion",0.1,0.3,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","pargo","Mexican hogfish","hoplopagrus","lutjanidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.1,0.4,0.3,"Reference","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","pierna","tilefishes","caulolatilus","malacanthidae","UNKNOWN",NA,NA,NA,NA,NA,NA,"depleted","sustainable","Different",0.01,0.4,0.4,0.65,NA,"Expert Opinion",NA,NA,0.4,0.65
"goc","conapesca",2000,2024,"demersal marine fishes","otras","hakes","merluccius","merlucciidae","healthy",NA,NA,0.5,NA,0.8,NA,"healthy","depleted","Different",0.5,0.2,0.9,0.4,"Reference","Expert Opinion",0.5,0.8,0.2,0.4
"goc","conapesca",2000,2024,"demersal marine fishes","lisa","mullets","mugil","mugilidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.01,0.1,0.3,0.3,"Reference","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","raya y similares","eagle rays","aetobatus","myliobatidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"new / healthy","severely depleted","Different",0.6,0.07,0.9,0.25,"Reference","Expert Opinion",0.6,0.9,0.07,0.25
"goc","conapesca",2000,2019,"demersal marine fishes","raya y similares","devil rays","mobula","myliobatidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"new / healthy","depleted","Different",0.6,0.203333333333333,0.9,0.383333333333333,"Reference","Expert Opinion",0.6,0.9,0.203333333333333,0.383333333333333
"goc","conapesca",2000,2024,"demersal marine fishes","otras","roosterfish","nematistius","nematistiidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"severely depleted","sustainable","Different",0.01,0.3,0.2,0.5,"Reference","Expert Opinion",0.6,0.9,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","lenguado","cusk-eels","brotula","ophidiidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"new / healthy","sustainable","Different",0.6,0.3,1,0.5,"Reference","Expert Opinion",0.6,0.9,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","otras","giant sea bass","stereolepis","polyprionidae","UNKNOWN",NA,NA,NA,NA,NA,NA,"UNKNOWN","depleted","Different",NA,0.155,NA,0.325,NA,"Expert Opinion",NA,NA,0.155,0.325
"goc","conapesca",2000,2024,"demersal marine fishes","raya y similares","guitarfishes","pseudobatos","rhinobatidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"depleted","depleted","Same",0.01,0.2,0.4,0.4,"Reference","Expert Opinion",0.6,0.9,0.2,0.4
"goc","conapesca",2000,2024,"demersal marine fishes","otras","parrotfishes","nicholsina","scaridae","UNKNOWN",NA,NA,NA,NA,NA,NA,"severely depleted","depleted","Different",0.01,0.2,0.2,0.4,NA,"Expert Opinion",NA,NA,0.2,0.4
"goc","conapesca",2000,2024,"demersal marine fishes","berrugata","king croakers","menticirrhus","sciaenidae","sustainable",NA,NA,0.3,NA,0.5,NA,"depleted","sustainable","Different",0.01,0.3,0.3,0.5,"Reference","Expert Opinion",0.3,0.5,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","berrugata","croakers","micropogonias","sciaenidae","sustainable",NA,NA,0.3,NA,0.5,NA,"sustainable","sustainable","Same",0.3,0.3,0.6,0.5,"Reference","Expert Opinion",0.3,0.5,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","corvina","corvina / croaker?","cynoscion","sciaenidae","sustainable",NA,NA,0.3,NA,0.5,NA,"sustainable","sustainable","Same",0.3,0.3,0.6,0.5,"Reference","Expert Opinion",0.3,0.5,0.3,0.5
"goc","conapesca",2005,2024,"demersal marine fishes","corvina","croakers","larimus","sciaenidae","sustainable",NA,NA,0.3,NA,0.5,NA,"depleted","sustainable","Different",0.01,0.3,0.3,0.5,"Reference","Expert Opinion",0.3,0.5,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","otras","scorpionfishes","scorpaena","scorpaenidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"severely depleted","sustainable","Different",0.01,0.3,0.1,0.5,"Reference","Expert Opinion",0.6,0.9,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","baqueta","groupers","hyporthodus","serranidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.1,0.4,0.3,"Reference","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","cabrilla","groupers","mycteroperca","serranidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.1,0.3,0.3,"Reference","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","cabrilla","sand basses","paralabrax","serranidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","sustainable","Different",0.01,0.3,0.4,0.5,"Reference","Expert Opinion",0.1,0.3,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","mero","groupers","epinephelus","serranidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.01,0.1,0.3,0.3,"Reference","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","otras","sand perches","diplectrum","serranidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.1,0.4,0.3,"Reference","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"demersal marine fishes","otras","basslets","paranthias","serranidae","depleted",NA,NA,0.1,NA,0.3,NA,"severely depleted","sustainable","Different",0.01,0.3,0.2,0.5,"Reference","Expert Opinion",0.1,0.3,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","mojarra","porgies","calamus","sparidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"severely depleted","sustainable","Different",0.01,0.3,0.2,0.5,"Reference","Expert Opinion",0.6,0.9,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","otras","lizardfishes","synodus","synodontidae","UNKNOWN",NA,NA,NA,NA,NA,NA,"UNKNOWN","sustainable","Different",NA,0.3,NA,0.5,NA,"Expert Opinion",NA,NA,0.3,0.5
"goc","conapesca",2000,2024,"demersal marine fishes","otras","puffers","sphoeroides","tetraodontidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"new / healthy","sustainable","Different",0.6,0.3,1,0.5,"Reference","Expert Opinion",0.6,0.9,0.3,0.5
"goc","conapesca",2000,2024,"diadromous fishes","otras","milkfish","chanos","chanidae","depleted",NA,NA,0.1,NA,0.3,NA,"depleted","depleted","Same",0.1,0.1,0.4,0.3,"Reference","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"echinoderms","erizo","sea urchins","mesocentrotus","strongylocentrotidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"severely depleted",NA,NA,0.01,NA,0.1,NA,"Reference","Reference",0.6,0.9,0.01,0.1
"goc","conapesca",2011,2024,"jellies","otras","cannonball jellyfish","stomolophus","stomolophidae","new / healthy",NA,NA,0.6,NA,0.9,NA,"new / healthy","sustainable","Different",0.6,0.3,0.9,0.55,"Reference","Expert Opinion",0.6,0.9,0.3,0.55
