"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"OTRAS","BOTETE","botete",FALSE,NA,"Escama","Sphoeroides andersonianus","Species","Sphoeroides andersonianus","Sphoeroides","Tetraodontidae","Tetraodontiformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphoeroides andersonianus","high confidence","match to IHH key","Sphoeroides","genus derived from known species","Tetraodontidae","family derived from IHH key"
"ALMEJA","ALMEJA CATARINA","almeja catarina",FALSE,NA,"Almeja","Argopecten ventricosus","Species","Argopecten ventricosus","Argopecten","Pectinidae","Pectinida","Bivalvia","Molluscs excl. Cephalopods","Argopecten irradians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Argopecten ventricosus","low confidence","mismatch between keys","Argopecten","genus derived from known species","Pectinidae","family derived from IHH key"
"CARACOL","CARACOL CHINO","caracol chino",FALSE,NA,"Caracol","Hexaplex spp","Genus","NEI","Hexaplex","Muricidae","Neogastropoda","Gastropoda","Molluscs excl. Cephalopods","Phyllonothus brassica","Hexaplex princeps","Hexaplex radix","Phyllonotus brassica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Muricidae","family derived from IHH key"
"RAYA Y SIMILARES","PEZ GUITARRA","pez guitarra",FALSE,NA,"Rayas y Similares","Pseudobatos productus","Species","Pseudobatos productus","Pseudobatos","Rhinobatidae","Rajiformes","Elasmobranchii","Demersal marine fishes","Rhinobatos glaucostigma","Rhinobatos leucorhynchus","Rhinobatos productus","Zapteryx exasperata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudobatos productus","low confidence","mismatch between keys","Pseudobatos","genus derived from known species","Rhinobatidae","family derived from IHH key"
"RAYA Y SIMILARES","MANTA","manta",FALSE,NA,"Rayas y Similares","Hypanus dipterurus","Species","Hypanus dipterurus","Hypanus","Dasyatidae","Myliobatiformes","Elasmobranchii","Demersal marine fishes","Dasyatis dipterura","Gymnura crebripunctata","Manta birostris","Mobula japanica","Mobula munkiana","Mobula tarapacana","Mobula thurstoni","Aetobatus narinari","Myliobatis longirostris","Rhinoptera steindachneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hypanus dipterurus","low confidence","mismatch between keys","Hypanus","genus derived from known species","Dasyatidae","family derived from IHH key"
"OTRAS","PAYASO","payaso",FALSE,NA,"Rayas y Similares","Pseudobatos productus","Species","Pseudobatos productus","Pseudobatos","Rhinobatidae","Rajiformes","Elasmobranchii","Demersal marine fishes","Abudefduf declivifrons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudobatos productus","low confidence","mismatch between keys","Pseudobatos","genus derived from known species","Rhinobatidae","family derived from IHH key"
"BAGRE","BAGRE","bagre",FALSE,NA,"Escama","Ictalurus spp","Genus","NEI","Ictalurus","Ictaluridae","Siluriformes","Actinopterygii","Freshwater fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Ictaluridae","family derived from IHH key"
"CARPA","CARPA","carpa",FALSE,NA,"Escama","Cyprinus acutidorsalis","Species","Cyprinus acutidorsalis","Cyprinus","Cyprinidae","Cypriniformes","Actinopterygii","Freshwater fishes","Cyprinus carpio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinus acutidorsalis","low confidence","mismatch between keys","Cyprinus","genus derived from known species","Cyprinidae","family derived from IHH key"
"LOBINA","LOBINA NEGRA","lobina negra",FALSE,NA,"Escama","Micropterus salmoides","Species","Micropterus salmoides","Micropterus","Centrarchidae","Perciformes","Actinopterygii","Freshwater fishes","Micropterus salmoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micropterus salmoides","high confidence","logical match in both keys","Micropterus","genus derived from known species","Centrarchidae","family derived from IHH key"
"MOJARRA","TILAPIA","tilapia",FALSE,NA,"Escama","Oreochromis amphimelas","Species","Oreochromis amphimelas","Oreochromis","Cichlidae","Perciformes","Actinopterygii","Freshwater fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oreochromis amphimelas","high confidence","match to IHH key","Oreochromis","genus derived from known species","Cichlidae","family derived from IHH key"
