"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"OTRAS","BOQUINETE","boquinete",FALSE,NA,"Escama","Sciaenidae","Family","NEI","NEI","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Larimus acclivis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Sciaenidae","family derived from IHH key"
"TIBURON","TIBURON CHATO","tiburon chato",FALSE,NA,"Tiburon","Carcharhinus leucas","Species","Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Negaprion brevirostris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus leucas","low confidence","mismatch between keys","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"TIBURON","BIRONCHE","bironche",FALSE,NA,"Tiburon","Rhizoprionodon longurio","Species","Rhizoprionodon longurio","Rhizoprionodon","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Rhizoprionodon longurio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizoprionodon longurio","high confidence","logical match in both keys","Rhizoprionodon","genus derived from known species","Carcharhinidae","family derived from IHH key"
"CARPA","CARPA BARRIGONA","carpa barrigona",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinus carpio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinus carpio","high confidence","match to Hem's key","Cyprinus","genus derived from known species","family missing but genus available","family unknown but genus available"
"BARRILETE","BARRILETE NEGRO","barrilete negro",FALSE,NA,"Escama","Euthynnus lineatus","Species","Euthynnus lineatus","Euthynnus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Euthynnus lineatus","high confidence","match to IHH key","Euthynnus","genus derived from known species","Scombridae","family derived from IHH key"
"TIBURON","PEZ MARTILLO (SPHYRNA LEWINI)","pez martillo",TRUE,"Sphyrna Lewini","Tiburon","Sphyrna corona","Species","Sphyrna corona","Sphyrna","Sphyrnidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Sphyrna lewini","Sphyrna media","Sphyrna mokarran","Sphyrna tiburo","Sphyrna zygaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphyrna Lewini","virtually certain","name was recorded in CONAPESCA","Sphyrna","genus derived from known species","Sphyrnidae","family derived from IHH key"
"TIBURON","TIBURON CARTON","tiburon carton",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus plumbeus","medium confidence","match to Erica's key","Carcharhinus","genus derived from known species","family missing but genus available","family unknown but genus available"
"CAZON","CAZON PLAYA","cazon playa",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"SARDINA","SARDINA RAYADA","sardina rayada",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harengula thrissina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harengula thrissina","high confidence","match to Hem's key","Harengula","genus derived from known species","family missing but genus available","family unknown but genus available"
"MOJARRA","MOJARRA RAYADA","mojarra rayada",FALSE,NA,"Escama","Eugerres axillaris","Species","Eugerres axillaris","Eugerres","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus taeniatus","Eugerres lineatus","Gerres cinereus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eugerres axillaris","low confidence","mismatch between keys","Eugerres","genus derived from known species","Gerreidae","family derived from IHH key"
"CAZON","CAZON LIMON","cazon limon",FALSE,NA,"Tiburon","Negaprion brevirostris","Species","Negaprion brevirostris","Negaprion","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus acronotus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Negaprion brevirostris","low confidence","mismatch between keys","Negaprion","genus derived from known species","Carcharhinidae","family derived from IHH key"
"RONCO","RONCADINA","roncadina",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus cyanopterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus cyanopterus","high confidence","match to Hem's key","Lutjanus","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","ARRAYADO","arrayado",FALSE,NA,"No ID","Lutjanus synagris","Species","Lutjanus synagris","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Haemulon parrai",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus synagris","low confidence","mismatch between keys","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"BANDERA","CACUMO","cacumo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bagre marinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bagre marinus","high confidence","match to Hem's key","Bagre","genus derived from known species","family missing but genus available","family unknown but genus available"
"CABRILLA","CABRILLA PRIETA","cabrilla prieta",FALSE,NA,"Escama","Paralabrax maculatofasciatus","Species","Paralabrax maculatofasciatus","Paralabrax","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Hyporthodus nigritus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paralabrax maculatofasciatus","low confidence","mismatch between keys","Paralabrax","genus derived from known species","Serranidae","family derived from IHH key"
"TIBURON","TIBURON VOLADOR","tiburon volador",FALSE,NA,"Tiburon","Carcharhinus limbatus","Species","Carcharhinus limbatus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus limbatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus limbatus","high confidence","logical match in both keys","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"OTRAS","LUCIO","lucio",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus analis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus analis","high confidence","match to Hem's key","Lutjanus","genus derived from known species","family missing but genus available","family unknown but genus available"
"CORVINA","CORVINA CHATA","corvina chata",FALSE,NA,"Escama","Larimus effulgens","Species","Larimus effulgens","Larimus","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Elattarchus archidium","Larimus acclivis","Larimus argenteus","Larimus effulgens","Ophioscion scierus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Larimus effulgens","high confidence","logical match in both keys","Larimus","genus derived from known species","Sciaenidae","family derived from IHH key"
"SARDINA","PESCADO","pescado",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","MACHORRO","machorro",FALSE,NA,"No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI","Cynoscion macdonaldi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"RUBIO","CHAC-CHI","chac-chi",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemulon plumierii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Haemulon plumierii","high confidence","match to Hem's key","Haemulon","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","TIBURON MAYO","tiburon mayo",FALSE,NA,"Tiburon","Isurus oxyrinchus","Species","Isurus oxyrinchus","Isurus","Lamnidae","Lamniformes","Elasmobranchii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isurus oxyrinchus","high confidence","match to IHH key","Isurus","genus derived from known species","Lamnidae","family derived from IHH key"
"OTRAS","TAMBOR","tambor",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CABRILLA","CABRILLA CUERO","cabrilla cuero",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","CAIMAN","caiman",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bathygobius soporator ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bathygobius soporator","high confidence","match to Hem's key","Bathygobius","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","CANGREJO AZUL","cangrejo azul",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callinectes sapidus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Callinectes sapidus","high confidence","match to Hem's key","Callinectes","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","NEGRILLO","negrillo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rypticus saponaceus","Rypticus nigripinnis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"ROBALO","ROBALO BLANCO","robalo blanco",FALSE,NA,"Escama","Centropomus armatus","Species","Centropomus armatus","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus robalito","Centropomus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus armatus","low confidence","mismatch between keys","Centropomus","genus derived from known species","Centropomidae","family derived from IHH key"
"MOJARRA","MOJARRA PIEDRERA","mojarra piedrera",FALSE,NA,"Escama","Anisotremus davidsonii","Species","Anisotremus davidsonii","Anisotremus","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus davidsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anisotremus davidsonii","high confidence","logical match in both keys","Anisotremus","genus derived from known species","Haemulidae","family derived from IHH key"
"ALMEJA","ALMEJA GENEROSA","almeja generosa",FALSE,NA,"Almeja","Panopea generosa","Species","Panopea generosa","Panopea","Hiatellidae","Adapedonta","Bivalvia","Molluscs excl. Cephalopods","Panopea generosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panopea generosa","high confidence","logical match in both keys","Panopea","genus derived from known species","Hiatellidae","family derived from IHH key"
"SARDINA","SARDINA ESCAMUDA","sardina escamuda",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harengula thrissina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harengula thrissina","high confidence","match to Hem's key","Harengula","genus derived from known species","family missing but genus available","family unknown but genus available"
"ALMEJA","ALMEJA ROJA","almeja roja",FALSE,NA,"Almeja","Megapitaria aurantiaca","Species","Megapitaria aurantiaca","Megapitaria","Veneridae","Venerida","Bivalvia","Molluscs excl. Cephalopods","Megapitaria aurantiaca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megapitaria aurantiaca","high confidence","logical match in both keys","Megapitaria","genus derived from known species","Veneridae","family derived from IHH key"
"ANCHOVETA","BOQUERON","boqueron",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engraulis encrasicolus","Anchoa analis","Anchoa argentivittata","Cetengraulis mysticetus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown","Engraulidae","unique family match from Erica's key"
"OTRAS","MAPACHE","mapache",FALSE,NA,"Escama","Pomadasys panamensis","Species","Pomadasys panamensis","Pomadasys","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Pomadasys macracanthus","Pomadasys panamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pomadasys panamensis","high confidence","logical match in both keys","Pomadasys","genus derived from known species","Haemulidae","family derived from IHH key"
"OTRAS","ORIHUELOS","orihuelos",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"RAYA Y SIMILARES","RAYA BLANCA","raya blanca",FALSE,NA,"Rayas y Similares","Elasmobranchii","Class","NEI","NEI","NEI","NEI","Elasmobranchii","Demersal marine fishes","Rostroraja alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"ROBALO","CHUCUMITE","chucumite",FALSE,NA,"Escama","Centropomus armatus","Species","Centropomus armatus","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus armatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus armatus","high confidence","logical match in both keys","Centropomus","genus derived from known species","Centropomidae","family derived from IHH key"
"LANGOSTINO","ACAMAYA","acamaya",FALSE,NA,"Otras","Decapoda","Order","NEI","NEI","NEI","Decapoda","Malacostraca","Shrimps, prawns","Macrobrachium americanum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"CARPA","CARPA HERBIVORA","carpa herbivora",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Cyprinus carpio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"MOJARRA","MOJARRA TENHUAYACA","mojarra tenhuayaca",FALSE,NA,"Escama","Petenia splendida","Species","Petenia splendida","Petenia","Cichlidae","Perciformes","Actinopterygii","Freshwater fishes","Petenia splendida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Petenia splendida","high confidence","logical match in both keys","Petenia","genus derived from known species","Cichlidae","family derived from IHH key"
"RONCO","TONTON","tonton",FALSE,NA,"Escama","Selene brevoortii","Species","Selene brevoortii","Selene","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Pogonias cromis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selene brevoortii","low confidence","mismatch between keys","Selene","genus derived from known species","Carangidae","family derived from IHH key"
"OTRAS","MAPO","mapo",FALSE,NA,"Escama","Bathygobius ramosus","Species","Bathygobius ramosus","Bathygobius","Gobiidae","Perciformes","Actinopterygii","Demersal marine fishes","Dormitator maculatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bathygobius ramosus","low confidence","mismatch between keys","Bathygobius","genus derived from known species","Gobiidae","family derived from IHH key"
"RAYA Y SIMILARES","BALA","bala",FALSE,NA,"Rayas y Similares","Aetobatus narinari","Species","Aetobatus narinari","Aetobatus","Myliobatidae","Myliobatiformes","Elasmobranchii","Demersal marine fishes","Paranthias furcifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aetobatus narinari","low confidence","mismatch between keys","Aetobatus","genus derived from known species","Myliobatidae","family derived from IHH key"
"BESUGO","BESUGO","besugo",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Lutjanus guttatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"JUREL","JURELETE","jurelete",FALSE,NA,"Escama","Caranx bucculentus","Species","Caranx bucculentus","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Carangoides bartholomaei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caranx bucculentus","low confidence","mismatch between keys","Caranx","genus derived from known species","Carangidae","family derived from IHH key"
"CAMARON","CAMARON SIETE BARBAS","camaron siete barbas",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xiphopenaeus kroyeri","Xiphopeneus riveti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Xiphopenaeus riveti","medium confidence","match to Erica's key","Xiphopenaeus","genus derived from known species","family missing but genus available","family unknown but genus available"
"OTRAS","PEJE LAGARTO","peje lagarto",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lepidoseus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lepidoseus viridis","high confidence","match to Hem's key","Lepidoseus","genus derived from known species","family missing but genus available","family unknown but genus available"
"CARACOL","CARACOL TEGOGOLO","caracol tegogolo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","FAJADO","fajado",FALSE,NA,"No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI","Pimelodus ornatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"MOJARRA","MOJARRA CASTARRICA","mojarra castarrica",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Cichlasoma urophthalmum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"RAYA Y SIMILARES","CHUCHO","chucho",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aetobatus narinari","Myliobatis longirostris","Rhinoptera steindachneri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"ALMEJA","ALMEJA PURPURA","almeja purpura",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amiantis purpurata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amiantis purpurata","high confidence","match to Hem's key","Amiantis","genus derived from known species","family missing but genus available","family unknown but genus available"
"TIBURON","TIBURON TUNERO (CARCHARHINUS FALCIFORMIS)","tiburon tunero",TRUE,"Carcharhinus Falciformis","Tiburon","Carcharhinus falciformis","Species","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus falciformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharhinus Falciformis","virtually certain","name was recorded in CONAPESCA","Carcharhinus","genus derived from known species","Carcharhinidae","family derived from IHH key"
"TIBURON","TIBURON COYOTE","tiburon coyote",FALSE,NA,"Tiburon","Nasolamia velox","Species","Nasolamia velox","Nasolamia","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Nasolamia velox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nasolamia velox","high confidence","logical match in both keys","Nasolamia","genus derived from known species","Carcharhinidae","family derived from IHH key"
"OTRAS","BOTETE NEGRO","botete negro",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphoeroides annulatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sphoeroides annulatus","high confidence","match to Hem's key","Sphoeroides","genus derived from known species","family missing but genus available","family unknown but genus available"
"CAMARON","CAMARON SINTETICO","camaron sintetico",FALSE,NA,"Camaron","Penaeidae","Family","NEI","NEI","Penaeidae","Decapoda","Malacostraca","Shrimps, prawns","Rimapenaeus similis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Penaeidae","family derived from IHH key"
"RAYA Y SIMILARES","RAYA COLA RATA","raya cola rata",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","GUAU","guau",FALSE,NA,"Escama","Lutjanus peru","Species","Lutjanus peru","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus peru","high confidence","match to IHH key","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"OTRAS","PATA CABRA","pata cabra",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"MOJARRA","MOJARRA PEINETA","mojarra peineta",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diapterus peruvianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diapterus peruvianus","high confidence","match to Hem's key","Diapterus","genus derived from known species","family missing but genus available","family unknown but genus available"
"CARPA","CARPA ESPEJO","carpa espejo",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinus carpio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyprinus carpio","high confidence","match to Hem's key","Cyprinus","genus derived from known species","family missing but genus available","family unknown but genus available"
"ANCHOVETA","ANCHOA","anchoa",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown","Engraulidae","unique family match from Erica's key"
"OTRAS","SOLDADITO","soldadito",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bellator militaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bellator militaris","high confidence","match to Hem's key","Bellator","genus derived from known species","family missing but genus available","family unknown but genus available"
"LISA","BOBO","bobo",FALSE,NA,"Escama","Polydactylus approximans","Species","Polydactylus approximans","Polydactylus","Polynemidae","Perciformes","Actinopterygii","Demersal marine fishes","Polydactylus opercularis","Polydactylus approximans","Polynemus californiensis","Joturus pichardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polydactylus approximans","high confidence","logical match in both keys","Polydactylus","genus derived from known species","Polynemidae","family derived from IHH key"
"ROBALO","ROBALETE","robalete",FALSE,NA,"Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Centropomus ensiferus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","PERCEBE","percebe",FALSE,NA,"Otras","Pollicipes elegans","Species","Pollicipes elegans","Pollicipes","Pollicipedidae","Scalpelliformes","Hexanauplia","Crustaceans","Pollicipes pollicipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pollicipes elegans","low confidence","mismatch between keys","Pollicipes","genus derived from known species","Pollicipedidae","family derived from IHH key"
"OTRAS","BOCA COLORADA","boca colorada",FALSE,NA,"No ID","Lutjanidae","Family","NEI","NEI","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Joturus pichardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Lutjanidae","family derived from IHH key"
