main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean
CARACOL,CARACOL DE U�A S.C. FCO.,S.,FCO.,NA,NA,NA,CARACOL DE U�A C.
CARACOL,CARACOL GORRITO ENTERO FRESCO,ENTERO,FRESCO,NA,NA,NA,CARACOL GORRITO
CARACOL,CARACOL OLIVO CONCHA DE,CONCHA DE,NA,NA,NA,NA,CARACOL OLIVO
CARACOL,CARACOL PANOCHA ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL PANOCHA
CARACOL,CARACOL PANOCHA S.C. FCO.,S.,FCO.,NA,NA,NA,CARACOL PANOCHA C.
CARACOL,CARACOL TEGOGOLO DE AGUA DULCE ENT. FCO.,ENT.,FCO.,NA,NA,NA,CARACOL TEGOGOLO DE AGUA DULCE
CARACOL,CARACOL TOMBURRO S.C. FCO.,S.,FCO.,NA,NA,NA,CARACOL TOMBURRO C.
CARACOL,CARACOL TURBO FLUCTUOSO VIVO,NA,NA,NA,NA,NA,CARACOL TURBO FLUCTUOSO VIVO
CARACOL,LAPA ENT. FCA.,ENT.,FCA.,NA,NA,NA,LAPA
ATUN,ATUN ALETA AMARILLA ENT. FCO. (THUNNUS ALBACARES),ALETA,ENT.,FCO.,NA,NA,ATUN AMARILLA (THUNNUS ALBACARES)
TIBURON,ALETA DE TIBURON,ALETA,NA,NA,NA,NA,DE TIBURON
TIBURON,TIBURON CARNE SECA,SECA,NA,NA,NA,NA,TIBURON CARNE
TIBURON,TIBURON ALETA SECA DE,ALETA,SECA DE,NA,NA,NA,TIBURON
TIBURON,TIBURON PIEL DE SECA,PIEL DE SECA,NA,NA,NA,NA,TIBURON
ATUN,ATUN ALETA AMARILLA DESV. FCO. (THUNNUS ALBACARES),ALETA,DESV.,FCO.,NA,NA,ATUN AMARILLA (THUNNUS ALBACARES)
ATUN,ATUN ALETA AZUL ENT. FCO.,ALETA,ENT.,FCO.,NA,NA,ATUN AZUL
ATUN,ATUN ALETA AMARILLA IND. (THUNNUS ALBACARES),ALETA,IND.,NA,NA,NA,ATUN AMARILLA (THUNNUS ALBACARES)
ATUN,"ATUN ALETA AMARILLA DESV, DESC FCO (THUNNUS ALBACARES)",ALETA,"DESV,",DESC,FCO,NA,ATUN AMARILLA (THUNNUS ALBACARES)
ATUN,ATUN ALETA AZUL DESV. Y DESC. FCO.,ALETA,DESV.,DESC.,FCO.,NA,ATUN AZUL
CORVINA,CORVINA SECA,SECA,NA,NA,NA,NA,CORVINA
TIBURON,TIBURON ALETA BLANCA FILETE FCO.,ALETA,FILETE,FCO.,NA,NA,TIBURON BLANCA
OSTION,OSTION CONCHA DE,CONCHA DE,NA,NA,NA,NA,OSTION
TIBURON,TIBURON ALETA BLANCA DESV. FCO.,ALETA,DESV.,FCO.,NA,NA,TIBURON BLANCA
TIBURON,TIBURON ALETA CARTON DESV. Y DESC.,ALETA,DESV.,DESC.,NA,NA,TIBURON CARTON
TIBURON,TIBURON ALETA CARTON ENT. FCO.,ALETA,ENT.,FCO.,NA,NA,TIBURON CARTON
ATUN,ATUN ALETA AMARILLA  ENT. FCO. (THUNNUS ALBACARES),ALETA,ENT.,FCO.,NA,NA,ATUN AMARILLA (THUNNUS ALBACARES)
CAMARON,CAMARON DE ALTAMAR CABEZA DE,CABEZA DE,NA,NA,NA,NA,CAMARON DE ALTAMAR
CAMARON,CAMARON DE ESTERO CABEZA DE,CABEZA DE,NA,NA,NA,NA,CAMARON DE ESTERO
MOJARRA,TILAPIA SECA,SECA,NA,NA,NA,NA,TILAPIA
MOJARRA,MOJARRA DE AGUA DULCE SECA,SECA,NA,NA,NA,NA,MOJARRA DE AGUA DULCE
TIBURON,TIBURON ALETA BLANCA DESV. Y DESC.,ALETA,DESV.,DESC.,NA,NA,TIBURON BLANCA
TIBURON,TIBURON ALETA BLANCA ENT. FCO.,ALETA,ENT.,FCO.,NA,NA,TIBURON BLANCA
TIBURON,TIBURON ALETA CARTON DESV. FCO.,ALETA,DESV.,FCO.,NA,NA,TIBURON CARTON
CARPA,CARPA COMUN SECA,SECA,NA,NA,NA,NA,CARPA COMUN
TIBURON,ALETA FCA DE TIBURON CORNUDA (SPHYRNA ZYGAENA),ALETA,FCA,NA,NA,NA,DE TIBURON CORNUDA (SPHYRNA ZYGAENA)
TIBURON,ALETA SECA DE TIBURON MARTILLO (SPHYRNA LEWINI),ALETA,SECA DE,NA,NA,NA,TIBURON MARTILLO (SPHYRNA LEWINI)
TIBURON,ALETA FCA. DE TIBURON AZUL (PRIONACE GLAUCA),ALETA,FCA.,NA,NA,NA,DE TIBURON AZUL (PRIONACE GLAUCA)
TIBURON,ALETA FCA DE TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA),ALETA,FCA,NA,NA,NA,DE TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)
TIBURON,ALETA FCA DE TIBURON COLUDO (ALOPIAS PELAGICUS),ALETA,FCA,NA,NA,NA,DE TIBURON COLUDO (ALOPIAS PELAGICUS)
TIBURON,ALETA FCA DE TIBURON MAKO (ISURUS OXYRINCHUS),ALETA,FCA,NA,NA,NA,DE TIBURON MAKO (ISURUS OXYRINCHUS)
TIBURON,ALETA FCA DE TIBURON TUNERO O CAFE (CARCHARHINUS FALCIFORMIS),ALETA,FCA,NA,NA,NA,DE TIBURON TUNERO O CAFE (CARCHARHINUS FALCIFORMIS)
TIBURON,TIBURON ALETA CARTON ENT. FCO. (CARCHARHINUS PLUMBEUS),ALETA,ENT.,FCO.,NA,NA,TIBURON CARTON (CARCHARHINUS PLUMBEUS)
