"year","month","state","office_name_clean","landing_site_clean","recorded_taxa_name","recorded_taxa_name_clean","recorded_scientific_name","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5","estimated_species_name","estimated_genus_name","estimated_family_name","recorded_taxa_group","estimated_taxa_group","Major_Functional_Group","landed_weight","live_weight","weight_kg_corrected","value","reported_aquaculture_production","est_aquaculture_production","est_aquaculture_certainty","sector_estimate_reported","sector_estimate_draft","GOC_est","GOC_Include_Exclude","OHI_region_est","OHI_region_name"
2020,2,"SINALOA","MAZATLAN","ISLA LA PIEDRA","LISA MACHO ENT. FCA.","LISA MACHO",NA,"ENT","FCA",NA,NA,NA,"mugil cephalus","mugil","Mugilidae","LISA","LISA","Demersal marine fishes",85,85,85,1275,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,10,"SINALOA","EL FUERTE","MAICULIS","TILAPIA ENT. FCA.","TILAPIA",NA,"ENT","FCA",NA,NA,NA,"oreochromis amphimelas","oreochromis","Cichlidae","MOJARRA","MOJARRA","Freshwater fishes",1479,1479,1479,26622,"NO","likely aquaculture","medium; flags suggest aquaculture but original report says no, report could be wrong","small-scale fisheries","freshwater: aquaculture","yes","include","region_8","Sinaloan_Coast"
2020,9,"SINALOA","LA REFORMA","LA REFORMA","JAIBON ENT. FCO.","JAIBON",NA,"ENT","FCO",NA,NA,NA,"callinectes bellicosus","callinectes","Portunidae","JAIBA","JAIBA","Crustaceans",850,850,850,25500,"NO","not aquaculture","high; aquaculture flags agree with original report","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,7,"BAJA CALIFORNIA SUR","GUERRERO NEGRO","LAS CASITAS","ALMEJA CHOCOLATA ENT. FCA.","ALMEJA CHOCOLATA",NA,"ENT","FCA",NA,NA,NA,"megapitaria squalida","megapitaria","Veneridae","ALMEJA","ALMEJA","Molluscs excl. Cephalopods",1134,1134,1134,11340,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_4","Western_Southern_Gulf"
2020,2,"SINALOA","MAZATLAN","MAZATLAN","SARDINA CRINUDA IND. (OPISTHONEMA LIBERTATE)","SARDINA CRINUDA (OPISTHONEMA LIBERTATE)","Opisthonema Libertate","IND",NA,NA,NA,NA,"opisthonema libertate","opisthonema","Clupeidae","SARDINA","SARDINA","Anchovy & Sardine (small pelagics)",20838,24172.08,24172.08,62514,NA,"unlikely aquaculture","high; no data from original report and flags suggest probably not aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,3,"SINALOA","LA REFORMA","LA REFORMA","CAMARON AZUL DESC. FCO.","CAMARON AZUL",NA,"DESC","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",2930,4688,4688,351600,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,10,"SONORA","HUATABAMPO","LAS BOCAS","CAMARON AZUL ENT. FCO.","CAMARON AZUL",NA,"ENT","FCO",NA,NA,NA,"penaeus stylirostris","penaeus","Penaeidae","CAMARON","CAMARON","Shrimps, prawns",750,750,750,97500,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
2020,5,"SINALOA","GUASAVE","GUSTAVO DIAZ ORDAZ","CARPA DESV. FCA.","CARPA",NA,"DESV","FCA",NA,NA,NA,"cyprinus acutidorsalis","cyprinus","Cyprinidae","CARPA","CARPA","Freshwater fishes",50,55,55,750,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","freshwater: small-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,4,"SINALOA","MAZATLAN","MAZATLAN","BARRILETE NEGRO ENT. FCO.","BARRILETE NEGRO",NA,"ENT","FCO",NA,NA,NA,"euthynnus lineatus","euthynnus","Scombridae","BARRILETE","BARRILETE","Pelagic marine fish (excl. anchovy & sardine)",473,473,473,3784,NA,"unlikely aquaculture","medium; no data from original report and flags do not suggest aquaculture","large-scale fisheries","marine: large-scale capture","yes","include","region_8","Sinaloan_Coast"
2020,1,"SONORA","BAHIA KINO","EL CHOYUDO","EXTRANJERO DESV. FCO.","EXTRANJERO",NA,"DESV","FCO",NA,NA,NA,"paralabrax auroguttatus","paralabrax","Serranidae","OTRAS","OTRAS","Demersal marine fishes",350,385,385,12250,"NO","possibly aquaculture","low; flags suggest possibly aquaculture but original report says no","small-scale fisheries","marine: small-scale capture","yes","include","region_7","Eastern_Central_Gulf"
