"OHI_region_est","year","shrimp_score","shrimp_production_mt","finfish_score","finfish_production_mt","bivalve_score","bivalve_production_mt","total_production_mt","shrimp_catch_contribution","finfish_catch_contribution","bivalve_catch_contribution","shrimp_score_contribution","finfish_score_contribution","bivalve_score_contribution","total_score"
"Region_9",2020,80.106850037268,8460.36,NA,NA,74.5360419000333,886.32,9346.68,0.905172745830605,NA,0.0948272541693949,18.8527397260993,NA,4.91936154026445,23.7721012663638
NA,2020,4.7616441355153,83.52,NA,NA,NA,NA,83.52,1,NA,NA,1.23802747523398,NA,NA,1.23802747523398
"Region_4",2021,100,3044.92,67.7808944989871,86.99,91.3156208122123,62.69,3194.6,0.953145933763226,0.027230326175421,0.0196237400613535,24.7817942778439,1.05758373102846,1.24719998842655,27.0865779972989
"Region_6",2021,77.0243192690348,42602.57,NA,NA,45.4565861542606,121.5,42724.07,0.997156169812473,NA,0.00284383018752661,19.9693715480282,NA,0.0899724851014637,20.0593440331297
"Region_7",2021,82.0209332184094,36541.31,NA,NA,84.0525458389657,97,36638.31,0.99735249797275,NA,0.00264750202724962,21.2689834841735,NA,0.154880382710891,21.4238638668844
"Region_8",2021,74.5848214573168,75523.37,100,280,54.6723224705988,1217.99,77021.36,0.980550979624353,0.00363535517939439,0.0158136651962521,19.0148971337207,0.208305851779299,0.601740582923898,19.8249435684239
"Region_9",2021,90.6058925833682,9569.2,NA,NA,100,1800.31,11369.51,0.841654565588139,NA,0.158345434411861,19.8273044221149,NA,11.0208422350655,30.8481466571804
NA,2021,100,1820.66,NA,NA,NA,NA,1820.66,1,NA,NA,26,NA,NA,26
"Region_4",2022,87.5361722974942,2222.75,100,138.82,41.746780865816,28.66,2390.23,0.929931429193007,0.0580780929031934,0.0119904779038001,21.1646858307805,3.32787472335298,0.348392442054339,24.8409529961878
"Region_6",2022,82.4987365880907,45630.5,NA,NA,100,497.43,46127.93,0.989216294769785,NA,0.0107837052302152,21.2183645780235,NA,0.750545884022977,21.9689104620465
"Region_7",2022,83.6712591355564,37276.55,NA,NA,100,149.26,37425.81,0.996011843163849,NA,0.00398815683615131,21.6677669081758,NA,0.277575715796131,21.945342623972
"Region_8",2022,89.4075673590776,90532.64,NA,NA,99.7293293832481,2221.77,92754.41,0.976046745378468,NA,0.0239532546215323,22.6891509345888,NA,1.66263404588631,24.3517849804751
"Region_9",2022,76.9082987922749,8122.55,NA,NA,54.1057390532126,643.38,8765.93,0.9266044789315,NA,0.0733955210685004,18.5285292732602,NA,2.76389876178237,21.2924280350426
NA,2022,100,1855.28,NA,NA,NA,NA,1855.28,1,NA,NA,26,NA,NA,26
"Region_4",2023,74.8055714395984,1899.49,100,153.6,94.0103711472353,64.54,2117.63,0.896988614630507,0.0725339176343365,0.0304774677351568,17.4459339319847,4.15619348044748,1.99417784517334,23.5963052576055
"Region_6",2023,83.4355199977784,46148.64,NA,NA,100,324.84,46473.48,0.993010207111669,NA,0.00698979288833115,21.5416039783006,NA,0.486489585027848,22.0280935633284
"Region_7",2023,82.5231643592092,36765.06,NA,NA,93.151017295761,107.5,36872.56,0.997084552849056,NA,0.00291544715094368,21.3934688330457,NA,0.189017500115773,21.5824863331615
"Region_8",2023,91.1722907156588,92319.57,2.6824034334764,3,95.6145075859592,2130.1,94452.67,0.977416202210059,3.17619396042483e-05,0.0225520358503365,23.1694512759036,4.88186464410791e-05,1.50078605481201,24.670286149362
"Region_9",2023,59.5835151283776,6292.82,NA,NA,40.7411892531931,484.46,6777.28,0.928517045186269,NA,0.0714829548137306,14.3843204462913,NA,2.02696121094878,16.41128165724
NA,2023,100,2162.35,NA,NA,NA,NA,2162.35,1,NA,NA,26,NA,NA,26
