"year","estimated_genus_name","Major_Functional_Group","total_biomass_kg","total_revenue"
2002,"Pseudupeneus","Demersal marine fishes",22963.7,462706
2002,"Rimapenaeus","Shrimps, prawns",42712.2,515769
2002,"Sarda","Pelagic marine fish (excl. anchovy & sardine)",201030.55,544439
2002,"Scomber","Pelagic marine fish (excl. anchovy & sardine)",25745,388415
2002,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)",3680040.45,26248144
2002,"Scorpaena","Demersal marine fishes",118980.1,957890
2002,"Selene","Pelagic marine fish (excl. anchovy & sardine)",82687.3,406172
2002,"Seriola","Pelagic marine fish (excl. anchovy & sardine)",941128.2,6742092
2002,"Sicyonia","Shrimps, prawns",14457.2,180200
2002,"Sphoeroides","Demersal marine fishes",450949.85,6686368
2002,"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)",502,4016
2002,"Sphyrna","Sharks",693.75,3624
2002,"Squatina","Sharks",476902.55,4029029
2002,"Stereolepis","Demersal marine fishes",111.9,2082
2002,"Strongylocentrotus","Echinoderms",442304,8203419
2002,"Synodus","Demersal marine fishes",15937,85706
2002,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)",1597180,13405050
2002,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)",198030.6,1037607
2002,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)",62707,2494526
2003,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)",1387.35,9781
2003,"Acanthurus","Demersal marine fishes",12022,157569
2003,"Aetobatus","Demersal marine fishes",29406.05,86480
2003,"Alopias","Sharks",42254.4,322938
2003,"Anisotremus","Demersal marine fishes",160251.95,909824
2003,"Anoplopoma","Demersal marine fishes",30469.75,285778
2003,"Argopecten","Molluscs excl. Cephalopods",6651563,32916037
2003,"Ariopsis","Demersal marine fishes",11890,75444
2003,"Balistes","Demersal marine fishes",1200494,10948933
2003,"Brotula","Demersal marine fishes",180913.5,2018879
2003,"Calamus","Demersal marine fishes",25890,138364
2003,"Caranx","Pelagic marine fish (excl. anchovy & sardine)",51690.7,2561224
2003,"Carcharhinus","Sharks",122561.1,505721
2003,"Caulolatilus","Demersal marine fishes",823501.25,4585077
2003,"Centropomus","Demersal marine fishes",410867.4,10065274
2003,"Cetengraulis","Anchovy & Sardine (small pelagics)",19058316.28,3224500
2003,"Chanos","Diadromous fishes",37411,205421
2003,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)",354478.65,3452358
2003,"Cynoscion","Demersal marine fishes",4393115,41954272
2003,"Diapterus","Demersal marine fishes",20046,222441
2003,"Diplectrum","Demersal marine fishes",68636.9,1221597
2003,"Dosidicus","Cephalopods",72912686.2,58942885
2003,"Dosinia","Molluscs excl. Cephalopods",195877,671428
2003,"Epinephelus","Demersal marine fishes",57361.1,907890
2003,"Especies","Echinoderms",200822,1355783
2003,"Etrumeus","Anchovy & Sardine (small pelagics)",8032614.88,3596404
2003,"Eucinostomus","Demersal marine fishes",58831,458147
2003,"Eugerres","Demersal marine fishes",31237,246050
2003,"Farfantepenaeus","Shrimps, prawns",5757,281579
2003,"Galeocerdo","Sharks",2347.5,8866
2003,"Gelidium","Marine algae",5082790,5033309
2003,"Gerres","Demersal marine fishes",121955.8,463207
2003,"Ginglymostoma","Sharks",3810.4,14820
2003,"Haemulon","Demersal marine fishes",445271.8,2343858
2003,"Haemulopsis","Demersal marine fishes",239409.8,1091836
2003,"Haliotis","Molluscs excl. Cephalopods",710080.96,53925336
2003,"Hexaplex","Molluscs excl. Cephalopods",33430,9800
2003,"Hoplopagrus","Demersal marine fishes",90321,1331628
2003,"Hypanus","Demersal marine fishes",1790718,11295037
2003,"Hyporthodus","Demersal marine fishes",407576.3,9501810
2003,"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)",21183.45,109729
2003,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)",5604279.3,33492512
2003,"Lamna","Sharks",4357.1,63936
2003,"Litopenaeus","Shrimps, prawns",50442.2,3557440
2003,"Lobatus","Molluscs excl. Cephalopods",16822,40276
2003,"Lutjanus","Demersal marine fishes",2942200,62487264
2003,"Megapitaria","Molluscs excl. Cephalopods",1727526,6564413
2003,"Megastraea","Molluscs excl. Cephalopods",1269558,3735647
2003,"Menticirrhus","Demersal marine fishes",288054.6,1230658
2003,"Merluccius","Demersal marine fishes",969268.3,6091537
2003,"Mesocentrotus","Echinoderms",1559272,54976601
2003,"Microlepidotus","Demersal marine fishes",114648.2,1219934
2003,"Micropogonias","Demersal marine fishes",2157378.25,11460551
2003,"Mobula","Demersal marine fishes",1141431.25,7292581
2003,"Mugil","Demersal marine fishes",2400771.2,11500910
2003,"Mustelus","Sharks",306830.75,3151147
2003,"Mycteroperca","Demersal marine fishes",622496.35,9671029
2003,"Nematistius","Demersal marine fishes",421.5,3835
2003,"Nicholsina","Demersal marine fishes",10045.6,259515
2003,"Opisthonema","Anchovy & Sardine (small pelagics)",149525466.24,21288066
2003,"Orthopristis","Demersal marine fishes",35378,147639
2003,"Panulirus","Crustaceans",2026261,124379853
2003,"Paralabrax","Demersal marine fishes",5011745.8,19935602
2003,"Paranthias","Demersal marine fishes",2489,24965
2003,"Parapsettus","Demersal marine fishes",1352,6760
