"state","landing_site","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"BAJA CALIFORNIA","LA PUERTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","NO CONSIDERADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","NO CONSIDERADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","NO CONSIDERADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","NO CONSIDERADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","NO CONSIDERADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","NO CONSIDERADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SANTA ROSALIA",NA,27.3368683333333,-112.268274722222,"high confidence",27.3368683333333,-112.268274722222,27.3397,-112.2631,"Baja_California_Sur_North",NA
"BAJA CALIFORNIA","SAN CARLOS",NA,32.0035847222222,-116.647441805556,"high confidence",32.0035847222222,-116.647441805556,30.728,-114.697,"Baja_California_South",NA
"SINALOA","CORTINA DE LA PRESA AURELIO VENANCINI (EL SALTO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","BAJA VENECIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","LAS PLAYITAS",NA,27.8943,-110.883,"alert 3: multiple lat-long values in Hem's key that are more than 2 degrees apart",27.8943,-110.883,27.8943,-110.883,"Sonora_South",NA
"SONORA","EL RASTRO",NA,28.001,-111.15,"high confidence",28.001,-111.15,28.001,-111.15,"Sonora_South",NA
"SONORA","BAHIA AGIABAMPO",NA,26.3642,-109.146,"high confidence",26.3642,-109.146,26.3642,-109.146,"Sonora_South",NA
"SINALOA","ESTERO LA BOCANITA",NA,25.549,-108.417,"high confidence",25.549,-108.417,NA,NA,NA,NA
"SINALOA","EL JITZAMURI",NA,26.2120833,-109.26380555,"high confidence",26.2120833,-109.26380555,NA,NA,NA,NA
"SINALOA","LA REFORMA",NA,24.7746891666667,-107.333307222222,"alert 3: multiple lat-long values in Hem's key that are more than 2 degrees apart",24.7746891666667,-107.333307222222,NA,NA,NA,NA
"SINALOA","CAMPO PESQUERO EL TETUAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","EL CASTILLO",NA,23.6443358333333,-106.793634351852,"alert 1: multiple lat-long values in Hem's key that are more than 0.5 degree apart",23.6443358333333,-106.793634351852,NA,NA,NA,NA
"SINALOA","CAMPO EL COLORADO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","PREDIO BACHOMOBAMPO NO. UNO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","ESTERO LA BALLENA",NA,25.977,-109.418,"high confidence",25.977,-109.418,NA,NA,NA,NA
"SINALOA","EL POZOLE",NA,23.4218363194444,-106.515530347222,"high confidence",23.4218363194444,-106.515530347222,NA,NA,NA,NA
"SINALOA","CAMPO PESQUERO BACOREHUIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
