"state","office_name_clean","landing_site_clean","final_lat","final_lon","final_lat.lon_level","final_lat.lon_source","location","OHI.region_geo.est","OHI_state.assign","OHI_region_final","GOC_mel.est","GOC_state.assign","GOC_region.assign","GOC_final"
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","LAGUNA LAS FLORES Y GOLFO MEXICO",26.8815999490356,-113.086286236894,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SAN CARLOS","LAGUNA LAS FLORES Y GOLFO MEXICO",25.3714583955429,-112.073984327773,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GOLFO SANTA CLARA","LAGUNA LAS FLORES Y GOLFO MEXICO",31.8979505373166,-114.571539538994,"state_office","Hem's state.office key","land","Region_5",NA,"Region_5",NA,"yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","SAN CARLOS",24.7661,-111.9669,"state_site","Mel's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"BAJA CALIFORNIA","ISLA CEDROS","LAGUNA LAS FLORES Y GOLFO MEXICO",24.5843,-110.7416,"state_site","Mel's state.site key","land","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","LAGUNA LAS FLORES Y GOLFO MEXICO",24.9946690350877,-111.613563143275,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","PTO ADOLFO LOPEZ MATEOS",25.1889,-112.1185,"state_site","Mel's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"NAYARIT","SAN BLAS","SAN BLAS",21.5417380555556,-105.286046388889,"state_office_site","Hem's state.site.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"NAYARIT","CRUZ HUANACAXTLE","LAGUNA LAS FLORES Y GOLFO MEXICO",20.7914414513754,-105.337144843608,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"JALISCO","BARRA NAVIDAD","LAGUNA LAS FLORES Y GOLFO MEXICO",19.6247611165671,-104.425651915947,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","LAGUNA LAS FLORES Y GOLFO MEXICO",23.2395885256897,-109.853521983522,"state_office","Hem's state.office key","land","Region_4",NA,"Region_4",NA,NA,NA,NA
"JALISCO","BARRA NAVIDAD","PUERTO VALLARTA",20.4868055555556,-105.183611111111,"state_site","Hem's state.site key","land","Region_9",NA,"Region_9","yes",NA,"yes","yes"
"SONORA","BAHIA KINO","BAHIA KINO",28.80836125,-111.948842638889,"state_office_site","Hem's state.site.office key","sea","Region_6",NA,"Region_6","yes","yes","yes","yes"
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","SAN LUCAS",22.891,-109.888,"state_site","Mel's state.site key","sea","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","BAHIA ASUNCION",27.1409019444444,-114.297558055556,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,"no",NA,NA,"no"
"NAYARIT","TEPIC","LAGUNA LAS FLORES Y GOLFO MEXICO",21.4826649167189,-104.547994171617,"state_office","Hem's state.office key",NA,NA,"Region_9","Region_9",NA,"yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","MATANCITAS",25.3,-112.03,"state_site","Mel's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"SONORA","PUERTO PENASCO","GUAYMAS",27.92151,-110.8915,"state_site","Hem's state.site key","land","Region_7",NA,"Region_7","yes","yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","PICHILINGUE",24.27183215,-110.32755775,"state_site","Hem's state.site key","sea","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"BAJA CALIFORNIA","BAHIA LOS ANGELES","BAHIA LOS ANGELES",28.9890473611111,-113.555491388889,"state_office_site","Hem's state.site.office key","land","Region_2",NA,"Region_2","yes",NA,NA,"yes"
"BAJA CALIFORNIA","TIJUANA","LAGUNA LAS FLORES Y GOLFO MEXICO",24.5843,-110.7416,"state_site","Mel's state.site key","land","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"NAYARIT","CRUZ HUANACAXTLE","CRUZ HUANACAXTLE",20.7502302777778,-105.382682222222,"state_office_site","Hem's state.site.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"JALISCO","GUADALAJARA","LAGUNA LAS FLORES Y GOLFO MEXICO",20.9531148331655,-103.368974427755,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GUAYMAS","GOLFO SANTA CLARA",31.6899486111111,-114.500918611111,"state_site","Hem's state.site key","land","Region_5",NA,"Region_5","yes","yes","yes","yes"
"JALISCO","PUERTO VALLARTA","LAGUNA LAS FLORES Y GOLFO MEXICO",20.3701996667712,-104.95577118187,"state_office","Hem's state.office key","land","Region_9",NA,"Region_9",NA,NA,"yes","yes"
"SONORA","CD. OBREGON","PAREDON COLORADO",27.0666522518519,-109.932338951852,"state_site","Hem's state.site key","sea","Region_7",NA,"Region_7","yes","yes","yes","yes"
"BAJA CALIFORNIA SUR","LA PAZ","LA PAZ",24.1467119333333,-110.308781033333,"state_office_site","Hem's state.site.office key","land","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","PUNTA ABREOJOS",26.715159662963,-113.574164922222,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,"no",NA,NA,"no"
"SINALOA","EL FUERTE","LA PUERTA",24.78981,-107.020367777778,"state_site","Hem's state.site key",NA,NA,"Region_8","Region_8",NA,"yes","yes","yes"
"BAJA CALIFORNIA SUR","LA PAZ","SAN CARLOS",23.8805958333333,-110.278014583333,"state_office_site","Hem's state.site.office key","land","Region_4",NA,"Region_4","no",NA,NA,"no"
"NAYARIT","SAN BLAS","EL SAUZAL",21.5467247384409,-105.258214734707,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"SONORA","GOLFO SANTA CLARA","GOLFO SANTA CLARA",31.6899486111111,-114.500918611111,"state_office_site","Hem's state.site.office key","land","Region_5",NA,"Region_5","yes","yes","yes","yes"
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","BAHIA TORTUGAS",27.6926928444444,-114.896186183333,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,"no",NA,NA,"no"
"SONORA","HUATABAMPO","PARAJE NUEVO",26.9777527919635,-109.501158823798,"state_office","Hem's state.office key","land","Region_7",NA,"Region_7",NA,"yes","yes","yes"
"SONORA","HUATABAMPO","GUAYMAS",27.92151,-110.8915,"state_site","Hem's state.site key","land","Region_7",NA,"Region_7","yes","yes","yes","yes"
"SONORA","BAHIA KINO","SAN NICOLAS",28.6162026388889,-111.725022083333,"state_office_site","Hem's state.site.office key","land","Region_6",NA,"Region_6","yes","yes","yes","yes"
"SONORA","GUAYMAS","LA PUERTA",27.6425905555556,-110.000364444444,"state_site","Hem's state.site key",NA,NA,NA,NA,NA,"yes",NA,"yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","PTO ADOLFO LOPEZ MATEOS",25.1889,-112.1185,"state_site","Mel's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"SINALOA","MAZATLAN","TEACAPAN, SIN.",23.4941163147551,-106.379649136752,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"NAYARIT","SANTIAGO IXCUINTLA","SAN BLAS",21.5417380555556,-105.286046388889,"state_site","Hem's state.site key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"BAJA CALIFORNIA","ISLA CEDROS","ISLA CEDROS",28.1331695311111,-115.201436955556,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,"no",NA,NA,"no"
"BAJA CALIFORNIA","ENSENADA","SAN FELIPE",31.7626597222222,-116.597561666667,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,"yes",NA,NA,"yes"
"JALISCO","OCOTLAN","LAGUNA LAS FLORES Y GOLFO MEXICO",20.9349169056432,-102.341014815964,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","SAN FELIPE","EL SAUZAL",31.8921776666667,-116.694170133333,"state_site","Hem's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"JALISCO","CHAPALA","LAGUNA LAS FLORES Y GOLFO MEXICO",19.8385565045085,-103.34247210019,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","ISLA CEDROS","EL SAUZAL",31.8921776666667,-116.694170133333,"state_site","Hem's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"SONORA","BAHIA KINO","GUAYMAS",27.92151,-110.8915,"state_site","Hem's state.site key","land","Region_7",NA,"Region_7","yes","yes","yes","yes"
"BAJA CALIFORNIA","ISLA CEDROS","LA PUERTA",28.9076863553968,-115.195965318254,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","HUATABAMPO","SANTA BARBARA",27.0121821527778,-109.429924861111,"state_office_site","Hem's state.site.office key","land","Region_7",NA,"Region_7","yes","yes","yes","yes"
"NAYARIT","SANTIAGO IXCUINTLA","NO CONSIDERADO",21.9838665077391,-104.896760868459,"state_office","Hem's state.office key",NA,NA,"Region_9","Region_9",NA,"yes","yes","yes"
"BAJA CALIFORNIA","ENSENADA","LA PUERTA",31.6803648342134,-116.441554571399,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA","SAN QUINTIN","LAGUNA LAS FLORES Y GOLFO MEXICO",24.5843,-110.7416,"state_site","Mel's state.site key","land","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"SINALOA","MAZATLAN","NO CONSIDERADO",23.4941163147551,-106.379649136752,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"BAJA CALIFORNIA","ENSENADA","NO CONSIDERADO",31.6803648342134,-116.441554571399,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GUAYMAS","NO CONSIDERADO",27.9926880336712,-110.86508759233,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","land","Region_7",NA,"Region_7",NA,"yes","yes","yes"
"SONORA","HUATABAMPO","NO CONSIDERADO",26.9777527919635,-109.501158823798,"state_office","Hem's state.office key","land","Region_7",NA,"Region_7",NA,"yes","yes","yes"
"SINALOA","TOPOLOBAMPO","NO CONSIDERADO",25.6153795297504,-109.024498822464,"state_office","Hem's state.office key","sea","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SONORA","PUERTO PENASCO","NO CONSIDERADO",31.2062957681437,-112.840131163667,"state_office","Hem's state.office key","land","Region_6",NA,"Region_6",NA,"yes","yes","yes"
"NAYARIT","SAN BLAS","NO CONSIDERADO",21.5467247384409,-105.258214734707,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","NO CONSIDERADO",25.3714583955429,-112.073984327773,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","NO CONSIDERADO",24.9946690350877,-111.613563143275,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA PAZ","NO CONSIDERADO",23.9653019673961,-110.278865826857,"state_office","Hem's state.office key","land","Region_4",NA,"Region_4",NA,NA,NA,NA
"BAJA CALIFORNIA","SAN FELIPE","NO CONSIDERADO",30.8232761927872,-114.850812713418,"state_office","Hem's state.office key","land","Region_2",NA,"Region_2",NA,NA,NA,NA
"BAJA CALIFORNIA SUR","BAHIA ASUNCION","NO CONSIDERADO",27.2040245238095,-114.085745,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","BAHIA KINO","NO CONSIDERADO",28.8055591259102,-111.67893340009,"state_office","Hem's state.office key","land","Region_6",NA,"Region_6",NA,"yes","yes","yes"
"JALISCO","BARRA NAVIDAD","NO CONSIDERADO",19.6247611165671,-104.425651915947,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","PUNTA ABREOJOS","NO CONSIDERADO",26.8815999490356,-113.086286236894,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","CABO SAN LUCAS","NO CONSIDERADO",23.2395885256897,-109.853521983522,"state_office","Hem's state.office key","land","Region_4",NA,"Region_4",NA,NA,NA,NA
"NAYARIT","CRUZ HUANACAXTLE","NO CONSIDERADO",20.7914414513754,-105.337144843608,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"BAJA CALIFORNIA SUR","BAHIA TORTUGAS","NO CONSIDERADO",27.6888812559524,-114.760228838492,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","GOLFO SANTA CLARA","NO CONSIDERADO",31.8979505373166,-114.571539538994,"state_office","Hem's state.office key","land","Region_5",NA,"Region_5",NA,"yes","yes","yes"
"BAJA CALIFORNIA","VILLA JESUS MARIA","LAGUNA LAS FLORES Y GOLFO MEXICO",24.5843,-110.7416,"state_site","Mel's state.site key","land","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"SONORA","PUERTO LIBERTAD","LAGUNA LAS FLORES Y GOLFO MEXICO",30.6902890130593,-111.717548023723,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,"yes",NA,"yes"
"SONORA","GUAYMAS","PARAJE NUEVO",27.9926880336712,-110.86508759233,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","land","Region_7",NA,"Region_7",NA,"yes","yes","yes"
"SONORA","PUERTO PENASCO","GOLFO SANTA CLARA",31.6899486111111,-114.500918611111,"state_site","Hem's state.site key","land","Region_5",NA,"Region_5","yes","yes","yes","yes"
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SANTA ROSALIA",27.3368683333333,-112.268274722222,"state_office_site","Hem's state.site.office key","land","Region_3",NA,"Region_3","yes",NA,NA,"yes"
"BAJA CALIFORNIA","ENSENADA","SAN CARLOS",31.7597009722222,-116.561796388889,"state_office_site","Hem's state.site.office key",NA,NA,NA,NA,"yes",NA,NA,"yes"
"BAJA CALIFORNIA SUR","CD. CONSTITUCION","SAN CARLOS",24.7661,-111.9669,"state_site","Mel's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"SINALOA","CULIACAN","CORTINA LA PRESA AURELIO VENANCINI",24.132,-106.689,"state_site","Hem's state.site key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"BAJA CALIFORNIA","SAN FELIPE","ISLA CEDROS",28.1331695311111,-115.201436955556,"state_site","Hem's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"SONORA","BAHIA KINO","YAVAROS",26.7034766666667,-109.520553194444,"state_site","Hem's state.site key","land","Region_7",NA,"Region_7","yes","yes","yes","yes"
"BAJA CALIFORNIA SUR","SAN CARLOS","SAN JUANICO",26.2570684407407,-112.479635281481,"state_site","Hem's state.site key",NA,NA,NA,NA,"no",NA,NA,"no"
"SONORA","PUERTO LIBERTAD","NO CONSIDERADO",30.6902890130593,-111.717548023723,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,"yes",NA,"yes"
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","SAN LUCAS",22.891,-109.888,"state_site","Mel's state.site key","sea","Region_4",NA,"Region_4","yes",NA,NA,"yes"
"SINALOA","EL FUERTE","SITIO EMB DESEM GENERICO",26.4366394191784,-108.393947350964,"state_office","Hem's state.office key",NA,NA,"Region_8","Region_8",NA,"yes","yes","yes"
"SINALOA","LOS MOCHIS","SITIO EMB DESEM GENERICO",25.9061091802143,-109.000942361955,"state_office","Hem's state.office key","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"SONORA","GOLFO SANTA CLARA","SITIO EMB DESEM GENERICO",31.8979505373166,-114.571539538994,"state_office","Hem's state.office key","land","Region_5",NA,"Region_5",NA,"yes","yes","yes"
"SINALOA","CULIACAN","SITIO EMB DESEM GENERICO",24.5754023451913,-107.424419290528,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level","land","Region_8","Region_8","Region_8",NA,"yes","yes","yes"
"NAYARIT","SAN BLAS","SITIO EMB DESEM GENERICO",21.5467247384409,-105.258214734707,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"NAYARIT","TECUALA","SITIO EMB DESEM GENERICO",22.4984442146623,-105.266154629021,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"NAYARIT","CRUZ HUANACAXTLE","SITIO EMB DESEM GENERICO",20.7914414513754,-105.337144843608,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"NAYARIT","TUXPAN","SITIO EMB DESEM GENERICO",22.0870969265372,-105.117770520497,"state_office","Hem's state.office key","land","Region_9","Region_9","Region_9",NA,"yes","yes","yes"
"BAJA CALIFORNIA","SAN FELIPE","SITIO EMB DESEM GENERICO",30.8232761927872,-114.850812713418,"state_office","Hem's state.office key","land","Region_2",NA,"Region_2",NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SAN CARLOS","SITIO EMB DESEM GENERICO",25.3714583955429,-112.073984327773,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level",NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","SANTA ROSALIA","SITIO EMB DESEM GENERICO",27.0180545530806,-112.471899200815,"state_office","Hem's state.office key","land","Region_3",NA,"Region_3",NA,NA,NA,NA
"JALISCO","CHAPALA","SITIO EMB DESEM GENERICO",19.8385565045085,-103.34247210019,"state_office","Hem's state.office key",NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","TEPIC","SITIO EMB DESEM GENERICO",21.4826649167189,-104.547994171617,"state_office","Hem's state.office key",NA,NA,"Region_9","Region_9",NA,"yes","yes","yes"
