stockid,year,ram_bmsy,assessid,stocklong,assessyear,scientificname,commonname,areaname,managementauthority,assessorfull,region,FisheryType,taxGroup,primary_FAOarea,primary_country
BIGEYEEPAC,2016,1.01931,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2017,1.08737,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BIGEYEEPAC,2018,1.01502,IATTC-BIGEYEEPAC-1954-2018-PONS,Bigeye tuna Eastern Pacific,1954-2018,Thunnus obesus,Bigeye tuna,Eastern Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Ecuador
BLSHARNPAC,2001,1.37,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2002,1.42,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2003,1.46,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2004,1.5,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2005,1.53,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2006,1.55,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2007,1.56,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2008,1.56,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2009,1.58,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2010,1.6,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2011,1.62,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2012,1.63,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2013,1.65,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2014,1.68,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
BLSHARNPAC,2015,1.69,SPC-BLSHARNPAC-1970-2015-SMITH,Blue shark North Pacific,1970-2015,Prionace glauca,Blue shark,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
CMACKPCOAST,2001,0.267250749854933,SWFSC-CMACKPCOAST-1983-2020-SISIMP2024,Pacific chub mackerel Pacific Coast,1983-2020,Scomber japonicus,Pacific chub mackerel,Pacific Coast,"National Marine Fisheries Service, US national management",Southwest Fisheries Science Center,US West Coast,Forage Fish,carangids-mackerels,77,USA
