landing_site,clave,subregion,long,lat,State,hand_added,notes
HORCONCITO EL,174,2.0174,-112.0781,25.5203,Baja California Sur,,
HORNITOS LOS,41,2.0041,-114.9958,27.828,Baja California Sur,,
HORNITOS NUEVOS,42,2.0042,-114.9958,27.828,Baja California Sur,,
IGNACIO ESTERO SAN,122,2.0122,-113.1518,26.775,Baja California Sur,,
IGNACIO SAN,121,2.0121,-113.1266,26.8077,Baja California Sur,,
ILDEFONSO ISLA SAN,215,3.0215,-111.408,26.623,Baja California Sur,,
INES ISLA SANTA,251,3.0251,-111.9276,27.0277,Baja California Sur,,
INOCENTES LOS,337,2.0337,-110.6797,23.7698,Baja California Sur,,
ISIDRO SAN,42,3.0042,-109.7836,23.8676,Baja California Sur,,
ISLA CATALANA,NA,3,-110.781,25.653,Baja California Sur,yes,
ISLA DE ASUNCION,88,2.0088,-114.29,27.1035,Baja California Sur,,
ISLA DE CEDROS,NA,2,-115.23,28.19,Baja California Sur,yes,
ISLA ESPIRITU SANTO,NA,3,-110.3,24.49,Baja California Sur,yes,
ISLA MARGARITA,NA,2,-111.55,24.28,Baja California Sur,yes,
ISLA RAZA,NA,3,-112.99,28.83,Baja California Sur,yes,midriff island
ISLA SAN JOSE,NA,3,-110.58,24.92,Baja California Sur,yes,
ISLITA LA B.C.N.,4,2.0004,-114.135,28.0955,Baja California Sur,,
ISLOTES ESTERO LOS,253,2.0253,-112.0469,24.7886,Baja California Sur,,
JACINTO SAN,176,2.0176,-112.075,25.511,Baja California Sur,,
JICAMA LA,172,2.0172,-112.0651,25.5482,Baja California Sur,,
JOYA LA,335,2.0335,-110.7183,23.8038,Baja California Sur,,
JUAN SAN DE LA COSTA,119,3.0119,-110.6837,24.3814,Baja California Sur,,
JUANICO BAHÍA SAN,152,2.0152,-112.4379,26.2087,Baja California Sur,,
JUANICO SAN,150,2.015,-112.4673,26.181,Baja California Sur,,
JUNCOS LOS,106,2.0106,-113.4994,26.7928,Baja California Sur,,
LA BINORAMA,NA,2,-112.06,26.24,Baja California Sur,yes,"likely on Pacific side, Comondu"
LA CALAVERA,NA,3,-110.32,24.17,Baja California Sur,yes,
LA CRUZ,NA,3,-110.31,24.16,Baja California Sur,yes,
LA JICAMITA,NA,2,-112.026,26.401,Baja California Sur,yes,
LA LICOMITA,NA,2,-112.02,25.06,Baja California Sur,yes,
LA PAZ BAHÍA DE,134,3.0134,-110.491,24.365,Baja California Sur,,
LA PITHAYA,NA,3,-110.95,25.03,Baja California Sur,yes,
LA PLAYITA,NA,3,-109.67,23.062,Baja California Sur,yes,
LA RAMADITA (SAN NICOLAS),NA,3,-111.9,26.7,Baja California Sur,yes,
LA RIBERA,NA,3,-109.584,23.593,Baja California Sur,yes,
LA SALINITA,NA,2.0274,-114.104,27.101,Baja California Sur,yes,
LAGO DE CUITZEO,NA,NA,NA,NA,Baja California Sur,yes,inland lakes
LAGUNA DE SAN IGNACIO,NA,2,-113.117,26.75,Baja California Sur,yes,
LAGUNA LAS FLORES Y GOLFO DE MEXICO,NA,NA,NA,NA,Baja California Sur,yes,may be in Gulf of Mexico
LAGUNA MANUELA,NA,2,-114.35,27.7,Baja California Sur,yes,
LAGUNA MANUELA.,NA,2,-114.35,27.7,Baja California Sur,yes,
LAGUNA SAN IGNACIO,NA,2,-113.117,26.75,Baja California Sur,yes,
LAS BOTELLAS (CAMPO PESQUERO),NA,2,-112,25,Baja California Sur,yes,
Las Casitas (Laguna Ojo de Liebre),NA,2,-113.95,27.73,Baja California Sur,yes,
LAS ISLITAS,NA,3.0098,-111.2748,25.7573,Baja California Sur,yes,
LAS OCHO BOMBAS,NA,2,-112.05,25.1,Baja California Sur,yes,
LAS POCITAS (EN ESTERO SAN JORGE),NA,2,-111.7,25.2,Baja California Sur,yes,
LAS RAMADITAS,NA,2,-111.966,25.129,Baja California Sur,yes,
LAS TINAJAS,NA,2,-111.7363,26.1259,Baja California Sur,yes,
LAZARO ESTERO SAN,292,2.0292,-111.581,24.3961,Baja California Sur,,
LAZARO SAN,250,2.025,-112.2713,24.7629,Baja California Sur,,
LEON PUNTA,112,3.0112,-110.5622,24.221,Baja California Sur,,
LEONA LA,59,2.0059,-115.0141,27.7308,Baja California Sur,,
LEY FEDERAL DE AGUAS N0. 5,NA,NA,NA,NA,Baja California Sur,yes,placeholder
LIGUI,181,3.0181,-111.2626,25.7419,Baja California Sur,,
LIMEÑO EL ISLA CERRALVO,57,3.0057,-109.9357,24.3521,Baja California Sur,,
LOBERA LA,53,2.0053,-115.0497,27.8127,Baja California Sur,,
LOBOS PUNTA,346,2.0346,-110.194,23.344,Baja California Sur,,
LOBOS PUNTA BAHÍA ASUNCIÓN,91,2.0091,-114.9989,26.9829,Baja California Sur,,
LOBOS ROCA,266,3.0266,-112.0679,27.1674,Baja California Sur,,
LOCA LA,57,2.0057,-115.0322,27.7672,Baja California Sur,,
LOMA AMARILLA,184,2.0184,-112.137,25.6695,Baja California Sur,yes,
"LOMA AMARILLA, COMONDU",NA,2,-112.06,26.24,Baja California Sur,yes,
LOMITA AMARILLA,NA,2,-112.07,25.05,Baja California Sur,yes,
LOPEZ MATEOS,NA,2,-112.117,25.192,Baja California Sur,yes,
LOPEZ MATEOS AGUAS LITORALES,209,2.0209,-112.14,25.019,Baja California Sur,,
LORENZO PUNTA SAN,97,3.0097,-110.2848,24.3558,Baja California Sur,,
LORETO,197,3.0197,-111.337,26.005,Baja California Sur,,
LORETO AGUAS LITORALES,191,3.0191,-111.295,26.014,Baja California Sur,,
LOS BURRITOS (CAMPO PESQUERO),NA,2,-112.11,25.03,Baja California Sur,yes,
LOS PRADITOS,NA,2,-112.1,25.2,Baja California Sur,yes,
LUCAS BAHÍA SAN,2,3.0002,-109.888,22.891,Baja California Sur,,
LUCAS ESTERO SAN,274,3.0274,-112.1985,27.2316,Baja California Sur,,
LUCAS PUNTA SAN,276,3.0276,-112.2335,27.3001,Baja California Sur,,
LUIS SAN,18,3.0018,-109.4668,23.1837,Baja California Sur,,
MAGDALENA BAHÍA,217,2.0217,-112.1914,24.837,Baja California Sur,,
MAGDALENA ISLA,193,2.0193,-112.1089,25.3816,Baja California Sur,,
MAGDALENA PUERTO,240,2.024,-112.139,24.635,Baja California Sur,,
MALARRIMO,33,2.0033,-114.6688,27.7833,Baja California Sur,,
MALARRIMO CAMPO,35,2.0035,-114.7188,27.7963,Baja California Sur,,
MALARRIMO PUNTA,33,2.0033,-114.6688,27.7833,Baja California Sur,,
MANGLE EL,315,2.0315,-111.217,24.251,Baja California Sur,,
MANUELA ESTERO LAGUNA B.C.N.,3,2.0003,-114.068,28.1308,Baja California Sur,,
MANZANILLAS BOCA LAS,353,2.0353,-110.1411,23.182,Baja California Sur,,
MARCOS ISLA SAN,271,3.0271,-112.0746,27.221,Baja California Sur,,
MARGARITA ISLA SANTA,308,2.0308,-111.8571,24.4623,Baja California Sur,,
MARÍA BAHÍA SANTA,248,2.0248,-112.1827,24.7109,Baja California Sur,,
MARÍA PUNTA SANTA,284,3.0284,-112.323,27.4166,Baja California Sur,,
MARIA SANTA,330,2.033,-110.7671,23.9005,Baja California Sur,,
MARISCAL,NA,2,-111.98,24.6,Baja California Sur,yes,
MARQUEZ PUNTA,325,2.0325,-110.874,23.9547,Baja California Sur,,
MARROS LOS,63,2.0063,-114.8683,27.6944,Baja California Sur,,
MARTA SANTA,170,3.017,-111.0283,25.4515,Baja California Sur,,
MATANCITAS,NA,2,-112.03,25.3,Baja California Sur,yes,
MATEO SAN,169,3.0169,-110.987,25.3707,Baja California Sur,,
MEDANO AMARILLO,264,2.0264,-111.927,24.75,Baja California Sur,,
Medano Barraquilla,NA,2,-112.1,24.8,Baja California Sur,yes,
MEJIA PUERTO,90,3.009,-110.214,24.3039,Baja California Sur,,
MIGRIÑO EL,358,2.0358,-110.1036,23.0367,Baja California Sur,,
MIGUEL SAN,208,3.0208,-111.411,26.527,Baja California Sur,,
MINITAS (EN ISLA SAN JOSE),NA,3,-110.7,25.2,Baja California Sur,yes,
MOGOTE EL,107,3.0107,-110.3455,24.1665,Baja California Sur,,
MOJON EL,254,3.0254,-111.9926,27.0645,Baja California Sur,,
MONSERRAT ISLA,175,3.0175,-111.0492,25.6808,Baja California Sur,,
MORENA ISLA,165,3.0165,-110.9324,25.2748,Baja California Sur,,
MORGAN BAJO,343,2.0343,-110.68,23.41,Baja California Sur,,
MORRO SANTO DOMINGO,NA,2,-114.124,28.2551,Baja California Sur,yes,
MUELLE DE PROD. PESQ. MATANCITAS,NA,2,-111.998,25.147,Baja California Sur,yes,
MUELLE DE PROD. PESQUERO MATANCITAS,NA,2,-111.998,25.147,Baja California Sur,yes,
MUELLE DE PTO ADOLFO LOPEZ MATEOS,204,2.0204,-112.1185,25.1889,Baja California Sur,,
MUELLE DE SANIMAR (LA PAZ),NA,3,-110.32,24.155,Baja California Sur,yes,
MUELLE FISCAL DE LA PAZ,NA,3,-110.31,24.166,Baja California Sur,yes,
MUELLE FISCAL DE SAN CARLOS,NA,2,-112.11,24.79,Baja California Sur,yes,
MUERTITOS LOS,50,2.005,-115.178,27.8766,Baja California Sur,,
MUERTO ENSENADA EL,258,3.0258,-111.9924,27.0994,Baja California Sur,,
MUERTOS BAHÍA LOS,44,3.0044,-109.8105,23.95,Baja California Sur,,
MUERTOS ENSENADA DE,45,3.0045,-109.8355,23.9893,Baja California Sur,,
MULEGE,245,3.0245,-111.9558,26.9076,Baja California Sur,,
MULEGE ESTERO,250,3.025,-112.0267,27.0321,Baja California Sur,,
NATIVIDAD ISLA,48,2.0048,-115.2022,27.8827,Baja California Sur,,
NICOLAS BAHÍA SAN,214,3.0214,-111.541,26.599,Baja California Sur,,
NICOLAS SAN,210,3.021,-111.505,26.532,Baja California Sur,,
NO CONSIDERADO,NA,NA,NA,NA,Baja California Sur,yes,"placeholder, not a location"
NO TIENE,NA,NA,NA,,Baja California Sur,yes,placeholder
NOPOLO,154,3.0154,-110.756,24.997,Baja California Sur,,
NOTRI,195,3.0195,-111.338,25.869,Baja California Sur,,
OJO DE LIEBRE BOCANA DE,22,2.0022,-114.2872,27.8777,Baja California Sur,,
OTATE ESTERO EL,205,2.0205,-112.1394,25.1662,Baja California Sur,,
P. SANTA ROSA CONSTITUCION,NA,3,-109.9,23.3,Baja California Sur,yes,
PABLO BAHÍA SAN,79,2.0079,-114.4633,27.1974,Baja California Sur,,
PABLO SAN BAJOS,382,2.0382,-114.464,27.211,Baja California Sur,,
PAILABOTE,173,2.0173,-112.0643,25.5465,Baja California Sur,,
PALMAR EL,350,2.035,-110.1692,23.2884,Baja California Sur,,
PALMER LAGO,278,2.0278,-111.6695,24.5743,Baja California Sur,,
PALMILLA PUNTA,7,3.0007,-109.714,23.008,Baja California Sur,,
PALOMETA PUNTA,281,2.0281,-111.6481,24.5566,Baja California Sur,,
PARAISO EL,175,2.0175,-112.077,25.521,Baja California Sur,,
PARDITO EL,141,3.0141,-110.588,24.863,Baja California Sur,,
PAREDON AMARILLO,223,3.0223,-111.8498,26.8822,Baja California Sur,,
PAREDON AMARILLO PTA,223,3.0223,-111.8498,26.8822,Baja California Sur,,
PAREDONES PUNTA PRIETOS,92,3.0092,-110.2158,24.3094,Baja California Sur,,
PARTIDA ISLA LA,131,3.0131,-110.3885,24.5631,Baja California Sur,,
PATO PUNTA EL,31,2.0031,-114.5891,27.7855,Baja California Sur,,
