state,landing_site,OHI_rgn,long,lat,GulfCal
BAJA CALIFORNIA,FARO DE SAN JOSE,Baja_California_South,-109.665,23.065,no
BAJA CALIFORNIA,ESTERO LAGUNA MANUELA B.C.N.,Baja_California_South,-114.1,28.2333,no
BAJA CALIFORNIA,SAN QUINTIN (LITORALES),Baja_California_South,-116.0259,30.5504,no
BAJA CALIFORNIA,PUERTO SAN JOSE,Baja_California_South,-114.8703,29.2844,no
BAJA CALIFORNIA,SAN JOSE,Baja_California_South,-114.8703,29.2844,no
BAJA CALIFORNIA,SANTO TOMAS,Baja_California_North,-116.69,31.534300000000002,no
BAJA CALIFORNIA,EJIDO RUBEN JARAMILLO,Baja_California_South,-116.05,30.918,no
BAJA CALIFORNIA,EL CUCHILLO,Baja_California_South,-114.8218,29.2399,no
BAJA CALIFORNIA,CANOAS,Baja_California_South,-115.1836,29.4172,no
BAJA CALIFORNIA,PUERTO ESCONDIDO,Baja_California_North,-116.7081,31.708,no
BAJA CALIFORNIA,SANTA ROSALIITA,Baja_California_South,-114.1935,28.6432,no
BAJA CALIFORNIA,EL BARRIL,Baja_California_South,-112.8725,28.301,yes
BAJA CALIFORNIA,PUNTA CUCHILLA,Baja_California_South,-114.8218,29.2399,no
BAJA CALIFORNIA,SAN JERONIMO,Baja_California_South,-115.7917,29.7917,no
BAJA CALIFORNIA,PUERTO SANTO TOMAS,Baja_California_North,-116.6838,31.534300000000002,no
BAJA CALIFORNIA,MUELLE FISCAL 1,Baja_California_North,-116.633,31.8525,no
BAJA CALIFORNIA,SAN QUINTIN,Baja_California_South,-115.9719,30.467,no
BAJA CALIFORNIA,PUNTA FINAL (B. DE LOS ANGELES),Baja_California_South,-113.56243,28.95192,yes
BAJA CALIFORNIA,SAN LUIS GONZAGA B.C.N.,Baja_California_South,-114.38,29.7924,yes
BAJA CALIFORNIA,EL BARRIL B.C.N.,Baja_California_South,-112.8741,28.3009,yes
BAJA CALIFORNIA,PUERTO SAN CARLOS,Baja_California_South,-115.4673,29.6173,no
BAJA CALIFORNIA,EL RINCON DE PUNTA BANDA,Baja_California_North,-116.6781,31.7239,no
BAJA CALIFORNIA,PUNTA SAN JACINTO,Baja_California_South,-116.1746,30.8622,no
BAJA CALIFORNIA,EL PABELLON,Baja_California_South,-115.8502,30.3669,no
BAJA CALIFORNIA,CALAMAJUE,Baja_California_South,-114.1555,29.6904,yes
BAJA CALIFORNIA,LA COLORADA (I. CEDROS),Baja_California_South,-115.3506,28.1164,no
BAJA CALIFORNIA,BAJO SAN MIGUEL,Baja_California_South,-112.7871,28.1921,yes
BAJA CALIFORNIA,BAHIA SAN RAFAEL,Baja_California_South,-114.077,28.5003,no
BAJA CALIFORNIA,ISLA GUADALUPE,Baja_California_South,-118.377,29.0556,no
BAJA CALIFORNIA,EL RINCON,Baja_California_North,-116.6998,31.7286,no
BAJA CALIFORNIA,MERCADO NEGRO,Baja_California_North,-116.633,31.8525,no
BAJA CALIFORNIA,PUNTA SALINAS,Baja_California_North,-116.885,32.05,no
BAJA CALIFORNIA,MUELLE DEL MERCADO NEGRO,Baja_California_North,-116.6246,31.8592,no
BAJA CALIFORNIA,BAHIA DE LAS ANIMAS,Baja_California_South,-113.507,28.9183,yes
BAJA CALIFORNIA,LAGUNA MANUELA,Baja_California_South,-114.0838,28.2341,no
BAJA CALIFORNIA,EL SOMBRERETE,Baja_California_North,-115.057,32.1669,yes
BAJA CALIFORNIA,PUNTA SAN CARLOS,Baja_California_South,-115.2534,29.5145,no
BAJA CALIFORNIA,PUNTA BALLENAS,Baja_California_South,-112.9017,28.4706,yes
BAJA CALIFORNIA,LAS ANIMAS,Baja_California_South,-113.3504,28.8001,yes
BAJA CALIFORNIA,BAHIA SAN SEBASTIAN,Baja_California_South,-111.56762,26.61715,yes
BAJA CALIFORNIA,SALINAS,Baja_California_North,-116.885,32.05,no
BAJA CALIFORNIA,SAN LUIS GONZAGA,Baja_California_South,-114.3672,29.7675,yes
BAJA CALIFORNIA,SAN FRANCISQUITO B.C.N.,Baja_California_South,-112.85712,28.41063,yes
BAJA CALIFORNIA,PUERTO ANGEL,Baja_California_South,-113.551,29.03,yes
BAJA CALIFORNIA,PUERTO CANOAS,Baja_California_South,-115.1168,29.4158,no
BAJA CALIFORNIA,BAJO BALLENAS,Baja_California_South,-113.55,29.33,yes
BAJA CALIFORNIA,PLAYA SALINAS,Baja_California_North,-116.885,32.05,no
BAJA CALIFORNIA,PUNTA BLANCA,Baja_California_South,-115.59415,30.2716,no
BAJA CALIFORNIA,EL PAPALOTE,Baja_California_South,-115.9419,30.4807,no
BAJA CALIFORNIA,VILLA DE JESUS MARIA,Baja_California_South,-114.0005,28.2338,no
BAJA CALIFORNIA,SANTA MARIA,Baja_California_South,-115.974,30.405,no
BAJA CALIFORNIA,LOS MORROS COLORADOS,Baja_California_South,-114.956,29.3659,no
BAJA CALIFORNIA,PUNTA BANDERA,Baja_California_North,-117.106,32.448,no
BAJA CALIFORNIA,PUERTO ARBOLITOS,Baja_California_North,-116.6637,31.7043,no
BAJA CALIFORNIA,EL MUELLE,Baja_California_North,-116.633,31.8525,no
BAJA CALIFORNIA,PUNTA CONCEPCION,Baja_California_South,-111.952,26.935,yes
BAJA CALIFORNIA,ERENDIRA,Baja_California_North,-116.381,31.2624,no
BAJA CALIFORNIA,ISLA SAN RAMON,Baja_California_South,-116.0482,30.7401,no
BAJA CALIFORNIA,LAS SALINAS,Baja_California_North,-116.885,32.05,no
BAJA CALIFORNIA,PUERTO CATARINA,Baja_California_South,-115.2534,29.5145,no
BAJA CALIFORNIA,PUERTO ESCONDIDO (EN LORETO),Baja_California_South,-111.307,25.822,yes
BAJA CALIFORNIA,LA MISION,Baja_California_South,-115.9244,30.4019,no
BAJA CALIFORNIA,EL MORRO,Baja_California_North,-117.026,32.277,no
BAJA CALIFORNIA,LA BOCANA,Baja_California_North,-116.6504,31.5334,no
BAJA CALIFORNIA,ISLA SAN JERONIMO,Baja_California_South,-115.797,29.85,no
BAJA CALIFORNIA,ROSARITO,Baja_California_North,-117.0543,32.3505,no
BAJA CALIFORNIA,BAHIA CONCEPCION B.C.SUR.,Baja_California_South,-111.893,26.757,yes
BAJA CALIFORNIA,PEÑASCO,Baja_California_North,-113.535,31.317,yes
BAJA CALIFORNIA,PUNTA SAN ISIDRO,Baja_California_North,-116.4121,31.2906,no
BAJA CALIFORNIA,PUERTO ENSENADA,Baja_California_North,-116.6007,31.8508,no
BAJA CALIFORNIA,SAN ANTONIO,Baja_California_South,-115.9482,30.46,no
BAJA CALIFORNIA,PLAYA EL FARO,Baja_California_South,-114.4102,29.8408,yes
BAJA CALIFORNIA,LOS MORROS,Baja_California_South,-114.979,29.3823,no
BAJA CALIFORNIA,GOLFO DE SANTA CLARA,Baja_California_North,-114.4975,31.6876,yes
BAJA CALIFORNIA,EL PLAYON,Baja_California_South,-115.9939,30.4026,no
BAJA CALIFORNIA,PUERTO SAN CARLOS (B.C.S.),Baja_California_South,-112.1045,24.7892,no
BAJA CALIFORNIA,BAHIA SOLEDAD,Baja_California_North,-116.6596,31.5811,no
BAJA CALIFORNIA,PUNTA ARENA ( EN LOS CABOS),Baja_California_South,-109.4685,23.554,yes
BAJA CALIFORNIA,CAMPO CUCAPA,Baja_California_North,-115.093,32.219,yes
BAJA CALIFORNIA,ESCONDIDO,Baja_California_North,-116.7081,31.708,no
BAJA CALIFORNIA,EL RAYADO,Baja_California_South,-115.727,29.949,no
BAJA CALIFORNIA,PLAYA CAMPO RUBENS,Baja_California_North,-116.741,31.976,no
BAJA CALIFORNIA,ROSALITA,Baja_California_South,-114.182,28.372,no
BAJA CALIFORNIA,CAMALU (VARADERO),Baja_California_South,-116.06,30.79,no
BAJA CALIFORNIA,BAHIA DE CALAMAJUE,Baja_California_South,-114.1555,29.6904,yes
BAJA CALIFORNIA,PUERTO CUCHILLO,Baja_California_South,-114.8218,29.2399,no
BAJA CALIFORNIA,EL CHORERO,Baja_California_South,-116.0192,30.4537,no
BAJA CALIFORNIA,LAGUNA MACUILE,Baja_California_South,-114.06,28.192,no
BAJA CALIFORNIA,PUNTA MARRON O PUNTA NEGRA (VARADERO),Baja_California_North,-116.482,31.287,no
BAJA CALIFORNIA,PUNTA BAJA (EN SANTA ROSALIA),Baja_California_South,-115.771,29.954,no
BAJA CALIFORNIA,PUNTA DEL DIABLO (VARADERO),Baja_California_North,-116.47,31.279,no
BAJA CALIFORNIA,ESTERO SALINAS,Baja_California_North,-116.626,31.836,no
BAJA CALIFORNIA,ISLA LAS ANIMAS,Baja_California_South,-112.9329,28.7,yes
BAJA CALIFORNIA,CATARINA,Baja_California_South,-115.2534,29.5145,no
BAJA CALIFORNIA,CAMPO ENMEDIO,Baja_California_North,-116.5471,31.4482,no
BAJA CALIFORNIA,PUNTA CONO (VARADERO),Baja_California_South,-114.58,28.964,no
BAJA CALIFORNIA,PUERTO DE CDA,Baja_California_North,-116.633,31.85,no
BAJA CALIFORNIA,ISLA ESPIRITU SANTO,Baja_California_South,-110.39,24.585,yes
BAJA CALIFORNIA,MUELLE DEL MERCADO,Baja_California_North,-116.6246,31.8592,no
BAJA CALIFORNIA,REST. PORTUARIO,Baja_California_North,-116.633,31.85,no
BAJA CALIFORNIA,BAJOS SAN CARLOS,Baja_California_South,-112.12,24.78,no
BAJA CALIFORNIA,BAHIA TODOS SANTOS,Baja_California_North,-116.6838,31.8031,no
BAJA CALIFORNIA,PUNTA DIABLO,Baja_California_South,-114.4608,28.9067,no
BAJA CALIFORNIA,LAS ESCOLLERAS,Baja_California_North,-116.6333,31.8583,no
BAJA CALIFORNIA,PUERTO DE EDA,Baja_California_North,-116.633,31.85,no
BAJA CALIFORNIA,PLAYA ERENDIRA,Baja_California_North,-116.381,31.2624,no
BAJA CALIFORNIA,"RINCON, EL",Baja_California_North,-116.6998,31.7286,no
BAJA CALIFORNIA,MARRON,Baja_California_South,-114.3768,28.8122,no
BAJA CALIFORNIA,TOPOLOBAMPO,Baja_California_South,-109.056,25.602,yes
BAJA CALIFORNIA,MOLINO VIEJO,Baja_California_South,-115.98,30.48,no
BAJA CALIFORNIA,LAS PALOMAS,Baja_California_North,-114.8155,30.9903,yes
BAJA CALIFORNIA,PUNTA SAN JASINTO,Baja_California_South,-116.2132,30.9227,no
BAJA CALIFORNIA,SANTO DOMINGO (VARADERO),Baja_California_South,-114.09,28.257,no
BAJA CALIFORNIA,PUNTA CABRA,Baja_California_North,-116.4541,31.3264,no
BAJA CALIFORNIA,PUNTA CONO,Baja_California_South,-114.58,28.9643,no
BAJA CALIFORNIA,SANTA ROSALIA,Baja_California_South,-112.274,27.34,yes
BAJA CALIFORNIA,SAN ISIDRO Q.ROO,Baja_California_North,-116.4121,31.2906,no
BAJA CALIFORNIA,ISLOTES TODOS SANTOS,Baja_California_North,-116.7815,31.7995,no
BAJA CALIFORNIA,PUERTO LOBOS,Baja_California_South,-114.4341,28.875,no
BAJA CALIFORNIA,ROSALIITA,Baja_California_South,-114.182,28.372,no
BAJA CALIFORNIA,TIJUANA,Baja_California_North,-117.034,32.5334,no
BAJA CALIFORNIA,RINCON DE PUNTA BANDA,Baja_California_North,-116.6781,31.7239,no
BAJA CALIFORNIA,PUNTA PIEDRA,Baja_California_North,-116.448,31.344,no
BAJA CALIFORNIA,SAN MIGUEL (B. DE LOS ANGELES),Baja_California_South,-113.54,28.92,yes
BAJA CALIFORNIA,CACHAN DE ECHEVERRIA,Baja_California_South,-113.09,28.63,yes
BAJA CALIFORNIA,CAMPO EL COLORADO,Baja_California_South,-114.6692,30.5795,no
BAJA CALIFORNIA,CAMPO SAHUARO,Baja_California_South,-114.78,30.9,yes
BAJA CALIFORNIA,MORRO SANTO DOMINGO,Baja_California_South,-114.1,28.0406,no
BAJA CALIFORNIA,LAGUNA MANUELA.,Baja_California_South,-114.0838,28.2341,no
BAJA CALIFORNIA,PUNTA ROSARITO,Baja_California_South,-114.1505,28.5668,no
BAJA CALIFORNIA,PUERTO SALINAA.,Baja_California_North,-116.885,32.05,no
BAJA CALIFORNIA,CAMPO COLORADA,Baja_California_South,-113.1442,28.9968,yes
BAJA CALIFORNIA,MAZATLAN,Baja_California_South,-114.7082,30.7213,yes
BAJA CALIFORNIA,RIO COLORADO,Baja_California_North,-114.8169,31.8009,yes
BAJA CALIFORNIA,EL MUERTO,Baja_California_South,-113.7905,29.417,yes
BAJA CALIFORNIA,PLAYA SANTA MARIA,Baja_California_South,-115.974,30.405,no
BAJA CALIFORNIA,EL MUERTITO O PUNTA ROSARITO (VARADERO),Baja_California_North,-117.05,32.26,no
BAJA CALIFORNIA,RANCHO ZIMARRON KM 68,Baja_California_South,-114.707,30.63,yes
BAJA CALIFORNIA,LAGUNA SALADA,Baja_California_North,-115.7502,32.5007,yes
BAJA CALIFORNIA,ISLA PARTIDA,Baja_California_South,-113.031,28.87,yes
BAJA CALIFORNIA,SALSIPUEDES,Baja_California_North,-116.8176,31.9671,no
BAJA CALIFORNIA,TODOS SANTOS,Baja_California_North,-116.6838,31.8031,no
BAJA CALIFORNIA,EL PLAYON DE SAN RAMON,Baja_California_South,-116.059,30.77,no
BAJA CALIFORNIA,EL CARDON EN LAGUNA SAN IGNACIO,Baja_California_South,-113.178,26.811,no
BAJA CALIFORNIA,RINCON BALLENAS,Baja_California_North,-116.7964,31.9809,no
BAJA CALIFORNIA,LITORAL (ROSARIO),Baja_California_South,-115.763,30.063,no
BAJA CALIFORNIA,EL CARDON,Baja_California_South,-114.4487,28.9074,no
BAJA CALIFORNIA,EL CONEJO,Baja_California_South,-111.4473,24.3281,no
BAJA CALIFORNIA,EL TOMATAL (VARADERO),Baja_California_South,-116.36,30.95,no
BAJA CALIFORNIA,LIT.GOLFO DE CALIFORNIA,Baja_California_South,-113.86,29.65,yes
BAJA CALIFORNIA,VARADERO DEL CARDON,Baja_California_South,-114.067,28.386,no
BAJA CALIFORNIA,SAN SEBASTIAN,Baja_California_South,-111.568,26.617,yes
BAJA CALIFORNIA,LA RINCONADA,Baja_California_South,-115.7407,29.8955,no
BAJA CALIFORNIA,BAHIA DE MACAPULE,Baja_California_South,-108.52,25.25,yes
BAJA CALIFORNIA,Las Casitas (Laguna Ojo de Liebre),Baja_California_South,-114.08,27.73,no
BAJA CALIFORNIA,ISLA SAN PEDRO MARTIR,Baja_California_South,-112.3331,28.3721,yes
BAJA CALIFORNIA,PUERTO LOS CHOROS,Baja_California_South,-113.5667,29,yes
BAJA CALIFORNIA,ARBOLILLO,Baja_California_North,-116.6637,31.7043,no
BAJA CALIFORNIA,ISLA DE CORONADO,Baja_California_South,-113.5178,29.0831,yes
BAJA CALIFORNIA,ISLA SAN ESTEBAN,Baja_California_South,-112.5721,28.6999,yes
BAJA CALIFORNIA,TORRE MOCHA,Baja_California_South,-114.057,28.2523,no
BAJA CALIFORNIA,ROSALILLITA,Baja_California_South,-114.182,28.372,no
BAJA CALIFORNIA,PLAYA HERMOSA,Baja_California_South,-114.6974,30.7307,yes
BAJA CALIFORNIA,SAN RAFAEL (EN BAHIA CONCEPCION),Baja_California_South,-112.27,27.32,yes
BAJA CALIFORNIA,ISLAS CORONADO,Baja_California_South,-113.5178,29.0831,yes
BAJA CALIFORNIA,DON ABEL,Baja_California_North,-114.878,31.219,yes
