state,fishing_site_name,fishing_site_clean
BAJA CALIFORNIA SUR,BAHIA LAS ALMEJAS,Bahia Las Almejas
SONORA,LOS MELAGOS,Los Melagos
BAJA CALIFORNIA SUR,SANTA MARTA,Santa Marta
BAJA CALIFORNIA SUR,BOCA DE ALAMO,Boca De Alamo
BAJA CALIFORNIA SUR,LOS FRAILES,Los Frailes
SINALOA,EL JITZAMURI,El Jitzamuri
BAJA CALIFORNIA,SANTA ROSALILLITA,Santa Rosalillita
BAJA CALIFORNIA SUR,BOCA DE TULE,Boca De Tule
BAJA CALIFORNIA SUR,ISLA SAN LORENZO,Isla San Lorenzo
BAJA CALIFORNIA SUR,EL CONEJO,El Conejo
BAJA CALIFORNIA SUR,ISLA SANTA MARGARITA,Isla Santa Margarita
BAJA CALIFORNIA,PUNTA NORTE DE LA ISLA,Punta Norte De La Isla
BAJA CALIFORNIA SUR,EL PARDITO (O ARRECIFE COYOTE),El Pardito (O Arrecife Coyote)
BAJA CALIFORNIA SUR,CABO TOSCO,Cabo Tosco
BAJA CALIFORNIA SUR,LAS TIJERAS,Las Tijeras
BAJA CALIFORNIA,BAHIA SAN RAFAEL,Bahia San Rafael
BAJA CALIFORNIA SUR,LOS BARRILES,Los Barriles
BAJA CALIFORNIA,ISLA SMITH CORONADO,Isla Smith Coronado
BAJA CALIFORNIA SUR,PUNTA MARQUEZ,Punta Marquez
BAJA CALIFORNIA SUR,ISLA ESPIRITU SANTO,Isla Espiritu Santo
BAJA CALIFORNIA SUR,PUNTA COYOTE I (EN BAHIA COYOTE),Punta Coyote I (En Bahia Coyote)
BAJA CALIFORNIA SUR,SAN EVARISTO (GOLFO),San Evaristo (Golfo)
BAJA CALIFORNIA SUR,BAHIA ALMEJAS,Bahia Almejas
BAJA CALIFORNIA SUR,LA RIVERA,La Rivera
BAJA CALIFORNIA SUR,PUNTA PESCADERO,Punta Pescadero
BAJA CALIFORNIA SUR,PUNTA REDONDA,Punta Redonda
BAJA CALIFORNIA SUR,PUNTA HUSHES,Punta Hushes
BAJA CALIFORNIA SUR,PUERTO ADOLFO LOPEZ MATEOS,Puerto Adolfo Lopez Mateos
BAJA CALIFORNIA SUR,EL FARO,El Faro
SINALOA,BAHIA DE OHUIRA,Bahia De Ohuira
BAJA CALIFORNIA SUR,PUNTA ARENA DE LA VENTANA,Punta Arena De La Ventana
BAJA CALIFORNIA,ISLA TODOS SANTOS,Isla Todos Santos
BAJA CALIFORNIA,PUNTA BALLENAS,Punta Ballenas
SONORA,SAN CARLOS,San Carlos
SONORA,SIARIC A BAHIA DE LOBOS,Siaric A Bahia De Lobos
BAJA CALIFORNIA,CAMALU,Camalu
BAJA CALIFORNIA,PUNTA FINAL (B DE LOS ANGELES),Punta Final (B De Los Angeles)
BAJA CALIFORNIA,ISLA SANTA ISABEL O EL HUERFANITO,Isla Santa Isabel O El Huerfanito
BAJA CALIFORNIA,PUERTO SAN JOSE,Puerto San Jose
BAJA CALIFORNIA SUR,EL DELGADITO,El Delgadito
BAJA CALIFORNIA,VALLE TRANQUILO (EJIDO),Valle Tranquilo (Ejido)
BAJA CALIFORNIA,EL PABELLON,El Pabellon
SINALOA,BAHIA EL COLORADO,Bahia El Colorado
BAJA CALIFORNIA SUR,PIEDRAS GORDAS (EN ISLA CERRALVO),Piedras Gordas (En Isla Cerralvo)
BAJA CALIFORNIA SUR,LORETO (BCS),Loreto (Bcs)
SONORA,LOS MELAGOS A EL COLORADO,Los Melagos A El Colorado
SONORA,SAN PEDRO NOLASCO,San Pedro Nolasco
BAJA CALIFORNIA,BAHIA SOLEDAD,Bahia Soledad
SINALOA,LITORAL DEL OCEANO PACIFICO,Litoral Del Oceano Pacifico
BAJA CALIFORNIA,BAJO EL 240,Bajo El 240
BAJA CALIFORNIA,EL WEST DE LA ISLA SM,El West De La Isla Sm
SINALOA,VARIOS,Varios
BAJA CALIFORNIA,ISLA CORONADO,Isla Coronado
BAJA CALIFORNIA,PUNTA SAN JOSE (VARADERO),Punta San Jose (Varadero)
BAJA CALIFORNIA SUR,EL CHICHARRON,El Chicharron
SINALOA,LOS PUENTES CUATES,Los Puentes Cuates
BAJA CALIFORNIA,PUERTO SANTA CATARINA,Puerto Santa Catarina
BAJA CALIFORNIA,ISLA SAN LORENZO,Isla San Lorenzo
BAJA CALIFORNIA,EJIDO RUBEN JARAMILLO,Ejido Ruben Jaramillo
JALISCO,OCEANO PACIFICO,Oceano Pacifico
BAJA CALIFORNIA SUR,ISLA SAN MARCOS,Isla San Marcos
BAJA CALIFORNIA,EL MIRADOR,El Mirador
BAJA CALIFORNIA,PUERTO SANTO TOMAS,Puerto Santo Tomas
BAJA CALIFORNIA,BAHIA DE SAN QUINTIN,Bahia De San Quintin
BAJA CALIFORNIA,SAN QUINTIN,San Quintin
BAJA CALIFORNIA,PUNTA SAN JASINTO,Punta San Jasinto
BAJA CALIFORNIA,SANTO DOMINGO (VARADERO),Santo Domingo (Varadero)
BAJA CALIFORNIA,EL SOCORRO,El Socorro
JALISCO,BAHIA BANDERAS,Bahia Banderas
BAJA CALIFORNIA,PUNTA SAN JACINTO,Punta San Jacinto
BAJA CALIFORNIA SUR,LOMITA AMARILLA,Lomita Amarilla
BAJA CALIFORNIA,FARO DE SAN JOSE,Faro De San Jose
BAJA CALIFORNIA,EL SAUZAL,El Sauzal
BAJA CALIFORNIA,PUNTA PIEDRA,Punta Piedra
BAJA CALIFORNIA SUR,EL DATILAR,El Datilar
BAJA CALIFORNIA,BAHIA TODOS SANTOS,Bahia Todos Santos
BAJA CALIFORNIA,BAHIA DE LAS ANIMAS,Bahia De Las Animas
BAJA CALIFORNIA,JURISDICCION DE SAN FELIPE,Jurisdiccion De San Felipe
BAJA CALIFORNIA SUR,NOTRI,Notri
BAJA CALIFORNIA SUR,BOCANA DE LA SOLEDAD,Bocana De La Soledad
SONORA,PRESA ALVARO OBREGON,Presa Alvaro Obregon
SONORA,BAHIA LOBOS,Bahia Lobos
BAJA CALIFORNIA SUR,PUNTA PESCADEROS (GOLFO),Punta Pescaderos (Golfo)
SONORA,SAN JORGE,San Jorge
SINALOA,ENSENADA DEL PABELLON,Ensenada Del Pabellon
BAJA CALIFORNIA SUR,PUERTO VIEJO,Puerto Viejo
SONORA,PUERTO LOBOS,Puerto Lobos
SONORA,BORRASCOSO,Borrascoso
BAJA CALIFORNIA,COLORADITA O PUERTO ESCONDIDO (I DE CEDROS),Coloradita O Puerto Escondido (I De Cedros)
SINALOA,BAHIA DE NAVACHISTE,Bahia De Navachiste
SONORA,LA CINITA,La Cinita
SINALOA,CARDONDES,Cardondes
BAJA CALIFORNIA SUR,LAGUNA OJO DE LIEBRE,Laguna Ojo De Liebre
BAJA CALIFORNIA SUR,ESTERO LA BOCANA,Estero La Bocana
